"plh0106","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","1-pers.-HH","direct migration background","22","","","","2"
"Important","1990","(Married) couple without C. ","no migration background","946","0.510991897519161","0.488194793660964","0.533789001377358","2"
"Important","1990","1-pers.-HH","no migration background","421","0.477162707505289","0.44362411605325","0.510701298957329","2"
"Important","1990","1-pers.-HH","indirect migration background","5","","","","2"
"Important","1990","Single parent ","no migration background","173","0.483811968348672","0.432403217933431","0.535220718763914","2"
"Important","1990","Single parent ","direct migration background","9","","","","2"
"Important","1990","Couple + C. LE 16 ","indirect migration background","5","","","","2"
"Important","1990","Couple + C. LE and GT 16","direct migration background","22","","","","2"
"Important","1990","Couple + C. LE and GT 16","indirect migration background","4","","","","2"
"Important","1990","Single parent ","indirect migration background","1","","","","2"
"Important","1990","(Married) couple without C. ","direct migration background","74","0.490975734332211","0.4104348320633","0.571516636601123","2"
"Important","1990","(Married) couple without C. ","indirect migration background","6","","","","2"
"Important","1990","Couple + C. GT 16 ","indirect migration background","9","","","","2"
"Important","1990","Couple + C. LE and GT 16","no migration background","215","0.534280667980437","0.48508844979626","0.583472886164615","2"
"Important","1990","Couple + C. LE 16 ","no migration background","805","0.586620515377911","0.560563533037954","0.612677497717868","2"
"Important","1990","Couple + C. LE 16 ","direct migration background","47","0.518102309722702","0.411878025159227","0.624326594286178","2"
"Important","1990","Couple + C. GT 16 ","no migration background","753","0.531089149783645","0.505169928359455","0.557008371207835","2"
"Important","1990","Couple + C. GT 16 ","direct migration background","44","0.502995161147503","0.39543009294507","0.610560229349936","2"
"Less important","1990","1-pers.-HH","no migration background","211","0.252101919890433","0.222945272857428","0.281258566923438","3"
"Less important","1990","1-pers.-HH","direct migration background","16","","","","3"
"Less important","1990","1-pers.-HH","indirect migration background","","","","","3"
"Less important","1990","(Married) couple without C. ","no migration background","500","0.28364925419221","0.263091847629343","0.304206660755076","3"
"Less important","1990","(Married) couple without C. ","direct migration background","41","0.275981293437792","0.203964803558864","0.347997783316721","3"
