"pli0096_h","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1985","1-pers.-HH","in school","","","",""
"Daily","1985","1-pers.-HH","inadequately","","","",""
"Daily","1985","1-pers.-HH","general elemantary","","","",""
"Daily","1985","1-pers.-HH","middle vocational","","","",""
"Daily","1985","1-pers.-HH","vocational + Abi","","","",""
"Daily","1985","1-pers.-HH","higher vocational","","","",""
"Daily","1985","1-pers.-HH","higher education","","","",""
"Daily","1985","(Married) couple without C. ","in school","","","",""
"Daily","1985","(Married) couple without C. ","inadequately","","","",""
"Daily","1985","(Married) couple without C. ","general elemantary","","","",""
"Daily","1985","(Married) couple without C. ","middle vocational","","","",""
"Daily","1985","(Married) couple without C. ","vocational + Abi","","","",""
"Daily","1985","(Married) couple without C. ","higher vocational","","","",""
"Daily","1985","(Married) couple without C. ","higher education","","","",""
"Daily","1985","Single parent ","in school","","","",""
"Daily","1985","Single parent ","inadequately","","","",""
"Daily","1985","Single parent ","general elemantary","","","",""
"Daily","1985","Single parent ","middle vocational","","","",""
"Daily","1985","Single parent ","vocational + Abi","","","",""
"Daily","1985","Single parent ","higher vocational","","","",""
"Daily","1985","Single parent ","higher education","","","",""
"Daily","1985","Couple + C. LE 16 ","in school","","","",""
"Daily","1985","Couple + C. LE 16 ","inadequately","","","",""
"Daily","1985","Couple + C. LE 16 ","general elemantary","","","",""
"Daily","1985","Couple + C. LE 16 ","middle vocational","","","",""
"Daily","1985","Couple + C. LE 16 ","vocational + Abi","","","",""
"Daily","1985","Couple + C. LE 16 ","higher vocational","","","",""
"Daily","1985","Couple + C. LE 16 ","higher education","","","",""
"Daily","1985","Couple + C. GT 16 ","in school","","","",""
"Daily","1985","Couple + C. GT 16 ","inadequately","","","",""
"Daily","1985","Couple + C. GT 16 ","general elemantary","","","",""
"Daily","1985","Couple + C. GT 16 ","middle vocational","","","",""
"Daily","1985","Couple + C. GT 16 ","vocational + Abi","","","",""
"Daily","1985","Couple + C. GT 16 ","higher vocational","","","",""
"Daily","1985","Couple + C. GT 16 ","higher education","","","",""
"Daily","1985","Couple + C. LE and GT 16","in school","","","",""
"Daily","1985","Couple + C. LE and GT 16","inadequately","","","",""
"Daily","1985","Couple + C. LE and GT 16","general elemantary","","","",""
"Daily","1985","Couple + C. LE and GT 16","middle vocational","","","",""
"Daily","1985","Couple + C. LE and GT 16","vocational + Abi","","","",""
"Daily","1985","Couple + C. LE and GT 16","higher vocational","","","",""
"Daily","1985","Couple + C. LE and GT 16","higher education","","","",""
"Min 1x per week","1985","1-pers.-HH","in school","","","",""
"Min 1x per week","1985","1-pers.-HH","inadequately","1","","",""
"Min 1x per week","1985","1-pers.-HH","general elemantary","14","","",""
"Min 1x per week","1985","1-pers.-HH","middle vocational","35","0.0573055105665626","0.0378455709155551","0.0767654502175702"
"Min 1x per week","1985","1-pers.-HH","vocational + Abi","3","","",""
"Min 1x per week","1985","1-pers.-HH","higher vocational","9","","",""
"Min 1x per week","1985","1-pers.-HH","higher education","12","","",""
"Min 1x per week","1985","(Married) couple without C. ","in school","","","",""
"Min 1x per week","1985","(Married) couple without C. ","inadequately","1","","",""
"Min 1x per week","1985","(Married) couple without C. ","general elemantary","16","","",""
"Min 1x per week","1985","(Married) couple without C. ","middle vocational","108","0.0870784632901606","0.0716022358660368","0.102554690714284"
"Min 1x per week","1985","(Married) couple without C. ","vocational + Abi","6","","",""
"Min 1x per week","1985","(Married) couple without C. ","higher vocational","14","","",""
"Min 1x per week","1985","(Married) couple without C. ","higher education","17","","",""
"Min 1x per week","1985","Single parent ","in school","2","","",""
"Min 1x per week","1985","Single parent ","inadequately","","","",""
"Min 1x per week","1985","Single parent ","general elemantary","8","","",""
"Min 1x per week","1985","Single parent ","middle vocational","21","","",""
"Min 1x per week","1985","Single parent ","vocational + Abi","","","",""
"Min 1x per week","1985","Single parent ","higher vocational","3","","",""
"Min 1x per week","1985","Single parent ","higher education","1","","",""
"Min 1x per week","1985","Couple + C. LE 16 ","in school","","","",""
"Min 1x per week","1985","Couple + C. LE 16 ","inadequately","1","","",""
"Min 1x per week","1985","Couple + C. LE 16 ","general elemantary","20","","",""
"Min 1x per week","1985","Couple + C. LE 16 ","middle vocational","114","0.0966352563472794","0.0806477568612165","0.112622755833342"
"Min 1x per week","1985","Couple + C. LE 16 ","vocational + Abi","10","","",""
"Min 1x per week","1985","Couple + C. LE 16 ","higher vocational","18","","",""
"Min 1x per week","1985","Couple + C. LE 16 ","higher education","27","","",""
"Min 1x per week","1985","Couple + C. GT 16 ","in school","9","","",""
"Min 1x per week","1985","Couple + C. GT 16 ","inadequately","2","","",""
"Min 1x per week","1985","Couple + C. GT 16 ","general elemantary","49","0.0935626145072831","0.0703186868941404","0.116806542120426"
"Min 1x per week","1985","Couple + C. GT 16 ","middle vocational","79","0.0914941742874292","0.0728030436687706","0.110185304906088"
"Min 1x per week","1985","Couple + C. GT 16 ","vocational + Abi","5","","",""
"Min 1x per week","1985","Couple + C. GT 16 ","higher vocational","17","","",""
"Min 1x per week","1985","Couple + C. GT 16 ","higher education","15","","",""
"Min 1x per week","1985","Couple + C. LE and GT 16","in school","13","","",""
"Min 1x per week","1985","Couple + C. LE and GT 16","inadequately","3","","",""
"Min 1x per week","1985","Couple + C. LE and GT 16","general elemantary","30","0.0810894757141634","0.0571388602961142","0.105040091132213"
"Min 1x per week","1985","Couple + C. LE and GT 16","middle vocational","72","0.148982245895664","0.119827628342743","0.178136863448585"
"Min 1x per week","1985","Couple + C. LE and GT 16","vocational + Abi","3","","",""
"Min 1x per week","1985","Couple + C. LE and GT 16","higher vocational","5","","",""
"Min 1x per week","1985","Couple + C. LE and GT 16","higher education","12","","",""
"Min 1x per month","1985","1-pers.-HH","in school","","","",""
"Min 1x per month","1985","1-pers.-HH","inadequately","1","","",""
"Min 1x per month","1985","1-pers.-HH","general elemantary","11","","",""
"Min 1x per month","1985","1-pers.-HH","middle vocational","24","","",""
"Min 1x per month","1985","1-pers.-HH","vocational + Abi","3","","",""
"Min 1x per month","1985","1-pers.-HH","higher vocational","5","","",""
"Min 1x per month","1985","1-pers.-HH","higher education","5","","",""
"Min 1x per month","1985","(Married) couple without C. ","in school","","","",""
"Min 1x per month","1985","(Married) couple without C. ","inadequately","","","",""
"Min 1x per month","1985","(Married) couple without C. ","general elemantary","16","","",""
"Min 1x per month","1985","(Married) couple without C. ","middle vocational","55","0.0465181643693653","0.0349580935400576","0.0580782351986731"
"Min 1x per month","1985","(Married) couple without C. ","vocational + Abi","7","","",""
"Min 1x per month","1985","(Married) couple without C. ","higher vocational","9","","",""
"Min 1x per month","1985","(Married) couple without C. ","higher education","23","","",""
"Min 1x per month","1985","Single parent ","in school","1","","",""
"Min 1x per month","1985","Single parent ","inadequately","","","",""
"Min 1x per month","1985","Single parent ","general elemantary","5","","",""
"Min 1x per month","1985","Single parent ","middle vocational","15","","",""
"Min 1x per month","1985","Single parent ","vocational + Abi","3","","",""
"Min 1x per month","1985","Single parent ","higher vocational","2","","",""
"Min 1x per month","1985","Single parent ","higher education","2","","",""
"Min 1x per month","1985","Couple + C. LE 16 ","in school","","","",""
"Min 1x per month","1985","Couple + C. LE 16 ","inadequately","2","","",""
"Min 1x per month","1985","Couple + C. LE 16 ","general elemantary","24","","",""
"Min 1x per month","1985","Couple + C. LE 16 ","middle vocational","82","0.0741133436318344","0.059938825964405","0.0882878612992638"
"Min 1x per month","1985","Couple + C. LE 16 ","vocational + Abi","7","","",""
"Min 1x per month","1985","Couple + C. LE 16 ","higher vocational","22","","",""
"Min 1x per month","1985","Couple + C. LE 16 ","higher education","29","","",""
"Min 1x per month","1985","Couple + C. GT 16 ","in school","2","","",""
"Min 1x per month","1985","Couple + C. GT 16 ","inadequately","2","","",""
"Min 1x per month","1985","Couple + C. GT 16 ","general elemantary","34","0.0572011546244248","0.0386657806209178","0.0757365286279317"
"Min 1x per month","1985","Couple + C. GT 16 ","middle vocational","77","0.0888581930858897","0.0704115765791918","0.107304809592588"
"Min 1x per month","1985","Couple + C. GT 16 ","vocational + Abi","2","","",""
"Min 1x per month","1985","Couple + C. GT 16 ","higher vocational","9","","",""
"Min 1x per month","1985","Couple + C. GT 16 ","higher education","17","","",""
"Min 1x per month","1985","Couple + C. LE and GT 16","in school","4","","",""
"Min 1x per month","1985","Couple + C. LE and GT 16","inadequately","2","","",""
"Min 1x per month","1985","Couple + C. LE and GT 16","general elemantary","17","","",""
"Min 1x per month","1985","Couple + C. LE and GT 16","middle vocational","51","0.110728365954077","0.0850352104600149","0.136421521448139"
"Min 1x per month","1985","Couple + C. LE and GT 16","vocational + Abi","1","","",""
"Min 1x per month","1985","Couple + C. LE and GT 16","higher vocational","9","","",""
"Min 1x per month","1985","Couple + C. LE and GT 16","higher education","8","","",""
"Rarely","1985","1-pers.-HH","in school","","","",""
"Rarely","1985","1-pers.-HH","inadequately","1","","",""
"Rarely","1985","1-pers.-HH","general elemantary","8","","",""
"Rarely","1985","1-pers.-HH","middle vocational","29","","",""
"Rarely","1985","1-pers.-HH","vocational + Abi","2","","",""
"Rarely","1985","1-pers.-HH","higher vocational","9","","",""
"Rarely","1985","1-pers.-HH","higher education","3","","",""
"Rarely","1985","(Married) couple without C. ","in school","","","",""
"Rarely","1985","(Married) couple without C. ","inadequately","3","","",""
"Rarely","1985","(Married) couple without C. ","general elemantary","33","0.0579881667984883","0.0391131080305723","0.0768632255664043"
"Rarely","1985","(Married) couple without C. ","middle vocational","103","0.0802079492942561","0.0652990173970105","0.0951168811915017"
"Rarely","1985","(Married) couple without C. ","vocational + Abi","5","","",""
"Rarely","1985","(Married) couple without C. ","higher vocational","13","","",""
"Rarely","1985","(Married) couple without C. ","higher education","29","","",""
"Rarely","1985","Single parent ","in school","1","","",""
"Rarely","1985","Single parent ","inadequately","5","","",""
"Rarely","1985","Single parent ","general elemantary","10","","",""
"Rarely","1985","Single parent ","middle vocational","19","","",""
"Rarely","1985","Single parent ","vocational + Abi","","","",""
"Rarely","1985","Single parent ","higher vocational","3","","",""
"Rarely","1985","Single parent ","higher education","1","","",""
"Rarely","1985","Couple + C. LE 16 ","in school","","","",""
"Rarely","1985","Couple + C. LE 16 ","inadequately","8","","",""
"Rarely","1985","Couple + C. LE 16 ","general elemantary","34","0.0773556736148493","0.0549265097535067","0.099784837476192"
"Rarely","1985","Couple + C. LE 16 ","middle vocational","112","0.0934009789706657","0.0776551869582572","0.109146770983074"
"Rarely","1985","Couple + C. LE 16 ","vocational + Abi","1","","",""
"Rarely","1985","Couple + C. LE 16 ","higher vocational","21","","",""
"Rarely","1985","Couple + C. LE 16 ","higher education","33","0.133908252374776","0.0909125358306924","0.176903968918861"
"Rarely","1985","Couple + C. GT 16 ","in school","12","","",""
"Rarely","1985","Couple + C. GT 16 ","inadequately","","","",""
"Rarely","1985","Couple + C. GT 16 ","general elemantary","43","0.0758404612838413","0.0547097851802407","0.0969711373874419"
"Rarely","1985","Couple + C. GT 16 ","middle vocational","88","0.100165983547885","0.0807026902838415","0.119629276811929"
"Rarely","1985","Couple + C. GT 16 ","vocational + Abi","2","","",""
"Rarely","1985","Couple + C. GT 16 ","higher vocational","12","","",""
"Rarely","1985","Couple + C. GT 16 ","higher education","13","","",""
"Rarely","1985","Couple + C. LE and GT 16","in school","5","","",""
"Rarely","1985","Couple + C. LE and GT 16","inadequately","7","","",""
"Rarely","1985","Couple + C. LE and GT 16","general elemantary","41","0.104964102758593","0.078071152781281","0.131857052735904"
"Rarely","1985","Couple + C. LE and GT 16","middle vocational","53","0.102578991792032","0.0777363310173707","0.127421652566694"
"Rarely","1985","Couple + C. LE and GT 16","vocational + Abi","1","","",""
"Rarely","1985","Couple + C. LE and GT 16","higher vocational","2","","",""
"Rarely","1985","Couple + C. LE and GT 16","higher education","10","","",""
"Never","1985","1-pers.-HH","in school","","","",""
"Never","1985","1-pers.-HH","inadequately","52","0.883554769662788","0.798784349400082","0.968325189925495"
"Never","1985","1-pers.-HH","general elemantary","299","0.902325229751209","0.870391341681711","0.934259117820707"
"Never","1985","1-pers.-HH","middle vocational","460","0.84635232094603","0.816160006306567","0.876544635585493"
"Never","1985","1-pers.-HH","vocational + Abi","29","","",""
"Never","1985","1-pers.-HH","higher vocational","57","0.735907763771972","0.63930432039106","0.832511207152884"
"Never","1985","1-pers.-HH","higher education","86","0.815360693485831","0.741496812255815","0.889224574715847"
"Never","1985","(Married) couple without C. ","in school","","","",""
"Never","1985","(Married) couple without C. ","inadequately","95","0.898705723586475","0.839272169611346","0.958139277561604"
"Never","1985","(Married) couple without C. ","general elemantary","524","0.884760446823398","0.858973253500412","0.910547640146384"
"Never","1985","(Married) couple without C. ","middle vocational","1009","0.786195423046218","0.763691058556449","0.808699787535987"
"Never","1985","(Married) couple without C. ","vocational + Abi","54","0.751360372085695","0.651523455542074","0.851197288629316"
"Never","1985","(Married) couple without C. ","higher vocational","116","0.775770462261512","0.709466523591275","0.842074400931748"
"Never","1985","(Married) couple without C. ","higher education","124","0.628318815521003","0.560140736981188","0.696496894060819"
"Never","1985","Single parent ","in school","15","","",""
"Never","1985","Single parent ","inadequately","38","0.812344746517113","0.695646477310994","0.929043015723232"
"Never","1985","Single parent ","general elemantary","168","0.869294007299899","0.821490198554746","0.917097816045052"
"Never","1985","Single parent ","middle vocational","184","0.77257038877334","0.719427926336964","0.825712851209716"
"Never","1985","Single parent ","vocational + Abi","6","","",""
"Never","1985","Single parent ","higher vocational","15","","",""
"Never","1985","Single parent ","higher education","11","","",""
"Never","1985","Couple + C. LE 16 ","in school","1","","",""
"Never","1985","Couple + C. LE 16 ","inadequately","241","0.958718274227723","0.934155792439908","0.983280756015538"
"Never","1985","Couple + C. LE 16 ","general elemantary","467","0.821831132110095","0.789705103294973","0.853957160925216"
"Never","1985","Couple + C. LE 16 ","middle vocational","1004","0.735850421050221","0.711994240870393","0.759706601230048"
"Never","1985","Couple + C. LE 16 ","vocational + Abi","60","0.735256963761239","0.637345704635139","0.833168222887339"
"Never","1985","Couple + C. LE 16 ","higher vocational","124","0.654636477289218","0.586119126904405","0.723153827674031"
"Never","1985","Couple + C. LE 16 ","higher education","152","0.625121062870016","0.564003341272058","0.686238784467974"
"Never","1985","Couple + C. GT 16 ","in school","57","0.715536946613181","0.616674338629989","0.814399554596374"
"Never","1985","Couple + C. GT 16 ","inadequately","130","0.952191936210446","0.916066881033189","0.988316991387703"
"Never","1985","Couple + C. GT 16 ","general elemantary","477","0.773395769584451","0.73998208738261","0.806809451786292"
"Never","1985","Couple + C. GT 16 ","middle vocational","670","0.719481649078796","0.690356678693758","0.748606619463834"
"Never","1985","Couple + C. GT 16 ","vocational + Abi","26","","",""
"Never","1985","Couple + C. GT 16 ","higher vocational","62","0.623180585239836","0.528202877510403","0.718158292969269"
"Never","1985","Couple + C. GT 16 ","higher education","63","0.539363802905865","0.445357679669644","0.633369926142087"
"Never","1985","Couple + C. LE and GT 16","in school","55","0.715985769881992","0.615263623032259","0.816707916731725"
"Never","1985","Couple + C. LE and GT 16","inadequately","186","0.943606665193733","0.911475617672106","0.975737712715361"
"Never","1985","Couple + C. LE and GT 16","general elemantary","411","0.766304134603648","0.729174222852049","0.803434046355246"
"Never","1985","Couple + C. LE and GT 16","middle vocational","397","0.637710396358227","0.598354440533519","0.677066352182935"
"Never","1985","Couple + C. LE and GT 16","vocational + Abi","10","","",""
"Never","1985","Couple + C. LE and GT 16","higher vocational","19","","",""
"Never","1985","Couple + C. LE and GT 16","higher education","17","","",""
"Daily","1986","1-pers.-HH","in school","","","",""
"Daily","1986","1-pers.-HH","inadequately","","","",""
"Daily","1986","1-pers.-HH","general elemantary","","","",""
"Daily","1986","1-pers.-HH","middle vocational","","","",""
"Daily","1986","1-pers.-HH","vocational + Abi","","","",""
"Daily","1986","1-pers.-HH","higher vocational","","","",""
"Daily","1986","1-pers.-HH","higher education","","","",""
"Daily","1986","(Married) couple without C. ","in school","","","",""
"Daily","1986","(Married) couple without C. ","inadequately","","","",""
"Daily","1986","(Married) couple without C. ","general elemantary","","","",""
"Daily","1986","(Married) couple without C. ","middle vocational","","","",""
"Daily","1986","(Married) couple without C. ","vocational + Abi","","","",""
"Daily","1986","(Married) couple without C. ","higher vocational","","","",""
"Daily","1986","(Married) couple without C. ","higher education","","","",""
"Daily","1986","Single parent ","in school","","","",""
"Daily","1986","Single parent ","inadequately","","","",""
"Daily","1986","Single parent ","general elemantary","","","",""
"Daily","1986","Single parent ","middle vocational","","","",""
"Daily","1986","Single parent ","vocational + Abi","","","",""
"Daily","1986","Single parent ","higher vocational","","","",""
"Daily","1986","Single parent ","higher education","","","",""
"Daily","1986","Couple + C. LE 16 ","in school","","","",""
"Daily","1986","Couple + C. LE 16 ","inadequately","","","",""
"Daily","1986","Couple + C. LE 16 ","general elemantary","","","",""
"Daily","1986","Couple + C. LE 16 ","middle vocational","","","",""
"Daily","1986","Couple + C. LE 16 ","vocational + Abi","","","",""
"Daily","1986","Couple + C. LE 16 ","higher vocational","","","",""
"Daily","1986","Couple + C. LE 16 ","higher education","","","",""
"Daily","1986","Couple + C. GT 16 ","in school","","","",""
"Daily","1986","Couple + C. GT 16 ","inadequately","","","",""
"Daily","1986","Couple + C. GT 16 ","general elemantary","","","",""
"Daily","1986","Couple + C. GT 16 ","middle vocational","","","",""
"Daily","1986","Couple + C. GT 16 ","vocational + Abi","","","",""
"Daily","1986","Couple + C. GT 16 ","higher vocational","","","",""
"Daily","1986","Couple + C. GT 16 ","higher education","","","",""
"Daily","1986","Couple + C. LE and GT 16","in school","","","",""
"Daily","1986","Couple + C. LE and GT 16","inadequately","","","",""
"Daily","1986","Couple + C. LE and GT 16","general elemantary","","","",""
"Daily","1986","Couple + C. LE and GT 16","middle vocational","","","",""
"Daily","1986","Couple + C. LE and GT 16","vocational + Abi","","","",""
"Daily","1986","Couple + C. LE and GT 16","higher vocational","","","",""
"Daily","1986","Couple + C. LE and GT 16","higher education","","","",""
"Min 1x per week","1986","1-pers.-HH","in school","","","",""
"Min 1x per week","1986","1-pers.-HH","inadequately","3","","",""
"Min 1x per week","1986","1-pers.-HH","general elemantary","13","","",""
"Min 1x per week","1986","1-pers.-HH","middle vocational","38","0.0641871330292036","0.0435348554506309","0.0848394106077762"
"Min 1x per week","1986","1-pers.-HH","vocational + Abi","3","","",""
"Min 1x per week","1986","1-pers.-HH","higher vocational","5","","",""
"Min 1x per week","1986","1-pers.-HH","higher education","14","","",""
"Min 1x per week","1986","(Married) couple without C. ","in school","","","",""
"Min 1x per week","1986","(Married) couple without C. ","inadequately","2","","",""
"Min 1x per week","1986","(Married) couple without C. ","general elemantary","17","","",""
"Min 1x per week","1986","(Married) couple without C. ","middle vocational","92","0.0790147115353179","0.064054174011018","0.0939752490596179"
"Min 1x per week","1986","(Married) couple without C. ","vocational + Abi","7","","",""
"Min 1x per week","1986","(Married) couple without C. ","higher vocational","16","","",""
"Min 1x per week","1986","(Married) couple without C. ","higher education","24","","",""
"Min 1x per week","1986","Single parent ","in school","3","","",""
"Min 1x per week","1986","Single parent ","inadequately","","","",""
"Min 1x per week","1986","Single parent ","general elemantary","9","","",""
"Min 1x per week","1986","Single parent ","middle vocational","18","","",""
"Min 1x per week","1986","Single parent ","vocational + Abi","1","","",""
"Min 1x per week","1986","Single parent ","higher vocational","1","","",""
"Min 1x per week","1986","Single parent ","higher education","1","","",""
