"pli0096_h","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","Schleswig-Holstein","in school","","","","","1"
"Daily","1985","Schleswig-Holstein","inadequately","","","","","1"
"Daily","1985","Schleswig-Holstein","general elemantary","","","","","1"
"Daily","1985","Schleswig-Holstein","middle vocational","","","","","1"
"Daily","1985","Schleswig-Holstein","vocational + Abi","","","","","1"
"Daily","1985","Schleswig-Holstein","higher vocational","","","","","1"
"Daily","1985","Schleswig-Holstein","higher education","","","","","1"
"Daily","1985","Hamburg","in school","","","","","1"
"Daily","1985","Hamburg","inadequately","","","","","1"
"Daily","1985","Hamburg","general elemantary","","","","","1"
"Daily","1985","Hamburg","middle vocational","","","","","1"
"Daily","1985","Hamburg","vocational + Abi","","","","","1"
"Daily","1985","Hamburg","higher vocational","","","","","1"
"Daily","1985","Hamburg","higher education","","","","","1"
"Daily","1985","Lower Saxony","in school","","","","","1"
"Daily","1985","Lower Saxony","inadequately","","","","","1"
"Daily","1985","Lower Saxony","general elemantary","","","","","1"
"Daily","1985","Lower Saxony","middle vocational","","","","","1"
"Daily","1985","Lower Saxony","vocational + Abi","","","","","1"
"Daily","1985","Lower Saxony","higher vocational","","","","","1"
"Daily","1985","Lower Saxony","higher education","","","","","1"
"Daily","1985","Bremen","in school","","","","","1"
"Daily","1985","Bremen","inadequately","","","","","1"
"Daily","1985","Bremen","general elemantary","","","","","1"
"Daily","1985","Bremen","middle vocational","","","","","1"
"Daily","1985","Bremen","vocational + Abi","","","","","1"
"Daily","1985","Bremen","higher vocational","","","","","1"
"Daily","1985","Bremen","higher education","","","","","1"
"Daily","1985","North Rhine-Westphalia","in school","","","","","1"
"Daily","1985","North Rhine-Westphalia","inadequately","","","","","1"
"Daily","1985","North Rhine-Westphalia","general elemantary","","","","","1"
"Daily","1985","North Rhine-Westphalia","middle vocational","","","","","1"
"Daily","1985","North Rhine-Westphalia","vocational + Abi","","","","","1"
"Daily","1985","North Rhine-Westphalia","higher vocational","","","","","1"
"Daily","1985","North Rhine-Westphalia","higher education","","","","","1"
"Daily","1985","Hesse","in school","","","","","1"
"Daily","1985","Hesse","inadequately","","","","","1"
"Daily","1985","Hesse","general elemantary","","","","","1"
"Daily","1985","Hesse","middle vocational","","","","","1"
"Daily","1985","Hesse","vocational + Abi","","","","","1"
"Daily","1985","Hesse","higher vocational","","","","","1"
"Daily","1985","Hesse","higher education","","","","","1"
"Daily","1985","Rhineland-Palatinate,Saarland","in school","","","","","1"
"Daily","1985","Rhineland-Palatinate,Saarland","inadequately","","","","","1"
"Daily","1985","Rhineland-Palatinate,Saarland","general elemantary","","","","","1"
"Daily","1985","Rhineland-Palatinate,Saarland","middle vocational","","","","","1"
"Daily","1985","Rhineland-Palatinate,Saarland","vocational + Abi","","","","","1"
"Daily","1985","Rhineland-Palatinate,Saarland","higher vocational","","","","","1"
"Daily","1985","Rhineland-Palatinate,Saarland","higher education","","","","","1"
"Daily","1985","Baden-Württemberg","in school","","","","","1"
"Daily","1985","Baden-Württemberg","inadequately","","","","","1"
"Daily","1985","Baden-Württemberg","general elemantary","","","","","1"
"Daily","1985","Baden-Württemberg","middle vocational","","","","","1"
"Daily","1985","Baden-Württemberg","vocational + Abi","","","","","1"
"Daily","1985","Baden-Württemberg","higher vocational","","","","","1"
"Daily","1985","Baden-Württemberg","higher education","","","","","1"
"Daily","1985","Bavaria","in school","","","","","1"
"Daily","1985","Bavaria","inadequately","","","","","1"
"Daily","1985","Bavaria","general elemantary","","","","","1"
"Daily","1985","Bavaria","middle vocational","","","","","1"
"Daily","1985","Bavaria","vocational + Abi","","","","","1"
"Daily","1985","Bavaria","higher vocational","","","","","1"
"Daily","1985","Bavaria","higher education","","","","","1"
