"pli0096_h","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Daily","1985","16-34 y.","lower secondary degree","","","",""
"Daily","1985","16-34 y.","secondary school degree","","","",""
"Daily","1985","16-34 y.","college entrance qualification","","","",""
"Daily","1985","16-34 y.","Other degree","","","",""
"Daily","1985","16-34 y.","no degree/no degree yet","","","",""
"Daily","1985","35-65 y.","lower secondary degree","","","",""
"Daily","1985","35-65 y.","secondary school degree","","","",""
"Daily","1985","35-65 y.","college entrance qualification","","","",""
"Daily","1985","35-65 y.","Other degree","","","",""
"Daily","1985","35-65 y.","no degree/no degree yet","","","",""
"Daily","1985","66 and older","lower secondary degree","","","",""
"Daily","1985","66 and older","secondary school degree","","","",""
"Daily","1985","66 and older","college entrance qualification","","","",""
"Daily","1985","66 and older","Other degree","","","",""
"Daily","1985","66 and older","no degree/no degree yet","","","",""
"Min 1x per week","1985","16-34 y.","lower secondary degree","91","0.0630599714276365","0.0511867672940884","0.0749331755611846"
"Min 1x per week","1985","16-34 y.","secondary school degree","107","0.108348689119977","0.0888687309276693","0.127828647312285"
"Min 1x per week","1985","16-34 y.","college entrance qualification","73","0.125409216850695","0.0996299454877961","0.151188488213594"
"Min 1x per week","1985","16-34 y.","Other degree","","","",""
"Min 1x per week","1985","16-34 y.","no degree/no degree yet","","","",""
"Min 1x per week","1985","35-65 y.","lower secondary degree","254","0.0851600045749838","0.0751233916650216","0.095196617484946"
"Min 1x per week","1985","35-65 y.","secondary school degree","96","0.132715091959007","0.107864735049943","0.157565448868072"
"Min 1x per week","1985","35-65 y.","college entrance qualification","64","0.132247950445883","0.102344801054407","0.16215109983736"
"Min 1x per week","1985","35-65 y.","Other degree","","","",""
"Min 1x per week","1985","35-65 y.","no degree/no degree yet","","","",""
"Min 1x per week","1985","66 and older","lower secondary degree","31","0.0377501113349923","0.0246731733310185","0.050827049338966"
"Min 1x per week","1985","66 and older","secondary school degree","","","",""
"Min 1x per week","1985","66 and older","college entrance qualification","","","",""
"Min 1x per week","1985","66 and older","Other degree","","","",""
"Min 1x per week","1985","66 and older","no degree/no degree yet","","","",""
"Min 1x per month","1985","16-34 y.","lower secondary degree","75","0.0517719035510969","0.0409491285585011","0.0625946785436926"
"Min 1x per month","1985","16-34 y.","secondary school degree","56","0.0607942602704156","0.0458184502577952","0.0757700702830361"
"Min 1x per month","1985","16-34 y.","college entrance qualification","40","0.0641042494715689","0.0450382046485948","0.0831702942945429"
"Min 1x per month","1985","16-34 y.","Other degree","","","",""
"Min 1x per month","1985","16-34 y.","no degree/no degree yet","","","",""
"Min 1x per month","1985","35-65 y.","lower secondary degree","220","0.0717790659628634","0.062497498068725","0.0810606338570018"
"Min 1x per month","1985","35-65 y.","secondary school degree","70","0.0945077297330074","0.0730804214089767","0.115935038057038"
"Min 1x per month","1985","35-65 y.","college entrance qualification","71","0.1419085653562","0.111105373588068","0.172711757124331"
"Min 1x per month","1985","35-65 y.","Other degree","","","",""
"Min 1x per month","1985","35-65 y.","no degree/no degree yet","","","",""
"Min 1x per month","1985","66 and older","lower secondary degree","","","",""
"Min 1x per month","1985","66 and older","secondary school degree","","","",""
"Min 1x per month","1985","66 and older","college entrance qualification","","","",""
"Min 1x per month","1985","66 and older","Other degree","","","",""
"Min 1x per month","1985","66 and older","no degree/no degree yet","","","",""
"Rarely","1985","16-34 y.","lower secondary degree","136","0.0857792145937224","0.0721002970622034","0.0994581321252414"
"Rarely","1985","16-34 y.","secondary school degree","100","0.103984701853631","0.0848544317729289","0.123114971934333"
"Rarely","1985","16-34 y.","college entrance qualification","69","0.113070016468097","0.0884197363835516","0.137720296552643"
"Rarely","1985","16-34 y.","Other degree","","","",""
"Rarely","1985","16-34 y.","no degree/no degree yet","","","",""
"Rarely","1985","35-65 y.","lower secondary degree","263","0.0860146620357848","0.0759325243695944","0.0960967997019752"
"Rarely","1985","35-65 y.","secondary school degree","72","0.0984000484058824","0.0765829909297719","0.120217105881993"
"Rarely","1985","35-65 y.","college entrance qualification","62","0.122507853731937","0.0935658752617557","0.151449832202119"
