"pli0096_h","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Daily","1985","Schleswig-Holstein","no migration background","","","",""
"Daily","1985","Schleswig-Holstein","direct migration background","","","",""
"Daily","1985","Schleswig-Holstein","indirect migration background","","","",""
"Daily","1985","Hamburg","no migration background","","","",""
"Daily","1985","Hamburg","direct migration background","","","",""
"Daily","1985","Hamburg","indirect migration background","","","",""
"Daily","1985","Lower Saxony","no migration background","","","",""
"Daily","1985","Lower Saxony","direct migration background","","","",""
"Daily","1985","Lower Saxony","indirect migration background","","","",""
"Daily","1985","Bremen","no migration background","","","",""
"Daily","1985","Bremen","direct migration background","","","",""
"Daily","1985","Bremen","indirect migration background","","","",""
"Daily","1985","North Rhine-Westphalia","no migration background","","","",""
"Daily","1985","North Rhine-Westphalia","direct migration background","","","",""
"Daily","1985","North Rhine-Westphalia","indirect migration background","","","",""
"Daily","1985","Hesse","no migration background","","","",""
"Daily","1985","Hesse","direct migration background","","","",""
"Daily","1985","Hesse","indirect migration background","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","no migration background","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","direct migration background","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"Daily","1985","Baden-Württemberg","no migration background","","","",""
"Daily","1985","Baden-Württemberg","direct migration background","","","",""
"Daily","1985","Baden-Württemberg","indirect migration background","","","",""
"Daily","1985","Bavaria","no migration background","","","",""
"Daily","1985","Bavaria","direct migration background","","","",""
"Daily","1985","Bavaria","indirect migration background","","","",""
"Daily","1985","Berlin","no migration background","","","",""
"Daily","1985","Berlin","direct migration background","","","",""
"Daily","1985","Berlin","indirect migration background","","","",""
"Daily","1985","Brandenburg","no migration background","","","",""
"Daily","1985","Brandenburg","direct migration background","","","",""
"Daily","1985","Brandenburg","indirect migration background","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","no migration background","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Daily","1985","Saxony","no migration background","","","",""
"Daily","1985","Saxony","direct migration background","","","",""
"Daily","1985","Saxony","indirect migration background","","","",""
"Daily","1985","Saxony-Anhalt","no migration background","","","",""
"Daily","1985","Saxony-Anhalt","direct migration background","","","",""
"Daily","1985","Saxony-Anhalt","indirect migration background","","","",""
"Daily","1985","Thuringia","no migration background","","","",""
"Daily","1985","Thuringia","direct migration background","","","",""
"Daily","1985","Thuringia","indirect migration background","","","",""
"Min 1x per week","1985","Schleswig-Holstein","no migration background","19","","",""
"Min 1x per week","1985","Schleswig-Holstein","direct migration background","2","","",""
"Min 1x per week","1985","Schleswig-Holstein","indirect migration background","","","",""
"Min 1x per week","1985","Hamburg","no migration background","11","","",""
"Min 1x per week","1985","Hamburg","direct migration background","","","",""
"Min 1x per week","1985","Hamburg","indirect migration background","","","",""
"Min 1x per week","1985","Lower Saxony","no migration background","87","0.0919694871225237","0.0733364259838391","0.110602548261208"
"Min 1x per week","1985","Lower Saxony","direct migration background","7","","",""
"Min 1x per week","1985","Lower Saxony","indirect migration background","2","","",""
"Min 1x per week","1985","Bremen","no migration background","3","","",""
"Min 1x per week","1985","Bremen","direct migration background","","","",""
"Min 1x per week","1985","Bremen","indirect migration background","","","",""
"Min 1x per week","1985","North Rhine-Westphalia","no migration background","174","0.0811025585959768","0.069398789451273","0.0928063277406806"
"Min 1x per week","1985","North Rhine-Westphalia","direct migration background","20","","",""
"Min 1x per week","1985","North Rhine-Westphalia","indirect migration background","2","","",""
"Min 1x per week","1985","Hesse","no migration background","81","0.112084645675906","0.0886979778141097","0.135471313537703"
"Min 1x per week","1985","Hesse","direct migration background","8","","",""
"Min 1x per week","1985","Hesse","indirect migration background","","","",""
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","no migration background","57","0.0866252403699541","0.0645375250060265","0.108712955733882"
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","direct migration background","5","","",""
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"Min 1x per week","1985","Baden-Württemberg","no migration background","122","0.0945662211636541","0.0781127961629201","0.111019646164388"
"Min 1x per week","1985","Baden-Württemberg","direct migration background","25","","",""
"Min 1x per week","1985","Baden-Württemberg","indirect migration background","4","","",""
"Min 1x per week","1985","Bavaria","no migration background","138","0.0930697147093058","0.0781976163348107","0.107941813083801"
"Min 1x per week","1985","Bavaria","direct migration background","26","","",""
"Min 1x per week","1985","Bavaria","indirect migration background","2","","",""
"Min 1x per week","1985","Berlin","no migration background","19","","",""
"Min 1x per week","1985","Berlin","direct migration background","4","","",""
"Min 1x per week","1985","Berlin","indirect migration background","","","",""
"Min 1x per week","1985","Brandenburg","no migration background","","","",""
"Min 1x per week","1985","Brandenburg","direct migration background","","","",""
"Min 1x per week","1985","Brandenburg","indirect migration background","","","",""
"Min 1x per week","1985","Mecklenburg-Western Pomerania","no migration background","","","",""
"Min 1x per week","1985","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Min 1x per week","1985","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Min 1x per week","1985","Saxony","no migration background","","","",""
"Min 1x per week","1985","Saxony","direct migration background","","","",""
"Min 1x per week","1985","Saxony","indirect migration background","","","",""
"Min 1x per week","1985","Saxony-Anhalt","no migration background","","","",""
"Min 1x per week","1985","Saxony-Anhalt","direct migration background","","","",""
"Min 1x per week","1985","Saxony-Anhalt","indirect migration background","","","",""
"Min 1x per week","1985","Thuringia","no migration background","","","",""
"Min 1x per week","1985","Thuringia","direct migration background","","","",""
"Min 1x per week","1985","Thuringia","indirect migration background","","","",""
"Min 1x per month","1985","Schleswig-Holstein","no migration background","20","","",""
"Min 1x per month","1985","Schleswig-Holstein","direct migration background","2","","",""
"Min 1x per month","1985","Schleswig-Holstein","indirect migration background","","","",""
"Min 1x per month","1985","Hamburg","no migration background","9","","",""
"Min 1x per month","1985","Hamburg","direct migration background","1","","",""
"Min 1x per month","1985","Hamburg","indirect migration background","","","",""
"Min 1x per month","1985","Lower Saxony","no migration background","54","0.0538139794753625","0.0392644843478288","0.0683634746028962"
"Min 1x per month","1985","Lower Saxony","direct migration background","9","","",""
"Min 1x per month","1985","Lower Saxony","indirect migration background","","","",""
"Min 1x per month","1985","Bremen","no migration background","4","","",""
"Min 1x per month","1985","Bremen","direct migration background","","","",""
"Min 1x per month","1985","Bremen","indirect migration background","","","",""
"Min 1x per month","1985","North Rhine-Westphalia","no migration background","140","0.0637427425327807","0.0532693370181873","0.0742161480473741"
"Min 1x per month","1985","North Rhine-Westphalia","direct migration background","20","","",""
"Min 1x per month","1985","North Rhine-Westphalia","indirect migration background","","","",""
"Min 1x per month","1985","Hesse","no migration background","52","0.0717151262231543","0.052587744567131","0.0908425078791776"
"Min 1x per month","1985","Hesse","direct migration background","11","","",""
"Min 1x per month","1985","Hesse","indirect migration background","","","",""
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","no migration background","50","0.0765101666901678","0.0556374152653909","0.0973829181149447"
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","direct migration background","2","","",""
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"Min 1x per month","1985","Baden-Württemberg","no migration background","75","0.0599765486309112","0.0466253569360667","0.0733277403257556"
"Min 1x per month","1985","Baden-Württemberg","direct migration background","16","","",""
"Min 1x per month","1985","Baden-Württemberg","indirect migration background","","","",""
"Min 1x per month","1985","Bavaria","no migration background","118","0.0762784446324585","0.0626905378312715","0.0898663514336455"
"Min 1x per month","1985","Bavaria","direct migration background","13","","",""
"Min 1x per month","1985","Bavaria","indirect migration background","4","","",""
"Min 1x per month","1985","Berlin","no migration background","23","","",""
"Min 1x per month","1985","Berlin","direct migration background","","","",""
"Min 1x per month","1985","Berlin","indirect migration background","","","",""
"Min 1x per month","1985","Brandenburg","no migration background","","","",""
"Min 1x per month","1985","Brandenburg","direct migration background","","","",""
"Min 1x per month","1985","Brandenburg","indirect migration background","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","no migration background","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Min 1x per month","1985","Saxony","no migration background","","","",""
"Min 1x per month","1985","Saxony","direct migration background","","","",""
"Min 1x per month","1985","Saxony","indirect migration background","","","",""
"Min 1x per month","1985","Saxony-Anhalt","no migration background","","","",""
"Min 1x per month","1985","Saxony-Anhalt","direct migration background","","","",""
"Min 1x per month","1985","Saxony-Anhalt","indirect migration background","","","",""
"Min 1x per month","1985","Thuringia","no migration background","","","",""
"Min 1x per month","1985","Thuringia","direct migration background","","","",""
"Min 1x per month","1985","Thuringia","indirect migration background","","","",""
"Rarely","1985","Schleswig-Holstein","no migration background","21","","",""
"Rarely","1985","Schleswig-Holstein","direct migration background","2","","",""
"Rarely","1985","Schleswig-Holstein","indirect migration background","","","",""
"Rarely","1985","Hamburg","no migration background","9","","",""
"Rarely","1985","Hamburg","direct migration background","5","","",""
"Rarely","1985","Hamburg","indirect migration background","","","",""
"Rarely","1985","Lower Saxony","no migration background","73","0.0709559192316352","0.0544010947322402","0.0875107437310302"
"Rarely","1985","Lower Saxony","direct migration background","4","","",""
"Rarely","1985","Lower Saxony","indirect migration background","","","",""
"Rarely","1985","Bremen","no migration background","10","","",""
"Rarely","1985","Bremen","direct migration background","3","","",""
"Rarely","1985","Bremen","indirect migration background","","","",""
"Rarely","1985","North Rhine-Westphalia","no migration background","193","0.0862264192425564","0.0741922968990393","0.0982605415860736"
"Rarely","1985","North Rhine-Westphalia","direct migration background","36","0.0437313075251524","0.0295695213433847","0.0578930937069202"
"Rarely","1985","North Rhine-Westphalia","indirect migration background","3","","",""
"Rarely","1985","Hesse","no migration background","68","0.0944020352641242","0.0727265963294751","0.116077474198773"
"Rarely","1985","Hesse","direct migration background","10","","",""
"Rarely","1985","Hesse","indirect migration background","","","",""
"Rarely","1985","Rhineland-Palatinate,Saarland","no migration background","69","0.109633685378451","0.0851001331344161","0.134167237622486"
"Rarely","1985","Rhineland-Palatinate,Saarland","direct migration background","4","","",""
"Rarely","1985","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"Rarely","1985","Baden-Württemberg","no migration background","120","0.0950015706351565","0.078514281373145","0.111488859897168"
"Rarely","1985","Baden-Württemberg","direct migration background","36","0.0861717542292063","0.0666036252949568","0.105739883163456"
"Rarely","1985","Baden-Württemberg","indirect migration background","3","","",""
"Rarely","1985","Bavaria","no migration background","140","0.0912988143870026","0.0765545122384687","0.106043116535536"
"Rarely","1985","Bavaria","direct migration background","18","","",""
"Rarely","1985","Bavaria","indirect migration background","1","","",""
"Rarely","1985","Berlin","no migration background","17","","",""
"Rarely","1985","Berlin","direct migration background","3","","",""
"Rarely","1985","Berlin","indirect migration background","1","","",""
"Rarely","1985","Brandenburg","no migration background","","","",""
"Rarely","1985","Brandenburg","direct migration background","","","",""
"Rarely","1985","Brandenburg","indirect migration background","","","",""
"Rarely","1985","Mecklenburg-Western Pomerania","no migration background","","","",""
"Rarely","1985","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Rarely","1985","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Rarely","1985","Saxony","no migration background","","","",""
"Rarely","1985","Saxony","direct migration background","","","",""
"Rarely","1985","Saxony","indirect migration background","","","",""
"Rarely","1985","Saxony-Anhalt","no migration background","","","",""
"Rarely","1985","Saxony-Anhalt","direct migration background","","","",""
"Rarely","1985","Saxony-Anhalt","indirect migration background","","","",""
"Rarely","1985","Thuringia","no migration background","","","",""
"Rarely","1985","Thuringia","direct migration background","","","",""
"Rarely","1985","Thuringia","indirect migration background","","","",""
"Never","1985","Schleswig-Holstein","no migration background","246","0.816411627781575","0.773034124216809","0.85978913134634"
"Never","1985","Schleswig-Holstein","direct migration background","33","0.745282761557398","0.608539638536168","0.882025884578627"
"Never","1985","Schleswig-Holstein","indirect migration background","1","","",""
"Never","1985","Hamburg","no migration background","175","0.874012186385472","0.828476066586043","0.919548306184902"
"Never","1985","Hamburg","direct migration background","63","0.870460569585571","0.791228848699814","0.949692290471327"
"Never","1985","Hamburg","indirect migration background","2","","",""
"Never","1985","Lower Saxony","no migration background","710","0.783260614170479","0.75669412475889","0.809827103582067"
"Never","1985","Lower Saxony","direct migration background","134","0.853835848780054","0.79804083906299","0.909630858497118"
"Never","1985","Lower Saxony","indirect migration background","6","","",""
"Never","1985","Bremen","no migration background","72","0.824614838789038","0.745606108296781","0.903623569281296"
"Never","1985","Bremen","direct migration background","23","","",""
"Never","1985","Bremen","indirect migration background","","","",""
