"pli0096_h","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1985","lower secondary degree","in school","","","",""
"Daily","1985","lower secondary degree","inadequately","","","",""
"Daily","1985","lower secondary degree","general elemantary","","","",""
"Daily","1985","lower secondary degree","middle vocational","","","",""
"Daily","1985","lower secondary degree","vocational + Abi","","","",""
"Daily","1985","lower secondary degree","higher vocational","","","",""
"Daily","1985","lower secondary degree","higher education","","","",""
"Daily","1985","secondary school degree","in school","","","",""
"Daily","1985","secondary school degree","inadequately","","","",""
"Daily","1985","secondary school degree","general elemantary","","","",""
"Daily","1985","secondary school degree","middle vocational","","","",""
"Daily","1985","secondary school degree","vocational + Abi","","","",""
"Daily","1985","secondary school degree","higher vocational","","","",""
"Daily","1985","secondary school degree","higher education","","","",""
"Daily","1985","college entrance qualification","in school","","","",""
"Daily","1985","college entrance qualification","inadequately","","","",""
"Daily","1985","college entrance qualification","general elemantary","","","",""
"Daily","1985","college entrance qualification","middle vocational","","","",""
"Daily","1985","college entrance qualification","vocational + Abi","","","",""
"Daily","1985","college entrance qualification","higher vocational","","","",""
"Daily","1985","college entrance qualification","higher education","","","",""
"Daily","1985","Other degree","in school","","","",""
"Daily","1985","Other degree","inadequately","","","",""
"Daily","1985","Other degree","general elemantary","","","",""
"Daily","1985","Other degree","middle vocational","","","",""
"Daily","1985","Other degree","vocational + Abi","","","",""
"Daily","1985","Other degree","higher vocational","","","",""
"Daily","1985","Other degree","higher education","","","",""
"Daily","1985","no degree/no degree yet","in school","","","",""
"Daily","1985","no degree/no degree yet","inadequately","","","",""
"Daily","1985","no degree/no degree yet","general elemantary","","","",""
"Daily","1985","no degree/no degree yet","middle vocational","","","",""
"Daily","1985","no degree/no degree yet","vocational + Abi","","","",""
"Daily","1985","no degree/no degree yet","higher vocational","","","",""
"Daily","1985","no degree/no degree yet","higher education","","","",""
"Min 1x per week","1985","lower secondary degree","in school","","","",""
"Min 1x per week","1985","lower secondary degree","inadequately","","","",""
"Min 1x per week","1985","lower secondary degree","general elemantary","77","0.040617847922941","0.0318763643651312","0.0493593314807509"
"Min 1x per week","1985","lower secondary degree","middle vocational","265","0.0832391032574026","0.0735723069284654","0.0929058995863398"
"Min 1x per week","1985","lower secondary degree","vocational + Abi","","","",""
"Min 1x per week","1985","lower secondary degree","higher vocational","31","0.117486274876863","0.0793597597998346","0.155612789953891"
"Min 1x per week","1985","lower secondary degree","higher education","","","",""
"Min 1x per week","1985","secondary school degree","in school","","","",""
"Min 1x per week","1985","secondary school degree","inadequately","","","",""
"Min 1x per week","1985","secondary school degree","general elemantary","58","0.120790334480441","0.0912969923682943","0.150283676592588"
