"pli0096_h","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"Never","1985","higher vocational","412","0.681473235290655","0.644500588608817","0.718445881972494"
"Never","1985","higher education","479","0.643538461575609","0.609169036309801","0.677907886841417"
"Daily","1986","in school","","","",""
"Daily","1986","inadequately","","","",""
"Daily","1986","general elemantary","","","",""
"Daily","1986","middle vocational","","","",""
"Daily","1986","vocational + Abi","","","",""
"Daily","1986","higher vocational","","","",""
"Daily","1986","higher education","","","",""
"Min 1x per week","1986","in school","","","",""
"Min 1x per week","1986","inadequately","","","",""
"Min 1x per week","1986","general elemantary","128","0.0528360423117922","0.0446630626604275","0.0610090219631569"
"Min 1x per week","1986","middle vocational","423","0.0884317301524137","0.0805287026976637","0.0963347576071636"
"Min 1x per week","1986","vocational + Abi","","","",""
"Min 1x per week","1986","higher vocational","59","0.0976173667288976","0.0733372341855325","0.121897499272263"
"Min 1x per week","1986","higher education","95","0.124990937375454","0.101195610422399","0.148786264328509"
"Min 1x per month","1986","in school","","","",""
"Min 1x per month","1986","inadequately","","","",""
"Min 1x per month","1986","general elemantary","112","0.0455831906385326","0.0379628550685711","0.0532035262084941"
"Min 1x per month","1986","middle vocational","350","0.0720812129001603","0.0648824004911974","0.0792800253091232"
"Min 1x per month","1986","vocational + Abi","","","",""
"Min 1x per month","1986","higher vocational","57","0.0917695203127285","0.0681517218749222","0.115387318750535"
"Min 1x per month","1986","higher education","74","0.0954007854113662","0.0742634510853139","0.116538119737418"
"Rarely","1986","in school","","","",""
"Rarely","1986","inadequately","","","",""
"Rarely","1986","general elemantary","182","0.0632169836245882","0.0543262195621119","0.0721077476870645"
"Rarely","1986","middle vocational","379","0.0773383615485265","0.0699028038930736","0.0847739192039794"
"Rarely","1986","vocational + Abi","30","0.120330161169175","0.0819470079197992","0.15871331441855"
"Rarely","1986","higher vocational","57","0.0929185600709754","0.0691684011085439","0.116668719033407"
"Rarely","1986","higher education","77","0.109505939208075","0.0870371076128461","0.131974770803304"
"Never","1986","in school","149","0.831614941859556","0.777691805503255","0.885538078215857"
"Never","1986","inadequately","733","0.93624211483081","0.919129032170251","0.953355197491369"
"Never","1986","general elemantary","2456","0.838363783425087","0.824914836216498","0.851812730633676"
"Never","1986","middle vocational","3806","0.7621486953989","0.7502973554986","0.774000035299199"
"Never","1986","vocational + Abi","208","0.736551340490048","0.684582496223336","0.78852018475676"
"Never","1986","higher vocational","401","0.717694552887398","0.680871346774729","0.754517759000067"
"Never","1986","higher education","496","0.670102338005105","0.636272001020508","0.703932674989702"
"Daily","1987","in school","","","",""
"Daily","1987","inadequately","","","",""
"Daily","1987","general elemantary","","","",""
"Daily","1987","middle vocational","","","",""
"Daily","1987","vocational + Abi","","","",""
"Daily","1987","higher vocational","","","",""
"Daily","1987","higher education","","","",""
"Min 1x per week","1987","in school","","","",""
"Min 1x per week","1987","inadequately","","","",""
"Min 1x per week","1987","general elemantary","","","",""
"Min 1x per week","1987","middle vocational","","","",""
"Min 1x per week","1987","vocational + Abi","","","",""
"Min 1x per week","1987","higher vocational","","","",""
"Min 1x per week","1987","higher education","","","",""
"Min 1x per month","1987","in school","","","",""
"Min 1x per month","1987","inadequately","","","",""
"Min 1x per month","1987","general elemantary","","","",""
"Min 1x per month","1987","middle vocational","","","",""
"Min 1x per month","1987","vocational + Abi","","","",""
"Min 1x per month","1987","higher vocational","","","",""
"Min 1x per month","1987","higher education","","","",""
"Rarely","1987","in school","","","",""
"Rarely","1987","inadequately","","","",""
"Rarely","1987","general elemantary","","","",""
"Rarely","1987","middle vocational","","","",""
"Rarely","1987","vocational + Abi","","","",""
"Rarely","1987","higher vocational","","","",""
"Rarely","1987","higher education","","","",""
"Never","1987","in school","","","",""
"Never","1987","inadequately","","","",""
"Never","1987","general elemantary","","","",""
"Never","1987","middle vocational","","","",""
"Never","1987","vocational + Abi","","","",""
"Never","1987","higher vocational","","","",""
"Never","1987","higher education","","","",""
"Daily","1988","in school","","","",""
"Daily","1988","inadequately","","","",""
"Daily","1988","general elemantary","","","",""
"Daily","1988","middle vocational","","","",""
"Daily","1988","vocational + Abi","","","",""
"Daily","1988","higher vocational","","","",""
"Daily","1988","higher education","","","",""
"Min 1x per week","1988","in school","","","",""
"Min 1x per week","1988","inadequately","","","",""
"Min 1x per week","1988","general elemantary","158","0.0617703586853816","0.052699908737004","0.0708408086337592"
"Min 1x per week","1988","middle vocational","415","0.0908842205166767","0.0826594662625337","0.0991089747708198"
"Min 1x per week","1988","vocational + Abi","","","",""
"Min 1x per week","1988","higher vocational","63","0.120936879256921","0.09330816918601","0.148565589327833"
"Min 1x per week","1988","higher education","99","0.144304186571572","0.118198047914642","0.170410325228502"
"Min 1x per month","1988","in school","","","",""
"Min 1x per month","1988","inadequately","","","",""
"Min 1x per month","1988","general elemantary","111","0.0460500286617331","0.0381530321358201","0.0539470251876461"
"Min 1x per month","1988","middle vocational","334","0.0721838971082027","0.0647789799404109","0.0795888142759945"
"Min 1x per month","1988","vocational + Abi","","","",""
"Min 1x per month","1988","higher vocational","52","0.08891105188842","0.064793708699515","0.113028395077325"
"Min 1x per month","1988","higher education","77","0.107317598642567","0.0843229154306176","0.130312281854517"
"Rarely","1988","in school","","","",""
"Rarely","1988","inadequately","","","",""
"Rarely","1988","general elemantary","170","0.0689468702825735","0.0594007103624056","0.0784930302027415"
"Rarely","1988","middle vocational","446","0.0961293262786061","0.0876950040979381","0.104563648459274"
"Rarely","1988","vocational + Abi","","","",""
"Rarely","1988","higher vocational","72","0.134653332017261","0.105728235606932","0.163578428427591"
"Rarely","1988","higher education","84","0.123625909043305","0.0991722988455505","0.148079519241059"
"Never","1988","in school","119","0.754907536797706","0.688257566746914","0.821557506848497"
"Never","1988","inadequately","658","0.926170572360582","0.90679924810927","0.945541896611893"
"Never","1988","general elemantary","2267","0.823232742370312","0.808859775495074","0.83760570924555"
"Never","1988","middle vocational","3497","0.740802556096515","0.728264341964909","0.75334077022812"
"Never","1988","vocational + Abi","202","0.750511858179954","0.698705337334615","0.802318379025292"
"Never","1988","higher vocational","348","0.655498736837397","0.615231434185944","0.695766039488851"
"Never","1988","higher education","436","0.624752305742556","0.588780981909875","0.660723629575237"
"Daily","1989","in school","","","",""
"Daily","1989","inadequately","","","",""
"Daily","1989","general elemantary","","","",""
"Daily","1989","middle vocational","","","",""
"Daily","1989","vocational + Abi","","","",""
"Daily","1989","higher vocational","","","",""
"Daily","1989","higher education","","","",""
"Min 1x per week","1989","in school","","","",""
"Min 1x per week","1989","inadequately","","","",""
"Min 1x per week","1989","general elemantary","","","",""
"Min 1x per week","1989","middle vocational","","","",""
"Min 1x per week","1989","vocational + Abi","","","",""
"Min 1x per week","1989","higher vocational","","","",""
"Min 1x per week","1989","higher education","","","",""
"Min 1x per month","1989","in school","","","",""
"Min 1x per month","1989","inadequately","","","",""
"Min 1x per month","1989","general elemantary","","","",""
"Min 1x per month","1989","middle vocational","","","",""
"Min 1x per month","1989","vocational + Abi","","","",""
"Min 1x per month","1989","higher vocational","","","",""
"Min 1x per month","1989","higher education","","","",""
"Rarely","1989","in school","","","",""
"Rarely","1989","inadequately","","","",""
"Rarely","1989","general elemantary","","","",""
"Rarely","1989","middle vocational","","","",""
"Rarely","1989","vocational + Abi","","","",""
"Rarely","1989","higher vocational","","","",""
"Rarely","1989","higher education","","","",""
"Never","1989","in school","","","",""
"Never","1989","inadequately","","","",""
"Never","1989","general elemantary","","","",""
"Never","1989","middle vocational","","","",""
"Never","1989","vocational + Abi","","","",""
"Never","1989","higher vocational","","","",""
"Never","1989","higher education","","","",""
"Daily","1990","in school","","","",""
"Daily","1990","inadequately","","","",""
"Daily","1990","general elemantary","","","",""
"Daily","1990","middle vocational","53","0.0108373575379307","0.00841500715147659","0.0132597079243849"
"Daily","1990","vocational + Abi","","","",""
"Daily","1990","higher vocational","","","",""
"Daily","1990","higher education","","","",""
"Min 1x per week","1990","in school","","","",""
"Min 1x per week","1990","inadequately","","","",""
"Min 1x per week","1990","general elemantary","131","0.0499501118405926","0.0421208819229072","0.0577793417582779"
"Min 1x per week","1990","middle vocational","462","0.0710650551779659","0.0650538422996971","0.0770762680562348"
"Min 1x per week","1990","vocational + Abi","","","",""
"Min 1x per week","1990","higher vocational","71","0.0882815524296472","0.068229895150112","0.108333209709182"
"Min 1x per week","1990","higher education","185","0.111621707592583","0.0965322572367043","0.126711157948461"
"Min 1x per month","1990","in school","","","",""
"Min 1x per month","1990","inadequately","","","",""
"Min 1x per month","1990","general elemantary","118","0.0448736960473703","0.0374331650092174","0.0523142270855233"
"Min 1x per month","1990","middle vocational","551","0.0773241963184221","0.0710750069912938","0.0835733856455503"
"Min 1x per month","1990","vocational + Abi","","","",""
"Min 1x per month","1990","higher vocational","107","0.117522950352572","0.0947616026165868","0.140284298088557"
"Min 1x per month","1990","higher education","268","0.141261267503474","0.124571810931407","0.15795072407554"
"Rarely","1990","in school","","","",""
"Rarely","1990","inadequately","33","0.0731175460452476","0.0530425732162406","0.0931925188742545"
"Rarely","1990","general elemantary","233","0.0826348455965549","0.0727395143059618","0.0925301768871481"
"Rarely","1990","middle vocational","795","0.11582872702772","0.108341556047044","0.123315898008395"
"Rarely","1990","vocational + Abi","50","0.131299982689704","0.0969340301717153","0.165665935207693"
"Rarely","1990","higher vocational","102","0.139589159294597","0.115094934246005","0.164083384343189"
"Rarely","1990","higher education","284","0.171255536649776","0.153203227967533","0.18930784533202"
"Never","1990","in school","152","0.733343146425155","0.670955381012958","0.795730911837353"
"Never","1990","inadequately","598","0.903165498195843","0.88036047267097","0.925970523720715"
"Never","1990","general elemantary","2474","0.8163437648031","0.802427682531913","0.830259847074286"
"Never","1990","middle vocational","5157","0.724944663937962","0.714497368525895","0.735391959350029"
"Never","1990","vocational + Abi","271","0.733987369746398","0.689024237437141","0.778950502055656"
"Never","1990","higher vocational","477","0.636352321106539","0.602352694514943","0.670351947698135"
"Never","1990","higher education","932","0.571158038929157","0.547442832785099","0.594873245073215"
"Daily","1991","in school","","","",""
"Daily","1991","inadequately","","","",""
"Daily","1991","general elemantary","","","",""
"Daily","1991","middle vocational","","","",""
"Daily","1991","vocational + Abi","","","",""
"Daily","1991","higher vocational","","","",""
"Daily","1991","higher education","","","",""
"Min 1x per week","1991","in school","","","",""
"Min 1x per week","1991","inadequately","","","",""
"Min 1x per week","1991","general elemantary","","","",""
"Min 1x per week","1991","middle vocational","","","",""
"Min 1x per week","1991","vocational + Abi","","","",""
"Min 1x per week","1991","higher vocational","","","",""
"Min 1x per week","1991","higher education","","","",""
"Min 1x per month","1991","in school","","","",""
"Min 1x per month","1991","inadequately","","","",""
"Min 1x per month","1991","general elemantary","","","",""
"Min 1x per month","1991","middle vocational","","","",""
"Min 1x per month","1991","vocational + Abi","","","",""
"Min 1x per month","1991","higher vocational","","","",""
"Min 1x per month","1991","higher education","","","",""
"Rarely","1991","in school","","","",""
"Rarely","1991","inadequately","","","",""
"Rarely","1991","general elemantary","","","",""
"Rarely","1991","middle vocational","","","",""
"Rarely","1991","vocational + Abi","","","",""
"Rarely","1991","higher vocational","","","",""
"Rarely","1991","higher education","","","",""
"Never","1991","in school","","","",""
"Never","1991","inadequately","","","",""
"Never","1991","general elemantary","","","",""
"Never","1991","middle vocational","","","",""
"Never","1991","vocational + Abi","","","",""
"Never","1991","higher vocational","","","",""
"Never","1991","higher education","","","",""
"Daily","1992","in school","","","",""
"Daily","1992","inadequately","","","",""
"Daily","1992","general elemantary","","","",""
"Daily","1992","middle vocational","","","",""
"Daily","1992","vocational + Abi","","","",""
"Daily","1992","higher vocational","","","",""
"Daily","1992","higher education","","","",""
"Min 1x per week","1992","in school","","","",""
"Min 1x per week","1992","inadequately","","","",""
"Min 1x per week","1992","general elemantary","109","0.0438013953186373","0.0361732571870155","0.0514295334502592"
"Min 1x per week","1992","middle vocational","414","0.0671551888167177","0.0611427135908679","0.0731676640425674"
"Min 1x per week","1992","vocational + Abi","","","",""
"Min 1x per week","1992","higher vocational","68","0.094593995114763","0.0737876995235291","0.115400290705997"
"Min 1x per week","1992","higher education","125","0.0807279373110338","0.0675715924081204","0.0938842822139472"
"Min 1x per month","1992","in school","","","",""
"Min 1x per month","1992","inadequately","","","",""
"Min 1x per month","1992","general elemantary","105","0.0433443078126617","0.0357542621424185","0.0509343534829049"
"Min 1x per month","1992","middle vocational","389","0.064169682098236","0.0582829765661764","0.0700563876302956"
"Min 1x per month","1992","vocational + Abi","","","",""
"Min 1x per month","1992","higher vocational","75","0.0841447456076973","0.0644083329748567","0.103881158240538"
"Min 1x per month","1992","higher education","173","0.102576631561344","0.0879237109966161","0.117229552126072"
"Rarely","1992","in school","","","",""
"Rarely","1992","inadequately","","","",""
"Rarely","1992","general elemantary","202","0.0766992852724786","0.0667802880749851","0.0866182824699722"
"Rarely","1992","middle vocational","722","0.110270733871146","0.102746403028864","0.117795064713428"
"Rarely","1992","vocational + Abi","44","0.104893277168744","0.0742458716086107","0.135540682728878"
"Rarely","1992","higher vocational","108","0.13506625143602","0.110766258921818","0.159366243950222"
"Rarely","1992","higher education","245","0.15226795891966","0.134916545655224","0.169619372184097"
"Never","1992","in school","145","0.776733995612976","0.716563077750533","0.83690491347542"
"Never","1992","inadequately","584","0.928380202621522","0.90821290309575","0.948547502147294"
"Never","1992","general elemantary","2349","0.836155011596222","0.822358779157695","0.84995124403475"
"Never","1992","middle vocational","5132","0.7584043952139","0.748121776132","0.7686870142958"
"Never","1992","vocational + Abi","295","0.774593367149441","0.732800447546408","0.816386286752473"
"Never","1992","higher vocational","509","0.68619500784152","0.653204044583199","0.71918597109984"
"Never","1992","higher education","1104","0.664427472207962","0.641623091558019","0.687231852857905"
"Daily","1993","in school","","","",""
"Daily","1993","inadequately","","","",""
"Daily","1993","general elemantary","","","",""
"Daily","1993","middle vocational","","","",""
"Daily","1993","vocational + Abi","","","",""
"Daily","1993","higher vocational","","","",""
"Daily","1993","higher education","","","",""
"Min 1x per week","1993","in school","","","",""
"Min 1x per week","1993","inadequately","","","",""
"Min 1x per week","1993","general elemantary","","","",""
"Min 1x per week","1993","middle vocational","","","",""
"Min 1x per week","1993","vocational + Abi","","","",""
"Min 1x per week","1993","higher vocational","","","",""
"Min 1x per week","1993","higher education","","","",""
"Min 1x per month","1993","in school","","","",""
"Min 1x per month","1993","inadequately","","","",""
"Min 1x per month","1993","general elemantary","","","",""
"Min 1x per month","1993","middle vocational","","","",""
"Min 1x per month","1993","vocational + Abi","","","",""
"Min 1x per month","1993","higher vocational","","","",""
"Min 1x per month","1993","higher education","","","",""
"Rarely","1993","in school","","","",""
"Rarely","1993","inadequately","","","",""
"Rarely","1993","general elemantary","","","",""
"Rarely","1993","middle vocational","","","",""
"Rarely","1993","vocational + Abi","","","",""
"Rarely","1993","higher vocational","","","",""
"Rarely","1993","higher education","","","",""
"Never","1993","in school","","","",""
"Never","1993","inadequately","","","",""
"Never","1993","general elemantary","","","",""
"Never","1993","middle vocational","","","",""
"Never","1993","vocational + Abi","","","",""
"Never","1993","higher vocational","","","",""
"Never","1993","higher education","","","",""
"Daily","1994","in school","","","",""
"Daily","1994","inadequately","","","",""
"Daily","1994","general elemantary","","","",""
"Daily","1994","middle vocational","","","",""
"Daily","1994","vocational + Abi","","","",""
"Daily","1994","higher vocational","","","",""
"Daily","1994","higher education","","","",""
"Min 1x per week","1994","in school","","","",""
"Min 1x per week","1994","inadequately","","","",""
"Min 1x per week","1994","general elemantary","96","0.0436851088647355","0.0356456484414872","0.0517245692879837"
"Min 1x per week","1994","middle vocational","417","0.0726704983792806","0.0663799438890978","0.0789610528694633"
"Min 1x per week","1994","vocational + Abi","34","0.103408581952343","0.0732274660977193","0.133589697806967"
"Min 1x per week","1994","higher vocational","69","0.0819647635174437","0.0623720822512119","0.101557444783676"
"Min 1x per week","1994","higher education","123","0.0781988208460241","0.0652205774032088","0.0911770642888394"
"Min 1x per month","1994","in school","","","",""
"Min 1x per month","1994","inadequately","","","",""
"Min 1x per month","1994","general elemantary","96","0.0405507274886587","0.0327923650324478","0.0483090899448697"
"Min 1x per month","1994","middle vocational","412","0.070390494644076","0.0641918019327175","0.0765891873554345"
"Min 1x per month","1994","vocational + Abi","","","",""
"Min 1x per month","1994","higher vocational","71","0.0856862459058827","0.0656943589531356","0.10567813285863"
"Min 1x per month","1994","higher education","167","0.0970886061010667","0.0827764888952101","0.111400723306923"
"Rarely","1994","in school","33","0.20083493968818","0.149937317730112","0.251732561646249"
"Rarely","1994","inadequately","35","0.048471000792296","0.0306039197566074","0.0663380818279847"
"Rarely","1994","general elemantary","200","0.0813703095353411","0.0706164847975406","0.0921241342731416"
"Rarely","1994","middle vocational","710","0.108327810452635","0.100796589061351","0.115859031843919"
"Rarely","1994","vocational + Abi","47","0.138730846646448","0.104468612617621","0.172993080675274"
"Rarely","1994","higher vocational","110","0.148077546026877","0.12270901968849","0.173446072365264"
"Rarely","1994","higher education","273","0.16143897769362","0.143653369546511","0.179224585840728"
"Never","1994","in school","173","0.655372279501267","0.594994275731499","0.715750283271036"
"Never","1994","inadequately","504","0.920693167747909","0.898212233196819","0.943174102298999"
"Never","1994","general elemantary","2091","0.834393854111265","0.819772637722978","0.849015070499552"
"Never","1994","middle vocational","5003","0.748611196524009","0.738098988518142","0.759123404529875"
"Never","1994","vocational + Abi","290","0.725915516084293","0.681703025811616","0.77012800635697"
"Never","1994","higher vocational","503","0.684271444549796","0.651072693736343","0.71747019536325"
"Never","1994","higher education","1081","0.66327359535929","0.640429070727581","0.686118119990998"
"Daily","1995","in school","","","",""
"Daily","1995","inadequately","","","",""
"Daily","1995","general elemantary","","","",""
"Daily","1995","middle vocational","76","0.0128592557288583","0.010161062954855","0.0155574485028616"
"Daily","1995","vocational + Abi","","","",""
"Daily","1995","higher vocational","","","",""
"Daily","1995","higher education","","","",""
"Min 1x per week","1995","in school","","","",""
"Min 1x per week","1995","inadequately","","","",""
"Min 1x per week","1995","general elemantary","82","0.0398881655101141","0.0322139354039853","0.0475623956162428"
"Min 1x per week","1995","middle vocational","413","0.0675277105488612","0.0615182636832499","0.0735371574144724"
"Min 1x per week","1995","vocational + Abi","32","0.0673344732579247","0.0448218392750463","0.0898471072408031"
"Min 1x per week","1995","higher vocational","75","0.0872559643477683","0.0671921565844204","0.107319772111116"
"Min 1x per week","1995","higher education","123","0.0673794738632665","0.0556447351089587","0.0791142126175744"
"Min 1x per month","1995","in school","","","",""
"Min 1x per month","1995","inadequately","","","",""
"Min 1x per month","1995","general elemantary","102","0.0450642792109291","0.0369293241516357","0.0531992342702225"
"Min 1x per month","1995","middle vocational","347","0.0552530107916052","0.0497814497106982","0.0607245718725121"
"Min 1x per month","1995","vocational + Abi","","","",""
"Min 1x per month","1995","higher vocational","78","0.100242790397035","0.0788911849209413","0.121594395873129"
"Min 1x per month","1995","higher education","150","0.0758698359345417","0.0634745006539577","0.0882651712151257"
"Rarely","1995","in school","","","",""
"Rarely","1995","inadequately","","","",""
"Rarely","1995","general elemantary","154","0.0608066187200011","0.0514352114374523","0.07017802600255"
"Rarely","1995","middle vocational","546","0.0864977686912257","0.0797659443059367","0.0932295930765147"
"Rarely","1995","vocational + Abi","38","0.0939282611758888","0.0677208544808258","0.120135667870952"
"Rarely","1995","higher vocational","80","0.0932559185141136","0.072582044677809","0.113929792350418"
"Rarely","1995","higher education","209","0.133073244361749","0.11717336940357","0.148973119319928"
"Never","1995","in school","227","0.762212061063043","0.712872203196644","0.811551918929441"
"Never","1995","inadequately","493","0.921568246048039","0.898636303535765","0.944500188560313"
"Never","1995","general elemantary","2147","0.848406253511353","0.834342720154167","0.86246978686854"
"Never","1995","middle vocational","5316","0.77786225423945","0.767907327953246","0.787817180525653"
"Never","1995","vocational + Abi","373","0.760777003205037","0.722452655999076","0.799101350410999"
"Never","1995","higher vocational","519","0.709980036229492","0.677719000185281","0.742241072273703"
"Never","1995","higher education","1245","0.704474455909716","0.683115143354034","0.725833768465398"
"Daily","1996","in school","","","",""
"Daily","1996","inadequately","","","",""
"Daily","1996","general elemantary","","","",""
"Daily","1996","middle vocational","","","",""
"Daily","1996","vocational + Abi","","","",""
"Daily","1996","higher vocational","","","",""
"Daily","1996","higher education","","","",""
"Min 1x per week","1996","in school","","","",""
"Min 1x per week","1996","inadequately","","","",""
"Min 1x per week","1996","general elemantary","90","0.041065719060385","0.0331149181308003","0.0490165199899696"
"Min 1x per week","1996","middle vocational","446","0.0776554248216255","0.0712070537271907","0.0841037959160602"
"Min 1x per week","1996","vocational + Abi","32","0.0640907587399164","0.0421349864967678","0.0860465309830651"
"Min 1x per week","1996","higher vocational","96","0.108420748490665","0.0864318406959263","0.130409656285404"
"Min 1x per week","1996","higher education","171","0.102051999456196","0.0879174655527209","0.116186533359671"
"Min 1x per month","1996","in school","","","",""
"Min 1x per month","1996","inadequately","","","",""
"Min 1x per month","1996","general elemantary","98","0.0479979992610994","0.0394333962028142","0.0565626023193846"
"Min 1x per month","1996","middle vocational","444","0.0735390977249983","0.0672499728159689","0.0798282226340276"
"Min 1x per month","1996","vocational + Abi","33","0.0717044140766313","0.0485757669000477","0.094833061253215"
"Min 1x per month","1996","higher vocational","79","0.101046164747268","0.0797306368412109","0.122361692653325"
"Min 1x per month","1996","higher education","181","0.107868108363925","0.0933835184940592","0.122352698233791"
"Rarely","1996","in school","44","0.176043047492022","0.132359453132431","0.219726641851614"
"Rarely","1996","inadequately","42","0.0888315253140478","0.0636924996133418","0.113970551014754"
"Rarely","1996","general elemantary","274","0.111084333581643","0.0984941103961954","0.123674556767091"
"Rarely","1996","middle vocational","884","0.138281348812873","0.129964054420103","0.146598643205643"
"Rarely","1996","vocational + Abi","75","0.164417562238634","0.131189662082623","0.197645462394645"
"Rarely","1996","higher vocational","139","0.200072328250784","0.171778849108122","0.228365807393446"
"Rarely","1996","higher education","299","0.1816864209642","0.163682535025891","0.199690306902509"
"Never","1996","in school","219","0.685988156959384","0.632754293263435","0.739222020655332"
"Never","1996","inadequately","432","0.876192559881132","0.847089497364584","0.905295622397681"
"Never","1996","general elemantary","1931","0.799851948096872","0.783821073056238","0.815882823137506"
"Never","1996","middle vocational","4843","0.710524128640503","0.699596822160269","0.721451435120737"
"Never","1996","vocational + Abi","338","0.699787264944819","0.658697683665593","0.740876846224044"
"Never","1996","higher vocational","454","0.590460758511283","0.555682265323184","0.625239251699382"
"Never","1996","higher education","1111","0.608393471215679","0.585602524106116","0.631184418325242"
"Daily","1997","in school","","","",""
"Daily","1997","inadequately","","","",""
"Daily","1997","general elemantary","","","",""
"Daily","1997","middle vocational","","","",""
"Daily","1997","vocational + Abi","","","",""
"Daily","1997","higher vocational","","","",""
"Daily","1997","higher education","","","",""
"Min 1x per week","1997","in school","","","",""
"Min 1x per week","1997","inadequately","","","",""
"Min 1x per week","1997","general elemantary","102","0.0461977026975053","0.0376652088401004","0.0547301965549102"
"Min 1x per week","1997","middle vocational","455","0.0785082596420638","0.0719513255908926","0.085065193693235"
"Min 1x per week","1997","vocational + Abi","34","0.0773764143294109","0.0529065293193673","0.101846299339455"
"Min 1x per week","1997","higher vocational","94","0.111721662495781","0.0892657646672655","0.134177560324296"
"Min 1x per week","1997","higher education","157","0.0947411646289856","0.081082492280347","0.108399836977624"
"Min 1x per month","1997","in school","","","",""
"Min 1x per month","1997","inadequately","","","",""
"Min 1x per month","1997","general elemantary","97","0.052875396298182","0.04377904992078","0.061971742675584"
"Min 1x per month","1997","middle vocational","405","0.0705017453617714","0.0642612129842335","0.0767422777393094"
"Min 1x per month","1997","vocational + Abi","33","0.0740153911540662","0.0500393069373515","0.097991475370781"
"Min 1x per month","1997","higher vocational","82","0.107171956990157","0.085121800035479","0.129222113944834"
"Min 1x per month","1997","higher education","198","0.11865877660407","0.103576228587274","0.133741324620866"
"Rarely","1997","in school","39","0.15949707052455","0.119063808031039","0.199930333018061"
"Rarely","1997","inadequately","","","",""
"Rarely","1997","general elemantary","253","0.103301612023492","0.0909303684893763","0.115672855557607"
"Rarely","1997","middle vocational","753","0.121610476142419","0.113642895178428","0.129578057106409"
"Rarely","1997","vocational + Abi","62","0.139617894553178","0.107876092508124","0.171359696598231"
"Rarely","1997","higher vocational","118","0.137990795720586","0.113405909408106","0.162575682033066"
"Rarely","1997","higher education","295","0.171177009534548","0.153609655506557","0.188744363562539"
"Never","1997","in school","239","0.68514441879334","0.633853606820539","0.73643523076614"
"Never","1997","inadequately","411","0.892794701662961","0.86464504982601","0.920944353499911"
"Never","1997","general elemantary","1873","0.797625288980821","0.781294235888598","0.813956342073044"
"Never","1997","middle vocational","4851","0.729379518853746","0.718548868640221","0.740210169067271"
"Never","1997","vocational + Abi","329","0.708990299963345","0.667390692618689","0.750589907308001"
"Never","1997","higher vocational","462","0.643115584793477","0.608965207833515","0.677265961753439"
"Never","1997","higher education","1116","0.615423049232397","0.592733219019436","0.638112879445357"
"Daily","1998","in school","","","",""
"Daily","1998","inadequately","","","",""
"Daily","1998","general elemantary","","","",""
"Daily","1998","middle vocational","55","0.00785228875656091","0.00578636906295208","0.00991820845016974"
"Daily","1998","vocational + Abi","","","",""
"Daily","1998","higher vocational","","","",""
"Daily","1998","higher education","","","",""
"Min 1x per week","1998","in school","","","",""
"Min 1x per week","1998","inadequately","","","",""
"Min 1x per week","1998","general elemantary","102","0.0412839020909981","0.0335347957651168","0.0490330084168793"
"Min 1x per week","1998","middle vocational","474","0.0709633253871644","0.064953518101223","0.0769731326731058"
"Min 1x per week","1998","vocational + Abi","","","",""
