"pli0096_h","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","no migration background","Urban Area","","","","","1"
"Daily","1985","no migration background","Rural Area","","","","","1"
"Daily","1985","direct migration background","Urban Area","","","","","1"
"Daily","1985","direct migration background","Rural Area","","","","","1"
"Daily","1985","indirect migration background","Urban Area","","","","","1"
"Daily","1985","indirect migration background","Rural Area","","","","","1"
"Min 1x per month","1985","no migration background","Urban Area","398","0.0634289309830759","0.0572529968628604","0.0696048651032913","3"
"Min 1x per month","1985","no migration background","Rural Area","147","0.0726082341506686","0.060918696363409","0.0842977719379283","3"
"Min 1x per month","1985","direct migration background","Urban Area","62","0.0268861442774388","0.0206289268349964","0.0331433617198812","3"
"Min 1x per month","1985","indirect migration background","Urban Area","3","","","","3"
"Min 1x per month","1985","direct migration background","Rural Area","12","","","","3"
"Min 1x per month","1985","indirect migration background","Rural Area","1","","","","3"
"Min 1x per week","1985","no migration background","Urban Area","537","0.0866171822343865","0.0794900136090293","0.0937443508597438","2"
"Min 1x per week","1985","direct migration background","Urban Area","78","0.0431965966371734","0.0353320937185557","0.0510610995557911","2"
"Min 1x per week","1985","no migration background","Rural Area","174","0.08711183504996","0.0744084297724439","0.0998152403274761","2"
"Min 1x per week","1985","indirect migration background","Urban Area","9","","","","2"
"Min 1x per week","1985","direct migration background","Rural Area","19","","","","2"
"Min 1x per week","1985","indirect migration background","Rural Area","1","","","","2"
"Never","1985","no migration background","Urban Area","4523","0.767554316603992","0.756851356868644","0.778257276339339","5"
"Never","1985","no migration background","Rural Area","1377","0.742718739272262","0.723026774397741","0.762410704146783","5"
"Never","1985","direct migration background","Urban Area","2319","0.874002029538907","0.861164745454552","0.886839313623262","5"
"Never","1985","indirect migration background","Urban Area","104","0.851061608621148","0.78814296311065","0.913980254131646","5"
"Never","1985","direct migration background","Rural Area","300","0.8161130668212","0.775175740921947","0.857050392720454","5"
"Never","1985","indirect migration background","Rural Area","14","","","","5"
"Rarely","1985","no migration background","Urban Area","525","0.082399570178546","0.0754320559077112","0.0893670844493809","4"
"Rarely","1985","no migration background","Rural Area","195","0.0975611915271094","0.08419461424712","0.110927768807099","4"
"Rarely","1985","direct migration background","Urban Area","108","0.055915229546481","0.0470271955178086","0.0648032635751534","4"
"Rarely","1985","direct migration background","Rural Area","13","","","","4"
"Rarely","1985","indirect migration background","Urban Area","7","","","","4"
"Rarely","1985","indirect migration background","Rural Area","1","","","","4"
"Daily","1986","no migration background","Urban Area","","","","","1"
"Daily","1986","no migration background","Rural Area","","","","","1"
"Daily","1986","direct migration background","Urban Area","","","","","1"
"Daily","1986","direct migration background","Rural Area","","","","","1"
"Daily","1986","indirect migration background","Urban Area","","","","","1"
