"pli0096_h","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","16-34 y.","Full Time","","","","","1"
"Daily","1985","16-34 y.","Part Time","","","","","1"
"Daily","1985","16-34 y.","Not Working","","","","","1"
"Daily","1985","35-65 y.","Full Time","","","","","1"
"Daily","1985","35-65 y.","Part Time","","","","","1"
"Daily","1985","35-65 y.","Not Working","","","","","1"
"Daily","1985","66 and older","Full Time","","","","","1"
"Daily","1985","66 and older","Part Time","","","","","1"
"Daily","1985","66 and older","Not Working","","","","","1"
"Min 1x per month","1985","16-34 y.","Not Working","55","0.0471038853780197","0.035734910153591","0.0584728606024483","3"
"Min 1x per month","1985","66 and older","Full Time","2","","","","3"
"Min 1x per month","1985","66 and older","Part Time","1","","","","3"
"Min 1x per month","1985","16-34 y.","Part Time","37","0.0438653057423367","0.0303267052635347","0.0574039062211386","3"
"Min 1x per month","1985","35-65 y.","Not Working","77","0.0502556353638534","0.0400575725759184","0.0604536981517884","3"
"Min 1x per month","1985","16-34 y.","Full Time","106","0.0622434143959403","0.0514396233990837","0.0730472053927968","3"
"Min 1x per month","1985","66 and older","Not Working","34","0.0291922833141949","0.0190146365082495","0.0393699301201404","3"
"Min 1x per month","1985","35-65 y.","Full Time","256","0.105019753140288","0.0940436812939699","0.115995824986606","3"
"Min 1x per month","1985","35-65 y.","Part Time","55","0.0657495323084841","0.0498887476862825","0.0816103169306857","3"
"Min 1x per week","1985","16-34 y.","Not Working","92","0.0787518539907647","0.0642978262775223","0.0932058817040071","2"
"Min 1x per week","1985","66 and older","Full Time","","","","","2"
"Min 1x per week","1985","16-34 y.","Full Time","158","0.0962002869282738","0.0830144198996773","0.10938615395687","2"
"Min 1x per week","1985","16-34 y.","Part Time","70","0.0895916262199735","0.07071147427267","0.108471778167277","2"
"Min 1x per week","1985","35-65 y.","Not Working","105","0.0697082744388702","0.0578212356431468","0.0815953132345936","2"
"Min 1x per week","1985","35-65 y.","Part Time","73","0.0871079983126799","0.0690618139506766","0.105154182674683","2"
"Min 1x per week","1985","66 and older","Not Working","45","0.0409221565492986","0.0289450222790022","0.0528992908195951","2"
"Min 1x per week","1985","35-65 y.","Full Time","274","0.113520979938592","0.102163629769305","0.124878330107878","2"
"Min 1x per week","1985","66 and older","Part Time","1","","","","2"
"Never","1985","35-65 y.","Part Time","732","0.753206893289918","0.725615709930435","0.7807980766494","5"
"Never","1985","35-65 y.","Full Time","2226","0.687831609173557","0.671241843669658","0.704421374677455","5"
"Never","1985","16-34 y.","Full Time","1504","0.75396069077641","0.73470048113664","0.77322090041618","5"
"Never","1985","16-34 y.","Part Time","695","0.773590719667357","0.745924081443851","0.801257357890863","5"
"Never","1985","16-34 y.","Not Working","1063","0.765696817520534","0.742967432203815","0.788426202837252","5"
"Never","1985","35-65 y.","Not Working","1456","0.803512796483702","0.784965292651504","0.822060300315901","5"
"Never","1985","66 and older","Full Time","12","","","","5"
"Never","1985","66 and older","Part Time","22","","","","5"
"Never","1985","66 and older","Not Working","927","0.888467848170788","0.869436584260586","0.907499112080989","5"
"Rarely","1985","66 and older","Part Time","3","","","","4"
"Rarely","1985","35-65 y.","Full Time","241","0.0936276577475635","0.0831982386076463","0.104057076887481","4"
"Rarely","1985","16-34 y.","Not Working","124","0.108447443110682","0.0917614019841207","0.125133484237243","4"
"Rarely","1985","35-65 y.","Not Working","125","0.076523293713574","0.0641144379971894","0.0889321494299586","4"
"Rarely","1985","16-34 y.","Full Time","153","0.0875956078993762","0.0749535068416899","0.100237708957063","4"
"Rarely","1985","66 and older","Not Working","45","0.0414177119657185","0.0293713894911751","0.0534640344402619","4"
"Rarely","1985","16-34 y.","Part Time","77","0.092952348370333","0.0737568722691458","0.11214782447152","4"
"Rarely","1985","35-65 y.","Part Time","78","0.0939355760889184","0.075265707434747","0.11260544474309","4"
"Rarely","1985","66 and older","Full Time","3","","","","4"
"Daily","1986","16-34 y.","Full Time","","","","","1"
"Daily","1986","16-34 y.","Part Time","","","","","1"
"Daily","1986","16-34 y.","Not Working","","","","","1"
"Daily","1986","35-65 y.","Full Time","","","","","1"
"Daily","1986","35-65 y.","Part Time","","","","","1"
"Daily","1986","35-65 y.","Not Working","","","","","1"
"Daily","1986","66 and older","Full Time","","","","","1"
"Daily","1986","66 and older","Part Time","","","","","1"
"Daily","1986","66 and older","Not Working","","","","","1"
