"pli0096_h","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1985","no migration background","in school","","","",""
"Daily","1985","no migration background","inadequately","","","",""
"Daily","1985","no migration background","general elemantary","","","",""
"Daily","1985","no migration background","middle vocational","","","",""
"Daily","1985","no migration background","vocational + Abi","","","",""
"Daily","1985","no migration background","higher vocational","","","",""
"Daily","1985","no migration background","higher education","","","",""
"Daily","1985","direct migration background","in school","","","",""
"Daily","1985","direct migration background","inadequately","","","",""
"Daily","1985","direct migration background","general elemantary","","","",""
"Daily","1985","direct migration background","middle vocational","","","",""
"Daily","1985","direct migration background","vocational + Abi","","","",""
"Daily","1985","direct migration background","higher vocational","","","",""
"Daily","1985","direct migration background","higher education","","","",""
"Daily","1985","indirect migration background","in school","","","",""
"Daily","1985","indirect migration background","inadequately","","","",""
"Daily","1985","indirect migration background","general elemantary","","","",""
"Daily","1985","indirect migration background","middle vocational","","","",""
"Daily","1985","indirect migration background","vocational + Abi","","","",""
"Daily","1985","indirect migration background","higher vocational","","","",""
"Daily","1985","indirect migration background","higher education","","","",""
"Min 1x per week","1985","no migration background","in school","","","",""
"Min 1x per week","1985","no migration background","inadequately","","","",""
"Min 1x per week","1985","no migration background","general elemantary","116","0.0539687572960391","0.0441993970059225","0.0637381175861557"
"Min 1x per week","1985","no migration background","middle vocational","399","0.0914021755090886","0.0826649002463838","0.100139450771793"
"Min 1x per week","1985","no migration background","vocational + Abi","","","",""
"Min 1x per week","1985","no migration background","higher vocational","70","0.123071914606065","0.095838402341538","0.150305426870591"
"Min 1x per week","1985","no migration background","higher education","79","0.128113503831096","0.102098080798786","0.154128926863406"
"Min 1x per week","1985","direct migration background","in school","","","",""
"Min 1x per week","1985","direct migration background","inadequately","","","",""
"Min 1x per week","1985","direct migration background","general elemantary","","","",""
"Min 1x per week","1985","direct migration background","middle vocational","37","0.0480440205295316","0.0340643688630053","0.0620236721960579"
"Min 1x per week","1985","direct migration background","vocational + Abi","","","",""
"Min 1x per week","1985","direct migration background","higher vocational","","","",""
"Min 1x per week","1985","direct migration background","higher education","","","",""
"Min 1x per week","1985","indirect migration background","in school","","","",""
"Min 1x per week","1985","indirect migration background","inadequately","","","",""
"Min 1x per week","1985","indirect migration background","general elemantary","","","",""
"Min 1x per week","1985","indirect migration background","middle vocational","","","",""
"Min 1x per week","1985","indirect migration background","vocational + Abi","","","",""
"Min 1x per week","1985","indirect migration background","higher vocational","","","",""
"Min 1x per week","1985","indirect migration background","higher education","","","",""
"Min 1x per month","1985","no migration background","in school","","","",""
"Min 1x per month","1985","no migration background","inadequately","","","",""
"Min 1x per month","1985","no migration background","general elemantary","92","0.0426050610343084","0.0338729683352102","0.0513371537334067"
"Min 1x per month","1985","no migration background","middle vocational","301","0.0699740665997083","0.0622396423230523","0.0777084908763643"
"Min 1x per month","1985","no migration background","vocational + Abi","","","",""
"Min 1x per month","1985","no migration background","higher vocational","54","0.0882910314795809","0.0647715038052652","0.111810559153897"
"Min 1x per month","1985","no migration background","higher education","74","0.110493599966583","0.0860904121516409","0.134896787781526"
"Min 1x per month","1985","direct migration background","in school","","","",""
"Min 1x per month","1985","direct migration background","inadequately","","","",""
"Min 1x per month","1985","direct migration background","general elemantary","","","",""
"Min 1x per month","1985","direct migration background","middle vocational","","","",""
"Min 1x per month","1985","direct migration background","vocational + Abi","","","",""
"Min 1x per month","1985","direct migration background","higher vocational","","","",""
"Min 1x per month","1985","direct migration background","higher education","","","",""
"Min 1x per month","1985","indirect migration background","in school","","","",""
"Min 1x per month","1985","indirect migration background","inadequately","","","",""
"Min 1x per month","1985","indirect migration background","general elemantary","","","",""
"Min 1x per month","1985","indirect migration background","middle vocational","","","",""
"Min 1x per month","1985","indirect migration background","vocational + Abi","","","",""
"Min 1x per month","1985","indirect migration background","higher vocational","","","",""
"Min 1x per month","1985","indirect migration background","higher education","","","",""
"Rarely","1985","no migration background","in school","","","",""
"Rarely","1985","no migration background","inadequately","","","",""
"Rarely","1985","no migration background","general elemantary","149","0.0665845210490248","0.055805822717837","0.0773632193802127"
"Rarely","1985","no migration background","middle vocational","386","0.0879645098652642","0.0793769155816477","0.0965521041488806"
"Rarely","1985","no migration background","vocational + Abi","","","",""
"Rarely","1985","no migration background","higher vocational","60","0.109953861913726","0.0840208063239292","0.135886917503523"
