"pli0096_h","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","no migration background","West Germany","","","","","1"
"Daily","1985","no migration background","East Germany","","","","","1"
"Daily","1985","direct migration background","West Germany","","","","","1"
"Daily","1985","direct migration background","East Germany","","","","","1"
"Daily","1985","indirect migration background","West Germany","","","","","1"
"Daily","1985","indirect migration background","East Germany","","","","","1"
"Min 1x per month","1985","no migration background","West Germany","545","0.0656878104248786","0.0602165972360301","0.0711590236137272","3"
"Min 1x per month","1985","no migration background","East Germany","","","","","3"
"Min 1x per month","1985","direct migration background","West Germany","74","0.0305310856400683","0.0242813009459875","0.0367808703341491","3"
"Min 1x per month","1985","indirect migration background","West Germany","4","","","","3"
"Min 1x per month","1985","direct migration background","East Germany","","","","","3"
"Min 1x per month","1985","indirect migration background","East Germany","","","","","3"
"Min 1x per week","1985","no migration background","West Germany","711","0.0867389083671363","0.0805230703109886","0.092954746423284","2"
"Min 1x per week","1985","direct migration background","West Germany","97","0.0493868237220232","0.0415157414655162","0.0572579059785301","2"
"Min 1x per week","1985","no migration background","East Germany","","","","","2"
"Min 1x per week","1985","indirect migration background","West Germany","10","","","","2"
"Min 1x per week","1985","direct migration background","East Germany","","","","","2"
"Min 1x per week","1985","indirect migration background","East Germany","","","","","2"
"Never","1985","no migration background","West Germany","5900","0.761442678930011","0.752030065571566","0.770855292288456","5"
"Never","1985","no migration background","East Germany","","","","","5"
"Never","1985","direct migration background","West Germany","2619","0.865893465657885","0.853514504816061","0.87827242649971","5"
"Never","1985","indirect migration background","West Germany","118","0.837764366918855","0.776695742257568","0.898832991580142","5"
"Never","1985","direct migration background","East Germany","","","","","5"
"Never","1985","indirect migration background","East Germany","","","","","5"
"Rarely","1985","no migration background","West Germany","720","0.0861306022779738","0.0799345361148814","0.0923266684410662","4"
"Rarely","1985","no migration background","East Germany","","","","","4"
"Rarely","1985","direct migration background","West Germany","121","0.0541886249800231","0.0459646208403769","0.0624126291196693","4"
"Rarely","1985","direct migration background","East Germany","","","","","4"
"Rarely","1985","indirect migration background","West Germany","8","","","","4"
"Rarely","1985","indirect migration background","East Germany","","","","","4"
"Daily","1986","no migration background","West Germany","","","","","1"
"Daily","1986","no migration background","East Germany","","","","","1"
"Daily","1986","direct migration background","West Germany","","","","","1"
"Daily","1986","direct migration background","East Germany","","","","","1"
"Daily","1986","indirect migration background","West Germany","","","","","1"
"Daily","1986","indirect migration background","East Germany","","","","","1"
"Min 1x per month","1986","no migration background","West Germany","535","0.0679367266819531","0.0622508333985374","0.0736226199653689","3"
"Min 1x per month","1986","direct migration background","West Germany","77","0.038728105664145","0.0316181340498811","0.0458380772784089","3"
"Min 1x per month","1986","no migration background","East Germany","","","","","3"
"Min 1x per month","1986","indirect migration background","West Germany","7","","","","3"
"Min 1x per month","1986","direct migration background","East Germany","","","","","3"
"Min 1x per month","1986","indirect migration background","East Germany","","","","","3"
"Min 1x per week","1986","no migration background","East Germany","","","","","2"
"Min 1x per week","1986","no migration background","West Germany","652","0.0845047174740224","0.0782199063565516","0.0907895285914932","2"
"Min 1x per week","1986","direct migration background","West Germany","112","0.048735512072412","0.0408012776800303","0.0566697464647938","2"
"Min 1x per week","1986","direct migration background","East Germany","","","","","2"
"Min 1x per week","1986","indirect migration background","West Germany","11","","","","2"
"Min 1x per week","1986","indirect migration background","East Germany","","","","","2"
"Never","1986","no migration background","West Germany","5697","0.767555709151582","0.758011540771178","0.777099877531985","5"
"Never","1986","no migration background","East Germany","","","","","5"
"Never","1986","direct migration background","West Germany","2524","0.865617931865044","0.853049954210738","0.87818590951935","5"
"Never","1986","indirect migration background","West Germany","126","0.846855968688741","0.790161974363513","0.903549963013969","5"
"Never","1986","direct migration background","East Germany","","","","","5"
"Never","1986","indirect migration background","East Germany","","","","","5"
"Rarely","1986","no migration background","West Germany","640","0.0800028466924427","0.0738727170450522","0.0861329763398331","4"
"Rarely","1986","no migration background","East Germany","","","","","4"
"Rarely","1986","direct migration background","West Germany","116","0.046918450398399","0.0391260999066408","0.0547108008901572","4"
"Rarely","1986","indirect migration background","West Germany","11","","","","4"
"Rarely","1986","direct migration background","East Germany","","","","","4"
"Rarely","1986","indirect migration background","East Germany","","","","","4"
"Daily","1987","no migration background","West Germany","","","","","1"
"Daily","1987","no migration background","East Germany","","","","","1"
"Daily","1987","direct migration background","West Germany","","","","","1"
"Daily","1987","direct migration background","East Germany","","","","","1"
"Daily","1987","indirect migration background","West Germany","","","","","1"
"Daily","1987","indirect migration background","East Germany","","","","","1"
"Min 1x per month","1987","direct migration background","West Germany","","","","","3"
"Min 1x per month","1987","no migration background","West Germany","","","","","3"
