"pli0096_h","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1985","no migration background","(0) in school","","","",""
"Daily","1985","no migration background","(1a) inadequately completed","","","",""
"Daily","1985","no migration background","(1b) general elementary school","","","",""
"Daily","1985","no migration background","(1c) basic vocational qualification","","","",""
"Daily","1985","no migration background","(2b) intermediate general qualification","","","",""
"Daily","1985","no migration background","(2a) intermediate vocational","","","",""
"Daily","1985","no migration background","(2c_gen) general maturity certificate","","","",""
"Daily","1985","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Daily","1985","no migration background","(3a) lower tertiary education","","","",""
"Daily","1985","no migration background","(3b) higher tertiary education","","","",""
"Daily","1985","direct migration background","(0) in school","","","",""
"Daily","1985","direct migration background","(1a) inadequately completed","","","",""
"Daily","1985","direct migration background","(1b) general elementary school","","","",""
"Daily","1985","direct migration background","(1c) basic vocational qualification","","","",""
"Daily","1985","direct migration background","(2b) intermediate general qualification","","","",""
"Daily","1985","direct migration background","(2a) intermediate vocational","","","",""
"Daily","1985","direct migration background","(2c_gen) general maturity certificate","","","",""
"Daily","1985","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Daily","1985","direct migration background","(3a) lower tertiary education","","","",""
"Daily","1985","direct migration background","(3b) higher tertiary education","","","",""
"Daily","1985","indirect migration background","(0) in school","","","",""
"Daily","1985","indirect migration background","(1a) inadequately completed","","","",""
"Daily","1985","indirect migration background","(1b) general elementary school","","","",""
"Daily","1985","indirect migration background","(1c) basic vocational qualification","","","",""
"Daily","1985","indirect migration background","(2b) intermediate general qualification","","","",""
"Daily","1985","indirect migration background","(2a) intermediate vocational","","","",""
"Daily","1985","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Daily","1985","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Daily","1985","indirect migration background","(3a) lower tertiary education","","","",""
"Daily","1985","indirect migration background","(3b) higher tertiary education","","","",""
"Min 1x per week","1985","no migration background","(0) in school","22","","",""
"Min 1x per week","1985","no migration background","(1a) inadequately completed","3","","",""
"Min 1x per week","1985","no migration background","(1b) general elementary school","65","0.0388997360375656","0.0296482864165573","0.048151185658574"
"Min 1x per week","1985","no migration background","(1c) basic vocational qualification","282","0.0878395272541067","0.0778816251141892","0.0977974293940243"
"Min 1x per week","1985","no migration background","(2b) intermediate general qualification","51","0.118410541601888","0.0867479489703318","0.150073134233444"
"Min 1x per week","1985","no migration background","(2a) intermediate vocational","137","0.104601391252623","0.0875261263783593","0.121676656126888"
"Min 1x per week","1985","no migration background","(2c_gen) general maturity certificate","28","","",""
"Min 1x per week","1985","no migration background","(2c_voc) vocational maturity certificate","39","0.13336242896402","0.0940990789104472","0.172625779017592"
"Min 1x per week","1985","no migration background","(3a) lower tertiary education","25","","",""
"Min 1x per week","1985","no migration background","(3b) higher tertiary education","54","0.134783717905702","0.101768950812453","0.16779848499895"
"Min 1x per week","1985","direct migration background","(0) in school","2","","",""
"Min 1x per week","1985","direct migration background","(1a) inadequately completed","10","","",""
"Min 1x per week","1985","direct migration background","(1b) general elementary school","22","","",""
"Min 1x per week","1985","direct migration background","(1c) basic vocational qualification","26","","",""
"Min 1x per week","1985","direct migration background","(2b) intermediate general qualification","5","","",""
"Min 1x per week","1985","direct migration background","(2a) intermediate vocational","7","","",""
"Min 1x per week","1985","direct migration background","(2c_gen) general maturity certificate","2","","",""
"Min 1x per week","1985","direct migration background","(2c_voc) vocational maturity certificate","11","","",""
"Min 1x per week","1985","direct migration background","(3a) lower tertiary education","3","","",""
"Min 1x per week","1985","direct migration background","(3b) higher tertiary education","8","","",""
"Min 1x per week","1985","indirect migration background","(0) in school","1","","",""
"Min 1x per week","1985","indirect migration background","(1a) inadequately completed","","","",""
"Min 1x per week","1985","indirect migration background","(1b) general elementary school","2","","",""
"Min 1x per week","1985","indirect migration background","(1c) basic vocational qualification","3","","",""
"Min 1x per week","1985","indirect migration background","(2b) intermediate general qualification","2","","",""
"Min 1x per week","1985","indirect migration background","(2a) intermediate vocational","1","","",""
"Min 1x per week","1985","indirect migration background","(2c_gen) general maturity certificate","1","","",""
"Min 1x per week","1985","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per week","1985","indirect migration background","(3a) lower tertiary education","","","",""
"Min 1x per week","1985","indirect migration background","(3b) higher tertiary education","","","",""
"Min 1x per month","1985","no migration background","(0) in school","6","","",""
"Min 1x per month","1985","no migration background","(1a) inadequately completed","1","","",""
