"plh0206i03","year","education","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","1817","0.272361449824182","0.261972753966088","0.282750145682276"
"1 Strongly disagree","2005","secondary school degree","1428","0.242952413558176","0.232103503272145","0.253801323844207"
"1 Strongly disagree","2005","college entrance qualification","1174","0.241868991253038","0.230211107687788","0.253526874818289"
"1 Strongly disagree","2005","Other degree","340","0.296531083708119","0.269722848460185","0.323339318956052"
"1 Strongly disagree","2005","no degree/no degree yet","216","0.272881239473681","0.243649465066465","0.302113013880898"
"2 on scale 1-7 ","2005","lower secondary degree","1519","0.203198772207944","0.193808765545658","0.21258877887023"
"2 on scale 1-7 ","2005","secondary school degree","1460","0.236411262748639","0.225663260275092","0.247159265222185"
"2 on scale 1-7 ","2005","college entrance qualification","1469","0.273367277934898","0.26123371837191","0.285500837497886"
"2 on scale 1-7 ","2005","Other degree","232","0.207973265258002","0.18415092994759","0.231795600568414"
"2 on scale 1-7 ","2005","no degree/no degree yet","185","0.1755954126573","0.150626912996875","0.200563912317725"
"3 on scale 1-7 ","2005","lower secondary degree","1214","0.171046365168688","0.162259126785215","0.17983360355216"
"3 on scale 1-7 ","2005","secondary school degree","1105","0.181022843935594","0.171282674648058","0.19076301322313"
"3 on scale 1-7 ","2005","college entrance qualification","1056","0.202360386027474","0.191422746819287","0.213298025235661"
"3 on scale 1-7 ","2005","Other degree","152","0.160556311717471","0.139007658462851","0.182104964972091"
"3 on scale 1-7 ","2005","no degree/no degree yet","166","0.205464177651381","0.178949249035787","0.231979106266974"
"4 on scale 1-7","2005","lower secondary degree","1192","0.172852847849585","0.16402895913216","0.18167673656701"
"4 on scale 1-7","2005","secondary school degree","1055","0.180590294323413","0.170859200180895","0.19032138846593"
"4 on scale 1-7","2005","college entrance qualification","798","0.155365350147291","0.145503258875281","0.165227441419301"
"4 on scale 1-7","2005","Other degree","192","0.161091935703672","0.139514256010551","0.182669615396793"
"4 on scale 1-7","2005","no degree/no degree yet","164","0.140831014372646","0.118003737140768","0.163658291604525"
"5 on scale 1-7","2005","lower secondary degree","660","0.0873840369360457","0.0807939605895542","0.0939741132825372"
"5 on scale 1-7","2005","secondary school degree","533","0.0840828289918426","0.0770626905395616","0.0911029674441236"
"5 on scale 1-7","2005","college entrance qualification","451","0.0796475471679482","0.0722766428008582","0.0870184515350381"
"5 on scale 1-7","2005","Other degree","97","0.0866918131463117","0.0701756799823971","0.103207946310226"
"5 on scale 1-7","2005","no degree/no degree yet","79","0.0969500150323089","0.0775324173286509","0.116367612735967"
"6 on scale 1-7","2005","lower secondary degree","338","0.0469252878588057","0.04199017249349","0.0518604032241214"
"6 on scale 1-7","2005","secondary school degree","254","0.0454924773526056","0.0402211086848223","0.0507638460203889"
"6 on scale 1-7","2005","college entrance qualification","149","0.0288594274617825","0.0243017625553831","0.0334170923681818"
"6 on scale 1-7","2005","Other degree","52","0.045217620143972","0.0330216400806442","0.0574136002072999"
"6 on scale 1-7","2005","no degree/no degree yet","43","0.0523422344400538","0.0377266039111379","0.0669578649689698"
"7 Strongly agree","2005","lower secondary degree","314","0.0462312401547498","0.0413309738569799","0.0511315064525196"
"7 Strongly agree","2005","secondary school degree","168","0.0294478790897308","0.0251712620554904","0.0337244961239712"
"7 Strongly agree","2005","college entrance qualification","86","0.0185310200075681","0.0148595038983601","0.022202536116776"
