"plh0206i03","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","16-34 y.","no migration background","748","0.191141034973955","0.179134633777007","0.203147436170903","1"
"1 Strongly disagree","2005","16-34 y.","direct migration background","127","0.217410878964757","0.182194043968259","0.252627713961255","1"
"1 Strongly disagree","2005","16-34 y.","indirect migration background","120","0.178593090498306","0.149328217319553","0.207857963677058","1"
"1 Strongly disagree","2005","35-65 y.","no migration background","2290","0.236274879662581","0.227926519506082","0.24462323981908","1"
"1 Strongly disagree","2005","35-65 y.","direct migration background","437","0.292552049114985","0.269256223998689","0.31584787423128","1"
"1 Strongly disagree","2005","35-65 y.","indirect migration background","29","","","","1"
"1 Strongly disagree","2005","66 and older","no migration background","1156","0.361022684525832","0.344852228323432","0.377193140728231","1"
"1 Strongly disagree","2005","66 and older","direct migration background","142","0.427098323791946","0.376000686339141","0.478195961244751","1"
"1 Strongly disagree","2005","66 and older","indirect migration background","5","","","","1"
"2 on scale 1-7 ","2005","35-65 y.","indirect migration background","38","0.251207318064948","0.182929571214554","0.319485064915342","2"
"2 on scale 1-7 ","2005","16-34 y.","no migration background","1026","0.235043728931582","0.22209604402516","0.247991413838004","2"
"2 on scale 1-7 ","2005","16-34 y.","indirect migration background","144","0.225209050053756","0.19329217722508","0.257125922882432","2"
"2 on scale 1-7 ","2005","35-65 y.","no migration background","2509","0.237912810763646","0.229544551863378","0.246281069663914","2"
"2 on scale 1-7 ","2005","35-65 y.","direct migration background","285","0.185495609075645","0.165591496905328","0.205399721245962","2"
"2 on scale 1-7 ","2005","66 and older","no migration background","767","0.215521492538705","0.201677921794541","0.229365063282869","2"
"2 on scale 1-7 ","2005","66 and older","direct migration background","60","0.165695521003207","0.127288156006243","0.204102886000172","2"
"2 on scale 1-7 ","2005","66 and older","indirect migration background","2","","","","2"
"2 on scale 1-7 ","2005","16-34 y.","direct migration background","117","0.224247298971035","0.188637621349526","0.259856976592544","2"
"3 on scale 1-7 ","2005","16-34 y.","direct migration background","90","0.184356765923402","0.151249566650163","0.217463965196641","3"
"3 on scale 1-7 ","2005","16-34 y.","no migration background","835","0.206580230549341","0.194218041788697","0.218942419309986","3"
"3 on scale 1-7 ","2005","35-65 y.","indirect migration background","37","0.192313743085148","0.130268463060997","0.254359023109298","3"
"3 on scale 1-7 ","2005","66 and older","no migration background","543","0.15503263872907","0.142847125010763","0.167218152447377","3"
"3 on scale 1-7 ","2005","16-34 y.","indirect migration background","111","0.190458685252787","0.160456351072865","0.220461019432708","3"
"3 on scale 1-7 ","2005","35-65 y.","no migration background","1855","0.182341942598414","0.174753493722525","0.189930391474303","3"
"3 on scale 1-7 ","2005","35-65 y.","direct migration background","232","0.191568325977892","0.171416574847338","0.211720077108446","3"
"3 on scale 1-7 ","2005","66 and older","direct migration background","50","0.131619229310636","0.0966962238916779","0.166542234729593","3"
"3 on scale 1-7 ","2005","66 and older","indirect migration background","1","","","","3"
"4 on scale 1-7","2005","16-34 y.","direct migration background","96","0.195392102871548","0.161539783280703","0.229244422462393","4"
"4 on scale 1-7","2005","16-34 y.","indirect migration background","117","0.157978227535535","0.130110893501962","0.185845561569108","4"
"4 on scale 1-7","2005","35-65 y.","indirect migration background","27","","","","4"
"4 on scale 1-7","2005","66 and older","no migration background","469","0.144212210248443","0.132384617400337","0.15603980309655","4"
"4 on scale 1-7","2005","66 and older","direct migration background","55","0.129863216562103","0.095138901943263","0.164587531180943","4"
"4 on scale 1-7","2005","35-65 y.","direct migration background","247","0.155571932416577","0.137012006775621","0.174131858057533","4"
"4 on scale 1-7","2005","35-65 y.","no migration background","1701","0.176195173472642","0.168707739021049","0.183682607924234","4"
"4 on scale 1-7","2005","66 and older","indirect migration background","1","","","","4"
"4 on scale 1-7","2005","16-34 y.","no migration background","762","0.182822591260896","0.171020129853435","0.194625052668358","4"
"5 on scale 1-7","2005","35-65 y.","no migration background","851","0.0824037862694311","0.0769996878036795","0.0878078847351828","5"
"5 on scale 1-7","2005","35-65 y.","indirect migration background","17","","","","5"
"5 on scale 1-7","2005","66 and older","no migration background","256","0.0691535503938868","0.0606115699872404","0.0776955308005332","5"
"5 on scale 1-7","2005","16-34 y.","direct migration background","51","0.0875668927731511","0.0634337839820988","0.111700001564204","5"
"5 on scale 1-7","2005","16-34 y.","indirect migration background","85","0.128542162127925","0.10296919415835","0.154115130097499","5"
"5 on scale 1-7","2005","35-65 y.","direct migration background","134","0.0888886314535004","0.0743159953092972","0.103461267597704","5"
"5 on scale 1-7","2005","66 and older","direct migration background","24","","","","5"
"5 on scale 1-7","2005","66 and older","indirect migration background","1","","","","5"
"5 on scale 1-7","2005","16-34 y.","no migration background","436","0.100155778218095","0.0909889064960978","0.109322649940093","5"
"6 on scale 1-7","2005","66 and older","no migration background","105","0.0285455379566948","0.0229390273737271","0.0341520485396625","6"
"6 on scale 1-7","2005","66 and older","direct migration background","17","","","","6"
"6 on scale 1-7","2005","16-34 y.","no migration background","180","0.0481064154476146","0.0415721739462025","0.0546406569490266","6"
"6 on scale 1-7","2005","16-34 y.","direct migration background","22","","","","6"
"6 on scale 1-7","2005","35-65 y.","no migration background","422","0.0467476534413852","0.0425989946934203","0.0508963121893502","6"
"6 on scale 1-7","2005","35-65 y.","indirect migration background","3","","","","6"
"6 on scale 1-7","2005","66 and older","indirect migration background","","","","","6"
"6 on scale 1-7","2005","16-34 y.","indirect migration background","44","0.0572859576886581","0.0395297906774695","0.0750421246998468","6"
"6 on scale 1-7","2005","35-65 y.","direct migration background","62","0.0384429311146189","0.0285977194438439","0.0482881427853938","6"
"7 Strongly agree","2005","35-65 y.","indirect migration background","4","","","","7"
"7 Strongly agree","2005","66 and older","direct migration background","12","","","","7"
"7 Strongly agree","2005","66 and older","indirect migration background","2","","","","7"
"7 Strongly agree","2005","66 and older","no migration background","93","0.0265118856073683","0.0211031227332557","0.0319206484814809","7"
"7 Strongly agree","2005","16-34 y.","no migration background","133","0.0361502206185162","0.0304504203799132","0.0418500208571193","7"
"7 Strongly agree","2005","16-34 y.","direct migration background","24","","","","7"
"7 Strongly agree","2005","16-34 y.","indirect migration background","37","0.0619328268430343","0.0435160949794549","0.0803495587066137","7"
"7 Strongly agree","2005","35-65 y.","no migration background","318","0.0381237537919004","0.0343603458975784","0.0418871616862224","7"
"7 Strongly agree","2005","35-65 y.","direct migration background","68","0.0474805208467827","0.0365906194161978","0.0583704222773677","7"
"1 Strongly disagree","2006","16-34 y.","no migration background","","","","","1"
"1 Strongly disagree","2006","16-34 y.","direct migration background","","","","","1"
"1 Strongly disagree","2006","16-34 y.","indirect migration background","","","","","1"
"1 Strongly disagree","2006","35-65 y.","no migration background","","","","","1"
"1 Strongly disagree","2006","35-65 y.","direct migration background","","","","","1"
"1 Strongly disagree","2006","35-65 y.","indirect migration background","","","","","1"
"1 Strongly disagree","2006","66 and older","no migration background","","","","","1"
"1 Strongly disagree","2006","66 and older","direct migration background","","","","","1"
"1 Strongly disagree","2006","66 and older","indirect migration background","","","","","1"
"2 on scale 1-7 ","2006","16-34 y.","no migration background","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","indirect migration background","","","","","2"
"2 on scale 1-7 ","2006","66 and older","no migration background","","","","","2"
"2 on scale 1-7 ","2006","16-34 y.","direct migration background","","","","","2"
"2 on scale 1-7 ","2006","16-34 y.","indirect migration background","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","no migration background","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","direct migration background","","","","","2"
"2 on scale 1-7 ","2006","66 and older","direct migration background","","","","","2"
"2 on scale 1-7 ","2006","66 and older","indirect migration background","","","","","2"
"3 on scale 1-7 ","2006","16-34 y.","no migration background","","","","","3"
"3 on scale 1-7 ","2006","16-34 y.","direct migration background","","","","","3"
"3 on scale 1-7 ","2006","66 and older","no migration background","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","indirect migration background","","","","","3"
