"plh0206i03","year","e11102","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Not Employed","2261","0.310739523988324","0.300486774172673","0.320992273803975","1"
"1 Strongly disagree","2005","Employed","2793","0.222643085568414","0.21543743597777","0.229848735159058","1"
"2 on scale 1-7 ","2005","Employed","3201","0.238906675732499","0.231520980229497","0.246292371235502","2"
"2 on scale 1-7 ","2005","Not Employed","1747","0.208232647862142","0.199237182617855","0.21722811310643","2"
"3 on scale 1-7 ","2005","Not Employed","1304","0.166712146447858","0.158454969881666","0.174969323014051","3"
"3 on scale 1-7 ","2005","Employed","2450","0.191466700623814","0.184651888585916","0.198281512661712","3"
"4 on scale 1-7","2005","Employed","2207","0.177751905844779","0.171130245952898","0.184373565736659","4"
"4 on scale 1-7","2005","Not Employed","1268","0.155620293100091","0.147589611040285","0.163650975159897","4"
"5 on scale 1-7","2005","Not Employed","668","0.0835304692928409","0.0774008726015811","0.0896600659841007","5"
"5 on scale 1-7","2005","Employed","1187","0.0866020102887876","0.0817306268869004","0.0914733936906749","5"
"6 on scale 1-7","2005","Employed","538","0.0439650497536268","0.0404140636826893","0.0475160358245643","6"
"6 on scale 1-7","2005","Not Employed","317","0.0406767310785349","0.0363004426681091","0.0450530194889606","6"
"7 Strongly agree","2005","Employed","429","0.038664572188079","0.0353252957124425","0.0420038486637155","7"
"7 Strongly agree","2005","Not Employed","262","0.0344881882302085","0.0304455543649663","0.0385308220954507","7"
"1 Strongly disagree","2006","Not Employed","","","","","1"
"1 Strongly disagree","2006","Employed","","","","","1"
"2 on scale 1-7 ","2006","Not Employed","","","","","2"
"2 on scale 1-7 ","2006","Employed","","","","","2"
"3 on scale 1-7 ","2006","Employed","","","","","3"
"3 on scale 1-7 ","2006","Not Employed","","","","","3"
"4 on scale 1-7","2006","Not Employed","","","","","4"
"4 on scale 1-7","2006","Employed","","","","","4"
"5 on scale 1-7","2006","Employed","","","","","5"
"5 on scale 1-7","2006","Not Employed","","","","","5"
"6 on scale 1-7","2006","Employed","","","","","6"
"6 on scale 1-7","2006","Not Employed","","","","","6"
"7 Strongly agree","2006","Employed","","","","","7"
"7 Strongly agree","2006","Not Employed","","","","","7"
"1 Strongly disagree","2007","Not Employed","","","","","1"
"1 Strongly disagree","2007","Employed","","","","","1"
"2 on scale 1-7 ","2007","Employed","","","","","2"
"2 on scale 1-7 ","2007","Not Employed","","","","","2"
"3 on scale 1-7 ","2007","Not Employed","","","","","3"
"3 on scale 1-7 ","2007","Employed","","","","","3"
"4 on scale 1-7","2007","Employed","","","","","4"
"4 on scale 1-7","2007","Not Employed","","","","","4"
"5 on scale 1-7","2007","Employed","","","","","5"
"5 on scale 1-7","2007","Not Employed","","","","","5"
"6 on scale 1-7","2007","Employed","","","","","6"
"6 on scale 1-7","2007","Not Employed","","","","","6"
"7 Strongly agree","2007","Not Employed","","","","","7"
"7 Strongly agree","2007","Employed","","","","","7"
"1 Strongly disagree","2008","Not Employed","","","","","1"
"1 Strongly disagree","2008","Employed","","","","","1"
"2 on scale 1-7 ","2008","Not Employed","","","","","2"
"2 on scale 1-7 ","2008","Employed","","","","","2"
"3 on scale 1-7 ","2008","Employed","","","","","3"
"3 on scale 1-7 ","2008","Not Employed","","","","","3"
"4 on scale 1-7","2008","Not Employed","","","","","4"
"4 on scale 1-7","2008","Employed","","","","","4"
"5 on scale 1-7","2008","Employed","","","","","5"
"5 on scale 1-7","2008","Not Employed","","","","","5"
"6 on scale 1-7","2008","Employed","","","","","6"
"6 on scale 1-7","2008","Not Employed","","","","","6"
"7 Strongly agree","2008","Not Employed","","","","","7"
"7 Strongly agree","2008","Employed","","","","","7"
"1 Strongly disagree","2009","Not Employed","","","","","1"
"1 Strongly disagree","2009","Employed","","","","","1"
"2 on scale 1-7 ","2009","Employed","","","","","2"
"2 on scale 1-7 ","2009","Not Employed","","","","","2"
"3 on scale 1-7 ","2009","Not Employed","","","","","3"
"3 on scale 1-7 ","2009","Employed","","","","","3"
"4 on scale 1-7","2009","Employed","","","","","4"
"4 on scale 1-7","2009","Not Employed","","","","","4"
"5 on scale 1-7","2009","Employed","","","","","5"
"5 on scale 1-7","2009","Not Employed","","","","","5"
"6 on scale 1-7","2009","Employed","","","","","6"
"6 on scale 1-7","2009","Not Employed","","","","","6"
"7 Strongly agree","2009","Not Employed","","","","","7"
"7 Strongly agree","2009","Employed","","","","","7"
"1 Strongly disagree","2010","Not Employed","1766","0.285262779837897","0.274124299290539","0.296401260385254","1"
"1 Strongly disagree","2010","Employed","2148","0.209558961841931","0.201706295516087","0.217411628167775","1"
"2 on scale 1-7 ","2010","Not Employed","1515","0.226274924873603","0.215953450301883","0.236596399445322","2"
"2 on scale 1-7 ","2010","Employed","2617","0.232799037436141","0.22464496726616","0.240953107606122","2"
"3 on scale 1-7 ","2010","Employed","2113","0.208358008678462","0.200521929869193","0.21619408748773","3"
"3 on scale 1-7 ","2010","Not Employed","1123","0.17541810125435","0.166036341709868","0.184799860798831","3"
"4 on scale 1-7","2010","Employed","1800","0.179052191811127","0.171654829684114","0.186449553938139","4"
"4 on scale 1-7","2010","Not Employed","928","0.154007947738728","0.14510395279526","0.162911942682195","4"
"5 on scale 1-7","2010","Employed","936","0.094354574391669","0.0887144346578734","0.0999947141254646","5"
"5 on scale 1-7","2010","Not Employed","547","0.0894688861387581","0.082428222334847","0.0965095499426692","5"
"6 on scale 1-7","2010","Not Employed","233","0.0374654800874673","0.0327810797423952","0.0421498804325393","6"
"6 on scale 1-7","2010","Employed","390","0.0397040038433234","0.0359365408421058","0.0434714668445409","6"
"7 Strongly agree","2010","Not Employed","201","0.0321018800691985","0.0277536726427384","0.0364500874956585","7"
"7 Strongly agree","2010","Employed","315","0.0361732219973474","0.0325705694793174","0.0397758745153774","7"
"1 Strongly disagree","2011","Not Employed","","","","","1"
"1 Strongly disagree","2011","Employed","","","","","1"
"2 on scale 1-7 ","2011","Employed","","","","","2"
"2 on scale 1-7 ","2011","Not Employed","","","","","2"
"3 on scale 1-7 ","2011","Not Employed","","","","","3"
"3 on scale 1-7 ","2011","Employed","","","","","3"
"4 on scale 1-7","2011","Employed","","","","","4"
"4 on scale 1-7","2011","Not Employed","","","","","4"
"5 on scale 1-7","2011","Employed","","","","","5"
"5 on scale 1-7","2011","Not Employed","","","","","5"
"6 on scale 1-7","2011","Employed","","","","","6"
"6 on scale 1-7","2011","Not Employed","","","","","6"
"7 Strongly agree","2011","Not Employed","","","","","7"
"7 Strongly agree","2011","Employed","","","","","7"
"1 Strongly disagree","2012","Not Employed","","","","","1"
"1 Strongly disagree","2012","Employed","","","","","1"
"2 on scale 1-7 ","2012","Not Employed","","","","","2"
"2 on scale 1-7 ","2012","Employed","","","","","2"
"3 on scale 1-7 ","2012","Employed","","","","","3"
"3 on scale 1-7 ","2012","Not Employed","","","","","3"
"4 on scale 1-7","2012","Employed","","","","","4"
"4 on scale 1-7","2012","Not Employed","","","","","4"
"5 on scale 1-7","2012","Employed","","","","","5"
"5 on scale 1-7","2012","Not Employed","","","","","5"
"6 on scale 1-7","2012","Not Employed","","","","","6"
