"plh0206i03","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Schleswig-Holstein","no migration background","178","0.306231051081155","0.267987075419273","0.344475026743038"
"1 Strongly disagree","2005","Schleswig-Holstein","direct migration background","19","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","indirect migration background","4","","",""
"1 Strongly disagree","2005","Hamburg","no migration background","64","0.231400840070579","0.180237338938667","0.282564341202492"
"1 Strongly disagree","2005","Hamburg","direct migration background","6","","",""
"1 Strongly disagree","2005","Hamburg","indirect migration background","3","","",""
"1 Strongly disagree","2005","Lower Saxony","no migration background","402","0.290401212504709","0.267684731485681","0.313117693523738"
"1 Strongly disagree","2005","Lower Saxony","direct migration background","68","0.322128318481268","0.256874913809638","0.387381723152898"
"1 Strongly disagree","2005","Lower Saxony","indirect migration background","6","","",""
"1 Strongly disagree","2005","Bremen","no migration background","45","0.394971775206958","0.309952562487367","0.479990987926548"
"1 Strongly disagree","2005","Bremen","direct migration background","2","","",""
"1 Strongly disagree","2005","Bremen","indirect migration background","","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","no migration background","766","0.239692416401788","0.225435082274248","0.253949750529329"
"1 Strongly disagree","2005","North Rhine-Westphalia","direct migration background","205","0.340973082392008","0.304247412303084","0.377698752480932"
"1 Strongly disagree","2005","North Rhine-Westphalia","indirect migration background","47","0.247825016691458","0.19297312281754","0.302676910565375"
"1 Strongly disagree","2005","Hesse","no migration background","239","0.233266847249373","0.208032853011694","0.258500841487051"
"1 Strongly disagree","2005","Hesse","direct migration background","72","0.328868348616898","0.266216179031721","0.391520518202076"
"1 Strongly disagree","2005","Hesse","indirect migration background","16","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","no migration background","296","0.28779114152044","0.259800847748704","0.315781435292177"
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","direct migration background","59","0.284553309635835","0.218638606784478","0.350468012487193"
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","indirect migration background","17","","",""
"1 Strongly disagree","2005","Baden-Württemberg","no migration background","395","0.244117168293824","0.224105289661521","0.264129046926127"
"1 Strongly disagree","2005","Baden-Württemberg","direct migration background","146","0.242114021384344","0.205984424338583","0.278243618430104"
"1 Strongly disagree","2005","Baden-Württemberg","indirect migration background","38","0.154628522476061","0.105844740977771","0.203412303974351"
"1 Strongly disagree","2005","Bavaria","no migration background","561","0.243582752886255","0.226530106647573","0.260635399124937"
"1 Strongly disagree","2005","Bavaria","direct migration background","93","0.293336058497949","0.244726426597453","0.341945690398444"
"1 Strongly disagree","2005","Bavaria","indirect migration background","16","","",""
"1 Strongly disagree","2005","Berlin","no migration background","145","0.23428903416227","0.202121380012164","0.266456688312375"
"1 Strongly disagree","2005","Berlin","direct migration background","12","","",""
"1 Strongly disagree","2005","Berlin","indirect migration background","4","","",""
"1 Strongly disagree","2005","Brandenburg","no migration background","210","0.222597253705837","0.194955130337131","0.250239377074543"
"1 Strongly disagree","2005","Brandenburg","direct migration background","3","","",""
"1 Strongly disagree","2005","Brandenburg","indirect migration background","","","",""
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","no migration background","118","0.277553208965035","0.237741940434501","0.31736447749557"
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","direct migration background","3","","",""
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"1 Strongly disagree","2005","Saxony","no migration background","387","0.26616537056979","0.243702384732035","0.288628356407546"
"1 Strongly disagree","2005","Saxony","direct migration background","7","","",""
"1 Strongly disagree","2005","Saxony","indirect migration background","2","","",""
"1 Strongly disagree","2005","Saxony-Anhalt","no migration background","214","0.266873214739855","0.237396296666948","0.296350132812762"
"1 Strongly disagree","2005","Saxony-Anhalt","direct migration background","7","","",""
"1 Strongly disagree","2005","Saxony-Anhalt","indirect migration background","1","","",""
"1 Strongly disagree","2005","Thuringia","no migration background","174","0.244894658131238","0.216303507729612","0.273485808532863"
