"plh0206i03","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","no migration background","1869","0.309353840821356","0.298165023705164","0.320542657937548"
"1 Strongly disagree","2005","Not Employed","direct migration background","340","0.345485257701052","0.315893774642355","0.37507674075975"
"1 Strongly disagree","2005","Not Employed","indirect migration background","52","0.190583252652639","0.14449667598509","0.236669829320189"
"1 Strongly disagree","2005","Employed","no migration background","2325","0.218830268935765","0.211068134411121","0.22659240346041"
"1 Strongly disagree","2005","Employed","direct migration background","366","0.259710823964131","0.236407151820595","0.283014496107668"
"1 Strongly disagree","2005","Employed","indirect migration background","102","0.186166090856677","0.153517085887734","0.21881509582562"
"2 on scale 1-7 ","2005","Not Employed","no migration background","1530","0.21768224510703","0.20769302193467","0.227671468279391"
"2 on scale 1-7 ","2005","Not Employed","direct migration background","168","0.156873045404321","0.134241568017979","0.179504522790664"
"2 on scale 1-7 ","2005","Not Employed","indirect migration background","49","0.175821226240369","0.131153653391277","0.220488799089461"
"2 on scale 1-7 ","2005","Employed","no migration background","2772","0.241666215216792","0.233629234294683","0.249703196138902"
"2 on scale 1-7 ","2005","Employed","direct migration background","294","0.217098829894172","0.195187897983057","0.239009761805287"
"2 on scale 1-7 ","2005","Employed","indirect migration background","135","0.250643387586705","0.214291734305239","0.286995040868171"
"3 on scale 1-7 ","2005","Not Employed","no migration background","1113","0.167797391099586","0.158751824883671","0.176842957315501"
"3 on scale 1-7 ","2005","Not Employed","direct migration background","143","0.157128317406145","0.134481863035785","0.179774771776506"
"3 on scale 1-7 ","2005","Not Employed","indirect migration background","48","0.179905167864685","0.134833892594809","0.224976443134561"
"3 on scale 1-7 ","2005","Employed","no migration background","2120","0.190690952091169","0.183315697677293","0.198066206505046"
"3 on scale 1-7 ","2005","Employed","direct migration background","229","0.19627993996414","0.175170874872676","0.217389005055604"
"3 on scale 1-7 ","2005","Employed","indirect migration background","101","0.192015112899093","0.158976554091677","0.225053671706509"
"4 on scale 1-7","2005","Not Employed","no migration background","1056","0.156137004975301","0.14735047262948","0.164923537321122"
