"plh0206i03","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","1-pers.-HH","in school","1","","",""
"1 Strongly disagree","2005","1-pers.-HH","inadequately","8","","",""
"1 Strongly disagree","2005","1-pers.-HH","general elemantary","141","0.329061976253442","0.284650632214003","0.373473320292882"
"1 Strongly disagree","2005","1-pers.-HH","middle vocational","450","0.305979695805895","0.282926757207021","0.329032634404769"
"1 Strongly disagree","2005","1-pers.-HH","vocational + Abi","47","0.299290486175988","0.23163434558664","0.366946626765336"
"1 Strongly disagree","2005","1-pers.-HH","higher vocational","50","0.258224513518748","0.196953505146105","0.31949552189139"
"1 Strongly disagree","2005","1-pers.-HH","higher education","169","0.337096884310882","0.297839361402284","0.37635440721948"
"1 Strongly disagree","2005","(Married) couple without C. ","in school","1","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","inadequately","18","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","general elemantary","205","0.311153540162177","0.276609579189883","0.345697501134472"
"1 Strongly disagree","2005","(Married) couple without C. ","middle vocational","991","0.287183750494081","0.272483464284997","0.301884036703166"
"1 Strongly disagree","2005","(Married) couple without C. ","vocational + Abi","75","0.224207962654613","0.180577209704307","0.26783871560492"
"1 Strongly disagree","2005","(Married) couple without C. ","higher vocational","151","0.271150886345293","0.234364172879622","0.307937599810963"
"1 Strongly disagree","2005","(Married) couple without C. ","higher education","429","0.242921994312559","0.222273396254033","0.263570592371086"
"1 Strongly disagree","2005","Single parent ","in school","19","","",""
"1 Strongly disagree","2005","Single parent ","inadequately","5","","",""
"1 Strongly disagree","2005","Single parent ","general elemantary","47","0.200013487706118","0.145389241778426","0.25463773363381"
"1 Strongly disagree","2005","Single parent ","middle vocational","134","0.25941901792277","0.222102824172938","0.296735211672602"
"1 Strongly disagree","2005","Single parent ","vocational + Abi","10","","",""
"1 Strongly disagree","2005","Single parent ","higher vocational","12","","",""
"1 Strongly disagree","2005","Single parent ","higher education","35","0.331666130424475","0.24671789056665","0.416614370282299"
"1 Strongly disagree","2005","Couple + C. LE 16 ","in school","","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","inadequately","12","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","general elemantary","63","0.219770773263542","0.170469342727214","0.269072203799869"
"1 Strongly disagree","2005","Couple + C. LE 16 ","middle vocational","357","0.195520118902457","0.177344276083386","0.213695961721528"
"1 Strongly disagree","2005","Couple + C. LE 16 ","vocational + Abi","67","0.22587950169055","0.179627986871468","0.272131016509632"
"1 Strongly disagree","2005","Couple + C. LE 16 ","higher vocational","89","0.213907903827585","0.174167107269013","0.253648700386156"
"1 Strongly disagree","2005","Couple + C. LE 16 ","higher education","185","0.229069635676783","0.200463304380642","0.257675966972924"
"1 Strongly disagree","2005","Couple + C. GT 16 ","in school","59","0.20555634207792","0.156993481111092","0.254119203044749"
"1 Strongly disagree","2005","Couple + C. GT 16 ","inadequately","16","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","general elemantary","100","0.258336886948875","0.216964515612617","0.299709258285132"
"1 Strongly disagree","2005","Couple + C. GT 16 ","middle vocational","361","0.184507252087889","0.166421082934627","0.202593421241151"
"1 Strongly disagree","2005","Couple + C. GT 16 ","vocational + Abi","30","0.173613947897891","0.117171110841629","0.230056784954153"
"1 Strongly disagree","2005","Couple + C. GT 16 ","higher vocational","40","0.246132595156089","0.187593167505632","0.304672022806545"
"1 Strongly disagree","2005","Couple + C. GT 16 ","higher education","113","0.166968519030691","0.137846209006478","0.196090829054905"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","in school","44","0.186609069514539","0.138602146942774","0.234615992086304"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","inadequately","6","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","general elemantary","59","0.244175925302603","0.190161876085052","0.298189974520154"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","middle vocational","141","0.2360634132945","0.203591460841917","0.268535365747083"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","vocational + Abi","19","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","higher vocational","24","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","higher education","73","0.265867522116202","0.214755036018588","0.316980008213816"
"2 on scale 1-7 ","2005","1-pers.-HH","in school","","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","inadequately","4","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","general elemantary","92","0.193763722369971","0.156405924693847","0.231121520046096"
"2 on scale 1-7 ","2005","1-pers.-HH","middle vocational","357","0.223738132404219","0.202889957982818","0.24458630682562"
"2 on scale 1-7 ","2005","1-pers.-HH","vocational + Abi","48","0.242077481963617","0.178795312577143","0.305359651350091"
"2 on scale 1-7 ","2005","1-pers.-HH","higher vocational","50","0.240537712659217","0.180701409999445","0.30037401531899"
"2 on scale 1-7 ","2005","1-pers.-HH","higher education","164","0.28049799541226","0.243190046059959","0.317805944764561"
"2 on scale 1-7 ","2005","(Married) couple without C. ","in school","2","","",""
"2 on scale 1-7 ","2005","(Married) couple without C. ","inadequately","7","","",""
"2 on scale 1-7 ","2005","(Married) couple without C. ","general elemantary","143","0.192860175149655","0.163421435539271","0.222298914760039"
"2 on scale 1-7 ","2005","(Married) couple without C. ","middle vocational","772","0.202743037635105","0.189680450571978","0.215805624698232"
"2 on scale 1-7 ","2005","(Married) couple without C. ","vocational + Abi","100","0.304410663298313","0.256271235772321","0.352550090824305"
"2 on scale 1-7 ","2005","(Married) couple without C. ","higher vocational","141","0.24431458172818","0.208758665393902","0.279870498062459"
"2 on scale 1-7 ","2005","(Married) couple without C. ","higher education","439","0.242832027423067","0.222186026735812","0.263478028110323"
"2 on scale 1-7 ","2005","Single parent ","in school","27","","",""
"2 on scale 1-7 ","2005","Single parent ","inadequately","1","","",""
"2 on scale 1-7 ","2005","Single parent ","general elemantary","37","0.210062334317956","0.154435417980859","0.265689250655053"
"2 on scale 1-7 ","2005","Single parent ","middle vocational","114","0.221739301189325","0.186372641515091","0.257105960863558"
"2 on scale 1-7 ","2005","Single parent ","vocational + Abi","13","","",""
"2 on scale 1-7 ","2005","Single parent ","higher vocational","14","","",""
"2 on scale 1-7 ","2005","Single parent ","higher education","42","0.349234712956498","0.263218963201215","0.435250462711781"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","in school","","","",""
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","inadequately","5","","",""
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","general elemantary","42","0.17069307691477","0.125898128111501","0.215488025718039"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","middle vocational","453","0.243287841648599","0.223624071139151","0.262951612158046"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","vocational + Abi","95","0.289233442711546","0.239083433959684","0.339383451463409"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","higher vocational","104","0.266977562378522","0.224104702653996","0.309850422103049"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","higher education","238","0.282514261320948","0.251866578087218","0.313161944554679"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","in school","58","0.20521979942119","0.156686432383275","0.253753166459104"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","inadequately","5","","",""
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","general elemantary","91","0.187414289515096","0.150529288130111","0.224299290900081"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","middle vocational","445","0.237988809792106","0.218132947173204","0.257844672411008"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","vocational + Abi","50","0.194762169168347","0.135750292509757","0.253774045826936"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","higher vocational","62","0.222127864635402","0.165637802597043","0.278617926673761"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","higher education","171","0.258649027227835","0.224455400073079","0.292842654382591"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","in school","59","0.210176057397654","0.159971331729829","0.260380783065479"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","inadequately","5","","",""
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","general elemantary","52","0.209764084086871","0.158573639496528","0.260954528677214"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","middle vocational","169","0.232120595984816","0.199837977452896","0.264403214516737"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","vocational + Abi","7","","",""
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","higher vocational","22","","",""
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","higher education","76","0.248794809162517","0.198779024067715","0.298810594257318"
"3 on scale 1-7 ","2005","1-pers.-HH","in school","1","","",""
"3 on scale 1-7 ","2005","1-pers.-HH","inadequately","5","","",""
"3 on scale 1-7 ","2005","1-pers.-HH","general elemantary","64","0.155152245607423","0.120932078725615","0.18937241248923"
"3 on scale 1-7 ","2005","1-pers.-HH","middle vocational","269","0.185856611317093","0.166397035975219","0.205316186658968"
"3 on scale 1-7 ","2005","1-pers.-HH","vocational + Abi","37","0.187744663348681","0.130051833156803","0.24543749354056"
"3 on scale 1-7 ","2005","1-pers.-HH","higher vocational","34","0.185433571002973","0.131023725845821","0.239843416160125"
"3 on scale 1-7 ","2005","1-pers.-HH","higher education","91","0.155849157127624","0.125727230134966","0.185971084120282"
"3 on scale 1-7 ","2005","(Married) couple without C. ","in school","","","",""
"3 on scale 1-7 ","2005","(Married) couple without C. ","inadequately","12","","",""
"3 on scale 1-7 ","2005","(Married) couple without C. ","general elemantary","94","0.130328795387729","0.105208700156568","0.155448890618889"
"3 on scale 1-7 ","2005","(Married) couple without C. ","middle vocational","668","0.172635281675979","0.160356074110487","0.184914489241471"
"3 on scale 1-7 ","2005","(Married) couple without C. ","vocational + Abi","73","0.190823864768455","0.149715291013195","0.231932438523715"
"3 on scale 1-7 ","2005","(Married) couple without C. ","higher vocational","101","0.157017713138036","0.126911910594317","0.187123515681755"
"3 on scale 1-7 ","2005","(Married) couple without C. ","higher education","328","0.21798961875424","0.198109864939044","0.237869372569437"
"3 on scale 1-7 ","2005","Single parent ","in school","15","","",""
"3 on scale 1-7 ","2005","Single parent ","inadequately","3","","",""
"3 on scale 1-7 ","2005","Single parent ","general elemantary","37","0.160140562308017","0.110060085067138","0.210221039548897"
"3 on scale 1-7 ","2005","Single parent ","middle vocational","80","0.14833978760236","0.118079561976427","0.178600013228294"
"3 on scale 1-7 ","2005","Single parent ","vocational + Abi","8","","",""
"3 on scale 1-7 ","2005","Single parent ","higher vocational","11","","",""
"3 on scale 1-7 ","2005","Single parent ","higher education","12","","",""
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","in school","","","",""
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","inadequately","8","","",""
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","general elemantary","47","0.169330692511399","0.124678234596748","0.213983150426049"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","middle vocational","359","0.1940195420216","0.17589670304169","0.21214238100151"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","vocational + Abi","60","0.174751691279593","0.132748113696018","0.216755268863167"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","higher vocational","78","0.187627945073073","0.149791294358264","0.225464595787882"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","higher education","176","0.204002229586964","0.176571067372064","0.231433391801864"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","in school","50","0.204743385372926","0.156251858659021","0.253234912086831"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","inadequately","7","","",""
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","general elemantary","60","0.148976156525597","0.115321659054068","0.182630653997125"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","middle vocational","303","0.175648499338547","0.157906267309064","0.19339073136803"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","vocational + Abi","36","0.29924207073853","0.231004999974575","0.367479141502484"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","higher vocational","40","0.230557052575951","0.173317814917824","0.287796290234077"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","higher education","139","0.236684915405214","0.203494321107733","0.269875509702695"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","in school","49","0.221032440143244","0.169902471609199","0.27216240867729"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","inadequately","8","","",""
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","general elemantary","40","0.157410704696046","0.111620766803813","0.203200642588279"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","middle vocational","112","0.186112527408288","0.156352358512375","0.215872696304202"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","vocational + Abi","10","","",""
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","higher vocational","25","","",""
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","higher education","64","0.227409255592393","0.178915484127564","0.275903027057222"
"4 on scale 1-7","2005","1-pers.-HH","in school","1","","",""
"4 on scale 1-7","2005","1-pers.-HH","inadequately","6","","",""
"4 on scale 1-7","2005","1-pers.-HH","general elemantary","57","0.140816888763639","0.107940500450861","0.173693277076417"
"4 on scale 1-7","2005","1-pers.-HH","middle vocational","228","0.145710650764398","0.128060759021103","0.163360542507693"
"4 on scale 1-7","2005","1-pers.-HH","vocational + Abi","21","","",""
"4 on scale 1-7","2005","1-pers.-HH","higher vocational","34","0.175809283466209","0.122518167298281","0.229100399634137"
"4 on scale 1-7","2005","1-pers.-HH","higher education","75","0.145623043620304","0.116330282596518","0.174915804644089"
"4 on scale 1-7","2005","(Married) couple without C. ","in school","1","","",""
"4 on scale 1-7","2005","(Married) couple without C. ","inadequately","10","","",""
"4 on scale 1-7","2005","(Married) couple without C. ","general elemantary","126","0.191094065151655","0.161758385381656","0.220429744921654"
"4 on scale 1-7","2005","(Married) couple without C. ","middle vocational","597","0.16236187397435","0.150379929322446","0.174343818626254"
"4 on scale 1-7","2005","(Married) couple without C. ","vocational + Abi","62","0.158059212747772","0.119895974850043","0.196222450645502"
"4 on scale 1-7","2005","(Married) couple without C. ","higher vocational","98","0.201178203605978","0.168005407718086","0.23435099949387"
"4 on scale 1-7","2005","(Married) couple without C. ","higher education","254","0.166412571323661","0.148479466766838","0.184345675880485"
"4 on scale 1-7","2005","Single parent ","in school","16","","",""
"4 on scale 1-7","2005","Single parent ","inadequately","4","","",""
"4 on scale 1-7","2005","Single parent ","general elemantary","39","0.191252674703123","0.13754644459276","0.244958904813486"
"4 on scale 1-7","2005","Single parent ","middle vocational","93","0.187083683132751","0.153882693253475","0.220284673012027"
"4 on scale 1-7","2005","Single parent ","vocational + Abi","4","","",""
"4 on scale 1-7","2005","Single parent ","higher vocational","10","","",""
"4 on scale 1-7","2005","Single parent ","higher education","15","","",""
"4 on scale 1-7","2005","Couple + C. LE 16 ","in school","1","","",""
"4 on scale 1-7","2005","Couple + C. LE 16 ","inadequately","2","","",""
"4 on scale 1-7","2005","Couple + C. LE 16 ","general elemantary","59","0.22876141141566","0.178752292285861","0.27877053054546"
"4 on scale 1-7","2005","Couple + C. LE 16 ","middle vocational","317","0.184402742551166","0.166629658096717","0.202175827005615"
"4 on scale 1-7","2005","Couple + C. LE 16 ","vocational + Abi","49","0.159119523273142","0.118660803523333","0.199578243022951"
"4 on scale 1-7","2005","Couple + C. LE 16 ","higher vocational","64","0.140047185312144","0.106414546716548","0.173679823907739"
"4 on scale 1-7","2005","Couple + C. LE 16 ","higher education","130","0.163033750129739","0.137888060095961","0.188179440163518"
"4 on scale 1-7","2005","Couple + C. GT 16 ","in school","56","0.176410481245273","0.130604217371773","0.222216745118772"
"4 on scale 1-7","2005","Couple + C. GT 16 ","inadequately","8","","",""
"4 on scale 1-7","2005","Couple + C. GT 16 ","general elemantary","87","0.203913005482406","0.165831282403598","0.241994728561214"
"4 on scale 1-7","2005","Couple + C. GT 16 ","middle vocational","353","0.222845461483896","0.203441723262961","0.242249199704831"
"4 on scale 1-7","2005","Couple + C. GT 16 ","vocational + Abi","27","","",""
"4 on scale 1-7","2005","Couple + C. GT 16 ","higher vocational","35","0.198449974397573","0.144248978886753","0.252650969908393"
"4 on scale 1-7","2005","Couple + C. GT 16 ","higher education","120","0.194248871988071","0.16335605368298","0.225141690293163"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","in school","49","0.111525822663197","0.0727377720932063","0.150313873233189"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","inadequately","5","","",""
"4 on scale 1-7","2005","Couple + C. LE and GT 16","general elemantary","35","0.146936251540376","0.102421887229321","0.191450615851431"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","middle vocational","109","0.169476076680126","0.140788379991595","0.198163773368657"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","vocational + Abi","8","","",""
"4 on scale 1-7","2005","Couple + C. LE and GT 16","higher vocational","20","","",""
"4 on scale 1-7","2005","Couple + C. LE and GT 16","higher education","33","0.103357807888481","0.0681378872461912","0.138577728530771"
"5 on scale 1-7","2005","1-pers.-HH","in school","1","","",""
"5 on scale 1-7","2005","1-pers.-HH","inadequately","2","","",""
"5 on scale 1-7","2005","1-pers.-HH","general elemantary","39","0.0914730684464152","0.0642253972520179","0.118720739640813"
