"plh0206i03","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","16-34 y.","Full Time","359","0.162003935560709","0.146207513829601","0.177800357291817","1"
"1 Strongly disagree","2005","16-34 y.","Part Time","312","0.219258239519014","0.199010451974541","0.239506027063487","1"
"1 Strongly disagree","2005","16-34 y.","Not Working","324","0.210436737307507","0.190532086311243","0.230341388303771","1"
"1 Strongly disagree","2005","35-65 y.","Full Time","1255","0.220876756015784","0.210268128326066","0.231485383705502","1"
"1 Strongly disagree","2005","35-65 y.","Part Time","795","0.263489159972236","0.247754271778711","0.279224048165761","1"
"1 Strongly disagree","2005","35-65 y.","Not Working","706","0.270546567133092","0.253730691602008","0.287362442664177","1"
"1 Strongly disagree","2005","66 and older","Full Time","11","","","","1"
"1 Strongly disagree","2005","66 and older","Part Time","61","0.375375968565763","0.306159132469636","0.44459280466189","1"
"1 Strongly disagree","2005","66 and older","Not Working","1231","0.369001270462356","0.353094516814823","0.38490802410989","1"
"2 on scale 1-7 ","2005","35-65 y.","Not Working","607","0.204297386675547","0.189035561237239","0.219559212113855","2"
"2 on scale 1-7 ","2005","16-34 y.","Full Time","502","0.247916070931065","0.229403768252164","0.266428373609966","2"
"2 on scale 1-7 ","2005","16-34 y.","Not Working","352","0.197536385289277","0.178094581900942","0.216978188677611","2"
"2 on scale 1-7 ","2005","35-65 y.","Full Time","1463","0.234382087247958","0.223549071572265","0.245215102923652","2"
"2 on scale 1-7 ","2005","35-65 y.","Part Time","762","0.247424108597442","0.2320110485188","0.262837168676084","2"
"2 on scale 1-7 ","2005","66 and older","Full Time","8","","","","2"
"2 on scale 1-7 ","2005","66 and older","Part Time","33","0.149125056074586","0.0982063517740878","0.200043760375084","2"
"2 on scale 1-7 ","2005","66 and older","Not Working","788","0.214228787349574","0.200703691432686","0.227753883266462","2"
"2 on scale 1-7 ","2005","16-34 y.","Part Time","433","0.241945068721905","0.220986837129428","0.262903300314383","2"
"3 on scale 1-7 ","2005","16-34 y.","Part Time","311","0.185647248743522","0.166619103763691","0.204675393723353","3"
"3 on scale 1-7 ","2005","16-34 y.","Full Time","441","0.225903588011468","0.207975497354905","0.243831678668032","3"
"3 on scale 1-7 ","2005","35-65 y.","Not Working","463","0.17954007261651","0.165011964291094","0.194068180941925","3"
"3 on scale 1-7 ","2005","66 and older","Full Time","4","","","","3"
"3 on scale 1-7 ","2005","16-34 y.","Not Working","284","0.183043815452555","0.164160544136599","0.201927086768511","3"
"3 on scale 1-7 ","2005","35-65 y.","Full Time","1113","0.190086030783395","0.180051994529211","0.200120067037579","3"
"3 on scale 1-7 ","2005","35-65 y.","Part Time","548","0.175530509001218","0.161942484725276","0.18911853327716","3"
"3 on scale 1-7 ","2005","66 and older","Part Time","33","0.152805116860617","0.101373547417021","0.204236686304212","3"
"3 on scale 1-7 ","2005","66 and older","Not Working","557","0.153342184756628","0.14146432574269","0.165220043770565","3"
"4 on scale 1-7","2005","16-34 y.","Part Time","278","0.180433212477518","0.161614221889208","0.199252203065827","4"
"4 on scale 1-7","2005","16-34 y.","Not Working","309","0.174451260468695","0.155919838894915","0.192982682042475","4"
"4 on scale 1-7","2005","35-65 y.","Not Working","465","0.172120275731643","0.157831358395419","0.186409193067868","4"
"4 on scale 1-7","2005","66 and older","Full Time","6","","","","4"
"4 on scale 1-7","2005","66 and older","Part Time","25","","","","4"
"4 on scale 1-7","2005","35-65 y.","Part Time","473","0.160102050671556","0.147004067713489","0.173200033629622","4"
"4 on scale 1-7","2005","35-65 y.","Full Time","1037","0.181296924751033","0.171444581149438","0.191149268352629","4"
"4 on scale 1-7","2005","66 and older","Not Working","494","0.139148054357478","0.127738828337162","0.150557280377795","4"
