"plh0206i03","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","16-34 y.","Urban Area","707","0.196453852377732","0.183372973604657","0.209534731150807","1"
"1 Strongly disagree","2005","16-34 y.","Rural Area","288","0.185652246510233","0.167491927685672","0.203812565334794","1"
"1 Strongly disagree","2005","35-65 y.","Urban Area","1858","0.243019906862527","0.233478236118639","0.252561577606415","1"
"1 Strongly disagree","2005","35-65 y.","Rural Area","898","0.245604187594704","0.231925470892053","0.259282904297355","1"
"1 Strongly disagree","2005","66 and older","Urban Area","893","0.374606040964344","0.355625171465269","0.393586910463418","1"
"1 Strongly disagree","2005","66 and older","Rural Area","410","0.354146143156229","0.327770394071272","0.380521892241186","1"
"2 on scale 1-7 ","2005","35-65 y.","Urban Area","1968","0.23841641312077","0.228936854103887","0.247895972137653","2"
"2 on scale 1-7 ","2005","16-34 y.","Urban Area","873","0.233440699851043","0.219513545102201","0.247367854599884","2"
"2 on scale 1-7 ","2005","66 and older","Rural Area","287","0.222808653529652","0.199858984802292","0.245758322257012","2"
"2 on scale 1-7 ","2005","16-34 y.","Rural Area","414","0.230249396148763","0.210586717472487","0.24991207482504","2"
"2 on scale 1-7 ","2005","35-65 y.","Rural Area","864","0.212719879964534","0.199715294323785","0.225724465605283","2"
"2 on scale 1-7 ","2005","66 and older","Urban Area","542","0.204781974090926","0.188957078815908","0.220606869365945","2"
"3 on scale 1-7 ","2005","66 and older","Urban Area","394","0.155882647691982","0.141657650973025","0.170107644410939","3"
"3 on scale 1-7 ","2005","16-34 y.","Urban Area","687","0.207401419895239","0.194052880668999","0.220749959121479","3"
"3 on scale 1-7 ","2005","35-65 y.","Rural Area","735","0.18943944753452","0.176986969675899","0.201891925393141","3"
"3 on scale 1-7 ","2005","35-65 y.","Urban Area","1389","0.181267225787135","0.172697005131764","0.189837446442507","3"
"3 on scale 1-7 ","2005","16-34 y.","Rural Area","349","0.189407936269618","0.171107195351134","0.207708677188103","3"
"3 on scale 1-7 ","2005","66 and older","Rural Area","200","0.144729802570646","0.125326436823813","0.16413316831748","3"
"4 on scale 1-7","2005","66 and older","Rural Area","187","0.146775253948351","0.127258636144519","0.166291871752183","4"
"4 on scale 1-7","2005","16-34 y.","Rural Area","361","0.205472370691895","0.186601165754672","0.224343575629118","4"
"4 on scale 1-7","2005","35-65 y.","Urban Area","1288","0.168004589272116","0.159687290358106","0.176321888186125","4"
"4 on scale 1-7","2005","66 and older","Urban Area","338","0.140775807300416","0.127137227924031","0.154414386676801","4"
"4 on scale 1-7","2005","16-34 y.","Urban Area","614","0.170284055875579","0.157908835395664","0.182659276355494","4"
"4 on scale 1-7","2005","35-65 y.","Rural Area","687","0.18617917444082","0.173809513754939","0.198548835126701","4"
"5 on scale 1-7","2005","66 and older","Rural Area","102","0.0736449649650329","0.0592401833374323","0.0880497465926336","5"
"5 on scale 1-7","2005","35-65 y.","Rural Area","327","0.0825324173767489","0.0737879072747779","0.0912769274787199","5"
"5 on scale 1-7","2005","66 and older","Urban Area","179","0.0681364749013113","0.0582550889816862","0.0780178608209363","5"
"5 on scale 1-7","2005","16-34 y.","Urban Area","372","0.100031221606852","0.0901529095307545","0.109909533682949","5"
"5 on scale 1-7","2005","16-34 y.","Rural Area","200","0.106209015314787","0.0918188067265916","0.120599223902982","5"
"5 on scale 1-7","2005","35-65 y.","Urban Area","675","0.0843451699471483","0.0781627674480852","0.0905275724462113","5"
"6 on scale 1-7","2005","66 and older","Rural Area","41","0.0293318250917403","0.0200260756612055","0.0386375745222751","6"
"6 on scale 1-7","2005","35-65 y.","Urban Area","322","0.0465909786624594","0.0419022854537021","0.0512796718712167","6"
"6 on scale 1-7","2005","66 and older","Urban Area","81","0.0310552136877888","0.0242527121273865","0.0378577152481911","6"
"6 on scale 1-7","2005","16-34 y.","Urban Area","154","0.0448341631150022","0.0380210569154904","0.051647269314514","6"
"6 on scale 1-7","2005","35-65 y.","Rural Area","165","0.0422576044980599","0.0358646055920356","0.0486506034040842","6"
"6 on scale 1-7","2005","16-34 y.","Rural Area","92","0.0537529425250881","0.0432194642069482","0.0642864208432279","6"
"7 Strongly agree","2005","66 and older","Rural Area","36","0.0285633567383487","0.0193766833052068","0.0377500301714905","7"
"7 Strongly agree","2005","66 and older","Urban Area","71","0.0247618413632315","0.0186678941863386","0.0308557885401245","7"
"7 Strongly agree","2005","35-65 y.","Urban Area","262","0.0383557163478449","0.0340832018202077","0.0426282308754821","7"
"7 Strongly agree","2005","35-65 y.","Rural Area","128","0.0412672885906136","0.0349463790199417","0.0475881981612854","7"
"7 Strongly agree","2005","16-34 y.","Urban Area","137","0.0475545872785534","0.0405478232768934","0.0545613512802134","7"
"7 Strongly agree","2005","16-34 y.","Rural Area","57","0.0292560925396155","0.0213851107008334","0.0371270743783975","7"
"1 Strongly disagree","2006","16-34 y.","Rural Area","","","","","1"
"1 Strongly disagree","2006","35-65 y.","Urban Area","","","","","1"
"1 Strongly disagree","2006","35-65 y.","Rural Area","","","","","1"
"1 Strongly disagree","2006","66 and older","Urban Area","","","","","1"
"1 Strongly disagree","2006","66 and older","Rural Area","","","","","1"
"1 Strongly disagree","2006","16-34 y.","Urban Area","","","","","1"
"2 on scale 1-7 ","2006","16-34 y.","Urban Area","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","Urban Area","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","Rural Area","","","","","2"
"2 on scale 1-7 ","2006","66 and older","Rural Area","","","","","2"
"2 on scale 1-7 ","2006","16-34 y.","Rural Area","","","","","2"
"2 on scale 1-7 ","2006","66 and older","Urban Area","","","","","2"
"3 on scale 1-7 ","2006","66 and older","Rural Area","","","","","3"
"3 on scale 1-7 ","2006","66 and older","Urban Area","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","Rural Area","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","Urban Area","","","","","3"
"3 on scale 1-7 ","2006","16-34 y.","Rural Area","","","","","3"
"3 on scale 1-7 ","2006","16-34 y.","Urban Area","","","","","3"
"4 on scale 1-7","2006","16-34 y.","Rural Area","","","","","4"
"4 on scale 1-7","2006","16-34 y.","Urban Area","","","","","4"
"4 on scale 1-7","2006","66 and older","Rural Area","","","","","4"
"4 on scale 1-7","2006","66 and older","Urban Area","","","","","4"
"4 on scale 1-7","2006","35-65 y.","Rural Area","","","","","4"
"4 on scale 1-7","2006","35-65 y.","Urban Area","","","","","4"
"5 on scale 1-7","2006","66 and older","Rural Area","","","","","5"
"5 on scale 1-7","2006","66 and older","Urban Area","","","","","5"
"5 on scale 1-7","2006","35-65 y.","Urban Area","","","","","5"
"5 on scale 1-7","2006","35-65 y.","Rural Area","","","","","5"
"5 on scale 1-7","2006","16-34 y.","Urban Area","","","","","5"
