"plh0206i03","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","Male","729","0.249439122613396","0.23432419833096","0.264554046895832"
"1 Strongly disagree","2005","Not Employed","Female","1532","0.350815615758422","0.337141632019922","0.364489599496922"
"1 Strongly disagree","2005","Employed","Male","1190","0.184407216610896","0.175136950973007","0.193677482248785"
"1 Strongly disagree","2005","Employed","Female","1603","0.268589451042899","0.257450354479851","0.279728547605948"
"2 on scale 1-7 ","2005","Not Employed","Male","648","0.188106840713428","0.174455274967099","0.201758406459756"
"2 on scale 1-7 ","2005","Not Employed","Female","1099","0.221390207619477","0.20949394062006","0.233286474618894"
"2 on scale 1-7 ","2005","Employed","Male","1576","0.222654563150563","0.212709916370194","0.232599209930932"
"2 on scale 1-7 ","2005","Employed","Female","1625","0.25843612608321","0.247434021305964","0.269438230860456"
"3 on scale 1-7 ","2005","Not Employed","Male","552","0.173144788628504","0.159927262566215","0.186362314690792"
"3 on scale 1-7 ","2005","Not Employed","Female","752","0.162506706473999","0.151936149248487","0.173077263699511"
"3 on scale 1-7 ","2005","Employed","Male","1342","0.200823197182847","0.191246959680399","0.210399434685294"
"3 on scale 1-7 ","2005","Employed","Female","1108","0.180223409384907","0.170563384615705","0.189883434154108"
"4 on scale 1-7","2005","Not Employed","Male","589","0.183260892128408","0.169746164326118","0.196775619930698"
"4 on scale 1-7","2005","Not Employed","Female","679","0.137549821155475","0.127680924714466","0.147418717596485"
"4 on scale 1-7","2005","Employed","Male","1296","0.196975504509352","0.187468645728509","0.206482363290195"
"4 on scale 1-7","2005","Employed","Female","911","0.154651751093264","0.14556475936532","0.163738742821209"
"5 on scale 1-7","2005","Not Employed","Male","328","0.105887675267105","0.0951391352752598","0.11663621525895"
"5 on scale 1-7","2005","Not Employed","Female","340","0.0689140978131908","0.0616560390277173","0.0761721565986642"
"5 on scale 1-7","2005","Employed","Male","689","0.096624496901082","0.0895622269690238","0.10368676683314"
"5 on scale 1-7","2005","Employed","Female","498","0.0745584280345635","0.0679568500664373","0.0811600060026897"
"6 on scale 1-7","2005","Not Employed","Male","162","0.0516080421691509","0.0438797532018998","0.0593363311364019"
"6 on scale 1-7","2005","Not Employed","Female","155","0.0335302162660854","0.0283721860018397","0.0386882465303311"
"6 on scale 1-7","2005","Employed","Male","329","0.0485001089792672","0.0433650875057155","0.053635130452819"
"6 on scale 1-7","2005","Employed","Female","209","0.0385154681353505","0.0336791637728727","0.0433517724978284"
"7 Strongly agree","2005","Not Employed","Male","140","0.0485526384800086","0.0410445474404316","0.0560607295195856"
"7 Strongly agree","2005","Not Employed","Female","122","0.0252933349133506","0.0207943805928826","0.0297922892338187"
"7 Strongly agree","2005","Employed","Male","301","0.0500149126659932","0.0448044692165045","0.0552253561154818"
"7 Strongly agree","2005","Employed","Female","128","0.0250253662258058","0.0210997145461918","0.0289510179054197"
"1 Strongly disagree","2006","Not Employed","Male","","","",""
"1 Strongly disagree","2006","Not Employed","Female","","","",""
"1 Strongly disagree","2006","Employed","Male","","","",""
"1 Strongly disagree","2006","Employed","Female","","","",""
"2 on scale 1-7 ","2006","Not Employed","Male","","","",""
"2 on scale 1-7 ","2006","Not Employed","Female","","","",""
"2 on scale 1-7 ","2006","Employed","Male","","","",""
"2 on scale 1-7 ","2006","Employed","Female","","","",""
"3 on scale 1-7 ","2006","Not Employed","Male","","","",""
"3 on scale 1-7 ","2006","Not Employed","Female","","","",""
"3 on scale 1-7 ","2006","Employed","Male","","","",""
"3 on scale 1-7 ","2006","Employed","Female","","","",""
