"plh0206i03","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","West Germany","1431","0.268535534961955","0.256997531410066","0.280073538513843"
"1 Strongly disagree","2005","lower secondary degree","East Germany","386","0.294581486541604","0.270582515190991","0.318580457892217"
"1 Strongly disagree","2005","secondary school degree","West Germany","936","0.25064924624491","0.236838864098453","0.264459628391367"
"1 Strongly disagree","2005","secondary school degree","East Germany","492","0.225091934644925","0.20771886097344","0.24246500831641"
"1 Strongly disagree","2005","college entrance qualification","West Germany","911","0.241056091566292","0.22789284510161","0.254219338030974"
"1 Strongly disagree","2005","college entrance qualification","East Germany","263","0.245980447999063","0.22083683226622","0.271124063731907"
"1 Strongly disagree","2005","Other degree","West Germany","324","0.290457008765843","0.2632049211715","0.317709096360187"
"1 Strongly disagree","2005","Other degree","East Germany","16","","",""
"1 Strongly disagree","2005","no degree/no degree yet","West Germany","174","0.266614734146385","0.234427233787456","0.298802234505314"
"1 Strongly disagree","2005","no degree/no degree yet","East Germany","42","0.312348937248021","0.242058874499297","0.382638999996746"
"2 on scale 1-7 ","2005","lower secondary degree","West Germany","1212","0.203133688469674","0.192659584491476","0.213607792447873"
"2 on scale 1-7 ","2005","lower secondary degree","East Germany","307","0.203576763644279","0.18237839013327","0.224775137155288"
"2 on scale 1-7 ","2005","secondary school degree","West Germany","921","0.236707304479312","0.223162232928886","0.250252376029738"
"2 on scale 1-7 ","2005","secondary school degree","East Germany","539","0.235724298733266","0.218068035048499","0.253380562418032"
"2 on scale 1-7 ","2005","college entrance qualification","West Germany","1154","0.275783041880917","0.262029414894866","0.289536668866969"
"2 on scale 1-7 ","2005","college entrance qualification","East Germany","315","0.26114890814758","0.23550355405166","0.2867942622435"
"2 on scale 1-7 ","2005","Other degree","West Germany","223","0.209598535754631","0.185164934679472","0.23403213682979"
"2 on scale 1-7 ","2005","Other degree","East Germany","9","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","West Germany","141","0.175591421092049","0.147896381789515","0.203286460394584"
"2 on scale 1-7 ","2005","no degree/no degree yet","East Germany","44","0.175620552329691","0.117911877352545","0.233329227306837"
"3 on scale 1-7 ","2005","lower secondary degree","West Germany","972","0.169455866942186","0.159689279731713","0.179222454152658"
"3 on scale 1-7 ","2005","lower secondary degree","East Germany","242","0.180283614366463","0.160045203320275","0.200522025412651"
"3 on scale 1-7 ","2005","secondary school degree","West Germany","692","0.182363819553618","0.170058884929312","0.194668754177924"
"3 on scale 1-7 ","2005","secondary school degree","East Germany","413","0.177911113731274","0.162002492877745","0.193819734584803"
"3 on scale 1-7 ","2005","college entrance qualification","West Germany","823","0.200691458661701","0.188365497654435","0.213017419668968"
"3 on scale 1-7 ","2005","college entrance qualification","East Germany","233","0.210801430831038","0.186988324303886","0.23461453735819"
"3 on scale 1-7 ","2005","Other degree","West Germany","144","0.161840605665376","0.139731226650623","0.183949984680128"
"3 on scale 1-7 ","2005","Other degree","East Germany","8","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","West Germany","133","0.211920969943065","0.182173437967581","0.241668501918549"
"3 on scale 1-7 ","2005","no degree/no degree yet","East Germany","33","0.164798014702493","0.108529998713296","0.22106603069169"
"4 on scale 1-7","2005","lower secondary degree","West Germany","974","0.175202598329401","0.16530620190665","0.185098994752152"
"4 on scale 1-7","2005","lower secondary degree","East Germany","218","0.159206035565871","0.139944494425892","0.17846757670585"
