"plh0206i03","year","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Male","1919","0.205738972608306","0.197764399845317","0.213713545371295"
"1 Strongly disagree","2005","Female","3135","0.307475409481067","0.298756853324967","0.316193965637167"
"2 on scale 1-7 ","2005","Male","2224","0.211322224447974","0.203268627272765","0.219375821623184"
"2 on scale 1-7 ","2005","Female","2724","0.240916568279822","0.232836782143183","0.248996354416461"
"3 on scale 1-7 ","2005","Male","1894","0.191744129783912","0.183978029625293","0.199510229942531"
"3 on scale 1-7 ","2005","Female","1860","0.171844920914255","0.164717277565197","0.178972564263312"
"4 on scale 1-7","2005","Male","1885","0.192476839424892","0.184699442787154","0.200254236062629"
"4 on scale 1-7","2005","Female","1590","0.146563997771994","0.139881775671266","0.153246219872721"
"5 on scale 1-7","2005","Male","1017","0.0996630032714304","0.0937536895301995","0.105572317012661"
"5 on scale 1-7","2005","Female","838","0.0718891415469966","0.0670087647801993","0.0767695183137938"
"6 on scale 1-7","2005","Male","491","0.0495195727554066","0.0452397326053974","0.0537994129054158"
"6 on scale 1-7","2005","Female","364","0.0361578694602484","0.0326307014702408","0.0396850374502561"
"7 Strongly agree","2005","Male","441","0.0495352577080786","0.0452547751271045","0.0538157402890527"
"7 Strongly agree","2005","Female","250","0.0251520925456171","0.0221935537514736","0.0281106313397607"
"1 Strongly disagree","2006","Male","","","",""
"1 Strongly disagree","2006","Female","","","",""
"2 on scale 1-7 ","2006","Male","","","",""
"2 on scale 1-7 ","2006","Female","","","",""
"3 on scale 1-7 ","2006","Male","","","",""
"3 on scale 1-7 ","2006","Female","","","",""
"4 on scale 1-7","2006","Male","","","",""
"4 on scale 1-7","2006","Female","","","",""
"5 on scale 1-7","2006","Male","","","",""
"5 on scale 1-7","2006","Female","","","",""
"6 on scale 1-7","2006","Male","","","",""
"6 on scale 1-7","2006","Female","","","",""
"7 Strongly agree","2006","Male","","","",""
"7 Strongly agree","2006","Female","","","",""
"1 Strongly disagree","2007","Male","","","",""
"1 Strongly disagree","2007","Female","","","",""
"2 on scale 1-7 ","2007","Male","","","",""
"2 on scale 1-7 ","2007","Female","","","",""
"3 on scale 1-7 ","2007","Male","","","",""
"3 on scale 1-7 ","2007","Female","","","",""
"4 on scale 1-7","2007","Male","","","",""
"4 on scale 1-7","2007","Female","","","",""
"5 on scale 1-7","2007","Male","","","",""
"5 on scale 1-7","2007","Female","","","",""
"6 on scale 1-7","2007","Male","","","",""
"6 on scale 1-7","2007","Female","","","",""
"7 Strongly agree","2007","Male","","","",""
"7 Strongly agree","2007","Female","","","",""
"1 Strongly disagree","2008","Male","","","",""
"1 Strongly disagree","2008","Female","","","",""
"2 on scale 1-7 ","2008","Male","","","",""
"2 on scale 1-7 ","2008","Female","","","",""
