"plh0206i03","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","in school","Male","46","0.132740845364801","0.0947870126309256","0.170694678098676"
"1 Strongly disagree","2005","in school","Female","81","0.266273806219378","0.219221655789611","0.313325956649146"
"1 Strongly disagree","2005","inadequately","Male","31","0.31384731328443","0.223345559377883","0.404349067190978"
"1 Strongly disagree","2005","inadequately","Female","42","0.332067874667905","0.251110575305739","0.413025174030071"
"1 Strongly disagree","2005","general elemantary","Male","162","0.219121931828316","0.190055425853706","0.248188437802926"
"1 Strongly disagree","2005","general elemantary","Female","489","0.310328442298538","0.28777955947636","0.332877325120715"
"1 Strongly disagree","2005","middle vocational","Male","933","0.202406702527209","0.191116288672842","0.213697116381575"
"1 Strongly disagree","2005","middle vocational","Female","1558","0.31045538633468","0.298055058229468","0.322855714439891"
"1 Strongly disagree","2005","vocational + Abi","Male","83","0.176346484944385","0.141743719053772","0.210949250834998"
"1 Strongly disagree","2005","vocational + Abi","Female","169","0.295889675292892","0.261224273493705","0.330555077092079"
"1 Strongly disagree","2005","higher vocational","Male","165","0.193587310114204","0.16762937114343","0.219545249084977"
"1 Strongly disagree","2005","higher vocational","Female","209","0.32319756814297","0.28765062448883","0.35874451179711"
"1 Strongly disagree","2005","higher education","Male","472","0.227110132562122","0.210013863033019","0.244206402091225"
"1 Strongly disagree","2005","higher education","Female","554","0.304613402759903","0.283652245231071","0.325574560288735"
"2 on scale 1-7 ","2005","in school","Male","65","0.168227213470453","0.126383580643168","0.210070846297737"
"2 on scale 1-7 ","2005","in school","Female","81","0.244842173089212","0.199069084422503","0.290615261755921"
"2 on scale 1-7 ","2005","inadequately","Male","19","","",""
"2 on scale 1-7 ","2005","inadequately","Female","17","","",""
"2 on scale 1-7 ","2005","general elemantary","Male","146","0.173461209711198","0.146854504488893","0.200067914933503"
"2 on scale 1-7 ","2005","general elemantary","Female","333","0.20515191758754","0.185469749479644","0.224834085695436"
"2 on scale 1-7 ","2005","middle vocational","Male","1013","0.201405761503557","0.190136234201425","0.212675288805688"
"2 on scale 1-7 ","2005","middle vocational","Female","1350","0.239331893547835","0.227896521895159","0.250767265200512"
"2 on scale 1-7 ","2005","vocational + Abi","Male","121","0.246652021893578","0.207514323139412","0.285789720647744"
"2 on scale 1-7 ","2005","vocational + Abi","Female","196","0.276678258163495","0.242702883656508","0.310653632670483"
"2 on scale 1-7 ","2005","higher vocational","Male","221","0.240401763992634","0.212327144002779","0.268476383982489"
"2 on scale 1-7 ","2005","higher vocational","Female","177","0.256186821937789","0.223009021108925","0.289364622766653"
"2 on scale 1-7 ","2005","higher education","Male","611","0.24935749105901","0.231703126883477","0.267011855234542"
"2 on scale 1-7 ","2005","higher education","Female","536","0.2835352444282","0.263008099858491","0.304062388997909"
"3 on scale 1-7 ","2005","in school","Male","54","0.187270289559898","0.143630121699713","0.230910457420083"
"3 on scale 1-7 ","2005","in school","Female","64","0.193000778036299","0.150989651265353","0.235011904807246"
"3 on scale 1-7 ","2005","inadequately","Male","19","","",""
"3 on scale 1-7 ","2005","inadequately","Female","24","","",""
"3 on scale 1-7 ","2005","general elemantary","Male","114","0.139793889147979","0.115426800238715","0.164160978057244"
"3 on scale 1-7 ","2005","general elemantary","Female","244","0.15427426477731","0.136668512090954","0.171880017463666"
"3 on scale 1-7 ","2005","middle vocational","Male","908","0.186432846613165","0.175489136331284","0.197376556895047"
"3 on scale 1-7 ","2005","middle vocational","Female","924","0.172564227936742","0.162436898807998","0.182691557065485"
"3 on scale 1-7 ","2005","vocational + Abi","Male","112","0.246211775190051","0.207097596376777","0.285325954003326"
"3 on scale 1-7 ","2005","vocational + Abi","Female","121","0.169463203473573","0.140970863247819","0.197955543699327"
"3 on scale 1-7 ","2005","higher vocational","Male","170","0.193507198044938","0.167553341624879","0.219461054464997"
"3 on scale 1-7 ","2005","higher vocational","Female","128","0.182925855884727","0.153542218891787","0.212309492877667"
"3 on scale 1-7 ","2005","higher education","Male","493","0.214062336260519","0.197324917771309","0.230799754749729"
"3 on scale 1-7 ","2005","higher education","Female","333","0.17904665914041","0.161585625540104","0.196507692740715"
"4 on scale 1-7","2005","in school","Male","64","0.175027460595989","0.132521313041849","0.21753360815013"
"4 on scale 1-7","2005","in school","Female","64","0.123427963523582","0.088413390911306","0.158442536135859"
"4 on scale 1-7","2005","inadequately","Male","16","","",""
"4 on scale 1-7","2005","inadequately","Female","23","","",""
