"plh0206i03","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","no migration background","1364","0.201472865321108","0.191987491449505","0.210958239192712"
"1 Strongly disagree","2005","Full Time","direct migration background","203","0.243083257019159","0.213451887107224","0.272714626931094"
"1 Strongly disagree","2005","Full Time","indirect migration background","58","0.147923769540217","0.109502706478575","0.186344832601859"
"1 Strongly disagree","2005","Part Time","no migration background","961","0.248819115909581","0.235471315529345","0.262166916289816"
"1 Strongly disagree","2005","Part Time","direct migration background","163","0.281902589374582","0.244470608323427","0.319334570425737"
"1 Strongly disagree","2005","Part Time","indirect migration background","44","0.23726138550122","0.180790936339872","0.293731834662567"
"1 Strongly disagree","2005","Not Working","no migration background","1869","0.309353840821356","0.298165023705164","0.320542657937548"
"1 Strongly disagree","2005","Not Working","direct migration background","340","0.345485257701052","0.315893774642355","0.37507674075975"
"1 Strongly disagree","2005","Not Working","indirect migration background","52","0.190583252652639","0.14449667598509","0.236669829320189"
"2 on scale 1-7 ","2005","Full Time","no migration background","1726","0.239766180655086","0.229669726253952","0.24986263505622"
"2 on scale 1-7 ","2005","Full Time","direct migration background","173","0.22252015032547","0.193787254770979","0.25125304587996"
"2 on scale 1-7 ","2005","Full Time","indirect migration background","74","0.23897787420231","0.192826072735191","0.285129675669429"
"2 on scale 1-7 ","2005","Part Time","no migration background","1046","0.244948955365087","0.231671296078949","0.258226614651224"
"2 on scale 1-7 ","2005","Part Time","direct migration background","121","0.209863335271032","0.175985083423211","0.243741587118852"
"2 on scale 1-7 ","2005","Part Time","indirect migration background","61","0.266229597393979","0.207557973729516","0.324901221058441"
"2 on scale 1-7 ","2005","Not Working","no migration background","1530","0.21768224510703","0.20769302193467","0.227671468279391"
"2 on scale 1-7 ","2005","Not Working","direct migration background","168","0.156873045404321","0.134241568017979","0.179504522790664"
"2 on scale 1-7 ","2005","Not Working","indirect migration background","49","0.175821226240369","0.131153653391277","0.220488799089461"
"3 on scale 1-7 ","2005","Full Time","no migration background","1357","0.197974992456532","0.188551748049652","0.207398236863412"
"3 on scale 1-7 ","2005","Full Time","direct migration background","136","0.203884126390659","0.176053050227272","0.231715202554046"
"3 on scale 1-7 ","2005","Full Time","indirect migration background","65","0.220845530812183","0.175953705972052","0.265737355652313"
"3 on scale 1-7 ","2005","Part Time","no migration background","763","0.178106122198552","0.166293593823979","0.189918650573124"
"3 on scale 1-7 ","2005","Part Time","direct migration background","93","0.186131111703631","0.153750256947907","0.218511966459355"
"3 on scale 1-7 ","2005","Part Time","indirect migration background","36","0.153494995728262","0.105645020233569","0.201344971222955"
"3 on scale 1-7 ","2005","Not Working","no migration background","1113","0.167797391099586","0.158751824883671","0.176842957315501"
"3 on scale 1-7 ","2005","Not Working","direct migration background","143","0.157128317406145","0.134481863035785","0.179774771776506"
"3 on scale 1-7 ","2005","Not Working","indirect migration background","48","0.179905167864685","0.134833892594809","0.224976443134561"
"4 on scale 1-7","2005","Full Time","no migration background","1235","0.184944456951949","0.175762915585916","0.194125998317982"
"4 on scale 1-7","2005","Full Time","direct migration background","137","0.161413003892676","0.135997807353315","0.186828200432036"
"4 on scale 1-7","2005","Full Time","indirect migration background","59","0.203591234775883","0.160014094859255","0.247168374692511"
"4 on scale 1-7","2005","Part Time","no migration background","641","0.170547923516029","0.158935725437054","0.182160121595004"
