"plh0206i03","year","education","migback","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","no migration background","1608","0.276020771409635","0.264901631450185","0.287139911369085"
"1 Strongly disagree","2005","lower secondary degree","direct migration background","159","0.254649487596178","0.219614130447675","0.28968484474468"
"1 Strongly disagree","2005","lower secondary degree","indirect migration background","50","0.209089412953209","0.158780961855972","0.259397864050447"
"1 Strongly disagree","2005","secondary school degree","no migration background","1311","0.242794489564383","0.231525163644403","0.254063815484363"
"1 Strongly disagree","2005","secondary school degree","direct migration background","78","0.295062637112999","0.237362765778031","0.352762508447967"
"1 Strongly disagree","2005","secondary school degree","indirect migration background","39","0.17508327957402","0.122675012928623","0.227491546219417"
"1 Strongly disagree","2005","college entrance qualification","no migration background","1048","0.233340119705422","0.221275124116373","0.245405115294471"
"1 Strongly disagree","2005","college entrance qualification","direct migration background","82","0.350122469837473","0.29269087104898","0.407554068625966"
"1 Strongly disagree","2005","college entrance qualification","indirect migration background","44","0.246871568471504","0.186659293311221","0.307083843631788"
"1 Strongly disagree","2005","Other degree","no migration background","32","0.310190869820732","0.223352069206091","0.397029670435372"
"1 Strongly disagree","2005","Other degree","direct migration background","305","0.296786804777547","0.268314950975488","0.325258658579607"
"1 Strongly disagree","2005","Other degree","indirect migration background","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","no migration background","140","0.260296342821604","0.224647165275669","0.295945520367538"
"1 Strongly disagree","2005","no degree/no degree yet","direct migration background","67","0.359555677740583","0.29526248842697","0.423848867054197"
"1 Strongly disagree","2005","no degree/no degree yet","indirect migration background","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","no migration background","1356","0.203063457328233","0.193057353158054","0.213069561498412"
"2 on scale 1-7 ","2005","lower secondary degree","direct migration background","116","0.199498028857199","0.167361025669855","0.231635032044542"
"2 on scale 1-7 ","2005","lower secondary degree","indirect migration background","47","0.216783644585023","0.165807690730758","0.267759598439287"
"2 on scale 1-7 ","2005","secondary school degree","no migration background","1360","0.240408173463879","0.229176708689064","0.251639638238694"
"2 on scale 1-7 ","2005","secondary school degree","direct migration background","48","0.177730728116674","0.129365776158394","0.226095680074953"
"2 on scale 1-7 ","2005","secondary school degree","indirect migration background","52","0.221836019168595","0.164540059202703","0.279131979134486"
"2 on scale 1-7 ","2005","college entrance qualification","no migration background","1371","0.284371386074102","0.271503183565904","0.2972395885823"
"2 on scale 1-7 ","2005","college entrance qualification","direct migration background","48","0.170552222615827","0.125267848500594","0.21583659673106"
"2 on scale 1-7 ","2005","college entrance qualification","indirect migration background","50","0.192461520617308","0.137410097889483","0.247512943345134"
"2 on scale 1-7 ","2005","Other degree","no migration background","","","",""
"2 on scale 1-7 ","2005","Other degree","direct migration background","205","0.207556246440282","0.182280611597995","0.23283188128257"
"2 on scale 1-7 ","2005","Other degree","indirect migration background","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","no migration background","128","0.186178408183383","0.154554476790984","0.217802339575782"
"2 on scale 1-7 ","2005","no degree/no degree yet","direct migration background","36","0.121181573828661","0.0774586621389879","0.164904485518334"
"2 on scale 1-7 ","2005","no degree/no degree yet","indirect migration background","","","",""
"3 on scale 1-7 ","2005","lower secondary degree","no migration background","1073","0.17148998771137","0.162114248339518","0.180865727083222"
"3 on scale 1-7 ","2005","lower secondary degree","direct migration background","101","0.18773118327069","0.156328051053828","0.219134315487551"
"3 on scale 1-7 ","2005","lower secondary degree","indirect migration background","40","0.114756770744716","0.0753263241019652","0.154187217387466"
"3 on scale 1-7 ","2005","secondary school degree","no migration background","1028","0.177206348997246","0.167170439220558","0.187242258773934"
"3 on scale 1-7 ","2005","secondary school degree","direct migration background","39","0.178685874755955","0.130219311243225","0.227152438268684"
"3 on scale 1-7 ","2005","secondary school degree","indirect migration background","38","0.275175480645547","0.213587819550208","0.336763141740886"
"3 on scale 1-7 ","2005","college entrance qualification","no migration background","961","0.202315345687202","0.190855965660662","0.213774725713741"
"3 on scale 1-7 ","2005","college entrance qualification","direct migration background","49","0.179596397828054","0.133380888438252","0.225811907217856"
"3 on scale 1-7 ","2005","college entrance qualification","indirect migration background","46","0.249526782139786","0.189098373132669","0.309955191146904"
"3 on scale 1-7 ","2005","Other degree","no migration background","","","",""
"3 on scale 1-7 ","2005","Other degree","direct migration background","133","0.163195649390212","0.140164468924871","0.186226829855553"
"3 on scale 1-7 ","2005","Other degree","indirect migration background","","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","no migration background","106","0.189249041538668","0.157425597516901","0.221072485560436"
"3 on scale 1-7 ","2005","no degree/no degree yet","direct migration background","43","0.242588979294657","0.185158485825959","0.300019472763355"
"3 on scale 1-7 ","2005","no degree/no degree yet","indirect migration background","","","",""
"4 on scale 1-7","2005","lower secondary degree","no migration background","1046","0.172065254097731","0.162677063334107","0.181453444861355"
"4 on scale 1-7","2005","lower secondary degree","direct migration background","99","0.169781172838969","0.139588892028436","0.199973453649502"
"4 on scale 1-7","2005","lower secondary degree","indirect migration background","47","0.204242919353907","0.15436882864416","0.254117010063654"
"4 on scale 1-7","2005","secondary school degree","no migration background","978","0.178054424308463","0.16799971407237","0.188109134544556"
"4 on scale 1-7","2005","secondary school degree","direct migration background","44","0.236755123881429","0.182974713446495","0.290535534316364"
"4 on scale 1-7","2005","secondary school degree","indirect migration background","33","0.163809738800726","0.112771601276296","0.214847876325156"
"4 on scale 1-7","2005","college entrance qualification","no migration background","733","0.15880688428635","0.148380983008897","0.169232785563804"
"4 on scale 1-7","2005","college entrance qualification","direct migration background","37","0.112472406579937","0.0744325316724507","0.150512281487423"
"4 on scale 1-7","2005","college entrance qualification","indirect migration background","","","",""
"4 on scale 1-7","2005","Other degree","no migration background","","","",""
"4 on scale 1-7","2005","Other degree","direct migration background","171","0.156225523311796","0.133597890042986","0.178853156580606"
"4 on scale 1-7","2005","Other degree","indirect migration background","","","",""
"4 on scale 1-7","2005","no degree/no degree yet","no migration background","108","0.151349747781755","0.12223306990606","0.180466425657451"
"4 on scale 1-7","2005","no degree/no degree yet","direct migration background","37","0.135651478237465","0.0897741712741791","0.181528785200751"
"4 on scale 1-7","2005","no degree/no degree yet","indirect migration background","","","",""
"5 on scale 1-7","2005","lower secondary degree","no migration background","565","0.085212680368134","0.0782680450892251","0.0921573156470429"
"5 on scale 1-7","2005","lower secondary degree","direct migration background","57","0.090100846422418","0.0670749824623484","0.113126710382488"
"5 on scale 1-7","2005","lower secondary degree","indirect migration background","38","0.145047683776561","0.101482698064708","0.188612669488414"
"5 on scale 1-7","2005","secondary school degree","no migration background","496","0.0850377100009275","0.0777064432924792","0.0923689767093757"
"5 on scale 1-7","2005","secondary school degree","direct migration background","","","",""
"5 on scale 1-7","2005","secondary school degree","indirect migration background","","","",""
"5 on scale 1-7","2005","college entrance qualification","no migration background","402","0.0765016735234904","0.0689196589465317","0.0840836881004492"
"5 on scale 1-7","2005","college entrance qualification","direct migration background","","","",""
"5 on scale 1-7","2005","college entrance qualification","indirect migration background","","","",""
"5 on scale 1-7","2005","Other degree","no migration background","","","",""
"5 on scale 1-7","2005","Other degree","direct migration background","87","0.0920405460413818","0.0740239489693862","0.110057143113377"
"5 on scale 1-7","2005","Other degree","indirect migration background","","","",""
"5 on scale 1-7","2005","no degree/no degree yet","no migration background","48","0.101854864303956","0.0772822849059549","0.126427443701958"
"5 on scale 1-7","2005","no degree/no degree yet","direct migration background","","","",""
"5 on scale 1-7","2005","no degree/no degree yet","indirect migration background","","","",""
"6 on scale 1-7","2005","lower secondary degree","no migration background","295","0.0467647205831814","0.0415130619718208","0.0520163791945421"
"6 on scale 1-7","2005","lower secondary degree","direct migration background","","","",""
"6 on scale 1-7","2005","lower secondary degree","indirect migration background","","","",""
"6 on scale 1-7","2005","secondary school degree","no migration background","232","0.0461106535872753","0.0405985003588627","0.051622806815688"
