"plh0206i03","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","1-pers.-HH","873","0.311791680788124","0.295078631000031","0.328504730576217","1"
"1 Strongly disagree","2005","(Married) couple without C. ","1882","0.278748038532673","0.268243438818874","0.289252638246472","1"
"1 Strongly disagree","2005","Single parent ","267","0.236943476643471","0.211781456236883","0.262105497050058","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","773","0.209575811374556","0.196454332097052","0.222697290652059","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","736","0.19820836247785","0.185254225302517","0.211162499653184","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","380","0.237574635827886","0.217331492404615","0.257817779251157","1"
"2 on scale 1-7 ","2005","Single parent ","254","0.232398238699732","0.20740461800373","0.257391859395735","2"
"2 on scale 1-7 ","2005","1-pers.-HH","720","0.229836397224255","0.214656655436761","0.245016139011748","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","399","0.216130595105913","0.196553005082875","0.235708185128952","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","1615","0.216024394688347","0.20638315749998","0.225665631876713","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","939","0.249029904824531","0.235088094094935","0.262971715554127","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","909","0.226108224238668","0.212515232937687","0.239701215539649","2"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","655","0.193332516403042","0.180499862808245","0.206165169997839","3"
"3 on scale 1-7 ","2005","1-pers.-HH","506","0.176312597478662","0.162563114426277","0.190062080531047","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","731","0.195824403158858","0.183030856406148","0.208617949911568","3"
"3 on scale 1-7 ","2005","Single parent ","171","0.15519628630718","0.133769188757533","0.176623383856827","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","1280","0.174230448713696","0.165344136774978","0.183116760652415","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","317","0.192534001471713","0.17377995065685","0.211288052286575","3"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","279","0.151629926847842","0.134570502163893","0.168689351531791","4"
"4 on scale 1-7","2005","(Married) couple without C. ","1153","0.169626601159136","0.160834072585577","0.178419129732695","4"
"4 on scale 1-7","2005","Single parent ","188","0.176760142604056","0.154186578048413","0.1993337071597","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","710","0.202452748803942","0.189395346238156","0.215510151369728","4"
"4 on scale 1-7","2005","1-pers.-HH","426","0.147007620056872","0.134231294036825","0.15978394607692","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","623","0.174227379775412","0.161998953996717","0.186455805554108","4"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","156","0.0951868810339618","0.0812281081605539","0.10914565390737","5"
"5 on scale 1-7","2005","Couple + C. LE 16 ","347","0.0836939636788623","0.0747660609146843","0.0926218664430403","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","343","0.0867041067112224","0.0775599780070755","0.0958482354153693","5"
"5 on scale 1-7","2005","1-pers.-HH","229","0.0697041143339129","0.060516489709046","0.0788917389587797","5"
"5 on scale 1-7","2005","(Married) couple without C. ","591","0.0891937102745395","0.0825162668081922","0.0958711537408867","5"
"5 on scale 1-7","2005","Single parent ","125","0.106803327238958","0.0885260829405145","0.125080571537402","5"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","93","0.0541876027756513","0.0434196853013339","0.0649555202499687","6"
"6 on scale 1-7","2005","Single parent ","50","0.0512257455199383","0.0381799560183447","0.064271535021532","6"
"6 on scale 1-7","2005","Couple + C. GT 16 ","174","0.0545262431831647","0.0471481477032778","0.0619043386630516","6"
"6 on scale 1-7","2005","1-pers.-HH","106","0.0341513139333543","0.0275985919597392","0.0407040359069694","6"
"6 on scale 1-7","2005","Couple + C. LE 16 ","141","0.045327789164855","0.0386213572663819","0.0520342210633281","6"
