"plh0206i03","year","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Urban Area","3458","0.260139022377425","0.252820499603635","0.267457545151216"
"1 Strongly disagree","2005","Rural Area","1596","0.253630632282617","0.24331064670306","0.263950617862174"
"2 on scale 1-7 ","2005","Urban Area","3383","0.229778023768832","0.222760113457904","0.23679593407976"
"2 on scale 1-7 ","2005","Rural Area","1565","0.219438108868142","0.209621510274465","0.229254707461819"
"3 on scale 1-7 ","2005","Urban Area","2470","0.182296212042561","0.175855521355439","0.188736902729684"
"3 on scale 1-7 ","2005","Rural Area","1284","0.179741136119399","0.170633607552879","0.188848664685919"
"4 on scale 1-7","2005","Urban Area","2240","0.162604342280289","0.156448648072933","0.168760036487645"
"4 on scale 1-7","2005","Rural Area","1235","0.182626518576381","0.173462340353642","0.19179069679912"
"5 on scale 1-7","2005","Urban Area","1226","0.0847493284958169","0.0801032795933351","0.0893953773982987"
"5 on scale 1-7","2005","Rural Area","629","0.0867269350007101","0.0800515140318281","0.0934023559695922"
"6 on scale 1-7","2005","Urban Area","557","0.0427376494868206","0.0393634836703616","0.0461118153032797"
"6 on scale 1-7","2005","Rural Area","298","0.0424278412668439","0.0376469093652677","0.0472087731684201"
"7 Strongly agree","2005","Urban Area","470","0.037695421548255","0.0345182095498311","0.0408726335466789"
"7 Strongly agree","2005","Rural Area","221","0.0354088278859067","0.0310252497542309","0.0397924060175825"
"1 Strongly disagree","2006","Urban Area","","","",""
"1 Strongly disagree","2006","Rural Area","","","",""
"2 on scale 1-7 ","2006","Urban Area","","","",""
"2 on scale 1-7 ","2006","Rural Area","","","",""
"3 on scale 1-7 ","2006","Urban Area","","","",""
"3 on scale 1-7 ","2006","Rural Area","","","",""
"4 on scale 1-7","2006","Urban Area","","","",""
"4 on scale 1-7","2006","Rural Area","","","",""
"5 on scale 1-7","2006","Urban Area","","","",""
"5 on scale 1-7","2006","Rural Area","","","",""
"6 on scale 1-7","2006","Urban Area","","","",""
"6 on scale 1-7","2006","Rural Area","","","",""
"7 Strongly agree","2006","Urban Area","","","",""
"7 Strongly agree","2006","Rural Area","","","",""
"1 Strongly disagree","2007","Urban Area","","","",""
"1 Strongly disagree","2007","Rural Area","","","",""
"2 on scale 1-7 ","2007","Urban Area","","","",""
"2 on scale 1-7 ","2007","Rural Area","","","",""
"3 on scale 1-7 ","2007","Urban Area","","","",""
"3 on scale 1-7 ","2007","Rural Area","","","",""
"4 on scale 1-7","2007","Urban Area","","","",""
"4 on scale 1-7","2007","Rural Area","","","",""
"5 on scale 1-7","2007","Urban Area","","","",""
"5 on scale 1-7","2007","Rural Area","","","",""
"6 on scale 1-7","2007","Urban Area","","","",""
"6 on scale 1-7","2007","Rural Area","","","",""
"7 Strongly agree","2007","Urban Area","","","",""
"7 Strongly agree","2007","Rural Area","","","",""
"1 Strongly disagree","2008","Urban Area","","","",""
"1 Strongly disagree","2008","Rural Area","","","",""
"2 on scale 1-7 ","2008","Urban Area","","","",""
"2 on scale 1-7 ","2008","Rural Area","","","",""
"3 on scale 1-7 ","2008","Urban Area","","","",""
"3 on scale 1-7 ","2008","Rural Area","","","",""
"4 on scale 1-7","2008","Urban Area","","","",""
"4 on scale 1-7","2008","Rural Area","","","",""
"5 on scale 1-7","2008","Urban Area","","","",""
"5 on scale 1-7","2008","Rural Area","","","",""
"6 on scale 1-7","2008","Urban Area","","","",""
"6 on scale 1-7","2008","Rural Area","","","",""
"7 Strongly agree","2008","Urban Area","","","",""
"7 Strongly agree","2008","Rural Area","","","",""
"1 Strongly disagree","2009","Urban Area","","","",""
"1 Strongly disagree","2009","Rural Area","","","",""
"2 on scale 1-7 ","2009","Urban Area","","","",""
"2 on scale 1-7 ","2009","Rural Area","","","",""
"3 on scale 1-7 ","2009","Urban Area","","","",""
"3 on scale 1-7 ","2009","Rural Area","","","",""
"4 on scale 1-7","2009","Urban Area","","","",""
"4 on scale 1-7","2009","Rural Area","","","",""
"5 on scale 1-7","2009","Urban Area","","","",""
"5 on scale 1-7","2009","Rural Area","","","",""
"6 on scale 1-7","2009","Urban Area","","","",""
"6 on scale 1-7","2009","Rural Area","","","",""
"7 Strongly agree","2009","Urban Area","","","",""
"7 Strongly agree","2009","Rural Area","","","",""
"1 Strongly disagree","2010","Urban Area","2673","0.248906533567287","0.240824593704568","0.256988473430007"
"1 Strongly disagree","2010","Rural Area","1241","0.217496460254756","0.206727015180835","0.228265905328677"
"2 on scale 1-7 ","2010","Urban Area","2792","0.235494421958481","0.227563364143738","0.243425479773224"
"2 on scale 1-7 ","2010","Rural Area","1340","0.21865376341368","0.207863692117943","0.229443834709418"
"3 on scale 1-7 ","2010","Urban Area","2154","0.194196274922246","0.186802170883295","0.201590378961197"
"3 on scale 1-7 ","2010","Rural Area","1082","0.198359809590808","0.187950051043505","0.208769568138111"
"4 on scale 1-7","2010","Urban Area","1756","0.163913252607587","0.156993617744478","0.170832887470695"
"4 on scale 1-7","2010","Rural Area","972","0.181119624707404","0.171066129851542","0.191173119563266"
"5 on scale 1-7","2010","Urban Area","931","0.0919552206342793","0.0865539952197716","0.0973564460487869"
