"plh0206i03","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","1-pers.-HH","Urban Area","624","0.317727789966393","0.297689984452537","0.337765595480249","1"
"1 Strongly disagree","2005","1-pers.-HH","Rural Area","249","0.295868543312297","0.265660363036427","0.326076723588167","1"
"1 Strongly disagree","2005","(Married) couple without C. ","Urban Area","1283","0.278781185023374","0.266018778619816","0.291543591426933","1"
"1 Strongly disagree","2005","(Married) couple without C. ","Rural Area","599","0.278677094534122","0.260180243023516","0.297173946044729","1"
"1 Strongly disagree","2005","Single parent ","Urban Area","182","0.240537096234123","0.209054120340894","0.272020072127351","1"
"1 Strongly disagree","2005","Single parent ","Rural Area","85","0.228587840443803","0.186858348920538","0.270317331967069","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","Urban Area","538","0.204964665009545","0.189259771488359","0.220669558530732","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","Rural Area","235","0.220298932063691","0.196428291587372","0.244169572540009","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","Urban Area","476","0.198676065662848","0.182319700006465","0.21503243131923","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","Rural Area","260","0.19734014798533","0.176125626496934","0.218554669473726","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","Urban Area","253","0.230580671806456","0.205790741036005","0.255370602576907","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","Rural Area","127","0.250871627706007","0.215861447974658","0.285881807437356","1"
"2 on scale 1-7 ","2005","(Married) couple without C. ","Urban Area","1132","0.218964978246162","0.207194614089198","0.230735342403125","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","Urban Area","660","0.251518432045227","0.234638225917072","0.268398638173381","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","Urban Area","254","0.214275516107022","0.190126261182033","0.23842477103201","2"
"2 on scale 1-7 ","2005","1-pers.-HH","Rural Area","187","0.210965983520107","0.183963582984369","0.237968384055844","2"
"2 on scale 1-7 ","2005","Single parent ","Rural Area","92","0.231145987415508","0.189253281567293","0.273038693263722","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","Rural Area","145","0.219657489197154","0.186222122971262","0.253092855423047","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","Rural Area","483","0.209730613619849","0.192934809368376","0.226526417871322","2"
"2 on scale 1-7 ","2005","1-pers.-HH","Urban Area","533","0.236871244229563","0.218573447656367","0.255169040802759","2"
"2 on scale 1-7 ","2005","Single parent ","Urban Area","162","0.232936811064526","0.201800576109527","0.264073046019524","2"
