"plh0206i03","year","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","5054","0.258111577307835","0.252140530636121","0.26408262397955"
"2 on scale 1-7 ","2005","4948","0.226557010710302","0.22084511416327","0.232268907257334"
"3 on scale 1-7 ","2005","3754","0.18150027387546","0.176241005439346","0.186759542311574"
"4 on scale 1-7","2005","3475","0.168841501089555","0.163729876463077","0.173953125716033"
"5 on scale 1-7","2005","1855","0.0853653777029985","0.0815525943566956","0.0891781610493013"
"6 on scale 1-7","2005","855","0.0426411403441662","0.0398841882987385","0.0453980923895939"
"7 Strongly agree","2005","691","0.036983118969683","0.0344080068444973","0.0395582310948687"
"1 Strongly disagree","2006","","","",""
"2 on scale 1-7 ","2006","","","",""
"3 on scale 1-7 ","2006","","","",""
"4 on scale 1-7","2006","","","",""
"5 on scale 1-7","2006","","","",""
"6 on scale 1-7","2006","","","",""
"7 Strongly agree","2006","","","",""
"1 Strongly disagree","2007","","","",""
"2 on scale 1-7 ","2007","","","",""
"3 on scale 1-7 ","2007","","","",""
"4 on scale 1-7","2007","","","",""
"5 on scale 1-7","2007","","","",""
"6 on scale 1-7","2007","","","",""
"7 Strongly agree","2007","","","",""
"1 Strongly disagree","2008","","","",""
"2 on scale 1-7 ","2008","","","",""
"3 on scale 1-7 ","2008","","","",""
"4 on scale 1-7","2008","","","",""
"5 on scale 1-7","2008","","","",""
"6 on scale 1-7","2008","","","",""
"7 Strongly agree","2008","","","",""
"1 Strongly disagree","2009","","","",""
"2 on scale 1-7 ","2009","","","",""
"3 on scale 1-7 ","2009","","","",""
"4 on scale 1-7","2009","","","",""
"5 on scale 1-7","2009","","","",""
"6 on scale 1-7","2009","","","",""
"7 Strongly agree","2009","","","",""
"1 Strongly disagree","2010","3914","0.239126680972508","0.232644128385461","0.245609233559554"
"2 on scale 1-7 ","2010","4132","0.230250907989939","0.223852806552293","0.236649009427585"
"3 on scale 1-7 ","2010","3236","0.195492634689593","0.189465567056743","0.201519702322444"
"4 on scale 1-7","2010","2728","0.169270635290295","0.163571664302912","0.174969606277678"
"5 on scale 1-7","2010","1483","0.0924463660364533","0.0880442962315561","0.0968484358413506"
"6 on scale 1-7","2010","623","0.0388297012859041","0.0358936877822529","0.0417657147895553"
"7 Strongly agree","2010","516","0.0345830737353078","0.0318061426464963","0.0373600048241193"
"1 Strongly disagree","2011","","","",""
"2 on scale 1-7 ","2011","","","",""
"3 on scale 1-7 ","2011","","","",""
"4 on scale 1-7","2011","","","",""
"5 on scale 1-7","2011","","","",""
"6 on scale 1-7","2011","","","",""
"7 Strongly agree","2011","","","",""
"1 Strongly disagree","2012","","","",""
"2 on scale 1-7 ","2012","","","",""
"3 on scale 1-7 ","2012","","","",""
"4 on scale 1-7","2012","","","",""
"5 on scale 1-7","2012","","","",""
"6 on scale 1-7","2012","","","",""
"7 Strongly agree","2012","","","",""
"1 Strongly disagree","2013","","","",""
"2 on scale 1-7 ","2013","","","",""
"3 on scale 1-7 ","2013","","","",""
"4 on scale 1-7","2013","","","",""
"5 on scale 1-7","2013","","","",""
"6 on scale 1-7","2013","","","",""
"7 Strongly agree","2013","","","",""
"1 Strongly disagree","2014","","","",""
"2 on scale 1-7 ","2014","","","",""
"3 on scale 1-7 ","2014","","","",""
"4 on scale 1-7","2014","","","",""
"5 on scale 1-7","2014","","","",""
"6 on scale 1-7","2014","","","",""
"7 Strongly agree","2014","","","",""
"1 Strongly disagree","2015","8949","0.311739459186181","0.306185090572771","0.317293827799592"
"2 on scale 1-7 ","2015","7544","0.286552120946113","0.281130298229383","0.291973943662843"
