"plh0206i03","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","West Germany","3842","0.258935185586991","0.252059424003183","0.265810947170799","1"
"1 Strongly disagree","2005","East Germany","1212","0.254503063077054","0.242477587480978","0.26652853867313","1"
"2 on scale 1-7 ","2005","East Germany","1233","0.227318559383454","0.215748102434676","0.238889016332233","2"
"2 on scale 1-7 ","2005","West Germany","3715","0.226383194631973","0.219814452430348","0.232951936833598","2"
"3 on scale 1-7 ","2005","West Germany","2812","0.180910490695809","0.174868295717876","0.186952685673743","3"
"3 on scale 1-7 ","2005","East Germany","942","0.184084319046819","0.173384809751115","0.194783828342523","3"
"4 on scale 1-7","2005","East Germany","849","0.172579749590929","0.162147191470113","0.183012307711746","4"
"4 on scale 1-7","2005","West Germany","2626","0.167988282224846","0.162120129693521","0.173856434756172","4"
"5 on scale 1-7","2005","West Germany","1394","0.0838191139267308","0.0794694137300474","0.0881688141234142","5"
"5 on scale 1-7","2005","East Germany","461","0.0921400969262221","0.0841552504057937","0.100124943446651","5"
"6 on scale 1-7","2005","East Germany","198","0.0386385541889785","0.0333176356872294","0.0439594726907277","6"
"6 on scale 1-7","2005","West Germany","657","0.0435546917075853","0.0403510442349741","0.0467583391801965","6"
"7 Strongly agree","2005","East Germany","145","0.0307356577865431","0.0259705229206678","0.0355007926524184","7"
"7 Strongly agree","2005","West Germany","546","0.0384090412260641","0.0353925011687416","0.0414255812833867","7"
"1 Strongly disagree","2006","West Germany","","","","","1"
"1 Strongly disagree","2006","East Germany","","","","","1"
"2 on scale 1-7 ","2006","West Germany","","","","","2"
"2 on scale 1-7 ","2006","East Germany","","","","","2"
"3 on scale 1-7 ","2006","East Germany","","","","","3"
"3 on scale 1-7 ","2006","West Germany","","","","","3"
"4 on scale 1-7","2006","West Germany","","","","","4"
"4 on scale 1-7","2006","East Germany","","","","","4"
"5 on scale 1-7","2006","East Germany","","","","","5"
"5 on scale 1-7","2006","West Germany","","","","","5"
"6 on scale 1-7","2006","East Germany","","","","","6"
"6 on scale 1-7","2006","West Germany","","","","","6"
"7 Strongly agree","2006","East Germany","","","","","7"
"7 Strongly agree","2006","West Germany","","","","","7"
"1 Strongly disagree","2007","West Germany","","","","","1"
"1 Strongly disagree","2007","East Germany","","","","","1"
"2 on scale 1-7 ","2007","East Germany","","","","","2"
"2 on scale 1-7 ","2007","West Germany","","","","","2"
"3 on scale 1-7 ","2007","West Germany","","","","","3"
"3 on scale 1-7 ","2007","East Germany","","","","","3"
"4 on scale 1-7","2007","East Germany","","","","","4"
"4 on scale 1-7","2007","West Germany","","","","","4"
"5 on scale 1-7","2007","East Germany","","","","","5"
"5 on scale 1-7","2007","West Germany","","","","","5"
"6 on scale 1-7","2007","East Germany","","","","","6"
"6 on scale 1-7","2007","West Germany","","","","","6"
"7 Strongly agree","2007","West Germany","","","","","7"
"7 Strongly agree","2007","East Germany","","","","","7"
"1 Strongly disagree","2008","West Germany","","","","","1"
"1 Strongly disagree","2008","East Germany","","","","","1"
"2 on scale 1-7 ","2008","West Germany","","","","","2"
