"plh0206i03","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","1-pers.-HH","224","0.2317856533904","0.206382967342169","0.257188339438631"
"1 Strongly disagree","2005","Full Time","(Married) couple without C. ","508","0.214593877790919","0.198009443317205","0.231178312264632"
"1 Strongly disagree","2005","Full Time","Single parent ","79","0.200724936259814","0.158762290279878","0.24268758223975"
"1 Strongly disagree","2005","Full Time","Couple + C. LE 16 ","334","0.174756487463488","0.157352492408468","0.192160482518508"
"1 Strongly disagree","2005","Full Time","Couple + C. GT 16 ","310","0.183114265582056","0.164043800119357","0.202184731044756"
"1 Strongly disagree","2005","Full Time","Couple + C. LE and GT 16","126","0.222654665650519","0.190647395106384","0.254661936194655"
"1 Strongly disagree","2005","Part Time","1-pers.-HH","113","0.261854302578965","0.222022857031956","0.301685748125973"
"1 Strongly disagree","2005","Part Time","(Married) couple without C. ","304","0.266593824077746","0.241278609744581","0.291909038410911"
"1 Strongly disagree","2005","Part Time","Single parent ","95","0.270821888145993","0.224724886736373","0.316918889555614"
"1 Strongly disagree","2005","Part Time","Couple + C. LE 16 ","277","0.240165098598493","0.216005419926592","0.264324777270394"
"1 Strongly disagree","2005","Part Time","Couple + C. GT 16 ","217","0.215523250591965","0.189792604594959","0.241253896588971"
"1 Strongly disagree","2005","Part Time","Couple + C. LE and GT 16","134","0.272719018456666","0.233991019057321","0.311447017856011"
"1 Strongly disagree","2005","Not Working","1-pers.-HH","536","0.384940309642279","0.359658918420353","0.410221700864206"
"1 Strongly disagree","2005","Not Working","(Married) couple without C. ","1070","0.320736920236385","0.305213436833874","0.336260403638896"
"1 Strongly disagree","2005","Not Working","Single parent ","93","0.238357235733891","0.196070358209967","0.280644113257816"
"1 Strongly disagree","2005","Not Working","Couple + C. LE 16 ","162","0.254136155955374","0.221070740619834","0.287201571290915"
"1 Strongly disagree","2005","Not Working","Couple + C. GT 16 ","209","0.202698872667931","0.178689705520011","0.226708039815852"
"1 Strongly disagree","2005","Not Working","Couple + C. LE and GT 16","120","0.219985358030888","0.185079547754583","0.254891168307194"
"2 on scale 1-7 ","2005","Full Time","1-pers.-HH","292","0.257604944622613","0.231278646732981","0.283931242512246"
