"plh0206i03","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","16-34 y.","995","0.193034693420844","0.182414057682525","0.203655329159164","1"
"1 Strongly disagree","2005","35-65 y.","2756","0.243821545209059","0.235996178719113","0.251646911699004","1"
"1 Strongly disagree","2005","66 and older","1303","0.368287430689989","0.352872214070811","0.383702647309168","1"
"2 on scale 1-7 ","2005","16-34 y.","1287","0.232430519071291","0.22106443609463","0.243796602047952","2"
"2 on scale 1-7 ","2005","66 and older","829","0.21034913591071","0.197323937488456","0.223374334332965","2"
"2 on scale 1-7 ","2005","35-65 y.","2832","0.230445403588223","0.222770724224337","0.23812008295211","2"
"3 on scale 1-7 ","2005","16-34 y.","1036","0.201705731544929","0.190907664442067","0.212503798647792","3"
"3 on scale 1-7 ","2005","35-65 y.","2124","0.183802231464921","0.176743452409209","0.190861010520634","3"
"3 on scale 1-7 ","2005","66 and older","594","0.152438325416628","0.140950729141962","0.163925921691295","3"
"4 on scale 1-7","2005","16-34 y.","975","0.181422625756563","0.171052572440692","0.191792679072435","4"
"4 on scale 1-7","2005","66 and older","525","0.142628610554157","0.131452665870672","0.153804555237643","4"
"4 on scale 1-7","2005","35-65 y.","1975","0.173642306654029","0.166738822893637","0.180545790414421","4"
"5 on scale 1-7","2005","16-34 y.","572","0.101986751085468","0.0938431095742674","0.110130392596669","5"
"5 on scale 1-7","2005","35-65 y.","1002","0.0837828579834702","0.0787335334024054","0.0888321825645351","5"
"5 on scale 1-7","2005","66 and older","281","0.069837656512248","0.0616921024591948","0.0779832105653012","5"
"6 on scale 1-7","2005","66 and older","122","0.0305229812694344","0.0250253113814233","0.0360206511574456","6"
"6 on scale 1-7","2005","35-65 y.","487","0.0452467752805282","0.0414588981744113","0.0490346523866452","6"
"6 on scale 1-7","2005","16-34 y.","246","0.0476573289366931","0.0419245279217508","0.0533901299516355","6"
"7 Strongly agree","2005","66 and older","107","0.0259358596468323","0.0208561308570357","0.0310155884366289","7"
"7 Strongly agree","2005","16-34 y.","194","0.0417623501842105","0.0363792250233528","0.0471454753450681","7"
"7 Strongly agree","2005","35-65 y.","390","0.0392588798197693","0.0357194880358619","0.0427982716036767","7"
"1 Strongly disagree","2006","16-34 y.","","","","","1"
"1 Strongly disagree","2006","35-65 y.","","","","","1"
"1 Strongly disagree","2006","66 and older","","","","","1"
"2 on scale 1-7 ","2006","66 and older","","","","","2"
"2 on scale 1-7 ","2006","16-34 y.","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","","","","","2"
"3 on scale 1-7 ","2006","16-34 y.","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","","","","","3"
"3 on scale 1-7 ","2006","66 and older","","","","","3"
"4 on scale 1-7","2006","66 and older","","","","","4"
"4 on scale 1-7","2006","16-34 y.","","","","","4"
"4 on scale 1-7","2006","35-65 y.","","","","","4"
"5 on scale 1-7","2006","66 and older","","","","","5"
"5 on scale 1-7","2006","16-34 y.","","","","","5"
"5 on scale 1-7","2006","35-65 y.","","","","","5"
"6 on scale 1-7","2006","66 and older","","","","","6"
"6 on scale 1-7","2006","35-65 y.","","","","","6"
"6 on scale 1-7","2006","16-34 y.","","","","","6"
"7 Strongly agree","2006","66 and older","","","","","7"
"7 Strongly agree","2006","16-34 y.","","","","","7"
"7 Strongly agree","2006","35-65 y.","","","","","7"
"1 Strongly disagree","2007","35-65 y.","","","","","1"
"1 Strongly disagree","2007","66 and older","","","","","1"
"1 Strongly disagree","2007","16-34 y.","","","","","1"
"2 on scale 1-7 ","2007","16-34 y.","","","","","2"
"2 on scale 1-7 ","2007","66 and older","","","","","2"
"2 on scale 1-7 ","2007","35-65 y.","","","","","2"
"3 on scale 1-7 ","2007","35-65 y.","","","","","3"
"3 on scale 1-7 ","2007","66 and older","","","","","3"
"3 on scale 1-7 ","2007","16-34 y.","","","","","3"
"4 on scale 1-7","2007","66 and older","","","","","4"
"4 on scale 1-7","2007","16-34 y.","","","","","4"
"4 on scale 1-7","2007","35-65 y.","","","","","4"
"5 on scale 1-7","2007","66 and older","","","","","5"
"5 on scale 1-7","2007","35-65 y.","","","","","5"
"5 on scale 1-7","2007","16-34 y.","","","","","5"
"6 on scale 1-7","2007","66 and older","","","","","6"
"6 on scale 1-7","2007","35-65 y.","","","","","6"
"6 on scale 1-7","2007","16-34 y.","","","","","6"
"7 Strongly agree","2007","66 and older","","","","","7"
"7 Strongly agree","2007","16-34 y.","","","","","7"
"7 Strongly agree","2007","35-65 y.","","","","","7"
"1 Strongly disagree","2008","35-65 y.","","","","","1"
"1 Strongly disagree","2008","66 and older","","","","","1"
"1 Strongly disagree","2008","16-34 y.","","","","","1"
"2 on scale 1-7 ","2008","66 and older","","","","","2"
"2 on scale 1-7 ","2008","16-34 y.","","","","","2"
"2 on scale 1-7 ","2008","35-65 y.","","","","","2"
"3 on scale 1-7 ","2008","66 and older","","","","","3"
"3 on scale 1-7 ","2008","35-65 y.","","","","","3"
"3 on scale 1-7 ","2008","16-34 y.","","","","","3"
"4 on scale 1-7","2008","66 and older","","","","","4"
"4 on scale 1-7","2008","35-65 y.","","","","","4"
"4 on scale 1-7","2008","16-34 y.","","","","","4"
"5 on scale 1-7","2008","66 and older","","","","","5"
"5 on scale 1-7","2008","35-65 y.","","","","","5"
"5 on scale 1-7","2008","16-34 y.","","","","","5"
"6 on scale 1-7","2008","66 and older","","","","","6"
"6 on scale 1-7","2008","35-65 y.","","","","","6"
"6 on scale 1-7","2008","16-34 y.","","","","","6"
"7 Strongly agree","2008","66 and older","","","","","7"
"7 Strongly agree","2008","16-34 y.","","","","","7"
"7 Strongly agree","2008","35-65 y.","","","","","7"
"1 Strongly disagree","2009","35-65 y.","","","","","1"
"1 Strongly disagree","2009","66 and older","","","","","1"
"1 Strongly disagree","2009","16-34 y.","","","","","1"
"2 on scale 1-7 ","2009","66 and older","","","","","2"
"2 on scale 1-7 ","2009","16-34 y.","","","","","2"
"2 on scale 1-7 ","2009","35-65 y.","","","","","2"
"3 on scale 1-7 ","2009","66 and older","","","","","3"
"3 on scale 1-7 ","2009","35-65 y.","","","","","3"
"3 on scale 1-7 ","2009","16-34 y.","","","","","3"
"4 on scale 1-7","2009","66 and older","","","","","4"
"4 on scale 1-7","2009","35-65 y.","","","","","4"
"4 on scale 1-7","2009","16-34 y.","","","","","4"
"5 on scale 1-7","2009","66 and older","","","","","5"
"5 on scale 1-7","2009","35-65 y.","","","","","5"
"5 on scale 1-7","2009","16-34 y.","","","","","5"
"6 on scale 1-7","2009","35-65 y.","","","","","6"
"6 on scale 1-7","2009","66 and older","","","","","6"
"6 on scale 1-7","2009","16-34 y.","","","","","6"
"7 Strongly agree","2009","66 and older","","","","","7"
"7 Strongly agree","2009","16-34 y.","","","","","7"
"7 Strongly agree","2009","35-65 y.","","","","","7"
"1 Strongly disagree","2010","35-65 y.","2034","0.224027769386844","0.215436727980406","0.232618810793283","1"
"1 Strongly disagree","2010","66 and older","1193","0.307270555881964","0.29300333214168","0.321537779622248","1"
"1 Strongly disagree","2010","16-34 y.","687","0.19222608342275","0.179294622023717","0.205157544821782","1"
"2 on scale 1-7 ","2010","66 and older","967","0.237986118272339","0.22481706879462","0.251155167750058","2"
"2 on scale 1-7 ","2010","35-65 y.","2268","0.227003791642086","0.218372475329587","0.235635107954584","2"
"2 on scale 1-7 ","2010","16-34 y.","897","0.228531347662466","0.214752002831813","0.242310692493119","2"
"3 on scale 1-7 ","2010","66 and older","690","0.163328200605843","0.15189664510013","0.174759756111557","3"
"3 on scale 1-7 ","2010","35-65 y.","1766","0.194891547904602","0.186729568576417","0.203053527232788","3"
"3 on scale 1-7 ","2010","16-34 y.","780","0.235796947638041","0.221866341619396","0.249727553656686","3"
"4 on scale 1-7","2010","66 and older","571","0.141124084623347","0.130357871904769","0.151890297341925","4"
"4 on scale 1-7","2010","16-34 y.","609","0.175831361443032","0.163338763930341","0.188323958955723","4"
"4 on scale 1-7","2010","35-65 y.","1548","0.180956928992695","0.173024379800189","0.188889478185201","4"
"5 on scale 1-7","2010","66 and older","323","0.0819658797864054","0.0734830033909136","0.0904487561818972","5"
"5 on scale 1-7","2010","35-65 y.","820","0.0960761027784106","0.0900039118573171","0.102148293699504","5"
"5 on scale 1-7","2010","16-34 y.","340","0.0965858748743895","0.0868920139736549","0.106279735775124","5"
"6 on scale 1-7","2010","35-65 y.","344","0.0413859043225938","0.0372817855085136","0.045490023136674","6"
"6 on scale 1-7","2010","66 and older","137","0.0331163994566188","0.0275828241011611","0.0386499748120764","6"
"6 on scale 1-7","2010","16-34 y.","142","0.0397287057206049","0.0333188874299365","0.0461385240112733","6"
"7 Strongly agree","2010","66 and older","136","0.035208761373483","0.029509229008427","0.040908293738539","7"
"7 Strongly agree","2010","16-34 y.","112","0.031299679238717","0.0255854033893119","0.0370139550881221","7"
"7 Strongly agree","2010","35-65 y.","268","0.035657954972768","0.0318370559337517","0.0394788540117842","7"
"1 Strongly disagree","2011","35-65 y.","","","","","1"
"1 Strongly disagree","2011","66 and older","","","","","1"
"1 Strongly disagree","2011","16-34 y.","","","","","1"
"2 on scale 1-7 ","2011","66 and older","","","","","2"
"2 on scale 1-7 ","2011","35-65 y.","","","","","2"
"2 on scale 1-7 ","2011","16-34 y.","","","","","2"
"3 on scale 1-7 ","2011","35-65 y.","","","","","3"
"3 on scale 1-7 ","2011","66 and older","","","","","3"
"3 on scale 1-7 ","2011","16-34 y.","","","","","3"
"4 on scale 1-7","2011","66 and older","","","","","4"
"4 on scale 1-7","2011","35-65 y.","","","","","4"
"4 on scale 1-7","2011","16-34 y.","","","","","4"
"5 on scale 1-7","2011","66 and older","","","","","5"
"5 on scale 1-7","2011","35-65 y.","","","","","5"
"5 on scale 1-7","2011","16-34 y.","","","","","5"
"6 on scale 1-7","2011","35-65 y.","","","","","6"
"6 on scale 1-7","2011","66 and older","","","","","6"
"6 on scale 1-7","2011","16-34 y.","","","","","6"
"7 Strongly agree","2011","66 and older","","","","","7"
"7 Strongly agree","2011","16-34 y.","","","","","7"
"7 Strongly agree","2011","35-65 y.","","","","","7"
"1 Strongly disagree","2012","35-65 y.","","","","","1"
"1 Strongly disagree","2012","66 and older","","","","","1"
"1 Strongly disagree","2012","16-34 y.","","","","","1"
"2 on scale 1-7 ","2012","66 and older","","","","","2"
"2 on scale 1-7 ","2012","35-65 y.","","","","","2"
"2 on scale 1-7 ","2012","16-34 y.","","","","","2"
"3 on scale 1-7 ","2012","66 and older","","","","","3"
"3 on scale 1-7 ","2012","35-65 y.","","","","","3"
"3 on scale 1-7 ","2012","16-34 y.","","","","","3"
"4 on scale 1-7","2012","66 and older","","","","","4"
"4 on scale 1-7","2012","35-65 y.","","","","","4"
"4 on scale 1-7","2012","16-34 y.","","","","","4"
"5 on scale 1-7","2012","66 and older","","","","","5"
"5 on scale 1-7","2012","35-65 y.","","","","","5"
"5 on scale 1-7","2012","16-34 y.","","","","","5"
"6 on scale 1-7","2012","66 and older","","","","","6"
"6 on scale 1-7","2012","35-65 y.","","","","","6"
"6 on scale 1-7","2012","16-34 y.","","","","","6"
"7 Strongly agree","2012","66 and older","","","","","7"
"7 Strongly agree","2012","16-34 y.","","","","","7"
"7 Strongly agree","2012","35-65 y.","","","","","7"
"1 Strongly disagree","2013","35-65 y.","","","","","1"
"1 Strongly disagree","2013","66 and older","","","","","1"
"1 Strongly disagree","2013","16-34 y.","","","","","1"
"2 on scale 1-7 ","2013","66 and older","","","","","2"
"2 on scale 1-7 ","2013","16-34 y.","","","","","2"
"2 on scale 1-7 ","2013","35-65 y.","","","","","2"
"3 on scale 1-7 ","2013","66 and older","","","","","3"
"3 on scale 1-7 ","2013","35-65 y.","","","","","3"
"3 on scale 1-7 ","2013","16-34 y.","","","","","3"
"4 on scale 1-7","2013","66 and older","","","","","4"
"4 on scale 1-7","2013","35-65 y.","","","","","4"
"4 on scale 1-7","2013","16-34 y.","","","","","4"
"5 on scale 1-7","2013","66 and older","","","","","5"
"5 on scale 1-7","2013","16-34 y.","","","","","5"
"5 on scale 1-7","2013","35-65 y.","","","","","5"
"6 on scale 1-7","2013","66 and older","","","","","6"
"6 on scale 1-7","2013","35-65 y.","","","","","6"
"6 on scale 1-7","2013","16-34 y.","","","","","6"
"7 Strongly agree","2013","66 and older","","","","","7"
"7 Strongly agree","2013","16-34 y.","","","","","7"
"7 Strongly agree","2013","35-65 y.","","","","","7"
"1 Strongly disagree","2014","35-65 y.","","","","","1"
"1 Strongly disagree","2014","66 and older","","","","","1"
"1 Strongly disagree","2014","16-34 y.","","","","","1"
"2 on scale 1-7 ","2014","66 and older","","","","","2"
"2 on scale 1-7 ","2014","16-34 y.","","","","","2"
"2 on scale 1-7 ","2014","35-65 y.","","","","","2"
"3 on scale 1-7 ","2014","66 and older","","","","","3"
"3 on scale 1-7 ","2014","35-65 y.","","","","","3"
"3 on scale 1-7 ","2014","16-34 y.","","","","","3"
"4 on scale 1-7","2014","35-65 y.","","","","","4"
"4 on scale 1-7","2014","66 and older","","","","","4"
"4 on scale 1-7","2014","16-34 y.","","","","","4"
"5 on scale 1-7","2014","66 and older","","","","","5"
"5 on scale 1-7","2014","35-65 y.","","","","","5"
"5 on scale 1-7","2014","16-34 y.","","","","","5"
"6 on scale 1-7","2014","66 and older","","","","","6"
"6 on scale 1-7","2014","35-65 y.","","","","","6"
"6 on scale 1-7","2014","16-34 y.","","","","","6"
"7 Strongly agree","2014","66 and older","","","","","7"
"7 Strongly agree","2014","16-34 y.","","","","","7"
"7 Strongly agree","2014","35-65 y.","","","","","7"
"1 Strongly disagree","2015","35-65 y.","5034","0.297651529402661","0.290368682323056","0.304934376482266","1"
"1 Strongly disagree","2015","66 and older","1721","0.355803358688818","0.342444702633686","0.36916201474395","1"
"1 Strongly disagree","2015","16-34 y.","2194","0.296184455403092","0.285203454960538","0.307165455845646","1"
"2 on scale 1-7 ","2015","66 and older","1308","0.257392316505625","0.245193266068738","0.269591366942512","2"
"2 on scale 1-7 ","2015","16-34 y.","1955","0.31603942176567","0.30485747254884","0.327221370982501","2"
"2 on scale 1-7 ","2015","35-65 y.","4281","0.287263567533609","0.28005621831346","0.294470916753757","2"
"3 on scale 1-7 ","2015","66 and older","781","0.158505489417144","0.148314970118345","0.168696008715942","3"
"3 on scale 1-7 ","2015","35-65 y.","2382","0.174541941640985","0.16849594058756","0.180587942694409","3"
"3 on scale 1-7 ","2015","16-34 y.","935","0.150006613021942","0.141418567713811","0.158594658330072","3"
"4 on scale 1-7","2015","66 and older","571","0.11662070148342","0.107664786712666","0.125576616254174","4"
"4 on scale 1-7","2015","35-65 y.","1796","0.122398945498303","0.117178492167957","0.127619398828649","4"
"4 on scale 1-7","2015","16-34 y.","776","0.12292993775892","0.115032661595276","0.130827213922565","4"
"5 on scale 1-7","2015","66 and older","299","0.0584027209522587","0.0518594085380083","0.064946033366509","5"
"5 on scale 1-7","2015","35-65 y.","878","0.0632298458914606","0.0593532690614076","0.0671064227215137","5"
"5 on scale 1-7","2015","16-34 y.","364","0.0573713771961838","0.0517783194925567","0.0629644348998109","5"
"6 on scale 1-7","2015","35-65 y.","395","0.0296033164722133","0.0269036155985343","0.0323030173458923","6"
"6 on scale 1-7","2015","66 and older","158","0.0330399297321959","0.0280525510310161","0.0380273084333756","6"
"6 on scale 1-7","2015","16-34 y.","209","0.0325764294009186","0.0283067877776633","0.0368460710241738","6"
"7 Strongly agree","2015","66 and older","96","0.0202354832205383","0.0163066267645194","0.0241643396765571","7"
"7 Strongly agree","2015","16-34 y.","208","0.0248917654532735","0.0211447488891919","0.028638782017355","7"
"7 Strongly agree","2015","35-65 y.","375","0.0253108535607687","0.0228090265795751","0.0278126805419624","7"
"1 Strongly disagree","2016","35-65 y.","1498","0.687402479978708","0.666204629508967","0.708600330448449","1"
"1 Strongly disagree","2016","66 and older","19","","","","1"
"1 Strongly disagree","2016","16-34 y.","1828","0.619664215114282","0.600476174474474","0.638852255754091","1"
"2 on scale 1-7 ","2016","66 and older","4","","","","2"
"2 on scale 1-7 ","2016","35-65 y.","144","0.132262682948518","0.116770724828422","0.147754641068614","2"
"2 on scale 1-7 ","2016","16-34 y.","248","0.115657286183133","0.103016746206263","0.128297826160004","2"
"3 on scale 1-7 ","2016","66 and older","3","","","","3"
"3 on scale 1-7 ","2016","35-65 y.","47","0.0370878988386367","0.0284461239314038","0.0457296737458696","3"
"3 on scale 1-7 ","2016","16-34 y.","97","0.0848971635677912","0.073880492878003","0.0959138342575794","3"
"4 on scale 1-7","2016","66 and older","1","","","","4"
"4 on scale 1-7","2016","35-65 y.","63","0.0737199059606069","0.0617702042458969","0.085669607675317","4"
"4 on scale 1-7","2016","16-34 y.","112","0.0834625685500599","0.0725308157415295","0.0943943213585903","4"
"5 on scale 1-7","2016","66 and older","","","","","5"
"5 on scale 1-7","2016","35-65 y.","33","0.0249711153332931","0.0178356676882963","0.03210656297829","5"
"5 on scale 1-7","2016","16-34 y.","66","0.0383595543780093","0.0307683276308784","0.0459507811251402","5"
"6 on scale 1-7","2016","35-65 y.","20","","","","6"
"6 on scale 1-7","2016","66 and older","","","","","6"
"6 on scale 1-7","2016","16-34 y.","32","0.0152348872791255","0.0103936677501954","0.0200761068080557","6"
"7 Strongly agree","2016","66 and older","","","","","7"
"7 Strongly agree","2016","16-34 y.","76","0.0427243249275982","0.0347310464612499","0.0507176033939465","7"
"7 Strongly agree","2016","35-65 y.","32","0.0185094855734782","0.0123458955914773","0.0246730755554791","7"
"1 Strongly disagree","2017","35-65 y.","778","0.799712326801835","0.774408838123656","0.825015815480014","1"
"1 Strongly disagree","2017","66 and older","33","0.891309718559076","0.789636512523502","0.99298292459465","1"
"1 Strongly disagree","2017","16-34 y.","1358","0.722622194604806","0.70216572515924","0.743078664050371","1"
"2 on scale 1-7 ","2017","66 and older","2","","","","2"
"2 on scale 1-7 ","2017","35-65 y.","86","0.0885319825998479","0.0705719463329624","0.106492018866733","2"
"2 on scale 1-7 ","2017","16-34 y.","183","0.111001066475844","0.0966477131657203","0.125354419785967","2"
"3 on scale 1-7 ","2017","66 and older","","","","","3"
"3 on scale 1-7 ","2017","35-65 y.","35","0.0439718594837658","0.0310087511391841","0.0569349678283475","3"
