"plh0206i03","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Schleswig-Holstein","1-pers.-HH","29","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","(Married) couple without C. ","85","0.286606605840552","0.229870331012327","0.343342880668778"
"1 Strongly disagree","2005","Schleswig-Holstein","Single parent ","10","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","Couple + C. LE 16 ","41","0.358399240859535","0.269191492704467","0.447606989014603"
"1 Strongly disagree","2005","Schleswig-Holstein","Couple + C. GT 16 ","21","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","Couple + C. LE and GT 16","11","","",""
"1 Strongly disagree","2005","Hamburg","1-pers.-HH","18","","",""
"1 Strongly disagree","2005","Hamburg","(Married) couple without C. ","26","","",""
"1 Strongly disagree","2005","Hamburg","Single parent ","2","","",""
"1 Strongly disagree","2005","Hamburg","Couple + C. LE 16 ","12","","",""
"1 Strongly disagree","2005","Hamburg","Couple + C. GT 16 ","10","","",""
"1 Strongly disagree","2005","Hamburg","Couple + C. LE and GT 16","3","","",""
"1 Strongly disagree","2005","Lower Saxony","1-pers.-HH","69","0.351887879627274","0.289626162033762","0.414149597220786"
"1 Strongly disagree","2005","Lower Saxony","(Married) couple without C. ","184","0.322823353860932","0.285380569351233","0.360266138370631"
"1 Strongly disagree","2005","Lower Saxony","Single parent ","25","","",""
"1 Strongly disagree","2005","Lower Saxony","Couple + C. LE 16 ","76","0.245387014036904","0.199646972169447","0.29112705590436"
"1 Strongly disagree","2005","Lower Saxony","Couple + C. GT 16 ","63","0.247212673678712","0.198639297378277","0.295786049979147"
"1 Strongly disagree","2005","Lower Saxony","Couple + C. LE and GT 16","40","0.262238453853466","0.192082293395471","0.332394614311462"
"1 Strongly disagree","2005","Bremen","1-pers.-HH","15","","",""
"1 Strongly disagree","2005","Bremen","(Married) couple without C. ","10","","",""
"1 Strongly disagree","2005","Bremen","Single parent ","7","","",""
"1 Strongly disagree","2005","Bremen","Couple + C. LE 16 ","7","","",""
"1 Strongly disagree","2005","Bremen","Couple + C. GT 16 ","5","","",""
"1 Strongly disagree","2005","Bremen","Couple + C. LE and GT 16","3","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","1-pers.-HH","153","0.279353418398921","0.242838338543773","0.315868498254068"
"1 Strongly disagree","2005","North Rhine-Westphalia","(Married) couple without C. ","410","0.283024091599868","0.260670373187711","0.305377810012024"
"1 Strongly disagree","2005","North Rhine-Westphalia","Single parent ","44","0.244695973362199","0.184044165862699","0.305347780861698"
"1 Strongly disagree","2005","North Rhine-Westphalia","Couple + C. LE 16 ","153","0.200449872667772","0.172846118478133","0.22805362685741"
"1 Strongly disagree","2005","North Rhine-Westphalia","Couple + C. GT 16 ","144","0.208239665894494","0.17888460261592","0.237594729173068"
"1 Strongly disagree","2005","North Rhine-Westphalia","Couple + C. LE and GT 16","77","0.280180078148375","0.231653384798178","0.328706771498572"
"1 Strongly disagree","2005","Hesse","1-pers.-HH","65","0.316615491539983","0.252309904481658","0.380921078598307"
"1 Strongly disagree","2005","Hesse","(Married) couple without C. ","131","0.265210557919284","0.227231755120529","0.30318936071804"
"1 Strongly disagree","2005","Hesse","Single parent ","12","","",""
"1 Strongly disagree","2005","Hesse","Couple + C. LE 16 ","52","0.181120717194562","0.136011729415564","0.226229704973559"
"1 Strongly disagree","2005","Hesse","Couple + C. GT 16 ","40","0.183633361957007","0.127070645918015","0.240196077995998"
"1 Strongly disagree","2005","Hesse","Couple + C. LE and GT 16","16","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","1-pers.-HH","73","0.369297074341112","0.299563883853426","0.439030264828797"
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","(Married) couple without C. ","121","0.344134243236425","0.296049878783295","0.392218607689554"
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","Single parent ","20","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","64","0.196969908090471","0.14706778433289","0.246872031848053"
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","57","0.235639331310912","0.175293906737747","0.295984755884078"
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","23","","",""
"1 Strongly disagree","2005","Baden-Württemberg","1-pers.-HH","104","0.344200776024843","0.29294031676445","0.395461235285235"
"1 Strongly disagree","2005","Baden-Württemberg","(Married) couple without C. ","179","0.257231666706494","0.226052570571523","0.288410762841466"
"1 Strongly disagree","2005","Baden-Württemberg","Single parent ","29","","",""
"1 Strongly disagree","2005","Baden-Württemberg","Couple + C. LE 16 ","110","0.206577849421564","0.171510160375835","0.241645538467294"
"1 Strongly disagree","2005","Baden-Württemberg","Couple + C. GT 16 ","71","0.133611888038617","0.101226884005906","0.165996892071328"
