"plh0206i03","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","West Germany","3011","0.255517724909716","0.247887032893709","0.263148416925723"
"1 Strongly disagree","2005","no migration background","East Germany","1183","0.255340779202881","0.243137755337592","0.267543803068169"
"1 Strongly disagree","2005","direct migration background","West Germany","681","0.297041492205718","0.278168650268444","0.315914334142991"
"1 Strongly disagree","2005","direct migration background","East Germany","25","","",""
"1 Strongly disagree","2005","indirect migration background","West Germany","150","0.18947059619835","0.162143729174333","0.216797463222367"
"1 Strongly disagree","2005","indirect migration background","East Germany","4","","",""
"2 on scale 1-7 ","2005","no migration background","West Germany","3105","0.233828020308051","0.226422805908039","0.241233234708064"
"2 on scale 1-7 ","2005","no migration background","East Germany","1197","0.225161835160328","0.213472724316243","0.236850946004413"
"2 on scale 1-7 ","2005","direct migration background","West Germany","436","0.188331025918801","0.172183190783092","0.20447886105451"
"2 on scale 1-7 ","2005","direct migration background","East Germany","26","","",""
"2 on scale 1-7 ","2005","indirect migration background","West Germany","174","0.224750723144211","0.195643164631582","0.253858281656841"
"2 on scale 1-7 ","2005","indirect migration background","East Germany","10","","",""
"3 on scale 1-7 ","2005","no migration background","West Germany","2316","0.180636908568598","0.173906093277371","0.187367723859824"
"3 on scale 1-7 ","2005","no migration background","East Germany","917","0.1842729355754","0.173422884108824","0.195122987041977"
"3 on scale 1-7 ","2005","direct migration background","West Germany","354","0.180541478701669","0.16465543022921","0.196427527174128"
"3 on scale 1-7 ","2005","direct migration background","East Germany","18","","",""
"3 on scale 1-7 ","2005","indirect migration background","West Germany","142","0.186983045791876","0.159794532436907","0.214171559146845"
"3 on scale 1-7 ","2005","indirect migration background","East Germany","7","","",""
"4 on scale 1-7","2005","no migration background","West Germany","2103","0.169157549507736","0.162598645729614","0.175716453285857"
"4 on scale 1-7","2005","no migration background","East Germany","829","0.173707949364126","0.163105524115314","0.184310374612938"
"4 on scale 1-7","2005","direct migration background","West Germany","385","0.163012118324189","0.147756373055212","0.178267863593166"
"4 on scale 1-7","2005","direct migration background","East Germany","13","","",""
"4 on scale 1-7","2005","indirect migration background","West Germany","138","0.164329112456705","0.13848810528468","0.19017011962873"
"4 on scale 1-7","2005","indirect migration background","East Germany","7","","",""
"5 on scale 1-7","2005","no migration background","West Germany","1095","0.0808730704052554","0.0761030972011952","0.0856430436093157"
"5 on scale 1-7","2005","no migration background","East Germany","448","0.0922397221880811","0.0841418080867525","0.10033763628941"
"5 on scale 1-7","2005","direct migration background","West Germany","199","0.0863538799678846","0.0747529225450569","0.0979548373907124"
"5 on scale 1-7","2005","direct migration background","East Germany","10","","",""
"5 on scale 1-7","2005","indirect migration background","West Germany","100","0.127069020717656","0.103844629424751","0.150293412010561"
"5 on scale 1-7","2005","indirect migration background","East Germany","3","","",""
"6 on scale 1-7","2005","no migration background","West Germany","515","0.0439773862639709","0.0403900257979505","0.0475647467299913"
"6 on scale 1-7","2005","no migration background","East Germany","192","0.0382940745109718","0.0329235646280357","0.043664584393908"
"6 on scale 1-7","2005","direct migration background","West Germany","98","0.0392706358967533","0.0312483451606066","0.0472929266329001"
"6 on scale 1-7","2005","direct migration background","East Germany","3","","",""
"6 on scale 1-7","2005","indirect migration background","West Germany","44","0.0506864308453787","0.0353901712637264","0.065982690427031"
"6 on scale 1-7","2005","indirect migration background","East Germany","3","","",""
"7 Strongly agree","2005","no migration background","West Germany","405","0.0360093400366727","0.0327496956566101","0.0392689844167353"
"7 Strongly agree","2005","no migration background","East Germany","139","0.0309827039982119","0.0261336836281647","0.0358317243682591"
"7 Strongly agree","2005","direct migration background","West Germany","99","0.0454493689849854","0.0368468168874495","0.0540519210825212"
"7 Strongly agree","2005","direct migration background","East Germany","5","","",""
"7 Strongly agree","2005","indirect migration background","West Germany","42","0.0567110708458233","0.0405826874753264","0.0728394542163203"
"7 Strongly agree","2005","indirect migration background","East Germany","1","","",""
"1 Strongly disagree","2006","no migration background","West Germany","","","",""
"1 Strongly disagree","2006","no migration background","East Germany","","","",""
"1 Strongly disagree","2006","direct migration background","West Germany","","","",""
"1 Strongly disagree","2006","direct migration background","East Germany","","","",""
"1 Strongly disagree","2006","indirect migration background","West Germany","","","",""
"1 Strongly disagree","2006","indirect migration background","East Germany","","","",""
"2 on scale 1-7 ","2006","no migration background","West Germany","","","",""
"2 on scale 1-7 ","2006","no migration background","East Germany","","","",""
"2 on scale 1-7 ","2006","direct migration background","West Germany","","","",""
"2 on scale 1-7 ","2006","direct migration background","East Germany","","","",""
"2 on scale 1-7 ","2006","indirect migration background","West Germany","","","",""
"2 on scale 1-7 ","2006","indirect migration background","East Germany","","","",""
"3 on scale 1-7 ","2006","no migration background","West Germany","","","",""
"3 on scale 1-7 ","2006","no migration background","East Germany","","","",""
"3 on scale 1-7 ","2006","direct migration background","West Germany","","","",""
"3 on scale 1-7 ","2006","direct migration background","East Germany","","","",""
"3 on scale 1-7 ","2006","indirect migration background","West Germany","","","",""
"3 on scale 1-7 ","2006","indirect migration background","East Germany","","","",""
"4 on scale 1-7","2006","no migration background","West Germany","","","",""
"4 on scale 1-7","2006","no migration background","East Germany","","","",""
"4 on scale 1-7","2006","direct migration background","West Germany","","","",""
"4 on scale 1-7","2006","direct migration background","East Germany","","","",""
"4 on scale 1-7","2006","indirect migration background","West Germany","","","",""
"4 on scale 1-7","2006","indirect migration background","East Germany","","","",""
"5 on scale 1-7","2006","no migration background","West Germany","","","",""
"5 on scale 1-7","2006","no migration background","East Germany","","","",""
"5 on scale 1-7","2006","direct migration background","West Germany","","","",""
"5 on scale 1-7","2006","direct migration background","East Germany","","","",""
