"plh0206i03","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","Male","1579","0.198948374966701","0.190390392756625","0.207506357176777"
"1 Strongly disagree","2005","no migration background","Female","2615","0.309052479624229","0.299556024666584","0.318548934581875"
"1 Strongly disagree","2005","direct migration background","Male","279","0.264451646586181","0.238517628278734","0.290385664893628"
"1 Strongly disagree","2005","direct migration background","Female","427","0.322988827726533","0.296972028337782","0.349005627115284"
"1 Strongly disagree","2005","indirect migration background","Male","61","0.158572340360991","0.122820531913675","0.194324148808306"
"1 Strongly disagree","2005","indirect migration background","Female","93","0.216277671448137","0.177089760239979","0.255465582656295"
"2 on scale 1-7 ","2005","no migration background","Male","1925","0.216927074574213","0.208091619713738","0.225762529434687"
"2 on scale 1-7 ","2005","no migration background","Female","2377","0.24619869172433","0.237345615998729","0.255051767449931"
"2 on scale 1-7 ","2005","direct migration background","Male","213","0.1776274682178","0.155153465845365","0.200101470590235"
"2 on scale 1-7 ","2005","direct migration background","Female","249","0.205096920315994","0.182632311543419","0.227561529088569"
"2 on scale 1-7 ","2005","indirect migration background","Male","86","0.202017205627188","0.162719531390373","0.241314879864004"
"2 on scale 1-7 ","2005","indirect migration background","Female","98","0.252524758670148","0.211170946473001","0.293878570867296"
"3 on scale 1-7 ","2005","no migration background","Male","1636","0.192713479245931","0.184257949433979","0.201169009057883"
"3 on scale 1-7 ","2005","no migration background","Female","1597","0.170721963969138","0.162989504615793","0.178454423322483"
"3 on scale 1-7 ","2005","direct migration background","Male","190","0.188377339474394","0.165385036531623","0.211369642417165"
"3 on scale 1-7 ","2005","direct migration background","Female","182","0.172545669671184","0.151523078286551","0.193568261055817"
"3 on scale 1-7 ","2005","indirect migration background","Male","68","0.182096540737794","0.144323862860269","0.219869218615319"
"3 on scale 1-7 ","2005","indirect migration background","Female","81","0.194351794189424","0.1566872980515","0.232016290327349"
"4 on scale 1-7","2005","no migration background","Male","1597","0.19496951775762","0.186476530945637","0.203462504569603"
"4 on scale 1-7","2005","no migration background","Female","1335","0.146610630211939","0.139341554206464","0.153879706217413"
"4 on scale 1-7","2005","direct migration background","Male","212","0.178487667515677","0.155971098645827","0.201004236385528"
"4 on scale 1-7","2005","direct migration background","Female","186","0.146251177591542","0.126591474940991","0.165910880242092"
"4 on scale 1-7","2005","indirect migration background","Male","76","0.185084587772639","0.147072887293989","0.223096288251289"
"4 on scale 1-7","2005","indirect migration background","Female","69","0.146654168333404","0.11298170380145","0.180326632865359"
"5 on scale 1-7","2005","no migration background","Male","861","0.100113667408239","0.0936792172405168","0.106548117575961"
"5 on scale 1-7","2005","no migration background","Female","682","0.0674212691409828","0.0622682224200333","0.0725743158619324"
"5 on scale 1-7","2005","direct migration background","Male","106","0.0923444379657668","0.0753206198964275","0.109368256035106"
"5 on scale 1-7","2005","direct migration background","Female","103","0.0818322095997881","0.0665816645322275","0.0970827546673487"
"5 on scale 1-7","2005","indirect migration background","Male","50","0.113972137938499","0.0828693770439484","0.145074898833049"
"5 on scale 1-7","2005","indirect migration background","Female","53","0.135592496188725","0.103005655694339","0.168179336683111"
"6 on scale 1-7","2005","no migration background","Male","409","0.0496816174810531","0.0450235759452878","0.0543396590168185"
"6 on scale 1-7","2005","no migration background","Female","298","0.0361806631727345","0.0323430698989517","0.0400182564465172"
"6 on scale 1-7","2005","direct migration background","Male","54","0.0468043857845049","0.0343842782951392","0.0592244932738706"
"6 on scale 1-7","2005","direct migration background","Female","47","0.0333108666143394","0.0233270042717944","0.0432947289568845"
"6 on scale 1-7","2005","indirect migration background","Male","","","",""
"6 on scale 1-7","2005","indirect migration background","Female","","","",""
"7 Strongly agree","2005","no migration background","Male","352","0.0466462685662433","0.0421255609635123","0.0511669761689743"
"7 Strongly agree","2005","no migration background","Female","192","0.0238143021566462","0.0206809586044419","0.0269476457088505"
"7 Strongly agree","2005","direct migration background","Male","57","0.0519070544556758","0.0388624861397422","0.0649516227716093"
"7 Strongly agree","2005","direct migration background","Female","47","0.0379743284806202","0.0273402323418132","0.0486084246194273"
"7 Strongly agree","2005","indirect migration background","Male","32","0.103319204040584","0.0735281845993476","0.133110223481821"
"7 Strongly agree","2005","indirect migration background","Female","","","",""
"1 Strongly disagree","2006","no migration background","Male","","","",""
"1 Strongly disagree","2006","no migration background","Female","","","",""
"1 Strongly disagree","2006","direct migration background","Male","","","",""
"1 Strongly disagree","2006","direct migration background","Female","","","",""
"1 Strongly disagree","2006","indirect migration background","Male","","","",""
"1 Strongly disagree","2006","indirect migration background","Female","","","",""
"2 on scale 1-7 ","2006","no migration background","Male","","","",""
"2 on scale 1-7 ","2006","no migration background","Female","","","",""
"2 on scale 1-7 ","2006","direct migration background","Male","","","",""
"2 on scale 1-7 ","2006","direct migration background","Female","","","",""
"2 on scale 1-7 ","2006","indirect migration background","Male","","","",""
"2 on scale 1-7 ","2006","indirect migration background","Female","","","",""
"3 on scale 1-7 ","2006","no migration background","Male","","","",""
"3 on scale 1-7 ","2006","no migration background","Female","","","",""
"3 on scale 1-7 ","2006","direct migration background","Male","","","",""
"3 on scale 1-7 ","2006","direct migration background","Female","","","",""
"3 on scale 1-7 ","2006","indirect migration background","Male","","","",""
"3 on scale 1-7 ","2006","indirect migration background","Female","","","",""
"4 on scale 1-7","2006","no migration background","Male","","","",""
"4 on scale 1-7","2006","no migration background","Female","","","",""
"4 on scale 1-7","2006","direct migration background","Male","","","",""
"4 on scale 1-7","2006","direct migration background","Female","","","",""
"4 on scale 1-7","2006","indirect migration background","Male","","","",""
"4 on scale 1-7","2006","indirect migration background","Female","","","",""
"5 on scale 1-7","2006","no migration background","Male","","","",""
"5 on scale 1-7","2006","no migration background","Female","","","",""
"5 on scale 1-7","2006","direct migration background","Male","","","",""
"5 on scale 1-7","2006","direct migration background","Female","","","",""
"5 on scale 1-7","2006","indirect migration background","Male","","","",""
"5 on scale 1-7","2006","indirect migration background","Female","","","",""
"6 on scale 1-7","2006","no migration background","Male","","","",""
"6 on scale 1-7","2006","no migration background","Female","","","",""
"6 on scale 1-7","2006","direct migration background","Male","","","",""
"6 on scale 1-7","2006","direct migration background","Female","","","",""
"6 on scale 1-7","2006","indirect migration background","Male","","","",""
"6 on scale 1-7","2006","indirect migration background","Female","","","",""
"7 Strongly agree","2006","no migration background","Male","","","",""
"7 Strongly agree","2006","no migration background","Female","","","",""
"7 Strongly agree","2006","direct migration background","Male","","","",""
"7 Strongly agree","2006","direct migration background","Female","","","",""
"7 Strongly agree","2006","indirect migration background","Male","","","",""
"7 Strongly agree","2006","indirect migration background","Female","","","",""
"1 Strongly disagree","2007","no migration background","Male","","","",""
