"plh0206i03","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","in school","West Germany","95","0.187464075089438","0.153220576380316","0.221707573798561"
"1 Strongly disagree","2005","in school","East Germany","32","0.261967717119413","0.190887132527426","0.3330483017114"
"1 Strongly disagree","2005","inadequately","West Germany","66","0.317129383305694","0.254634315482438","0.37962445112895"
"1 Strongly disagree","2005","inadequately","East Germany","","","",""
"1 Strongly disagree","2005","general elemantary","West Germany","569","0.283118432394732","0.263635440454174","0.302601424335291"
"1 Strongly disagree","2005","general elemantary","East Germany","82","0.26240197383469","0.215707625020779","0.309096322648601"
"1 Strongly disagree","2005","middle vocational","West Germany","1867","0.258025925115007","0.248180395419961","0.267871454810053"
"1 Strongly disagree","2005","middle vocational","East Germany","624","0.255364259798805","0.238685923528298","0.272042596069312"
"1 Strongly disagree","2005","vocational + Abi","West Germany","228","0.255208237394654","0.227771845330381","0.282644629458928"
"1 Strongly disagree","2005","vocational + Abi","East Germany","","","",""
"1 Strongly disagree","2005","higher vocational","West Germany","266","0.245032090727563","0.220009867798423","0.270054313656704"
"1 Strongly disagree","2005","higher vocational","East Germany","108","0.248142723401547","0.206833985940208","0.289451460862887"
"1 Strongly disagree","2005","higher education","West Germany","697","0.256181453480641","0.240310331475402","0.27205257548588"
"1 Strongly disagree","2005","higher education","East Germany","329","0.275372295443008","0.250638535289133","0.300106055596882"
"2 on scale 1-7 ","2005","in school","West Germany","104","0.208045908532695","0.172431362633016","0.243660454432375"
"2 on scale 1-7 ","2005","in school","East Germany","42","0.205242156641173","0.139953141170214","0.270531172112133"
"2 on scale 1-7 ","2005","inadequately","West Germany","35","0.136685854211781","0.0905536183864484","0.182818090037113"
"2 on scale 1-7 ","2005","inadequately","East Germany","","","",""
"2 on scale 1-7 ","2005","general elemantary","West Germany","414","0.196654759826295","0.179465735940961","0.213843783711628"
"2 on scale 1-7 ","2005","general elemantary","East Germany","65","0.180565722563586","0.139738896365274","0.221392548761898"
"2 on scale 1-7 ","2005","middle vocational","West Germany","1776","0.223829268148169","0.214450406759331","0.233208129537007"
"2 on scale 1-7 ","2005","middle vocational","East Germany","587","0.20831991978928","0.192787433147465","0.223852406431094"
"2 on scale 1-7 ","2005","vocational + Abi","West Germany","264","0.254665577976699","0.227248388276807","0.28208276767659"
"2 on scale 1-7 ","2005","vocational + Abi","East Germany","53","0.343326554191374","0.270209445663954","0.416443662718794"
"2 on scale 1-7 ","2005","higher vocational","West Germany","285","0.240711144878118","0.215839656686499","0.265582633069737"
"2 on scale 1-7 ","2005","higher vocational","East Germany","113","0.269340889449714","0.226914898719936","0.311766880179492"
"2 on scale 1-7 ","2005","higher education","West Germany","791","0.263156220582639","0.247146092106126","0.279166349059152"
"2 on scale 1-7 ","2005","higher education","East Germany","356","0.267600425730733","0.24308779080829","0.292113060653177"
"3 on scale 1-7 ","2005","in school","West Germany","90","0.198822106185484","0.163803840605499","0.233840371765469"
"3 on scale 1-7 ","2005","in school","East Germany","","","",""
"3 on scale 1-7 ","2005","inadequately","West Germany","39","0.216177082427359","0.16089656574193","0.271457599112788"
"3 on scale 1-7 ","2005","inadequately","East Germany","","","",""
"3 on scale 1-7 ","2005","general elemantary","West Germany","296","0.146152400183083","0.130875296422119","0.161429503944046"
"3 on scale 1-7 ","2005","general elemantary","East Germany","62","0.178174546603992","0.137559820697172","0.218789272510811"
"3 on scale 1-7 ","2005","middle vocational","West Germany","1355","0.179388595977648","0.170755248151592","0.188021943803704"
"3 on scale 1-7 ","2005","middle vocational","East Germany","477","0.179254033146007","0.164583713496116","0.193924352795898"
"3 on scale 1-7 ","2005","vocational + Abi","West Germany","192","0.197936790574008","0.17286243479022","0.223011146357796"
"3 on scale 1-7 ","2005","vocational + Abi","East Germany","41","0.247350055753045","0.180907993016106","0.313792118489984"
"3 on scale 1-7 ","2005","higher vocational","West Germany","226","0.197173315807476","0.174026826497952","0.220319805116999"
"3 on scale 1-7 ","2005","higher vocational","East Germany","72","0.159608619885794","0.124582469210625","0.194634770560964"
"3 on scale 1-7 ","2005","higher education","West Germany","580","0.198268508706849","0.183772727431979","0.212764289981719"
"3 on scale 1-7 ","2005","higher education","East Germany","246","0.20051820859343","0.178348818159018","0.222687599027842"
"4 on scale 1-7","2005","in school","West Germany","103","0.14617373876535","0.115176911009056","0.177170566521645"
"4 on scale 1-7","2005","in school","East Germany","","","",""
"4 on scale 1-7","2005","inadequately","West Germany","37","0.154483353831861","0.105947774803744","0.203018932859978"
"4 on scale 1-7","2005","inadequately","East Germany","","","",""
"4 on scale 1-7","2005","general elemantary","West Germany","359","0.177152680001606","0.160641376353435","0.193663983649776"
"4 on scale 1-7","2005","general elemantary","East Germany","60","0.180532650864469","0.139708739891931","0.221356561837008"
"4 on scale 1-7","2005","middle vocational","West Germany","1292","0.170495986382451","0.162033862581939","0.178958110182962"
"4 on scale 1-7","2005","middle vocational","East Germany","454","0.181669407972298","0.166922328385435","0.19641648755916"
"4 on scale 1-7","2005","vocational + Abi","West Germany","152","0.148887678620549","0.126485768930751","0.171289588310348"
"4 on scale 1-7","2005","vocational + Abi","East Germany","","","",""
"4 on scale 1-7","2005","higher vocational","West Germany","189","0.179752439122343","0.157413629335459","0.202091248909227"
"4 on scale 1-7","2005","higher vocational","East Germany","73","0.17399671843041","0.13774030328762","0.2102531335732"
"4 on scale 1-7","2005","higher education","West Germany","451","0.157420584653092","0.144179106479952","0.170662062826233"
"4 on scale 1-7","2005","higher education","East Germany","196","0.162177514416043","0.141767473213797","0.18258755561829"
"5 on scale 1-7","2005","in school","West Germany","58","0.134852181176999","0.104883200998174","0.164821161355824"
"5 on scale 1-7","2005","in school","East Germany","","","",""
"5 on scale 1-7","2005","inadequately","West Germany","","","",""
"5 on scale 1-7","2005","inadequately","East Germany","","","",""
"5 on scale 1-7","2005","general elemantary","West Germany","196","0.0876265947685998","0.0753986871869396","0.09985450235026"
"5 on scale 1-7","2005","general elemantary","East Germany","46","0.126038147031228","0.0908117565605647","0.161264537501891"
"5 on scale 1-7","2005","middle vocational","West Germany","686","0.0837999536367954","0.0775650450151637","0.0900348622584271"
"5 on scale 1-7","2005","middle vocational","East Germany","261","0.093286591539302","0.0821629915793231","0.104410191499281"
"5 on scale 1-7","2005","vocational + Abi","West Germany","81","0.0802490076926141","0.0631521147644335","0.0973459006207947"
"5 on scale 1-7","2005","vocational + Abi","East Germany","","","",""
"5 on scale 1-7","2005","higher vocational","West Germany","99","0.077673254406753","0.0621018310515633","0.0932446777619427"
"5 on scale 1-7","2005","higher vocational","East Germany","33","0.102552568088383","0.0735389943932088","0.131566141783558"
"5 on scale 1-7","2005","higher education","West Germany","244","0.0764330113497553","0.0667730592705843","0.0860929634289264"
