"plh0206i03","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","Urban Area","1544","0.313353890574157","0.300723251582703","0.32598452956561"
"1 Strongly disagree","2005","Not Employed","Rural Area","717","0.304978779363944","0.28743645995048","0.322521098777407"
"1 Strongly disagree","2005","Employed","Urban Area","1914","0.224331313694567","0.215526868844226","0.233135758544907"
"1 Strongly disagree","2005","Employed","Rural Area","879","0.218904268046911","0.206371837001345","0.231436699092477"
"2 on scale 1-7 ","2005","Not Employed","Urban Area","1151","0.207732967205881","0.196686337417299","0.218779596994464"
"2 on scale 1-7 ","2005","Not Employed","Rural Area","596","0.209333691866476","0.193832347867677","0.224835035865275"
"2 on scale 1-7 ","2005","Employed","Urban Area","2232","0.244611903660914","0.235539073939976","0.253684733381852"
"2 on scale 1-7 ","2005","Employed","Rural Area","969","0.226271649806505","0.213590302303147","0.238952997309862"
"3 on scale 1-7 ","2005","Not Employed","Urban Area","860","0.168958879365562","0.158755522844191","0.179162235886933"
"3 on scale 1-7 ","2005","Not Employed","Rural Area","444","0.161761480903012","0.147730936094059","0.175792025711965"
"3 on scale 1-7 ","2005","Employed","Urban Area","1610","0.191270758805297","0.18296948456441","0.199572033046183"
"3 on scale 1-7 ","2005","Employed","Rural Area","840","0.191900641210942","0.179965524484545","0.203835757937339"
"4 on scale 1-7","2005","Not Employed","Urban Area","807","0.151955766722881","0.142180938353131","0.161730595092632"
"4 on scale 1-7","2005","Not Employed","Rural Area","461","0.163695059945264","0.149597196849288","0.17779292304124"
"4 on scale 1-7","2005","Employed","Urban Area","1433","0.169769653486875","0.161845584809245","0.177693722164506"
"4 on scale 1-7","2005","Employed","Rural Area","774","0.195429721131988","0.18341168858853","0.207447753675447"
"5 on scale 1-7","2005","Not Employed","Urban Area","428","0.0796050614628511","0.0722345309789705","0.0869755919467317"
"5 on scale 1-7","2005","Not Employed","Rural Area","240","0.0921800872070443","0.0811578036160074","0.103202370798081"
"5 on scale 1-7","2005","Employed","Urban Area","798","0.0882108500882839","0.0822249824185521","0.0941967177580157"
"5 on scale 1-7","2005","Employed","Rural Area","389","0.0830390093302867","0.0746758073304776","0.0914022113300958"
"6 on scale 1-7","2005","Not Employed","Urban Area","211","0.0430849378360006","0.0375560124956173","0.0486138631763839"
"6 on scale 1-7","2005","Not Employed","Rural Area","106","0.0353702586780518","0.0283322043802177","0.0424083129758859"
"6 on scale 1-7","2005","Employed","Urban Area","346","0.0425039629165483","0.0382459977666634","0.0467619280664332"
"6 on scale 1-7","2005","Employed","Rural Area","192","0.0472008310928215","0.0407734865031177","0.0536281756825252"
"7 Strongly agree","2005","Not Employed","Urban Area","180","0.0353084968326668","0.030283044753749","0.0403339489115847"
"7 Strongly agree","2005","Not Employed","Rural Area","82","0.0326806420362078","0.0259060460486522","0.0394552380237633"
"7 Strongly agree","2005","Employed","Urban Area","290","0.0393015573475154","0.035200297168709","0.0434028175263218"
"7 Strongly agree","2005","Employed","Rural Area","139","0.0372538793805457","0.0315140667251138","0.0429936920359776"
"1 Strongly disagree","2006","Not Employed","Urban Area","","","",""
"1 Strongly disagree","2006","Not Employed","Rural Area","","","",""
"1 Strongly disagree","2006","Employed","Urban Area","","","",""
"1 Strongly disagree","2006","Employed","Rural Area","","","",""
"2 on scale 1-7 ","2006","Not Employed","Urban Area","","","",""
"2 on scale 1-7 ","2006","Not Employed","Rural Area","","","",""
"2 on scale 1-7 ","2006","Employed","Urban Area","","","",""
"2 on scale 1-7 ","2006","Employed","Rural Area","","","",""
"3 on scale 1-7 ","2006","Not Employed","Urban Area","","","",""
"3 on scale 1-7 ","2006","Not Employed","Rural Area","","","",""
"3 on scale 1-7 ","2006","Employed","Urban Area","","","",""
"3 on scale 1-7 ","2006","Employed","Rural Area","","","",""
"4 on scale 1-7","2006","Not Employed","Urban Area","","","",""
"4 on scale 1-7","2006","Not Employed","Rural Area","","","",""
"4 on scale 1-7","2006","Employed","Urban Area","","","",""
"4 on scale 1-7","2006","Employed","Rural Area","","","",""
"5 on scale 1-7","2006","Not Employed","Urban Area","","","",""
"5 on scale 1-7","2006","Not Employed","Rural Area","","","",""
"5 on scale 1-7","2006","Employed","Urban Area","","","",""
"5 on scale 1-7","2006","Employed","Rural Area","","","",""
"6 on scale 1-7","2006","Not Employed","Urban Area","","","",""
"6 on scale 1-7","2006","Not Employed","Rural Area","","","",""
"6 on scale 1-7","2006","Employed","Urban Area","","","",""
"6 on scale 1-7","2006","Employed","Rural Area","","","",""
"7 Strongly agree","2006","Not Employed","Urban Area","","","",""
"7 Strongly agree","2006","Not Employed","Rural Area","","","",""
"7 Strongly agree","2006","Employed","Urban Area","","","",""
"7 Strongly agree","2006","Employed","Rural Area","","","",""
"1 Strongly disagree","2007","Not Employed","Urban Area","","","",""
"1 Strongly disagree","2007","Not Employed","Rural Area","","","",""
"1 Strongly disagree","2007","Employed","Urban Area","","","",""
"1 Strongly disagree","2007","Employed","Rural Area","","","",""
"2 on scale 1-7 ","2007","Not Employed","Urban Area","","","",""
"2 on scale 1-7 ","2007","Not Employed","Rural Area","","","",""
"2 on scale 1-7 ","2007","Employed","Urban Area","","","",""
"2 on scale 1-7 ","2007","Employed","Rural Area","","","",""
"3 on scale 1-7 ","2007","Not Employed","Urban Area","","","",""
"3 on scale 1-7 ","2007","Not Employed","Rural Area","","","",""
"3 on scale 1-7 ","2007","Employed","Urban Area","","","",""
"3 on scale 1-7 ","2007","Employed","Rural Area","","","",""
"4 on scale 1-7","2007","Not Employed","Urban Area","","","",""
"4 on scale 1-7","2007","Not Employed","Rural Area","","","",""
"4 on scale 1-7","2007","Employed","Urban Area","","","",""
"4 on scale 1-7","2007","Employed","Rural Area","","","",""
"5 on scale 1-7","2007","Not Employed","Urban Area","","","",""
"5 on scale 1-7","2007","Not Employed","Rural Area","","","",""
"5 on scale 1-7","2007","Employed","Urban Area","","","",""
"5 on scale 1-7","2007","Employed","Rural Area","","","",""
"6 on scale 1-7","2007","Not Employed","Urban Area","","","",""
"6 on scale 1-7","2007","Not Employed","Rural Area","","","",""
"6 on scale 1-7","2007","Employed","Urban Area","","","",""
"6 on scale 1-7","2007","Employed","Rural Area","","","",""
"7 Strongly agree","2007","Not Employed","Urban Area","","","",""
"7 Strongly agree","2007","Not Employed","Rural Area","","","",""
"7 Strongly agree","2007","Employed","Urban Area","","","",""
"7 Strongly agree","2007","Employed","Rural Area","","","",""
"1 Strongly disagree","2008","Not Employed","Urban Area","","","",""
"1 Strongly disagree","2008","Not Employed","Rural Area","","","",""
"1 Strongly disagree","2008","Employed","Urban Area","","","",""
"1 Strongly disagree","2008","Employed","Rural Area","","","",""
"2 on scale 1-7 ","2008","Not Employed","Urban Area","","","",""
"2 on scale 1-7 ","2008","Not Employed","Rural Area","","","",""
"2 on scale 1-7 ","2008","Employed","Urban Area","","","",""
"2 on scale 1-7 ","2008","Employed","Rural Area","","","",""
"3 on scale 1-7 ","2008","Not Employed","Urban Area","","","",""
"3 on scale 1-7 ","2008","Not Employed","Rural Area","","","",""
"3 on scale 1-7 ","2008","Employed","Urban Area","","","",""
"3 on scale 1-7 ","2008","Employed","Rural Area","","","",""
"4 on scale 1-7","2008","Not Employed","Urban Area","","","",""
"4 on scale 1-7","2008","Not Employed","Rural Area","","","",""
"4 on scale 1-7","2008","Employed","Urban Area","","","",""
"4 on scale 1-7","2008","Employed","Rural Area","","","",""
"5 on scale 1-7","2008","Not Employed","Urban Area","","","",""
"5 on scale 1-7","2008","Not Employed","Rural Area","","","",""
"5 on scale 1-7","2008","Employed","Urban Area","","","",""
"5 on scale 1-7","2008","Employed","Rural Area","","","",""
"6 on scale 1-7","2008","Not Employed","Urban Area","","","",""
