"plh0206i03","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","lower secondary degree","1094","0.312358781948625","0.297515498160823","0.327202065736428"
"1 Strongly disagree","2005","Not Employed","secondary school degree","459","0.328136452693945","0.304539753149215","0.351733152238676"
"1 Strongly disagree","2005","Not Employed","college entrance qualification","349","0.299026405555094","0.273554126744067","0.32449868436612"
"1 Strongly disagree","2005","Not Employed","Other degree","164","0.363764086005456","0.320500721949857","0.407027450061056"
"1 Strongly disagree","2005","Not Employed","no degree/no degree yet","170","0.280621632247778","0.247313616340119","0.313929648155437"
"1 Strongly disagree","2005","Employed","lower secondary degree","723","0.226786739722356","0.212518901284216","0.241054578160496"
"1 Strongly disagree","2005","Employed","secondary school degree","969","0.21077973403989","0.198839146266744","0.222720321813035"
"1 Strongly disagree","2005","Employed","college entrance qualification","825","0.221512241186896","0.208548971963836","0.234475510409957"
"1 Strongly disagree","2005","Employed","Other degree","176","0.25083174280792","0.217247231305058","0.284416254310781"
"1 Strongly disagree","2005","Employed","no degree/no degree yet","46","0.249925570167885","0.188841641325198","0.311009499010572"
"2 on scale 1-7 ","2005","Not Employed","lower secondary degree","823","0.207881308537053","0.1948848498192","0.220877767254906"
"2 on scale 1-7 ","2005","Not Employed","secondary school degree","358","0.212667552042323","0.192103287829496","0.233231816255151"
"2 on scale 1-7 ","2005","Not Employed","college entrance qualification","323","0.249312613890872","0.22524329030893","0.273381937472815"
"2 on scale 1-7 ","2005","Not Employed","Other degree","82","0.158500886949521","0.125657800315848","0.191343973583193"
"2 on scale 1-7 ","2005","Not Employed","no degree/no degree yet","131","0.151643444539693","0.125053922326665","0.178232966752721"
"2 on scale 1-7 ","2005","Employed","lower secondary degree","696","0.197863285454067","0.184289327083784","0.21143724382435"
"2 on scale 1-7 ","2005","Employed","secondary school degree","1102","0.245378890990728","0.232781075615434","0.257976706366023"
"2 on scale 1-7 ","2005","Employed","college entrance qualification","1146","0.28193440417475","0.267888623634581","0.295980184714919"
"2 on scale 1-7 ","2005","Employed","Other degree","150","0.24160042757725","0.208437260948239","0.274763594206261"
"2 on scale 1-7 ","2005","Employed","no degree/no degree yet","54","0.246629722591899","0.185816728697514","0.307442716486284"
"3 on scale 1-7 ","2005","Not Employed","lower secondary degree","610","0.157781774086417","0.146106612091148","0.169456936081687"
"3 on scale 1-7 ","2005","Not Employed","secondary school degree","264","0.175073870787511","0.155975264282866","0.194172477292155"
"3 on scale 1-7 ","2005","Not Employed","college entrance qualification","228","0.187830836602879","0.166100377854205","0.209561295351553"
"3 on scale 1-7 ","2005","Not Employed","Other degree","52","0.122741729403099","0.0932322776517067","0.152251181154491"
"3 on scale 1-7 ","2005","Not Employed","no degree/no degree yet","128","0.206330173632101","0.176330895132462","0.236329452131739"
"3 on scale 1-7 ","2005","Employed","lower secondary degree","604","0.186160620572345","0.172898500163741","0.199422740980948"
"3 on scale 1-7 ","2005","Employed","secondary school degree","841","0.183269678066705","0.171943149800045","0.194596206333365"
"3 on scale 1-7 ","2005","Employed","college entrance qualification","828","0.207535119871225","0.194875356346749","0.2201948833957"
"3 on scale 1-7 ","2005","Employed","Other degree","100","0.186259484699998","0.156097475200723","0.216421494199272"
"3 on scale 1-7 ","2005","Employed","no degree/no degree yet","38","0.202895894886701","0.146159257939313","0.25963253183409"
"4 on scale 1-7","2005","Not Employed","lower secondary degree","591","0.156255391737168","0.144626316205387","0.167884467268949"
"4 on scale 1-7","2005","Not Employed","secondary school degree","243","0.162341137978606","0.143808750552234","0.180873525404978"
"4 on scale 1-7","2005","Not Employed","college entrance qualification","190","0.141077611537099","0.121710350281976","0.160444872792221"
"4 on scale 1-7","2005","Not Employed","Other degree","76","0.158574045263987","0.125724807928233","0.191423282599742"
"4 on scale 1-7","2005","Not Employed","no degree/no degree yet","133","0.143322119279871","0.117345962868946","0.169298275690796"
"4 on scale 1-7","2005","Employed","lower secondary degree","601","0.191764715481099","0.178350880454817","0.205178550507382"
"4 on scale 1-7","2005","Employed","secondary school degree","812","0.187482715304117","0.176056324161","0.198909106447235"
"4 on scale 1-7","2005","Employed","college entrance qualification","608","0.160453962490058","0.148996531173356","0.17191139380676"
"4 on scale 1-7","2005","Employed","Other degree","116","0.162803385878746","0.134200915002568","0.191405856754924"
"4 on scale 1-7","2005","Employed","no degree/no degree yet","31","0.133443148908292","0.0854680247419818","0.181418273074602"
"5 on scale 1-7","2005","Not Employed","lower secondary degree","328","0.0857658775393258","0.0767976181449503","0.0947341369337013"
"5 on scale 1-7","2005","Not Employed","secondary school degree","111","0.0699432356028328","0.0571255070105877","0.0827609641950779"
"5 on scale 1-7","2005","Not Employed","college entrance qualification","102","0.0758382594768011","0.0611090183656287","0.0905675005879734"
"5 on scale 1-7","2005","Not Employed","Other degree","48","0.0953393300093302","0.0689286131728279","0.121750046845833"
"5 on scale 1-7","2005","Not Employed","no degree/no degree yet","64","0.0910504813729878","0.0697239361359966","0.112377026609979"
"5 on scale 1-7","2005","Employed","lower secondary degree","332","0.0892278385469783","0.0795148077085031","0.0989408693854534"
"5 on scale 1-7","2005","Employed","secondary school degree","422","0.0894231323073315","0.0810691142303957","0.0977771503842674"
"5 on scale 1-7","2005","Employed","college entrance qualification","349","0.0810042341070899","0.0724869644676863","0.0895215037464935"
"5 on scale 1-7","2005","Employed","Other degree","49","0.0808139584089077","0.0596983789338205","0.101929537883995"
"5 on scale 1-7","2005","Employed","no degree/no degree yet","15","","",""
"6 on scale 1-7","2005","Not Employed","lower secondary degree","161","0.0430739578025312","0.0365716315541534","0.049576284050909"
"6 on scale 1-7","2005","Not Employed","secondary school degree","55","0.0336858634749177","0.0246188034129863","0.042752923536849"
"6 on scale 1-7","2005","Not Employed","college entrance qualification","30","0.0235112750638584","0.0150811521268786","0.0319413980008381"
"6 on scale 1-7","2005","Not Employed","Other degree","27","","",""
"6 on scale 1-7","2005","Not Employed","no degree/no degree yet","37","0.0600018224523659","0.042396044112125","0.0776076007926067"
"6 on scale 1-7","2005","Employed","lower secondary degree","177","0.0513136618202254","0.0437960908895424","0.0588312327509083"
"6 on scale 1-7","2005","Employed","secondary school degree","199","0.0499516507885774","0.0435740116624572","0.0563292899146977"
"6 on scale 1-7","2005","Employed","college entrance qualification","119","0.0307641847537208","0.0253737075545827","0.0361546619528589"
"6 on scale 1-7","2005","Employed","Other degree","25","","",""
"6 on scale 1-7","2005","Employed","no degree/no degree yet","6","","",""
"7 Strongly agree","2005","Not Employed","lower secondary degree","138","0.0368829083488794","0.0308465598558345","0.0429192568419243"
"7 Strongly agree","2005","Not Employed","secondary school degree","31","0.0181518874198642","0.0114427523780051","0.0248610224617234"
"7 Strongly agree","2005","Not Employed","college entrance qualification","19","","",""
"7 Strongly agree","2005","Not Employed","Other degree","26","","",""
"7 Strongly agree","2005","Not Employed","no degree/no degree yet","36","0.0670303264752028","0.0484916410984313","0.0855690118519744"
"7 Strongly agree","2005","Employed","lower secondary degree","176","0.0568831384029294","0.0489913717202831","0.0647749050855757"
"7 Strongly agree","2005","Employed","secondary school degree","137","0.0337141985026506","0.0284300941732793","0.0389983028320218"
"7 Strongly agree","2005","Employed","college entrance qualification","67","0.0167958534162602","0.0127842991669649","0.0208074076655555"
"7 Strongly agree","2005","Employed","Other degree","24","","",""
"7 Strongly agree","2005","Employed","no degree/no degree yet","3","","",""
"1 Strongly disagree","2006","Not Employed","lower secondary degree","","","",""
"1 Strongly disagree","2006","Not Employed","secondary school degree","","","",""
"1 Strongly disagree","2006","Not Employed","college entrance qualification","","","",""
"1 Strongly disagree","2006","Not Employed","Other degree","","","",""
"1 Strongly disagree","2006","Not Employed","no degree/no degree yet","","","",""
"1 Strongly disagree","2006","Employed","lower secondary degree","","","",""
"1 Strongly disagree","2006","Employed","secondary school degree","","","",""
"1 Strongly disagree","2006","Employed","college entrance qualification","","","",""
"1 Strongly disagree","2006","Employed","Other degree","","","",""
"1 Strongly disagree","2006","Employed","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2006","Not Employed","lower secondary degree","","","",""
"2 on scale 1-7 ","2006","Not Employed","secondary school degree","","","",""
"2 on scale 1-7 ","2006","Not Employed","college entrance qualification","","","",""
"2 on scale 1-7 ","2006","Not Employed","Other degree","","","",""
"2 on scale 1-7 ","2006","Not Employed","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2006","Employed","lower secondary degree","","","",""
"2 on scale 1-7 ","2006","Employed","secondary school degree","","","",""
"2 on scale 1-7 ","2006","Employed","college entrance qualification","","","",""
"2 on scale 1-7 ","2006","Employed","Other degree","","","",""
"2 on scale 1-7 ","2006","Employed","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2006","Not Employed","lower secondary degree","","","",""
"3 on scale 1-7 ","2006","Not Employed","secondary school degree","","","",""
"3 on scale 1-7 ","2006","Not Employed","college entrance qualification","","","",""
