"plh0206i03","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","in school","","","",""
"1 Strongly disagree","2005","lower secondary degree","inadequately","","","",""
"1 Strongly disagree","2005","lower secondary degree","general elemantary","401","0.282605003376892","0.25975781437226","0.305452192381525"
"1 Strongly disagree","2005","lower secondary degree","middle vocational","1256","0.269905397002672","0.257482469849457","0.282328324155886"
"1 Strongly disagree","2005","lower secondary degree","vocational + Abi","","","",""
"1 Strongly disagree","2005","lower secondary degree","higher vocational","108","0.263638550945119","0.223019585913088","0.304257515977151"
"1 Strongly disagree","2005","lower secondary degree","higher education","47","0.27731360875297","0.212274747816458","0.342352469689482"
"1 Strongly disagree","2005","secondary school degree","in school","","","",""
"1 Strongly disagree","2005","secondary school degree","inadequately","","","",""
"1 Strongly disagree","2005","secondary school degree","general elemantary","133","0.237603343955908","0.202815225973204","0.272391461938613"
"1 Strongly disagree","2005","secondary school degree","middle vocational","950","0.240200202807983","0.227086842119691","0.253313563496275"
"1 Strongly disagree","2005","secondary school degree","vocational + Abi","","","",""
"1 Strongly disagree","2005","secondary school degree","higher vocational","171","0.24152255279035","0.209679218439474","0.273365887141226"
"1 Strongly disagree","2005","secondary school degree","higher education","161","0.270627894857085","0.23568465692137","0.305571132792801"
"1 Strongly disagree","2005","college entrance qualification","in school","","","",""
"1 Strongly disagree","2005","college entrance qualification","inadequately","","","",""
"1 Strongly disagree","2005","college entrance qualification","general elemantary","","","",""
"1 Strongly disagree","2005","college entrance qualification","middle vocational","138","0.194522801413916","0.165847734918612","0.223197867909221"
"1 Strongly disagree","2005","college entrance qualification","vocational + Abi","197","0.231236843125064","0.204454139625964","0.258019546624165"
"1 Strongly disagree","2005","college entrance qualification","higher vocational","74","0.22010473900503","0.176385622110228","0.263823855899832"
"1 Strongly disagree","2005","college entrance qualification","higher education","765","0.260925985751728","0.245600301301615","0.276251670201841"
"1 Strongly disagree","2005","Other degree","in school","","","",""
"1 Strongly disagree","2005","Other degree","inadequately","","","",""
"1 Strongly disagree","2005","Other degree","general elemantary","117","0.343728830653895","0.292329103655523","0.395128557652268"
"1 Strongly disagree","2005","Other degree","middle vocational","110","0.294801309068111","0.249432990817725","0.340169627318498"
"1 Strongly disagree","2005","Other degree","vocational + Abi","37","0.315715675107667","0.232898240375802","0.398533109839532"
"1 Strongly disagree","2005","Other degree","higher vocational","","","",""
"1 Strongly disagree","2005","Other degree","higher education","50","0.238705481940941","0.177442354060924","0.299968609820958"
