"plh0206i03","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","1-pers.-HH","(0) in school","2","","",""
"1 Strongly disagree","2005","1-pers.-HH","(1a) inadequately completed","17","","",""
"1 Strongly disagree","2005","1-pers.-HH","(1b) general elementary school","125","0.336680329172984","0.289165781138938","0.38419487720703"
"1 Strongly disagree","2005","1-pers.-HH","(1c) basic vocational qualification","272","0.321434966832926","0.290490260734469","0.352379672931382"
"1 Strongly disagree","2005","1-pers.-HH","(2b) intermediate general qualification","17","","",""
"1 Strongly disagree","2005","1-pers.-HH","(2a) intermediate vocational","171","0.27006966123314","0.235778375845754","0.304360946620525"
"1 Strongly disagree","2005","1-pers.-HH","(2c_gen) general maturity certificate","34","0.267927061733003","0.194825946621156","0.34102817684485"
"1 Strongly disagree","2005","1-pers.-HH","(2c_voc) vocational maturity certificate","57","0.276996927170988","0.218908687624097","0.335085166717879"
"1 Strongly disagree","2005","1-pers.-HH","(3a) lower tertiary education","78","0.395000090973727","0.331959779021652","0.458040402925801"
"1 Strongly disagree","2005","1-pers.-HH","(3b) higher tertiary education","91","0.292641650096502","0.243253006183778","0.342030294009227"
"1 Strongly disagree","2005","(Married) couple without C. ","(0) in school","1","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","(1a) inadequately completed","26","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","(1b) general elementary school","186","0.322967457343266","0.285489004587893","0.36044591009864"
"1 Strongly disagree","2005","(Married) couple without C. ","(1c) basic vocational qualification","697","0.293023018053527","0.275145718260867","0.310900317846187"
"1 Strongly disagree","2005","(Married) couple without C. ","(2b) intermediate general qualification","20","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","(2a) intermediate vocational","374","0.268963545843304","0.24593272991577","0.291994361770838"
"1 Strongly disagree","2005","(Married) couple without C. ","(2c_gen) general maturity certificate","25","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","(2c_voc) vocational maturity certificate","109","0.232151928472539","0.194143254628402","0.270160602316677"
"1 Strongly disagree","2005","(Married) couple without C. ","(3a) lower tertiary education","184","0.233075795509125","0.201575120970042","0.264576470048207"
"1 Strongly disagree","2005","(Married) couple without C. ","(3b) higher tertiary education","245","0.250128663029506","0.222803702583593","0.27745362347542"
"1 Strongly disagree","2005","Single parent ","(0) in school","19","","",""
"1 Strongly disagree","2005","Single parent ","(1a) inadequately completed","5","","",""
"1 Strongly disagree","2005","Single parent ","(1b) general elementary school","32","0.191657812614122","0.128029514104476","0.255286111123768"
"1 Strongly disagree","2005","Single parent ","(1c) basic vocational qualification","64","0.299868802176119","0.241533792321678","0.358203812030561"
"1 Strongly disagree","2005","Single parent ","(2b) intermediate general qualification","15","","",""
"1 Strongly disagree","2005","Single parent ","(2a) intermediate vocational","66","0.255195828252552","0.202405388358991","0.307986268146112"
"1 Strongly disagree","2005","Single parent ","(2c_gen) general maturity certificate","11","","",""
"1 Strongly disagree","2005","Single parent ","(2c_voc) vocational maturity certificate","12","","",""
"1 Strongly disagree","2005","Single parent ","(3a) lower tertiary education","10","","",""
"1 Strongly disagree","2005","Single parent ","(3b) higher tertiary education","25","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","(0) in school","","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","(1a) inadequately completed","13","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","(1b) general elementary school","47","0.206503665930776","0.152141765027746","0.260865566833806"
"1 Strongly disagree","2005","Couple + C. LE 16 ","(1c) basic vocational qualification","150","0.19007828404494","0.162957150337804","0.217199417752076"
"1 Strongly disagree","2005","Couple + C. LE 16 ","(2b) intermediate general qualification","16","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","(2a) intermediate vocational","256","0.204234292536711","0.181631118412674","0.226837466660748"
"1 Strongly disagree","2005","Couple + C. LE 16 ","(2c_gen) general maturity certificate","15","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","90","0.226625732144281","0.187463692752854","0.265787771535708"
"1 Strongly disagree","2005","Couple + C. LE 16 ","(3a) lower tertiary education","64","0.251472634985025","0.20170971309284","0.30123555687721"
"1 Strongly disagree","2005","Couple + C. LE 16 ","(3b) higher tertiary education","121","0.21602464091473","0.181217864743588","0.250831417085872"
"1 Strongly disagree","2005","Couple + C. GT 16 ","(0) in school","59","0.205389718832398","0.156932453584046","0.25384698408075"
"1 Strongly disagree","2005","Couple + C. GT 16 ","(1a) inadequately completed","14","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","(1b) general elementary school","73","0.296646085911795","0.242461840075748","0.350830331747842"
"1 Strongly disagree","2005","Couple + C. GT 16 ","(1c) basic vocational qualification","169","0.191695829771718","0.164720598208466","0.218671061334969"
"1 Strongly disagree","2005","Couple + C. GT 16 ","(2b) intermediate general qualification","31","0.18070501262853","0.123034304432635","0.238375720824424"
"1 Strongly disagree","2005","Couple + C. GT 16 ","(2a) intermediate vocational","162","0.18927994842901","0.162302967597772","0.216256929260248"
"1 Strongly disagree","2005","Couple + C. GT 16 ","(2c_gen) general maturity certificate","53","0.186705338614976","0.140980906720116","0.232429770509837"
