"plh0206i03","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","1-pers.-HH","398","0.332369881493759","0.306055215864467","0.358684547123052"
"1 Strongly disagree","2005","lower secondary degree","(Married) couple without C. ","828","0.290371389004003","0.274076193602319","0.306666584405686"
"1 Strongly disagree","2005","lower secondary degree","Single parent ","84","0.256505301236779","0.210423902373671","0.302586700099887"
"1 Strongly disagree","2005","lower secondary degree","Couple + C. LE 16 ","169","0.173748769159858","0.149384288304791","0.198113250014925"
"1 Strongly disagree","2005","lower secondary degree","Couple + C. GT 16 ","204","0.20462579566467","0.179250891100644","0.230000700228696"
"1 Strongly disagree","2005","lower secondary degree","Couple + C. LE and GT 16","75","0.213069837289538","0.172378461527884","0.253761213051192"
"1 Strongly disagree","2005","secondary school degree","1-pers.-HH","208","0.276711469346351","0.245071441979331","0.308351496713372"
"1 Strongly disagree","2005","secondary school degree","(Married) couple without C. ","474","0.26914968588039","0.248632063987881","0.289667307772899"
"1 Strongly disagree","2005","secondary school degree","Single parent ","85","0.244281448290522","0.1990741411206","0.289488755460444"
"1 Strongly disagree","2005","secondary school degree","Couple + C. LE 16 ","292","0.207481279475226","0.185922082212007","0.229040476738445"
"1 Strongly disagree","2005","secondary school degree","Couple + C. GT 16 ","216","0.184280039302316","0.161461280865429","0.207098797739204"
"1 Strongly disagree","2005","secondary school degree","Couple + C. LE and GT 16","129","0.288925177353247","0.249075919116936","0.328774435589559"
"1 Strongly disagree","2005","college entrance qualification","1-pers.-HH","205","0.290847826902711","0.259017042196981","0.322678611608442"
"1 Strongly disagree","2005","college entrance qualification","(Married) couple without C. ","419","0.233692740737576","0.213780394634324","0.253605086840827"
"1 Strongly disagree","2005","college entrance qualification","Single parent ","48","0.254466318678059","0.192205051685617","0.316727585670502"
"1 Strongly disagree","2005","college entrance qualification","Couple + C. LE 16 ","242","0.225419424781693","0.201226701852897","0.249612147710488"
"1 Strongly disagree","2005","college entrance qualification","Couple + C. GT 16 ","165","0.178749056987168","0.153689710387236","0.2038084035871"
"1 Strongly disagree","2005","college entrance qualification","Couple + C. LE and GT 16","71","0.244070476556589","0.197726915792782","0.290414037320396"
"1 Strongly disagree","2005","Other degree","1-pers.-HH","34","0.383554020891994","0.286285288419225","0.480822753364763"
"1 Strongly disagree","2005","Other degree","(Married) couple without C. ","117","0.319501380039982","0.270440724462457","0.368562035617507"
"1 Strongly disagree","2005","Other degree","Single parent ","17","","",""
"1 Strongly disagree","2005","Other degree","Couple + C. LE 16 ","56","0.29881829356285","0.236461783984348","0.361174803141351"
"1 Strongly disagree","2005","Other degree","Couple + C. GT 16 ","59","0.279350060020065","0.220061170988898","0.338638949051232"
"1 Strongly disagree","2005","Other degree","Couple + C. LE and GT 16","36","0.230310142064578","0.154343749933321","0.306276534195835"
"1 Strongly disagree","2005","no degree/no degree yet","1-pers.-HH","19","","",""
"1 Strongly disagree","2005","no degree/no degree yet","(Married) couple without C. ","27","","",""
"1 Strongly disagree","2005","no degree/no degree yet","Single parent ","24","","",""
"1 Strongly disagree","2005","no degree/no degree yet","Couple + C. LE 16 ","13","","",""
"1 Strongly disagree","2005","no degree/no degree yet","Couple + C. GT 16 ","73","0.234491843967667","0.186707744964845","0.282275942970488"
"1 Strongly disagree","2005","no degree/no degree yet","Couple + C. LE and GT 16","51","0.199073927021931","0.152551937308681","0.245595916735182"
"2 on scale 1-7 ","2005","lower secondary degree","1-pers.-HH","257","0.192598799905208","0.170570014705323","0.214627585105094"
"2 on scale 1-7 ","2005","lower secondary degree","(Married) couple without C. ","644","0.203913046263149","0.189449664064457","0.218376428461841"
"2 on scale 1-7 ","2005","lower secondary degree","Single parent ","60","0.18412731426552","0.143228675872337","0.225025952658702"
