"plh0206i03","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Urban Area","Male","1311","0.209379618174358","0.199557826993396","0.21920140935532"
"1 Strongly disagree","2005","Urban Area","Female","2147","0.308120670830942","0.297464631195805","0.31877671046608"
"1 Strongly disagree","2005","Rural Area","Male","608","0.197654101738149","0.184023622778667","0.21128458069763"
"1 Strongly disagree","2005","Rural Area","Female","988","0.306055683349074","0.29089364372462","0.321217722973528"
"2 on scale 1-7 ","2005","Urban Area","Male","1545","0.216736596114956","0.20679034239025","0.226682849839662"
"2 on scale 1-7 ","2005","Urban Area","Female","1838","0.242105772820355","0.232219624905177","0.251991920735533"
"2 on scale 1-7 ","2005","Rural Area","Male","679","0.199298396537128","0.185625370711917","0.21297142236234"
"2 on scale 1-7 ","2005","Rural Area","Female","886","0.238300039701429","0.224283232001902","0.252316847400957"
"3 on scale 1-7 ","2005","Urban Area","Male","1245","0.190769025394226","0.181284192778957","0.200253858009496"
"3 on scale 1-7 ","2005","Urban Area","Female","1225","0.17428706461393","0.165531838760164","0.183042290467696"
"3 on scale 1-7 ","2005","Rural Area","Male","649","0.193909568009771","0.180377353134703","0.20744178288484"
"3 on scale 1-7 ","2005","Rural Area","Female","635","0.166471632665728","0.154216291572454","0.178726973759002"
"4 on scale 1-7","2005","Urban Area","Male","1210","0.184016599870787","0.174662356722144","0.193370843019429"
"4 on scale 1-7","2005","Urban Area","Female","1030","0.142363848278562","0.134299456258041","0.150428240299084"
"4 on scale 1-7","2005","Rural Area","Male","675","0.211264700831494","0.19729276793858","0.225236633724408"
"4 on scale 1-7","2005","Rural Area","Female","560","0.155805310606335","0.143873467682551","0.167737153530119"
"5 on scale 1-7","2005","Urban Area","Male","674","0.100719171222245","0.0934540438803221","0.107984298564167"
"5 on scale 1-7","2005","Urban Area","Female","552","0.0696534188493615","0.0637783381818882","0.0755284995168348"
"5 on scale 1-7","2005","Rural Area","Male","343","0.0973175452078505","0.0871728160671055","0.107462274348596"
"5 on scale 1-7","2005","Rural Area","Female","286","0.0768082552337817","0.068047430391583","0.0855690800759805"
"6 on scale 1-7","2005","Urban Area","Male","308","0.0479097159209794","0.0427539836602258","0.0530654481817331"
"6 on scale 1-7","2005","Urban Area","Female","249","0.0378486190240271","0.0334444198126748","0.0422528182353795"
"6 on scale 1-7","2005","Rural Area","Male","183","0.0530946212982124","0.0454200179607986","0.0607692246356262"
"6 on scale 1-7","2005","Rural Area","Female","115","0.0324378243361785","0.0266092761487207","0.0382663725236363"
"7 Strongly agree","2005","Urban Area","Male","299","0.0504692733024487","0.0451847291728546","0.0557538174320428"
"7 Strongly agree","2005","Urban Area","Female","171","0.0256206055828219","0.0219740824501557","0.0292671287154882"
"7 Strongly agree","2005","Rural Area","Male","142","0.047461066377395","0.0401834778582785","0.0547386548965114"
"7 Strongly agree","2005","Rural Area","Female","79","0.0241212541074739","0.0190735607629079","0.0291689474520399"
"1 Strongly disagree","2006","Urban Area","Male","","","",""
"1 Strongly disagree","2006","Urban Area","Female","","","",""
"1 Strongly disagree","2006","Rural Area","Male","","","",""
"1 Strongly disagree","2006","Rural Area","Female","","","",""
"2 on scale 1-7 ","2006","Urban Area","Male","","","",""
"2 on scale 1-7 ","2006","Urban Area","Female","","","",""
"2 on scale 1-7 ","2006","Rural Area","Male","","","",""
"2 on scale 1-7 ","2006","Rural Area","Female","","","",""
"3 on scale 1-7 ","2006","Urban Area","Male","","","",""
"3 on scale 1-7 ","2006","Urban Area","Female","","","",""
"3 on scale 1-7 ","2006","Rural Area","Male","","","",""
"3 on scale 1-7 ","2006","Rural Area","Female","","","",""
"4 on scale 1-7","2006","Urban Area","Male","","","",""
"4 on scale 1-7","2006","Urban Area","Female","","","",""
"4 on scale 1-7","2006","Rural Area","Male","","","",""
"4 on scale 1-7","2006","Rural Area","Female","","","",""
"5 on scale 1-7","2006","Urban Area","Male","","","",""
"5 on scale 1-7","2006","Urban Area","Female","","","",""
"5 on scale 1-7","2006","Rural Area","Male","","","",""
"5 on scale 1-7","2006","Rural Area","Female","","","",""
"6 on scale 1-7","2006","Urban Area","Male","","","",""
"6 on scale 1-7","2006","Urban Area","Female","","","",""
"6 on scale 1-7","2006","Rural Area","Male","","","",""
"6 on scale 1-7","2006","Rural Area","Female","","","",""
"7 Strongly agree","2006","Urban Area","Male","","","",""
"7 Strongly agree","2006","Urban Area","Female","","","",""
"7 Strongly agree","2006","Rural Area","Male","","","",""
"7 Strongly agree","2006","Rural Area","Female","","","",""
"1 Strongly disagree","2007","Urban Area","Male","","","",""
"1 Strongly disagree","2007","Urban Area","Female","","","",""
"1 Strongly disagree","2007","Rural Area","Male","","","",""
"1 Strongly disagree","2007","Rural Area","Female","","","",""
"2 on scale 1-7 ","2007","Urban Area","Male","","","",""
"2 on scale 1-7 ","2007","Urban Area","Female","","","",""
"2 on scale 1-7 ","2007","Rural Area","Male","","","",""
"2 on scale 1-7 ","2007","Rural Area","Female","","","",""
"3 on scale 1-7 ","2007","Urban Area","Male","","","",""
"3 on scale 1-7 ","2007","Urban Area","Female","","","",""
"3 on scale 1-7 ","2007","Rural Area","Male","","","",""
"3 on scale 1-7 ","2007","Rural Area","Female","","","",""
"4 on scale 1-7","2007","Urban Area","Male","","","",""
"4 on scale 1-7","2007","Urban Area","Female","","","",""
"4 on scale 1-7","2007","Rural Area","Male","","","",""
"4 on scale 1-7","2007","Rural Area","Female","","","",""
"5 on scale 1-7","2007","Urban Area","Male","","","",""
"5 on scale 1-7","2007","Urban Area","Female","","","",""
"5 on scale 1-7","2007","Rural Area","Male","","","",""
"5 on scale 1-7","2007","Rural Area","Female","","","",""
"6 on scale 1-7","2007","Urban Area","Male","","","",""
"6 on scale 1-7","2007","Urban Area","Female","","","",""
"6 on scale 1-7","2007","Rural Area","Male","","","",""
"6 on scale 1-7","2007","Rural Area","Female","","","",""
"7 Strongly agree","2007","Urban Area","Male","","","",""
"7 Strongly agree","2007","Urban Area","Female","","","",""
"7 Strongly agree","2007","Rural Area","Male","","","",""
"7 Strongly agree","2007","Rural Area","Female","","","",""
"1 Strongly disagree","2008","Urban Area","Male","","","",""
"1 Strongly disagree","2008","Urban Area","Female","","","",""
"1 Strongly disagree","2008","Rural Area","Male","","","",""
"1 Strongly disagree","2008","Rural Area","Female","","","",""
"2 on scale 1-7 ","2008","Urban Area","Male","","","",""
"2 on scale 1-7 ","2008","Urban Area","Female","","","",""
"2 on scale 1-7 ","2008","Rural Area","Male","","","",""
"2 on scale 1-7 ","2008","Rural Area","Female","","","",""
"3 on scale 1-7 ","2008","Urban Area","Male","","","",""
"3 on scale 1-7 ","2008","Urban Area","Female","","","",""
"3 on scale 1-7 ","2008","Rural Area","Male","","","",""
"3 on scale 1-7 ","2008","Rural Area","Female","","","",""
"4 on scale 1-7","2008","Urban Area","Male","","","",""
"4 on scale 1-7","2008","Urban Area","Female","","","",""
"4 on scale 1-7","2008","Rural Area","Male","","","",""
"4 on scale 1-7","2008","Rural Area","Female","","","",""
"5 on scale 1-7","2008","Urban Area","Male","","","",""
"5 on scale 1-7","2008","Urban Area","Female","","","",""
"5 on scale 1-7","2008","Rural Area","Male","","","",""
"5 on scale 1-7","2008","Rural Area","Female","","","",""
"6 on scale 1-7","2008","Urban Area","Male","","","",""
"6 on scale 1-7","2008","Urban Area","Female","","","",""
"6 on scale 1-7","2008","Rural Area","Male","","","",""
"6 on scale 1-7","2008","Rural Area","Female","","","",""
"7 Strongly agree","2008","Urban Area","Male","","","",""
"7 Strongly agree","2008","Urban Area","Female","","","",""
"7 Strongly agree","2008","Rural Area","Male","","","",""
"7 Strongly agree","2008","Rural Area","Female","","","",""
"1 Strongly disagree","2009","Urban Area","Male","","","",""
"1 Strongly disagree","2009","Urban Area","Female","","","",""
"1 Strongly disagree","2009","Rural Area","Male","","","",""
"1 Strongly disagree","2009","Rural Area","Female","","","",""
"2 on scale 1-7 ","2009","Urban Area","Male","","","",""
"2 on scale 1-7 ","2009","Urban Area","Female","","","",""
"2 on scale 1-7 ","2009","Rural Area","Male","","","",""
"2 on scale 1-7 ","2009","Rural Area","Female","","","",""
"3 on scale 1-7 ","2009","Urban Area","Male","","","",""
"3 on scale 1-7 ","2009","Urban Area","Female","","","",""
"3 on scale 1-7 ","2009","Rural Area","Male","","","",""
"3 on scale 1-7 ","2009","Rural Area","Female","","","",""
"4 on scale 1-7","2009","Urban Area","Male","","","",""
"4 on scale 1-7","2009","Urban Area","Female","","","",""
"4 on scale 1-7","2009","Rural Area","Male","","","",""
"4 on scale 1-7","2009","Rural Area","Female","","","",""
"5 on scale 1-7","2009","Urban Area","Male","","","",""
"5 on scale 1-7","2009","Urban Area","Female","","","",""
"5 on scale 1-7","2009","Rural Area","Male","","","",""
"5 on scale 1-7","2009","Rural Area","Female","","","",""
"6 on scale 1-7","2009","Urban Area","Male","","","",""
"6 on scale 1-7","2009","Urban Area","Female","","","",""
"6 on scale 1-7","2009","Rural Area","Male","","","",""
"6 on scale 1-7","2009","Rural Area","Female","","","",""
"7 Strongly agree","2009","Urban Area","Male","","","",""
"7 Strongly agree","2009","Urban Area","Female","","","",""
"7 Strongly agree","2009","Rural Area","Male","","","",""
"7 Strongly agree","2009","Rural Area","Female","","","",""
"1 Strongly disagree","2010","Urban Area","Male","992","0.198454126454158","0.187614884212269","0.209293368696047"
"1 Strongly disagree","2010","Urban Area","Female","1681","0.298125509617898","0.286347059579182","0.309903959656614"
"1 Strongly disagree","2010","Rural Area","Male","450","0.164161036068569","0.150237811251091","0.178084260886046"
"1 Strongly disagree","2010","Rural Area","Female","791","0.269684737103288","0.253582403505414","0.285787070701161"
"2 on scale 1-7 ","2010","Urban Area","Male","1256","0.224494375562643","0.213154719759018","0.235834031366268"
"2 on scale 1-7 ","2010","Urban Area","Female","1536","0.246225545627136","0.235132619844682","0.257318471409591"
"2 on scale 1-7 ","2010","Rural Area","Male","605","0.20552944644774","0.190340788002404","0.220718104893075"
"2 on scale 1-7 ","2010","Rural Area","Female","735","0.231495800347246","0.216191970508903","0.246799630185588"
