"plh0206i03","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Urban Area","West Germany","2993","0.256792038773243","0.248990961315145","0.264593116231342","1"
"1 Strongly disagree","2005","Urban Area","East Germany","465","0.291520286405214","0.27027021905214","0.312770353758289","1"
"1 Strongly disagree","2005","Rural Area","West Germany","849","0.265878153202755","0.251334772519202","0.280421533886307","1"
"1 Strongly disagree","2005","Rural Area","East Germany","747","0.233944136997059","0.219463123682915","0.248425150311202","1"
"2 on scale 1-7 ","2005","Urban Area","East Germany","460","0.22855614365362","0.208922051614568","0.248190235692671","2"
"2 on scale 1-7 ","2005","Rural Area","West Germany","792","0.214963072803019","0.201440262837752","0.228485882768286","2"
"2 on scale 1-7 ","2005","Rural Area","East Germany","773","0.226631219782033","0.212310467385887","0.24095197217818","2"
"2 on scale 1-7 ","2005","Urban Area","West Germany","2923","0.229908343972259","0.222394585833866","0.237422102110651","2"
"3 on scale 1-7 ","2005","Urban Area","East Germany","336","0.186210840740329","0.168008776581637","0.204412904899022","3"
"3 on scale 1-7 ","2005","Rural Area","West Germany","678","0.177773881346353","0.165188407175461","0.190359355517246","3"
"3 on scale 1-7 ","2005","Rural Area","East Germany","606","0.182903274160852","0.169679356856354","0.196127191465351","3"
"3 on scale 1-7 ","2005","Urban Area","West Germany","2134","0.181878695461448","0.174990453370743","0.188766937552153","3"
"4 on scale 1-7","2005","Rural Area","East Germany","587","0.185528439911996","0.172231372881477","0.198825506942515","4"
"4 on scale 1-7","2005","Urban Area","East Germany","262","0.149265080353973","0.132602646072253","0.165927514635692","4"
"4 on scale 1-7","2005","Rural Area","West Germany","648","0.180821151915073","0.168151813059064","0.193490490771081","4"
"4 on scale 1-7","2005","Urban Area","West Germany","1978","0.164027047590048","0.157414596345212","0.170639498834883","4"
"5 on scale 1-7","2005","Rural Area","West Germany","302","0.0799546215243095","0.0710263707266517","0.0888828723219673","5"
"5 on scale 1-7","2005","Urban Area","East Germany","134","0.0822865177034701","0.0694371987914818","0.0951358366154583","5"
"5 on scale 1-7","2005","Urban Area","West Germany","1092","0.0850120007493911","0.0800316898637707","0.0899923116350115","5"
"5 on scale 1-7","2005","Rural Area","East Germany","327","0.0976126577681864","0.0874604098204606","0.107764905715912","5"
"6 on scale 1-7","2005","Rural Area","West Germany","156","0.043164047760506","0.0364741451414003","0.0498539503796118","6"
"6 on scale 1-7","2005","Rural Area","East Germany","142","0.0412444731582133","0.0344422720130771","0.0480466743033494","6"
"6 on scale 1-7","2005","Urban Area","East Germany","56","0.0339464859319154","0.0254788882679578","0.0424140835958731","6"
"6 on scale 1-7","2005","Urban Area","West Germany","501","0.0436752752068647","0.0400258106260043","0.0473247397877252","6"
"7 Strongly agree","2005","Rural Area","East Germany","101","0.0321357982216595","0.0261030609910202","0.0381685354522989","7"
"7 Strongly agree","2005","Urban Area","East Germany","44","0.0282146452114785","0.0204720833861882","0.0359572070367688","7"
"7 Strongly agree","2005","Rural Area","West Germany","120","0.0374450714479848","0.0311955024951459","0.0436946404008236","7"
"7 Strongly agree","2005","Urban Area","West Germany","426","0.0387065982467464","0.0352620750095323","0.0421511214839605","7"
"1 Strongly disagree","2006","Urban Area","West Germany","","","","","1"
"1 Strongly disagree","2006","Urban Area","East Germany","","","","","1"
"1 Strongly disagree","2006","Rural Area","West Germany","","","","","1"
"1 Strongly disagree","2006","Rural Area","East Germany","","","","","1"
"2 on scale 1-7 ","2006","Rural Area","West Germany","","","","","2"
"2 on scale 1-7 ","2006","Urban Area","East Germany","","","","","2"
"2 on scale 1-7 ","2006","Rural Area","East Germany","","","","","2"
"2 on scale 1-7 ","2006","Urban Area","West Germany","","","","","2"
"3 on scale 1-7 ","2006","Urban Area","East Germany","","","","","3"
"3 on scale 1-7 ","2006","Rural Area","East Germany","","","","","3"
"3 on scale 1-7 ","2006","Urban Area","West Germany","","","","","3"
"3 on scale 1-7 ","2006","Rural Area","West Germany","","","","","3"
"4 on scale 1-7","2006","Urban Area","East Germany","","","","","4"
"4 on scale 1-7","2006","Rural Area","West Germany","","","","","4"
"4 on scale 1-7","2006","Rural Area","East Germany","","","","","4"
"4 on scale 1-7","2006","Urban Area","West Germany","","","","","4"
"5 on scale 1-7","2006","Rural Area","West Germany","","","","","5"
"5 on scale 1-7","2006","Urban Area","East Germany","","","","","5"
"5 on scale 1-7","2006","Rural Area","East Germany","","","","","5"
"5 on scale 1-7","2006","Urban Area","West Germany","","","","","5"
"6 on scale 1-7","2006","Rural Area","West Germany","","","","","6"
"6 on scale 1-7","2006","Urban Area","East Germany","","","","","6"
"6 on scale 1-7","2006","Rural Area","East Germany","","","","","6"
"6 on scale 1-7","2006","Urban Area","West Germany","","","","","6"
"7 Strongly agree","2006","Urban Area","East Germany","","","","","7"
"7 Strongly agree","2006","Rural Area","West Germany","","","","","7"
"7 Strongly agree","2006","Rural Area","East Germany","","","","","7"
"7 Strongly agree","2006","Urban Area","West Germany","","","","","7"
"1 Strongly disagree","2007","Urban Area","West Germany","","","","","1"
"1 Strongly disagree","2007","Urban Area","East Germany","","","","","1"
"1 Strongly disagree","2007","Rural Area","West Germany","","","","","1"
"1 Strongly disagree","2007","Rural Area","East Germany","","","","","1"
"2 on scale 1-7 ","2007","Urban Area","East Germany","","","","","2"
"2 on scale 1-7 ","2007","Urban Area","West Germany","","","","","2"
"2 on scale 1-7 ","2007","Rural Area","West Germany","","","","","2"
"2 on scale 1-7 ","2007","Rural Area","East Germany","","","","","2"
"3 on scale 1-7 ","2007","Urban Area","West Germany","","","","","3"
"3 on scale 1-7 ","2007","Urban Area","East Germany","","","","","3"
"3 on scale 1-7 ","2007","Rural Area","West Germany","","","","","3"
"3 on scale 1-7 ","2007","Rural Area","East Germany","","","","","3"
"4 on scale 1-7","2007","Urban Area","West Germany","","","","","4"
"4 on scale 1-7","2007","Urban Area","East Germany","","","","","4"
"4 on scale 1-7","2007","Rural Area","West Germany","","","","","4"
"4 on scale 1-7","2007","Rural Area","East Germany","","","","","4"
"5 on scale 1-7","2007","Urban Area","West Germany","","","","","5"
"5 on scale 1-7","2007","Urban Area","East Germany","","","","","5"
"5 on scale 1-7","2007","Rural Area","West Germany","","","","","5"
"5 on scale 1-7","2007","Rural Area","East Germany","","","","","5"
"6 on scale 1-7","2007","Rural Area","West Germany","","","","","6"
"6 on scale 1-7","2007","Urban Area","West Germany","","","","","6"
"6 on scale 1-7","2007","Urban Area","East Germany","","","","","6"
"6 on scale 1-7","2007","Rural Area","East Germany","","","","","6"
"7 Strongly agree","2007","Urban Area","West Germany","","","","","7"
"7 Strongly agree","2007","Urban Area","East Germany","","","","","7"
"7 Strongly agree","2007","Rural Area","West Germany","","","","","7"
"7 Strongly agree","2007","Rural Area","East Germany","","","","","7"
"1 Strongly disagree","2008","Urban Area","East Germany","","","","","1"
"1 Strongly disagree","2008","Rural Area","West Germany","","","","","1"
"1 Strongly disagree","2008","Urban Area","West Germany","","","","","1"
"1 Strongly disagree","2008","Rural Area","East Germany","","","","","1"
"2 on scale 1-7 ","2008","Urban Area","East Germany","","","","","2"
"2 on scale 1-7 ","2008","Urban Area","West Germany","","","","","2"
"2 on scale 1-7 ","2008","Rural Area","West Germany","","","","","2"
"2 on scale 1-7 ","2008","Rural Area","East Germany","","","","","2"
"3 on scale 1-7 ","2008","Urban Area","West Germany","","","","","3"
"3 on scale 1-7 ","2008","Urban Area","East Germany","","","","","3"
"3 on scale 1-7 ","2008","Rural Area","West Germany","","","","","3"
"3 on scale 1-7 ","2008","Rural Area","East Germany","","","","","3"
"4 on scale 1-7","2008","Urban Area","East Germany","","","","","4"
"4 on scale 1-7","2008","Rural Area","West Germany","","","","","4"
"4 on scale 1-7","2008","Urban Area","West Germany","","","","","4"
"4 on scale 1-7","2008","Rural Area","East Germany","","","","","4"
"5 on scale 1-7","2008","Rural Area","West Germany","","","","","5"
"5 on scale 1-7","2008","Urban Area","West Germany","","","","","5"
"5 on scale 1-7","2008","Urban Area","East Germany","","","","","5"
"5 on scale 1-7","2008","Rural Area","East Germany","","","","","5"
"6 on scale 1-7","2008","Urban Area","East Germany","","","","","6"
"6 on scale 1-7","2008","Rural Area","East Germany","","","","","6"
"6 on scale 1-7","2008","Urban Area","West Germany","","","","","6"
"6 on scale 1-7","2008","Rural Area","West Germany","","","","","6"
"7 Strongly agree","2008","Urban Area","West Germany","","","","","7"
"7 Strongly agree","2008","Urban Area","East Germany","","","","","7"
"7 Strongly agree","2008","Rural Area","West Germany","","","","","7"
"7 Strongly agree","2008","Rural Area","East Germany","","","","","7"
"1 Strongly disagree","2009","Urban Area","East Germany","","","","","1"
"1 Strongly disagree","2009","Rural Area","West Germany","","","","","1"
"1 Strongly disagree","2009","Rural Area","East Germany","","","","","1"
"1 Strongly disagree","2009","Urban Area","West Germany","","","","","1"
"2 on scale 1-7 ","2009","Urban Area","East Germany","","","","","2"
"2 on scale 1-7 ","2009","Rural Area","West Germany","","","","","2"
"2 on scale 1-7 ","2009","Rural Area","East Germany","","","","","2"
"2 on scale 1-7 ","2009","Urban Area","West Germany","","","","","2"
"3 on scale 1-7 ","2009","Urban Area","West Germany","","","","","3"
"3 on scale 1-7 ","2009","Urban Area","East Germany","","","","","3"
"3 on scale 1-7 ","2009","Rural Area","West Germany","","","","","3"
"3 on scale 1-7 ","2009","Rural Area","East Germany","","","","","3"
"4 on scale 1-7","2009","Urban Area","East Germany","","","","","4"
"4 on scale 1-7","2009","Rural Area","West Germany","","","","","4"
"4 on scale 1-7","2009","Urban Area","West Germany","","","","","4"
"4 on scale 1-7","2009","Rural Area","East Germany","","","","","4"
"5 on scale 1-7","2009","Urban Area","West Germany","","","","","5"
"5 on scale 1-7","2009","Rural Area","West Germany","","","","","5"
"5 on scale 1-7","2009","Urban Area","East Germany","","","","","5"
"5 on scale 1-7","2009","Rural Area","East Germany","","","","","5"
"6 on scale 1-7","2009","Urban Area","East Germany","","","","","6"
"6 on scale 1-7","2009","Urban Area","West Germany","","","","","6"
"6 on scale 1-7","2009","Rural Area","West Germany","","","","","6"
"6 on scale 1-7","2009","Rural Area","East Germany","","","","","6"
"7 Strongly agree","2009","Urban Area","West Germany","","","","","7"
"7 Strongly agree","2009","Urban Area","East Germany","","","","","7"
"7 Strongly agree","2009","Rural Area","West Germany","","","","","7"
"7 Strongly agree","2009","Rural Area","East Germany","","","","","7"
"1 Strongly disagree","2010","Urban Area","West Germany","2299","0.246067137148015","0.237424992517538","0.254709281778493","1"
"1 Strongly disagree","2010","Urban Area","East Germany","374","0.274596395699773","0.251647988119231","0.297544803280315","1"
"1 Strongly disagree","2010","Rural Area","West Germany","689","0.212721184967508","0.197983637453427","0.22745873248159","1"
"1 Strongly disagree","2010","Rural Area","East Germany","552","0.225381001244927","0.209547063901525","0.241214938588329","1"
"2 on scale 1-7 ","2010","Urban Area","West Germany","2396","0.232456806944053","0.223981587906","0.240932025982106","2"
"2 on scale 1-7 ","2010","Urban Area","East Germany","396","0.262977696362353","0.240340895125541","0.285614497599165","2"
"2 on scale 1-7 ","2010","Rural Area","West Germany","721","0.223974123242348","0.208960255421604","0.238987991063092","2"
"2 on scale 1-7 ","2010","Rural Area","East Germany","619","0.209869223752981","0.194437655463674","0.225300792042288","2"
"3 on scale 1-7 ","2010","Urban Area","West Germany","1873","0.195345653271851","0.187390749293846","0.203300557249856","3"
"3 on scale 1-7 ","2010","Urban Area","East Germany","281","0.183797103063394","0.163881948526895","0.203712257599894","3"
"3 on scale 1-7 ","2010","Rural Area","East Germany","513","0.186813083984272","0.172042929626134","0.201583238342409","3"
"3 on scale 1-7 ","2010","Rural Area","West Germany","569","0.205353088401364","0.1908054236836","0.219900753119128","3"
"4 on scale 1-7","2010","Urban Area","East Germany","233","0.157746768894811","0.139004728786594","0.176488809003029","4"
"4 on scale 1-7","2010","Rural Area","West Germany","505","0.187428588656744","0.173374449458892","0.201482727854595","4"
"4 on scale 1-7","2010","Urban Area","West Germany","1523","0.164594809078511","0.157154601764433","0.17203501639259","4"
"4 on scale 1-7","2010","Rural Area","East Germany","467","0.170702783400492","0.156444685151461","0.184960881649524","4"
"5 on scale 1-7","2010","Urban Area","West Germany","831","0.0941839521929799","0.0883234228402666","0.100044481545693","5"
"5 on scale 1-7","2010","Rural Area","West Germany","262","0.0892424601242105","0.0789754800651919","0.0995094401832291","5"
"5 on scale 1-7","2010","Urban Area","East Germany","100","0.0717904398080721","0.0585173629427905","0.0850635166733537","5"
"5 on scale 1-7","2010","Rural Area","East Germany","290","0.100616227147239","0.0892165451695316","0.112015909124946","5"
"6 on scale 1-7","2010","Urban Area","West Germany","333","0.0345144679494892","0.0308517636225709","0.0381771722764075","6"
"6 on scale 1-7","2010","Urban Area","East Germany","39","0.0271608617195198","0.0188027615199717","0.0355189619190679","6"
"6 on scale 1-7","2010","Rural Area","West Germany","114","0.0416659978101527","0.0344697699555572","0.0488622256647482","6"
"6 on scale 1-7","2010","Rural Area","East Germany","137","0.0637403999895037","0.0544829423818267","0.0729978575971808","6"
"7 Strongly agree","2010","Urban Area","West Germany","287","0.0328371734151006","0.0292614734844001","0.0364128733458011","7"
"7 Strongly agree","2010","Urban Area","East Germany","30","0.0219307344520766","0.0144001847710227","0.0294612841331305","7"
"7 Strongly agree","2010","Rural Area","West Germany","102","0.039614556797673","0.0325902131681086","0.0466389004272374","7"
"7 Strongly agree","2010","Rural Area","East Germany","97","0.0428772804805855","0.0352004203750795","0.0505541405860915","7"
"1 Strongly disagree","2011","Urban Area","West Germany","","","","","1"
"1 Strongly disagree","2011","Urban Area","East Germany","","","","","1"
"1 Strongly disagree","2011","Rural Area","West Germany","","","","","1"
"1 Strongly disagree","2011","Rural Area","East Germany","","","","","1"
"2 on scale 1-7 ","2011","Urban Area","West Germany","","","","","2"
"2 on scale 1-7 ","2011","Urban Area","East Germany","","","","","2"
"2 on scale 1-7 ","2011","Rural Area","West Germany","","","","","2"
"2 on scale 1-7 ","2011","Rural Area","East Germany","","","","","2"
"3 on scale 1-7 ","2011","Urban Area","West Germany","","","","","3"
"3 on scale 1-7 ","2011","Rural Area","West Germany","","","","","3"
"3 on scale 1-7 ","2011","Urban Area","East Germany","","","","","3"
"3 on scale 1-7 ","2011","Rural Area","East Germany","","","","","3"
"4 on scale 1-7","2011","Urban Area","West Germany","","","","","4"
"4 on scale 1-7","2011","Urban Area","East Germany","","","","","4"
"4 on scale 1-7","2011","Rural Area","West Germany","","","","","4"
"4 on scale 1-7","2011","Rural Area","East Germany","","","","","4"
"5 on scale 1-7","2011","Rural Area","West Germany","","","","","5"
"5 on scale 1-7","2011","Urban Area","East Germany","","","","","5"
"5 on scale 1-7","2011","Urban Area","West Germany","","","","","5"
"5 on scale 1-7","2011","Rural Area","East Germany","","","","","5"
"6 on scale 1-7","2011","Urban Area","West Germany","","","","","6"
"6 on scale 1-7","2011","Urban Area","East Germany","","","","","6"
"6 on scale 1-7","2011","Rural Area","West Germany","","","","","6"
"6 on scale 1-7","2011","Rural Area","East Germany","","","","","6"
"7 Strongly agree","2011","Urban Area","West Germany","","","","","7"
"7 Strongly agree","2011","Urban Area","East Germany","","","","","7"
"7 Strongly agree","2011","Rural Area","West Germany","","","","","7"
"7 Strongly agree","2011","Rural Area","East Germany","","","","","7"
"1 Strongly disagree","2012","Urban Area","West Germany","","","","","1"
"1 Strongly disagree","2012","Urban Area","East Germany","","","","","1"
"1 Strongly disagree","2012","Rural Area","West Germany","","","","","1"
"1 Strongly disagree","2012","Rural Area","East Germany","","","","","1"
"2 on scale 1-7 ","2012","Urban Area","West Germany","","","","","2"
"2 on scale 1-7 ","2012","Urban Area","East Germany","","","","","2"
"2 on scale 1-7 ","2012","Rural Area","West Germany","","","","","2"
"2 on scale 1-7 ","2012","Rural Area","East Germany","","","","","2"
"3 on scale 1-7 ","2012","Urban Area","West Germany","","","","","3"
"3 on scale 1-7 ","2012","Urban Area","East Germany","","","","","3"
"3 on scale 1-7 ","2012","Rural Area","West Germany","","","","","3"
"3 on scale 1-7 ","2012","Rural Area","East Germany","","","","","3"
"4 on scale 1-7","2012","Urban Area","West Germany","","","","","4"
"4 on scale 1-7","2012","Urban Area","East Germany","","","","","4"
"4 on scale 1-7","2012","Rural Area","West Germany","","","","","4"
"4 on scale 1-7","2012","Rural Area","East Germany","","","","","4"
"5 on scale 1-7","2012","Urban Area","West Germany","","","","","5"
"5 on scale 1-7","2012","Urban Area","East Germany","","","","","5"
"5 on scale 1-7","2012","Rural Area","West Germany","","","","","5"
"5 on scale 1-7","2012","Rural Area","East Germany","","","","","5"
"6 on scale 1-7","2012","Urban Area","West Germany","","","","","6"
"6 on scale 1-7","2012","Urban Area","East Germany","","","","","6"
"6 on scale 1-7","2012","Rural Area","West Germany","","","","","6"
"6 on scale 1-7","2012","Rural Area","East Germany","","","","","6"
"7 Strongly agree","2012","Urban Area","West Germany","","","","","7"
"7 Strongly agree","2012","Urban Area","East Germany","","","","","7"
"7 Strongly agree","2012","Rural Area","West Germany","","","","","7"
"7 Strongly agree","2012","Rural Area","East Germany","","","","","7"
"1 Strongly disagree","2013","Urban Area","West Germany","","","","","1"
"1 Strongly disagree","2013","Urban Area","East Germany","","","","","1"
"1 Strongly disagree","2013","Rural Area","West Germany","","","","","1"
"1 Strongly disagree","2013","Rural Area","East Germany","","","","","1"
"2 on scale 1-7 ","2013","Urban Area","West Germany","","","","","2"
"2 on scale 1-7 ","2013","Urban Area","East Germany","","","","","2"
"2 on scale 1-7 ","2013","Rural Area","West Germany","","","","","2"
"2 on scale 1-7 ","2013","Rural Area","East Germany","","","","","2"
"3 on scale 1-7 ","2013","Urban Area","West Germany","","","","","3"
"3 on scale 1-7 ","2013","Rural Area","East Germany","","","","","3"
"3 on scale 1-7 ","2013","Rural Area","West Germany","","","","","3"
"3 on scale 1-7 ","2013","Urban Area","East Germany","","","","","3"
"4 on scale 1-7","2013","Urban Area","West Germany","","","","","4"
"4 on scale 1-7","2013","Urban Area","East Germany","","","","","4"
"4 on scale 1-7","2013","Rural Area","West Germany","","","","","4"
"4 on scale 1-7","2013","Rural Area","East Germany","","","","","4"
"5 on scale 1-7","2013","Urban Area","West Germany","","","","","5"
"5 on scale 1-7","2013","Rural Area","West Germany","","","","","5"
"5 on scale 1-7","2013","Urban Area","East Germany","","","","","5"
"5 on scale 1-7","2013","Rural Area","East Germany","","","","","5"
"6 on scale 1-7","2013","Urban Area","West Germany","","","","","6"
"6 on scale 1-7","2013","Urban Area","East Germany","","","","","6"
"6 on scale 1-7","2013","Rural Area","West Germany","","","","","6"
"6 on scale 1-7","2013","Rural Area","East Germany","","","","","6"
"7 Strongly agree","2013","Urban Area","West Germany","","","","","7"
"7 Strongly agree","2013","Urban Area","East Germany","","","","","7"
"7 Strongly agree","2013","Rural Area","West Germany","","","","","7"
"7 Strongly agree","2013","Rural Area","East Germany","","","","","7"
"1 Strongly disagree","2014","Urban Area","West Germany","","","","","1"
"1 Strongly disagree","2014","Urban Area","East Germany","","","","","1"
"1 Strongly disagree","2014","Rural Area","West Germany","","","","","1"
"1 Strongly disagree","2014","Rural Area","East Germany","","","","","1"
"2 on scale 1-7 ","2014","Urban Area","West Germany","","","","","2"
"2 on scale 1-7 ","2014","Urban Area","East Germany","","","","","2"
"2 on scale 1-7 ","2014","Rural Area","West Germany","","","","","2"
"2 on scale 1-7 ","2014","Rural Area","East Germany","","","","","2"
"3 on scale 1-7 ","2014","Urban Area","West Germany","","","","","3"
"3 on scale 1-7 ","2014","Rural Area","West Germany","","","","","3"
"3 on scale 1-7 ","2014","Urban Area","East Germany","","","","","3"
"3 on scale 1-7 ","2014","Rural Area","East Germany","","","","","3"
"4 on scale 1-7","2014","Urban Area","West Germany","","","","","4"
"4 on scale 1-7","2014","Rural Area","East Germany","","","","","4"
"4 on scale 1-7","2014","Urban Area","East Germany","","","","","4"
"4 on scale 1-7","2014","Rural Area","West Germany","","","","","4"
"5 on scale 1-7","2014","Urban Area","East Germany","","","","","5"
"5 on scale 1-7","2014","Urban Area","West Germany","","","","","5"
"5 on scale 1-7","2014","Rural Area","West Germany","","","","","5"
"5 on scale 1-7","2014","Rural Area","East Germany","","","","","5"
"6 on scale 1-7","2014","Urban Area","West Germany","","","","","6"
"6 on scale 1-7","2014","Urban Area","East Germany","","","","","6"
"6 on scale 1-7","2014","Rural Area","West Germany","","","","","6"
"6 on scale 1-7","2014","Rural Area","East Germany","","","","","6"
"7 Strongly agree","2014","Urban Area","West Germany","","","","","7"
"7 Strongly agree","2014","Urban Area","East Germany","","","","","7"
