"plh0206i03","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","16-34 y.","Not Employed","324","0.210436737307507","0.190532086311243","0.230341388303771","1"
"1 Strongly disagree","2005","16-34 y.","Employed","671","0.186590653527569","0.174027485522792","0.199153821532347","1"
"1 Strongly disagree","2005","35-65 y.","Not Employed","706","0.270546567133092","0.253730691602008","0.287362442664177","1"
"1 Strongly disagree","2005","35-65 y.","Employed","2050","0.235289471326827","0.226469459718078","0.244109482935577","1"
"1 Strongly disagree","2005","66 and older","Not Employed","1231","0.369001270462356","0.353094516814823","0.38490802410989","1"
"1 Strongly disagree","2005","66 and older","Employed","72","0.356297197873555","0.293860090483704","0.418734305263405","1"
"2 on scale 1-7 ","2005","35-65 y.","Not Employed","607","0.204297386675547","0.189035561237239","0.219559212113855","2"
"2 on scale 1-7 ","2005","16-34 y.","Not Employed","352","0.197536385289277","0.178094581900942","0.216978188677611","2"
"2 on scale 1-7 ","2005","66 and older","Employed","41","0.145183358099898","0.0992541693558074","0.191112546843989","2"
"2 on scale 1-7 ","2005","16-34 y.","Employed","935","0.245351943221068","0.231475868637271","0.259228017804864","2"
"2 on scale 1-7 ","2005","35-65 y.","Employed","2225","0.238793266231964","0.229928205327276","0.247658327136652","2"
"2 on scale 1-7 ","2005","66 and older","Not Employed","788","0.214228787349574","0.200703691432686","0.227753883266462","2"
"3 on scale 1-7 ","2005","66 and older","Not Employed","557","0.153342184756628","0.14146432574269","0.165220043770565","3"
"3 on scale 1-7 ","2005","16-34 y.","Not Employed","284","0.183043815452555","0.164160544136599","0.201927086768511","3"
"3 on scale 1-7 ","2005","35-65 y.","Employed","1661","0.185162943321242","0.1770862833675","0.193239603274983","3"
"3 on scale 1-7 ","2005","35-65 y.","Not Employed","463","0.17954007261651","0.165011964291094","0.194068180941925","3"
"3 on scale 1-7 ","2005","16-34 y.","Employed","752","0.208616306680094","0.195513409884968","0.22171920347522","3"
"3 on scale 1-7 ","2005","66 and older","Employed","37","0.137256369550023","0.0923920581842931","0.182120680915753","3"
"4 on scale 1-7","2005","66 and older","Employed","31","0.201090860409584","0.148834551256216","0.253347169562952","4"
"4 on scale 1-7","2005","16-34 y.","Employed","666","0.18400414757769","0.171508538575177","0.196499756580202","4"
"4 on scale 1-7","2005","35-65 y.","Not Employed","465","0.172120275731643","0.157831358395419","0.186409193067868","4"
"4 on scale 1-7","2005","66 and older","Not Employed","494","0.139148054357478","0.127738828337162","0.150557280377795","4"
"4 on scale 1-7","2005","16-34 y.","Not Employed","309","0.174451260468695","0.155919838894915","0.192982682042475","4"
"4 on scale 1-7","2005","35-65 y.","Employed","1510","0.174128221326718","0.166243065690617","0.18201337696282","4"
"5 on scale 1-7","2005","66 and older","Employed","21","","","","5"
"5 on scale 1-7","2005","35-65 y.","Employed","771","0.0830660587427488","0.0773275347491742","0.0888045827363235","5"
"5 on scale 1-7","2005","66 and older","Not Employed","260","0.0704336883503949","0.0619987136233746","0.0788686630774153","5"
"5 on scale 1-7","2005","16-34 y.","Not Employed","177","0.118204214621266","0.102438966471246","0.133969462771287","5"
"5 on scale 1-7","2005","16-34 y.","Employed","395","0.0959813655874739","0.086482280035613","0.105480451139335","5"
"5 on scale 1-7","2005","35-65 y.","Not Employed","231","0.0860280888250954","0.0754139137721068","0.096642263878084","5"
"6 on scale 1-7","2005","66 and older","Employed","11","","","","6"
"6 on scale 1-7","2005","35-65 y.","Not Employed","114","0.048677984598132","0.0405322594492671","0.0568237097469969","6"
"6 on scale 1-7","2005","66 and older","Not Employed","111","0.029209735084669","0.0236586242665751","0.0347608459027629","6"
"6 on scale 1-7","2005","16-34 y.","Not Employed","92","0.0602502567499788","0.0486307985044018","0.0718697149955558","6"
"6 on scale 1-7","2005","35-65 y.","Employed","373","0.0441513475017817","0.0398797932903831","0.0484229017131804","6"
"6 on scale 1-7","2005","16-34 y.","Employed","154","0.04299412214728","0.0364528609519151","0.049535383342645","6"
"7 Strongly agree","2005","66 and older","Employed","13","","","","7"
"7 Strongly agree","2005","66 and older","Not Employed","94","0.0246362796388992","0.0195262403033531","0.0297463189744453","7"
"7 Strongly agree","2005","35-65 y.","Not Employed","95","0.0387896244199807","0.0314804774211208","0.0460987714188405","7"
"7 Strongly agree","2005","35-65 y.","Employed","295","0.0394086915487181","0.0353630750743357","0.0434543080231004","7"
"7 Strongly agree","2005","16-34 y.","Not Employed","73","0.0560773301107215","0.0448426116588933","0.0673120485625497","7"
"7 Strongly agree","2005","16-34 y.","Employed","121","0.0364614612588255","0.030417088699103","0.042505833818548","7"
"1 Strongly disagree","2006","16-34 y.","Employed","","","","","1"
"1 Strongly disagree","2006","35-65 y.","Not Employed","","","","","1"
"1 Strongly disagree","2006","35-65 y.","Employed","","","","","1"
"1 Strongly disagree","2006","66 and older","Not Employed","","","","","1"
"1 Strongly disagree","2006","66 and older","Employed","","","","","1"
"1 Strongly disagree","2006","16-34 y.","Not Employed","","","","","1"
"2 on scale 1-7 ","2006","16-34 y.","Not Employed","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","Not Employed","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","Employed","","","","","2"
"2 on scale 1-7 ","2006","66 and older","Employed","","","","","2"
"2 on scale 1-7 ","2006","16-34 y.","Employed","","","","","2"
"2 on scale 1-7 ","2006","66 and older","Not Employed","","","","","2"
"3 on scale 1-7 ","2006","66 and older","Employed","","","","","3"
"3 on scale 1-7 ","2006","66 and older","Not Employed","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","Employed","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","Not Employed","","","","","3"
"3 on scale 1-7 ","2006","16-34 y.","Employed","","","","","3"
"3 on scale 1-7 ","2006","16-34 y.","Not Employed","","","","","3"
"4 on scale 1-7","2006","16-34 y.","Employed","","","","","4"
"4 on scale 1-7","2006","16-34 y.","Not Employed","","","","","4"
"4 on scale 1-7","2006","66 and older","Employed","","","","","4"
"4 on scale 1-7","2006","66 and older","Not Employed","","","","","4"
"4 on scale 1-7","2006","35-65 y.","Employed","","","","","4"
"4 on scale 1-7","2006","35-65 y.","Not Employed","","","","","4"
"5 on scale 1-7","2006","66 and older","Employed","","","","","5"
"5 on scale 1-7","2006","66 and older","Not Employed","","","","","5"
"5 on scale 1-7","2006","35-65 y.","Not Employed","","","","","5"
