"plh0206i03","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","in school","109","0.218356526543944","0.182252840817302","0.254460212270585"
"1 Strongly disagree","2005","no migration background","inadequately","","","",""
"1 Strongly disagree","2005","no migration background","general elemantary","443","0.289303578651457","0.267431325611002","0.311175831691912"
"1 Strongly disagree","2005","no migration background","middle vocational","2172","0.25686093329093","0.247839619900631","0.265882246681229"
"1 Strongly disagree","2005","no migration background","vocational + Abi","179","0.232128557013382","0.204074413855148","0.260182700171615"
"1 Strongly disagree","2005","no migration background","higher vocational","314","0.227231127709975","0.205130226990554","0.249332028429396"
"1 Strongly disagree","2005","no migration background","higher education","912","0.254552181625384","0.240613756324308","0.26849060692646"
"1 Strongly disagree","2005","direct migration background","in school","","","",""
"1 Strongly disagree","2005","direct migration background","inadequately","48","0.365580381313768","0.286369715856611","0.444791046770926"
"1 Strongly disagree","2005","direct migration background","general elemantary","178","0.297186468798964","0.259468950298823","0.334903987299105"
"1 Strongly disagree","2005","direct migration background","middle vocational","247","0.277089268184308","0.247315046522118","0.306863489846499"
"1 Strongly disagree","2005","direct migration background","vocational + Abi","64","0.265276591170305","0.206401360994356","0.324151821346254"
"1 Strongly disagree","2005","direct migration background","higher vocational","49","0.400611009276449","0.317331512651827","0.483890505901071"
"1 Strongly disagree","2005","direct migration background","higher education","100","0.314295026127519","0.264803921778358","0.363786130476679"
"1 Strongly disagree","2005","indirect migration background","in school","","","",""
"1 Strongly disagree","2005","indirect migration background","inadequately","","","",""
"1 Strongly disagree","2005","indirect migration background","general elemantary","30","0.134860817626662","0.0849611418806017","0.184760493372722"
"1 Strongly disagree","2005","indirect migration background","middle vocational","72","0.216441532295677","0.17234223273055","0.260540831860804"
"1 Strongly disagree","2005","indirect migration background","vocational + Abi","","","",""
"1 Strongly disagree","2005","indirect migration background","higher vocational","","","",""
"1 Strongly disagree","2005","indirect migration background","higher education","","","",""
"2 on scale 1-7 ","2005","no migration background","in school","116","0.207401313625299","0.171969243730629","0.24283338351997"
"2 on scale 1-7 ","2005","no migration background","inadequately","","","",""
"2 on scale 1-7 ","2005","no migration background","general elemantary","340","0.186349911700551","0.167567213168916","0.205132610232186"
"2 on scale 1-7 ","2005","no migration background","middle vocational","2099","0.221729140738649","0.213151606362053","0.230306675115244"
"2 on scale 1-7 ","2005","no migration background","vocational + Abi","259","0.287702440534582","0.257621530841358","0.317783350227807"
"2 on scale 1-7 ","2005","no migration background","higher vocational","366","0.259829989301703","0.236700734959057","0.282959243644349"
"2 on scale 1-7 ","2005","no migration background","higher education","1067","0.280029236729582","0.265661915733304","0.294396557725861"
"2 on scale 1-7 ","2005","direct migration background","in school","","","",""
"2 on scale 1-7 ","2005","direct migration background","inadequately","","","",""
"2 on scale 1-7 ","2005","direct migration background","general elemantary","103","0.217555761557792","0.183505493740961","0.251606029374622"
"2 on scale 1-7 ","2005","direct migration background","middle vocational","185","0.211684564744085","0.184508733342044","0.238860396146127"
"2 on scale 1-7 ","2005","direct migration background","vocational + Abi","47","0.20144722128714","0.147959552659952","0.254934889914328"
"2 on scale 1-7 ","2005","direct migration background","higher vocational","","","",""
"2 on scale 1-7 ","2005","direct migration background","higher education","61","0.151095224568475","0.112914461970769","0.189275987166182"
"2 on scale 1-7 ","2005","indirect migration background","in school","","","",""
"2 on scale 1-7 ","2005","indirect migration background","inadequately","","","",""
"2 on scale 1-7 ","2005","indirect migration background","general elemantary","36","0.209619858406394","0.150156961934361","0.269082754878428"
"2 on scale 1-7 ","2005","indirect migration background","middle vocational","79","0.219738991433337","0.175398632610509","0.264079350256165"
"2 on scale 1-7 ","2005","indirect migration background","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","indirect migration background","higher vocational","","","",""
"2 on scale 1-7 ","2005","indirect migration background","higher education","","","",""
"3 on scale 1-7 ","2005","no migration background","in school","94","0.177246030800443","0.143873637683434","0.210618423917453"
"3 on scale 1-7 ","2005","no migration background","inadequately","","","",""
"3 on scale 1-7 ","2005","no migration background","general elemantary","261","0.149098813396711","0.131917703624549","0.166279923168874"
"3 on scale 1-7 ","2005","no migration background","middle vocational","1644","0.180458704484995","0.172517981712951","0.188399427257038"
"3 on scale 1-7 ","2005","no migration background","vocational + Abi","181","0.19140685227452","0.165265248147493","0.217548456401546"
"3 on scale 1-7 ","2005","no migration background","higher vocational","265","0.189195211963592","0.168538343944135","0.209852079983049"
"3 on scale 1-7 ","2005","no migration background","higher education","740","0.194271967480045","0.181612484120284","0.206931450839806"
"3 on scale 1-7 ","2005","direct migration background","in school","","","",""
"3 on scale 1-7 ","2005","direct migration background","inadequately","","","",""
"3 on scale 1-7 ","2005","direct migration background","general elemantary","67","0.141617847595361","0.112843341801437","0.170392353389286"
"3 on scale 1-7 ","2005","direct migration background","middle vocational","128","0.154875664428659","0.130807657743068","0.17894367111425"
"3 on scale 1-7 ","2005","direct migration background","vocational + Abi","39","0.233854954569366","0.177406767040595","0.290303142098137"
"3 on scale 1-7 ","2005","direct migration background","higher vocational","","","",""
"3 on scale 1-7 ","2005","direct migration background","higher education","68","0.22836292427822","0.183611271235278","0.273114577321162"
"3 on scale 1-7 ","2005","indirect migration background","in school","","","",""
"3 on scale 1-7 ","2005","indirect migration background","inadequately","","","",""
"3 on scale 1-7 ","2005","indirect migration background","general elemantary","30","0.182254352021291","0.125856844218912","0.238651859823669"
"3 on scale 1-7 ","2005","indirect migration background","middle vocational","60","0.221929881601956","0.177431630073997","0.266428133129915"
"3 on scale 1-7 ","2005","indirect migration background","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","indirect migration background","higher vocational","","","",""
"3 on scale 1-7 ","2005","indirect migration background","higher education","","","",""
"4 on scale 1-7","2005","no migration background","in school","97","0.157113678827743","0.125311593364836","0.18891576429065"
"4 on scale 1-7","2005","no migration background","inadequately","","","",""
"4 on scale 1-7","2005","no migration background","general elemantary","277","0.172810184730223","0.154572831454992","0.191047538005453"
"4 on scale 1-7","2005","no migration background","middle vocational","1541","0.171518448096388","0.163734811775991","0.179302084416786"
"4 on scale 1-7","2005","no migration background","vocational + Abi","140","0.158221402650545","0.133970940499868","0.182471864801223"
"4 on scale 1-7","2005","no migration background","higher vocational","240","0.187284384541199","0.166707892433244","0.207860876649153"
"4 on scale 1-7","2005","no migration background","higher education","584","0.161515824831851","0.149740533759189","0.173291115904513"
"4 on scale 1-7","2005","direct migration background","in school","","","",""
"4 on scale 1-7","2005","direct migration background","inadequately","","","",""
"4 on scale 1-7","2005","direct migration background","general elemantary","108","0.176736101320992","0.145255667399264","0.20821653524272"
"4 on scale 1-7","2005","direct migration background","middle vocational","150","0.193588496224812","0.16730359442493","0.219873398024694"
"4 on scale 1-7","2005","direct migration background","vocational + Abi","","","",""
"4 on scale 1-7","2005","direct migration background","higher vocational","","","",""
"4 on scale 1-7","2005","direct migration background","higher education","55","0.134886525062541","0.0984689887065464","0.171304061418536"
"4 on scale 1-7","2005","indirect migration background","in school","","","",""
"4 on scale 1-7","2005","indirect migration background","inadequately","","","",""
"4 on scale 1-7","2005","indirect migration background","general elemantary","34","0.230706320899122","0.169162044871724","0.29225059692652"
"4 on scale 1-7","2005","indirect migration background","middle vocational","55","0.144123565875088","0.106513965292503","0.181733166457674"
"4 on scale 1-7","2005","indirect migration background","vocational + Abi","","","",""
