"plh0206i03","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","(0) in school","110","0.219448781267638","0.183387585603506","0.25550997693177"
"1 Strongly disagree","2005","no migration background","(1a) inadequately completed","30","0.386685660787882","0.276471333942811","0.496899987632953"
"1 Strongly disagree","2005","no migration background","(1b) general elementary school","345","0.29924151481622","0.273598141697407","0.324884887935032"
"1 Strongly disagree","2005","no migration background","(1c) basic vocational qualification","1237","0.269929891304572","0.257472274534642","0.282387508074501"
"1 Strongly disagree","2005","no migration background","(2b) intermediate general qualification","106","0.252115356208022","0.212434034179073","0.291796678236971"
"1 Strongly disagree","2005","no migration background","(2a) intermediate vocational","1052","0.239456644534603","0.227001887650452","0.251911401418754"
"1 Strongly disagree","2005","no migration background","(2c_gen) general maturity certificate","106","0.184063747683956","0.153106517936845","0.215020977431067"
"1 Strongly disagree","2005","no migration background","(2c_voc) vocational maturity certificate","243","0.221436589923674","0.197805843841341","0.245067336006007"
"1 Strongly disagree","2005","no migration background","(3a) lower tertiary education","397","0.275390499109881","0.253166166854334","0.297614831365429"
"1 Strongly disagree","2005","no migration background","(3b) higher tertiary education","515","0.237654977109431","0.219868661588363","0.255441292630498"
"1 Strongly disagree","2005","direct migration background","(0) in school","","","",""
"1 Strongly disagree","2005","direct migration background","(1a) inadequately completed","58","0.411723876921621","0.334985398247295","0.488462355595947"
"1 Strongly disagree","2005","direct migration background","(1b) general elementary school","165","0.299140398370691","0.259594857114287","0.338685939627095"
"1 Strongly disagree","2005","direct migration background","(1c) basic vocational qualification","185","0.287298007017893","0.252957597704387","0.321638416331399"
"1 Strongly disagree","2005","direct migration background","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2005","direct migration background","(2a) intermediate vocational","49","0.292831728903002","0.21926865424519","0.366394803560814"
"1 Strongly disagree","2005","direct migration background","(2c_gen) general maturity certificate","","","",""
"1 Strongly disagree","2005","direct migration background","(2c_voc) vocational maturity certificate","86","0.285307718311898","0.231345691013775","0.33926974561002"
"1 Strongly disagree","2005","direct migration background","(3a) lower tertiary education","","","",""
"1 Strongly disagree","2005","direct migration background","(3b) higher tertiary education","79","0.306259117706923","0.250657262140715","0.361860973273131"
"1 Strongly disagree","2005","indirect migration background","(0) in school","","","",""
"1 Strongly disagree","2005","indirect migration background","(1a) inadequately completed","","","",""
"1 Strongly disagree","2005","indirect migration background","(1b) general elementary school","","","",""
"1 Strongly disagree","2005","indirect migration background","(1c) basic vocational qualification","35","0.246364213969442","0.175986296242891","0.316742131695993"
