"plh0206i03","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","16-34 y.","in school","127","0.201237819093944","0.170320959042643","0.232154679145245","1"
"1 Strongly disagree","2005","16-34 y.","inadequately","17","","","","1"
"1 Strongly disagree","2005","16-34 y.","general elemantary","164","0.193843929992932","0.16699906293592","0.220688797049944","1"
"1 Strongly disagree","2005","16-34 y.","middle vocational","421","0.184403255061851","0.168646313195216","0.200160196928486","1"
"1 Strongly disagree","2005","16-34 y.","vocational + Abi","72","0.200206965288333","0.162732155607687","0.237681774968978","1"
"1 Strongly disagree","2005","16-34 y.","higher vocational","49","0.267199466749352","0.206773283594515","0.327625649904189","1"
"1 Strongly disagree","2005","16-34 y.","higher education","91","0.182845199724335","0.149590091783574","0.216100307665097","1"
"1 Strongly disagree","2005","35-65 y.","in school","","","","","1"
"1 Strongly disagree","2005","35-65 y.","inadequately","42","0.355591858987677","0.271337250978532","0.439846466996822","1"
"1 Strongly disagree","2005","35-65 y.","general elemantary","217","0.259273712349192","0.229315195840202","0.289232228858183","1"
"1 Strongly disagree","2005","35-65 y.","middle vocational","1417","0.244018202281793","0.233094792919607","0.254941611643978","1"
"1 Strongly disagree","2005","35-65 y.","vocational + Abi","140","0.222699963976701","0.18921304728996","0.256186880663441","1"
"1 Strongly disagree","2005","35-65 y.","higher vocational","242","0.222573541126435","0.197935427271729","0.24721165498114","1"
"1 Strongly disagree","2005","35-65 y.","higher education","694","0.244780468478336","0.229333024994014","0.260227911962657","1"
"1 Strongly disagree","2005","66 and older","in school","","","","","1"
"1 Strongly disagree","2005","66 and older","inadequately","14","","","","1"
"1 Strongly disagree","2005","66 and older","general elemantary","270","0.383487285324768","0.348454171941174","0.418520398708362","1"
"1 Strongly disagree","2005","66 and older","middle vocational","653","0.362903719610569","0.34154558301059","0.384261856210548","1"
"1 Strongly disagree","2005","66 and older","vocational + Abi","40","0.464146353296977","0.366885523444014","0.56140718314994","1"
"1 Strongly disagree","2005","66 and older","higher vocational","83","0.3104353464994","0.253536388790785","0.367334304208016","1"
"1 Strongly disagree","2005","66 and older","higher education","241","0.37891908629151","0.342020359263535","0.415817813319485","1"
"2 on scale 1-7 ","2005","66 and older","inadequately","9","","","","2"
"2 on scale 1-7 ","2005","66 and older","in school","","","","","2"
"2 on scale 1-7 ","2005","66 and older","middle vocational","420","0.207380990821089","0.189372312952923","0.225389668689255","2"
"2 on scale 1-7 ","2005","66 and older","general elemantary","160","0.205920338985865","0.176785414980255","0.235055262991476","2"
"2 on scale 1-7 ","2005","66 and older","higher education","151","0.206807452413237","0.176001371180471","0.237613533646002","2"
