"plh0206i03","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","West Germany","762","0.194012184742257","0.181688130862263","0.206336238622251"
"1 Strongly disagree","2005","16-34 y.","East Germany","233","0.18885362599046","0.16797540519106","0.20973184678986"
"1 Strongly disagree","2005","35-65 y.","West Germany","2096","0.245358936799962","0.236389430217449","0.254328443382476"
"1 Strongly disagree","2005","35-65 y.","East Germany","660","0.236702062526383","0.220742796897913","0.252661328154854"
"1 Strongly disagree","2005","66 and older","West Germany","984","0.369316006446035","0.351427071805355","0.387204941086716"
"1 Strongly disagree","2005","66 and older","East Germany","319","0.364209276768629","0.333848209815177","0.39457034372208"
"2 on scale 1-7 ","2005","16-34 y.","West Germany","963","0.233463165947319","0.220279064177791","0.246647267716847"
"2 on scale 1-7 ","2005","16-34 y.","East Germany","324","0.228013532315635","0.205633208710834","0.250393855920437"
"2 on scale 1-7 ","2005","35-65 y.","West Germany","2155","0.231074731827245","0.222288236326695","0.239861227327794"
"2 on scale 1-7 ","2005","35-65 y.","East Germany","677","0.227531057285083","0.211790297405863","0.243271817164304"
"2 on scale 1-7 ","2005","66 and older","West Germany","597","0.206374984184987","0.191374139712623","0.22137582865735"
"2 on scale 1-7 ","2005","66 and older","East Germany","232","0.226106071993517","0.199713527243373","0.252498616743661"
"3 on scale 1-7 ","2005","16-34 y.","West Germany","777","0.208659345152713","0.195995210890869","0.221323479414557"
"3 on scale 1-7 ","2005","16-34 y.","East Germany","259","0.171962728469499","0.151833676865798","0.192091780073199"
"3 on scale 1-7 ","2005","35-65 y.","West Germany","1594","0.179358184333743","0.171361042169985","0.1873553264975"
"3 on scale 1-7 ","2005","35-65 y.","East Germany","530","0.204382099846288","0.189241658368185","0.219522541324391"
"3 on scale 1-7 ","2005","66 and older","West Germany","441","0.151990228680241","0.138682995409875","0.165297461950607"
"3 on scale 1-7 ","2005","66 and older","East Germany","153","0.154214964086073","0.131428460484594","0.177001467687553"
"4 on scale 1-7","2005","16-34 y.","West Germany","711","0.173426729151333","0.161626959144951","0.185226499157714"
"4 on scale 1-7","2005","16-34 y.","East Germany","264","0.21562383260159","0.193686097801315","0.237561567401865"
"4 on scale 1-7","2005","35-65 y.","West Germany","1525","0.174713023000992","0.166797811376137","0.182628234625846"
"4 on scale 1-7","2005","35-65 y.","East Germany","450","0.1686839430625","0.154623960101672","0.182743926023329"
"4 on scale 1-7","2005","66 and older","West Germany","390","0.144871661208996","0.131825375743215","0.157917946674776"
"4 on scale 1-7","2005","66 and older","East Germany","135","0.133735239531099","0.112260263481083","0.155210215581115"
"5 on scale 1-7","2005","16-34 y.","West Germany","407","0.0973603904347645","0.0881214281516578","0.106599352717871"
"5 on scale 1-7","2005","16-34 y.","East Germany","165","0.121775290803565","0.104330586174457","0.139219995432672"
"5 on scale 1-7","2005","35-65 y.","West Germany","782","0.0833681412949804","0.0776058537138155","0.0891304288761453"
"5 on scale 1-7","2005","35-65 y.","East Germany","220","0.0857033630125008","0.0751932513313395","0.0962134746936621"
"5 on scale 1-7","2005","66 and older","West Germany","205","0.0689452393079972","0.0595540788344822","0.0783363997815123"
"5 on scale 1-7","2005","66 and older","East Germany","76","0.0733759614932979","0.0569241729754986","0.0898277500110973"
"6 on scale 1-7","2005","16-34 y.","West Germany","183","0.0490035667772268","0.0422756883209736","0.0557314452334799"
"6 on scale 1-7","2005","16-34 y.","East Germany","63","0.0418990054965711","0.0312111958653122","0.05258681512783"
"6 on scale 1-7","2005","35-65 y.","West Germany","381","0.0460938029480414","0.041722896600392","0.0504647092956909"
"6 on scale 1-7","2005","35-65 y.","East Germany","106","0.0413242880975055","0.0338511434163001","0.048797432778711"
"6 on scale 1-7","2005","66 and older","West Germany","93","0.0308160811136392","0.0244103115512268","0.0372218506760516"
"6 on scale 1-7","2005","66 and older","East Germany","29","","",""
"7 Strongly agree","2005","16-34 y.","West Germany","152","0.0440746177943869","0.0376775475261686","0.0504716880626051"
"7 Strongly agree","2005","16-34 y.","East Germany","42","0.0318719843226804","0.0225017133037098","0.041242255341651"
"7 Strongly agree","2005","35-65 y.","West Germany","308","0.0400331797950371","0.0359468298995369","0.0441195296905372"
"7 Strongly agree","2005","35-65 y.","East Germany","82","0.0356731861697384","0.0287093602003019","0.0426370121391749"
"7 Strongly agree","2005","66 and older","West Germany","86","0.0276857990581043","0.0216042900673724","0.0337673080488362"
"7 Strongly agree","2005","66 and older","East Germany","21","","",""
"1 Strongly disagree","2006","16-34 y.","West Germany","","","",""
"1 Strongly disagree","2006","16-34 y.","East Germany","","","",""
"1 Strongly disagree","2006","35-65 y.","West Germany","","","",""
"1 Strongly disagree","2006","35-65 y.","East Germany","","","",""
"1 Strongly disagree","2006","66 and older","West Germany","","","",""
"1 Strongly disagree","2006","66 and older","East Germany","","","",""
"2 on scale 1-7 ","2006","16-34 y.","West Germany","","","",""
"2 on scale 1-7 ","2006","16-34 y.","East Germany","","","",""
"2 on scale 1-7 ","2006","35-65 y.","West Germany","","","",""
"2 on scale 1-7 ","2006","35-65 y.","East Germany","","","",""
"2 on scale 1-7 ","2006","66 and older","West Germany","","","",""
"2 on scale 1-7 ","2006","66 and older","East Germany","","","",""
"3 on scale 1-7 ","2006","16-34 y.","West Germany","","","",""
"3 on scale 1-7 ","2006","16-34 y.","East Germany","","","",""
"3 on scale 1-7 ","2006","35-65 y.","West Germany","","","",""
"3 on scale 1-7 ","2006","35-65 y.","East Germany","","","",""
"3 on scale 1-7 ","2006","66 and older","West Germany","","","",""
"3 on scale 1-7 ","2006","66 and older","East Germany","","","",""
"4 on scale 1-7","2006","16-34 y.","West Germany","","","",""
"4 on scale 1-7","2006","16-34 y.","East Germany","","","",""
"4 on scale 1-7","2006","35-65 y.","West Germany","","","",""
"4 on scale 1-7","2006","35-65 y.","East Germany","","","",""
"4 on scale 1-7","2006","66 and older","West Germany","","","",""
"4 on scale 1-7","2006","66 and older","East Germany","","","",""
"5 on scale 1-7","2006","16-34 y.","West Germany","","","",""
"5 on scale 1-7","2006","16-34 y.","East Germany","","","",""
