"plh0206i03","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","1-pers.-HH","Male","249","0.215853946710272","0.193028500527528","0.238679392893016"
"1 Strongly disagree","2005","1-pers.-HH","Female","624","0.386401971916378","0.363275871253372","0.409528072579385"
"1 Strongly disagree","2005","(Married) couple without C. ","Male","806","0.245775090805267","0.231449823914859","0.260100357695674"
"1 Strongly disagree","2005","(Married) couple without C. ","Female","1076","0.31285443062858","0.297557024670175","0.328151836586985"
"1 Strongly disagree","2005","Single parent ","Male","59","0.168906101218001","0.129022353759136","0.208789848676866"
"1 Strongly disagree","2005","Single parent ","Female","208","0.269900090987176","0.238298703520368","0.301501478453985"
"1 Strongly disagree","2005","Couple + C. LE 16 ","Male","297","0.163702581469019","0.146647373478978","0.180757789459061"
"1 Strongly disagree","2005","Couple + C. LE 16 ","Female","476","0.257573127379267","0.237847800307543","0.277298454450991"
"1 Strongly disagree","2005","Couple + C. GT 16 ","Male","306","0.163970919958311","0.147370775930231","0.180571063986391"
"1 Strongly disagree","2005","Couple + C. GT 16 ","Female","430","0.23891852610487","0.218807121145343","0.259029931064397"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","Male","151","0.195424543566006","0.168892091372481","0.221956995759531"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","Female","229","0.28430975810331","0.253805049634152","0.314814466572467"
"2 on scale 1-7 ","2005","1-pers.-HH","Male","284","0.213326222793508","0.190598273224021","0.236054172362994"
"2 on scale 1-7 ","2005","1-pers.-HH","Female","436","0.242676276471942","0.222315459069435","0.263037093874448"
"2 on scale 1-7 ","2005","(Married) couple without C. ","Male","763","0.204102222454238","0.190692003571876","0.217512441336601"
"2 on scale 1-7 ","2005","(Married) couple without C. ","Female","852","0.228356391336419","0.214506791375351","0.242205991297486"
"2 on scale 1-7 ","2005","Single parent ","Male","58","0.165988511385527","0.126381390530766","0.205595632240288"
"2 on scale 1-7 ","2005","Single parent ","Female","196","0.264566436812583","0.233164778377327","0.295968095247839"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","Male","433","0.240598950694534","0.220895996900195","0.260301904488874"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","Female","506","0.257851240719822","0.238118964254983","0.277583517184662"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","Male","453","0.214735176715997","0.196324175101417","0.233146178330577"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","Female","456","0.239631390442498","0.219499439388344","0.259763341496652"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","Male","187","0.196142545810843","0.169573260484258","0.222711831137429"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","Female","212","0.238292917362491","0.209481938618455","0.267103896106527"
"3 on scale 1-7 ","2005","1-pers.-HH","Male","244","0.203124852267735","0.180803655758172","0.225446048777299"
"3 on scale 1-7 ","2005","1-pers.-HH","Female","262","0.155460842380982","0.13825162300907","0.172670061752894"
"3 on scale 1-7 ","2005","(Married) couple without C. ","Male","649","0.176330259598684","0.16365014049835","0.189010378699017"
"3 on scale 1-7 ","2005","(Married) couple without C. ","Female","631","0.172058456874729","0.159605854785617","0.184511058963841"
"3 on scale 1-7 ","2005","Single parent ","Male","47","0.132397737971484","0.0963192056285434","0.168476270314425"
"3 on scale 1-7 ","2005","Single parent ","Female","124","0.166239671805184","0.139736281152181","0.192743062458187"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","Male","378","0.200104274205924","0.181662880120623","0.218545668291224"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","Female","353","0.191346359569417","0.173602893062427","0.209089826076408"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","Male","369","0.205957837836545","0.187826548386469","0.224089127286622"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","Female","286","0.178320329055569","0.16026715281773","0.196373505293409"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","Male","170","0.211155614875014","0.183846889280042","0.238464340469985"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","Female","147","0.171886754154628","0.146372991039828","0.197400517269429"
"4 on scale 1-7","2005","1-pers.-HH","Male","237","0.193058032668741","0.171159960240645","0.214956105096837"
"4 on scale 1-7","2005","1-pers.-HH","Female","189","0.111194446808902","0.0962635568051934","0.126125336812612"
"4 on scale 1-7","2005","(Married) couple without C. ","Male","632","0.184639044234678","0.171729227389759","0.197548861079598"
"4 on scale 1-7","2005","(Married) couple without C. ","Female","521","0.154098105675963","0.142186209194412","0.166010002157515"
"4 on scale 1-7","2005","Single parent ","Male","70","0.216624187249306","0.172772450911597","0.260475923587015"
"4 on scale 1-7","2005","Single parent ","Female","118","0.15745040384153","0.131521562216322","0.183379245466738"
"4 on scale 1-7","2005","Couple + C. LE 16 ","Male","346","0.202706732000146","0.184176024004824","0.221237439995469"
"4 on scale 1-7","2005","Couple + C. LE 16 ","Female","277","0.144429336970167","0.128573004365906","0.160285669574427"
"4 on scale 1-7","2005","Couple + C. GT 16 ","Male","403","0.216019902313734","0.197569019564642","0.234470785062825"
"4 on scale 1-7","2005","Couple + C. GT 16 ","Female","307","0.186320672378511","0.167957019078094","0.204684325678929"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","Male","153","0.150109065395924","0.126209527380122","0.174008603411726"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","Female","126","0.153316225551004","0.128951410108736","0.177681040993271"
"5 on scale 1-7","2005","1-pers.-HH","Male","121","0.0854515047694348","0.0699417823387696","0.1009612272001"
"5 on scale 1-7","2005","1-pers.-HH","Female","108","0.057457448345834","0.0464048492453362","0.0685100474463318"
"5 on scale 1-7","2005","(Married) couple without C. ","Male","334","0.105678533751337","0.0954497600452135","0.115907307457461"
"5 on scale 1-7","2005","(Married) couple without C. ","Female","257","0.0721422213455055","0.0636061561454387","0.0806782865455722"
"5 on scale 1-7","2005","Single parent ","Male","56","0.152344980887106","0.114091418423048","0.190598543351164"
"5 on scale 1-7","2005","Single parent ","Female","69","0.0847434122808815","0.0649172848334396","0.104569539728323"
"5 on scale 1-7","2005","Couple + C. LE 16 ","Male","186","0.0880522477552398","0.0749904161639722","0.101114079346507"
"5 on scale 1-7","2005","Couple + C. LE 16 ","Female","161","0.0791338762709568","0.0669572615667046","0.091310490975209"
"5 on scale 1-7","2005","Couple + C. GT 16 ","Male","194","0.0884669652767975","0.0757350271743147","0.10119890337928"
"5 on scale 1-7","2005","Couple + C. GT 16 ","Female","149","0.0846079729064004","0.0714826157468619","0.0977333300659389"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","Male","92","0.118994749151006","0.0973298039722466","0.140659694329766"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","Female","64","0.0687892252315918","0.051673604542316","0.0859048459208676"
"6 on scale 1-7","2005","1-pers.-HH","Male","59","0.0409434810092524","0.0299494924426152","0.0519374695758896"
"6 on scale 1-7","2005","1-pers.-HH","Female","47","0.0288690799115119","0.0209167181318758","0.036821441691148"
"6 on scale 1-7","2005","(Married) couple without C. ","Male","160","0.0451392291805741","0.0382315772059948","0.0520468811551534"
"6 on scale 1-7","2005","(Married) couple without C. ","Female","113","0.0322827274934766","0.0264512095232851","0.0381142454636681"
"6 on scale 1-7","2005","Single parent ","Male","26","","",""
"6 on scale 1-7","2005","Single parent ","Female","24","","",""
"6 on scale 1-7","2005","Couple + C. LE 16 ","Male","75","0.0487003991129652","0.0387789800140347","0.0586218182118958"
"6 on scale 1-7","2005","Couple + C. LE 16 ","Female","66","0.0417990159397426","0.0327717043903927","0.0508263274890925"
"6 on scale 1-7","2005","Couple + C. GT 16 ","Male","107","0.0606530528335614","0.0499512463356972","0.0713548593314256"
"6 on scale 1-7","2005","Couple + C. GT 16 ","Female","67","0.0472411364396657","0.0372352956238157","0.0572469772555157"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","Male","55","0.0538516326131631","0.0387479272014621","0.068955338024864"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","Female","38","0.0545601193178982","0.0392011149957847","0.0699191236400116"
"7 Strongly agree","2005","1-pers.-HH","Male","54","0.0482419597810565","0.0363537476313323","0.0601301719307807"
"7 Strongly agree","2005","1-pers.-HH","Female","37","0.0179399341644491","0.0116358759464651","0.024243992382433"
"7 Strongly agree","2005","(Married) couple without C. ","Male","126","0.0383356199752218","0.0319471572629897","0.0447240826874538"
"7 Strongly agree","2005","(Married) couple without C. ","Female","79","0.0282076666453271","0.0227451524651178","0.0336701808255365"
"7 Strongly agree","2005","Single parent ","Male","23","","",""
"7 Strongly agree","2005","Single parent ","Female","19","","",""
"7 Strongly agree","2005","Couple + C. LE 16 ","Male","93","0.056134814762171","0.0455247017798454","0.0667449277444966"
"7 Strongly agree","2005","Couple + C. LE 16 ","Female","49","0.0278670431506269","0.0204427455108811","0.0352913407903728"
"7 Strongly agree","2005","Couple + C. GT 16 ","Male","79","0.050196145065054","0.0404064335458834","0.0599858565842247"
"7 Strongly agree","2005","Couple + C. GT 16 ","Female","32","0.0249599726724851","0.0176023892094408","0.0323175561355294"
"7 Strongly agree","2005","Couple + C. LE and GT 16","Male","50","0.0743218485880431","0.0567712187995385","0.0918724783765477"
"7 Strongly agree","2005","Couple + C. LE and GT 16","Female","24","","",""
"1 Strongly disagree","2006","1-pers.-HH","Male","","","",""
"1 Strongly disagree","2006","1-pers.-HH","Female","","","",""
"1 Strongly disagree","2006","(Married) couple without C. ","Male","","","",""
"1 Strongly disagree","2006","(Married) couple without C. ","Female","","","",""
"1 Strongly disagree","2006","Single parent ","Male","","","",""
"1 Strongly disagree","2006","Single parent ","Female","","","",""
"1 Strongly disagree","2006","Couple + C. LE 16 ","Male","","","",""
"1 Strongly disagree","2006","Couple + C. LE 16 ","Female","","","",""
"1 Strongly disagree","2006","Couple + C. GT 16 ","Male","","","",""
