"plh0206i03","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","West Germany","1685","0.312256348594562","0.300255401536226","0.324257295652899"
"1 Strongly disagree","2005","Not Employed","East Germany","576","0.305073146035757","0.285375541713229","0.324770750358285"
"1 Strongly disagree","2005","Employed","West Germany","2157","0.224832954490483","0.216594434617107","0.233071474363859"
"1 Strongly disagree","2005","Employed","East Germany","636","0.211856117931626","0.197088044671037","0.226624191192215"
"2 on scale 1-7 ","2005","Not Employed","West Germany","1242","0.204975009223899","0.194520890355823","0.215429128091976"
"2 on scale 1-7 ","2005","Not Employed","East Germany","505","0.220402157561055","0.202669039445841","0.238135275676269"
"2 on scale 1-7 ","2005","Employed","West Germany","2473","0.240075073146314","0.231645988030037","0.24850415826259"
"2 on scale 1-7 ","2005","Employed","East Germany","728","0.233151324367535","0.217869529769166","0.248433118965905"
"3 on scale 1-7 ","2005","Not Employed","West Germany","948","0.165447799408349","0.155824946724745","0.175070652091954"
"3 on scale 1-7 ","2005","Not Employed","East Germany","356","0.171435347904112","0.15531199873891","0.187558697069314"
"3 on scale 1-7 ","2005","Employed","West Germany","1864","0.190799852478561","0.183045624717843","0.198554080239278"
"3 on scale 1-7 ","2005","Employed","East Germany","586","0.194751495110374","0.180439310069232","0.209063680151517"
"4 on scale 1-7","2005","Not Employed","West Germany","928","0.157483730110211","0.148050648735019","0.166916811485403"
"4 on scale 1-7","2005","Not Employed","East Germany","340","0.148659080612695","0.133439967422412","0.163878193802978"
"4 on scale 1-7","2005","Employed","West Germany","1698","0.174706602748496","0.167213177076227","0.182200028420765"
"4 on scale 1-7","2005","Employed","East Germany","509","0.1927526146145","0.178496406022515","0.207008823206485"
"5 on scale 1-7","2005","Not Employed","West Germany","481","0.0820600517560835","0.0749525068070455","0.0891675967051215"
"5 on scale 1-7","2005","Not Employed","East Germany","187","0.0890234850819321","0.0768406670285932","0.101206303135271"
"5 on scale 1-7","2005","Employed","West Germany","913","0.0849441446138526","0.0794422523098265","0.0904460369178786"
"5 on scale 1-7","2005","Employed","East Germany","274","0.0947684092916887","0.0841828886098558","0.105353929973522"
"6 on scale 1-7","2005","Not Employed","West Germany","236","0.0410472852893284","0.0359093645208816","0.0461852060577753"
"6 on scale 1-7","2005","Not Employed","East Germany","81","0.0392924575101635","0.0309807152435047","0.0476041997768224"
"6 on scale 1-7","2005","Employed","West Germany","421","0.0451583355200078","0.0410604841460646","0.0492561868939509"
"6 on scale 1-7","2005","Employed","East Germany","117","0.0380871020766345","0.031169470669588","0.045004733483681"
"7 Strongly agree","2005","Not Employed","West Germany","208","0.0367297756175665","0.0318586448111863","0.0416009064239468"
"7 Strongly agree","2005","Not Employed","East Germany","54","0.0261143252942849","0.0192919553506355","0.0329366952379342"
"7 Strongly agree","2005","Employed","West Germany","338","0.0394830370022866","0.0356399576300628","0.0433261163745105"
"7 Strongly agree","2005","Employed","East Germany","91","0.0346329366076411","0.0280246103473635","0.0412412628679187"
"1 Strongly disagree","2006","Not Employed","West Germany","","","",""
"1 Strongly disagree","2006","Not Employed","East Germany","","","",""
"1 Strongly disagree","2006","Employed","West Germany","","","",""
"1 Strongly disagree","2006","Employed","East Germany","","","",""
"2 on scale 1-7 ","2006","Not Employed","West Germany","","","",""
"2 on scale 1-7 ","2006","Not Employed","East Germany","","","",""
"2 on scale 1-7 ","2006","Employed","West Germany","","","",""
"2 on scale 1-7 ","2006","Employed","East Germany","","","",""
"3 on scale 1-7 ","2006","Not Employed","West Germany","","","",""
"3 on scale 1-7 ","2006","Not Employed","East Germany","","","",""
"3 on scale 1-7 ","2006","Employed","West Germany","","","",""
"3 on scale 1-7 ","2006","Employed","East Germany","","","",""
"4 on scale 1-7","2006","Not Employed","West Germany","","","",""
"4 on scale 1-7","2006","Not Employed","East Germany","","","",""
