"plh0206i03","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","West Germany","Male","1458","0.208281354891558","0.19906339316496","0.217499316618156","1"
"1 Strongly disagree","2005","West Germany","Female","2384","0.306451955890274","0.296435008163167","0.31646890361738","1"
"1 Strongly disagree","2005","East Germany","Male","461","0.194745422134927","0.178954777641764","0.210536066628091","1"
"1 Strongly disagree","2005","East Germany","Female","751","0.312015891242007","0.294288544645083","0.329743237838932","1"
"2 on scale 1-7 ","2005","West Germany","Female","2053","0.239893263997203","0.230615095604966","0.249171432389441","2"
"2 on scale 1-7 ","2005","East Germany","Male","562","0.208472784217766","0.19227493934399","0.224670629091541","2"
"2 on scale 1-7 ","2005","East Germany","Female","671","0.245456387645271","0.228990106800636","0.261922668489906","2"
"2 on scale 1-7 ","2005","West Germany","Male","1662","0.211981189572664","0.202703470419048","0.221258908726279","2"
"3 on scale 1-7 ","2005","West Germany","Female","1378","0.17100588340812","0.162825056885039","0.179186709931201","3"
"3 on scale 1-7 ","2005","East Germany","Male","460","0.192933818719709","0.177199121840317","0.208668515599102","3"
"3 on scale 1-7 ","2005","East Germany","Female","482","0.175567253345954","0.161010465585998","0.19012404110591","3"
"3 on scale 1-7 ","2005","West Germany","Male","1434","0.191469000827141","0.182537553520712","0.20040044813357","3"
"4 on scale 1-7","2005","East Germany","Female","385","0.136646760940184","0.123504801943074","0.149788719937294","4"
"4 on scale 1-7","2005","West Germany","Female","1205","0.148799406299252","0.1410666826243","0.156532129974203","4"
"4 on scale 1-7","2005","East Germany","Male","464","0.209915257203424","0.193676287693125","0.226154226713724","4"
"4 on scale 1-7","2005","West Germany","Male","1421","0.188444009038072","0.179566836138006","0.197321181938138","4"
"5 on scale 1-7","2005","East Germany","Male","265","0.111030247774447","0.0985027662022337","0.12355772934666","5"
"5 on scale 1-7","2005","West Germany","Female","642","0.0714224560105342","0.06582691076816","0.0770180012529084","5"
"5 on scale 1-7","2005","West Germany","Male","752","0.0970342000377673","0.0903149263217063","0.103753473753828","5"
"5 on scale 1-7","2005","East Germany","Female","196","0.0739595599670043","0.0639462349873604","0.0839728849466483","5"
"6 on scale 1-7","2005","East Germany","Male","114","0.0449516407863455","0.0366896428579539","0.0532136387147372","6"
"6 on scale 1-7","2005","East Germany","Female","84","0.032562620485095","0.0257715649624363","0.0393536760077538","6"
"6 on scale 1-7","2005","West Germany","Female","280","0.0369682615435448","0.0328685741051329","0.0410679489819566","6"
"6 on scale 1-7","2005","West Germany","Male","377","0.0505759584369352","0.0456017218178939","0.0555501950559764","6"
"7 Strongly agree","2005","East Germany","Female","55","0.0237915263744842","0.0179604515408149","0.0296226012081534","7"
"7 Strongly agree","2005","West Germany","Female","195","0.0254587728510722","0.022036341273868","0.0288812044282763","7"
"7 Strongly agree","2005","East Germany","Male","90","0.037950829163381","0.0303316375561613","0.0455700207706006","7"
