"year","migback","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","direct migration background","Ostdeutschland, neue Bundeslaender","3.18","3","100","1","2","4","6","2.81","3.55","3","4"
"2005","direct migration background","Westdeutschland, alte Bundeslaender","3.01","3","2258","1","1","4","5","2.94","3.08","3","3"
"2005","indirect migration background","Ostdeutschland, neue Bundeslaender","3.05","3","35","1","2","4","6","2.51","3.59","3","4"
"2005","indirect migration background","Westdeutschland, alte Bundeslaender","3.51","3","793","1","2","5","6","3.39","3.63","3","3"
"2005","no migration background","Ostdeutschland, neue Bundeslaender","3.29","3","4913","1","2","4","6","3.24","3.34","3","3"
"2005","no migration background","Westdeutschland, alte Bundeslaender","3.2","3","12555","1","2","4","6","3.17","3.23","3","3"
"2006","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2009","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2009","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2009","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2009","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2009","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2009","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2010","direct migration background","Ostdeutschland, neue Bundeslaender","3.45","4","63","1","2","5","5","2.99","3.91","3","4"
"2010","direct migration background","Westdeutschland, alte Bundeslaender","3.19","3","1394","1","2","4","6","3.1","3.28","3","3"
"2010","indirect migration background","Ostdeutschland, neue Bundeslaender","3.23","4","38","1","1","4","5","2.66","3.8","2","4"
"2010","indirect migration background","Westdeutschland, alte Bundeslaender","3.5","3","620","1","2","5","6","3.37","3.63","3","3"
"2010","no migration background","Ostdeutschland, neue Bundeslaender","3.27","3","4033","1","2","4","6","3.22","3.32","3","3"
"2010","no migration background","Westdeutschland, alte Bundeslaender","3.22","3","10520","1","2","4","6","3.19","3.25","3","3"
"2011","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2011","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2011","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2011","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2011","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2011","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2012","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2012","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2012","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2012","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2012","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2012","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2013","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2013","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2013","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2013","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2013","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2013","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2014","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2014","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2014","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2014","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2014","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2014","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2015","direct migration background","Ostdeutschland, neue Bundeslaender","2.81","2","427","1","1","4","5","2.64","2.98","2","3"
"2015","direct migration background","Westdeutschland, alte Bundeslaender","2.66","2","5338","1","1","4","5","2.61","2.71","2","2"
"2015","indirect migration background","Ostdeutschland, neue Bundeslaender","3.14","3","105","1","2","4","6","2.77","3.51","2","4"
"2015","indirect migration background","Westdeutschland, alte Bundeslaender","2.93","3","1579","1","1","4","6","2.84","3.02","2","2"
"2015","no migration background","Ostdeutschland, neue Bundeslaender","2.96","3","4899","1","2","4","5","2.91","3.01","2","3"
"2015","no migration background","Westdeutschland, alte Bundeslaender","2.83","2","14351","1","2","4","5","2.8","2.86","2","2"
"2016","direct migration background","Ostdeutschland, neue Bundeslaender","1.88","1","713","1","1","2","5","1.75","2.01","1","1"
"2016","direct migration background","Westdeutschland, alte Bundeslaender","2.17","1","3554","1","1","3","5","2.12","2.22","1","1"
"2016","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2016","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2016","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2016","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2017","direct migration background","Ostdeutschland, neue Bundeslaender","1.96","1","262","1","1","2","5","1.74","2.18","1","1"
"2017","direct migration background","Westdeutschland, alte Bundeslaender","1.73","1","2548","1","1","2","4","1.67","1.79","1","1"
"2017","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2017","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2017","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2017","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2018","direct migration background","Ostdeutschland, neue Bundeslaender","1.45","1","47","1","1","1","3","1.12","1.78","1","1"
"2018","direct migration background","Westdeutschland, alte Bundeslaender","1.98","1","363","1","1","2","5","1.8","2.16","1","1"
"2018","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2018","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2018","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2018","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2019","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2019","direct migration background","Westdeutschland, alte Bundeslaender","1.85","1","248","1","1","2","4","1.64","2.06","1","2"
"2019","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2019","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2019","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2019","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
