"year","bula_h","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","Baden-Württemberg","Female","2.86","3","1308","1","2","4","5","2.77","2.95","2","3"
"2005","Baden-Württemberg","Male","3.31","3","1215","1","2","4","6","3.22","3.4","3","3"
"2005","Bavaria","Female","3.07","3","1528","1","1","4","5","2.99","3.15","3","3"
"2005","Bavaria","Male","3.42","3","1365","1","2","5","6","3.33","3.51","3","4"
"2005","Berlin","Female","3.04","3","395","1","2","4","5","2.87","3.21","2","3"
"2005","Berlin","Male","3.39","3","362","1","2","4","6","3.22","3.56","3","4"
"2005","Brandenburg","Female","3.23","3","464","1","2","4","6","3.07","3.39","3","3"
"2005","Brandenburg","Male","3.49","3","424","1","2","5","6","3.32","3.66","3","4"
"2005","Bremen","Female","2.78","3","84","1","1","4","5","2.37","3.19","2","3"
"2005","Bremen","Male","3.66","4","63","1","2","6","7","3.14","4.18","2","4"
"2005","Hamburg","Female","2.75","2","149","1","1","4","5","2.48","3.02","2","2"
"2005","Hamburg","Male","3.37","3","142","1","2","5","6","3.1","3.64","3","3"
"2005","Hesse","Female","3.09","3","709","1","1","4","6","2.96","3.22","3","3"
"2005","Hesse","Male","3.6","4","656","1","2","5","7","3.46","3.74","3","4"
"2005","Lower Saxony","Female","2.87","2","924","1","1","4","5","2.76","2.98","2","3"
"2005","Lower Saxony","Male","3.38","3","857","1","2","5","6","3.26","3.5","3","3"
"2005","Mecklenburg-Western Pomerania","Female","3.3","3","273","1","2","4","6","3.1","3.5","3","4"
"2005","Mecklenburg-Western Pomerania","Male","3.75","4","231","1","3","5","7","3.53","3.97","3","4"
"2005","North Rhine-Westphalia","Female","3.03","3","2239","1","1","4","6","2.96","3.1","3","3"
"2005","North Rhine-Westphalia","Male","3.47","3","2099","1","2","5","6","3.39","3.55","3","4"
"2005","Rhineland-Palatinate,Saarland","Female","2.96","3","659","1","1","4","5","2.83","3.09","2","3"
"2005","Rhineland-Palatinate,Saarland","Male","3.13","3","573","1","2","4","6","2.99","3.27","3","3"
"2005","Saxony","Female","2.84","3","779","1","1","4","5","2.72","2.96","3","3"
"2005","Saxony","Male","3.46","3","749","1","2","5","6","3.34","3.58","3","4"
"2005","Saxony-Anhalt","Female","3.13","3","474","1","2","4","6","2.97","3.29","3","3"
"2005","Saxony-Anhalt","Male","3.5","3","420","1","2","5","7","3.33","3.67","3","4"
"2005","Schleswig-Holstein","Female","2.93","3","330","1","1","4","6","2.75","3.11","2","3"
"2005","Schleswig-Holstein","Male","3.28","3","292","1","2","4","6","3.09","3.47","3","3"
"2005","Thuringia","Female","3.21","3","462","1","2","4","6","3.06","3.36","3","3"
"2005","Thuringia","Male","3.42","3","429","1","2","4","6","3.26","3.58","3","4"
"2006","Baden-Württemberg","Female","","","","","","","","","","",""
"2006","Baden-Württemberg","Male","","","","","","","","","","",""
"2006","Bavaria","Female","","","","","","","","","","",""
"2006","Bavaria","Male","","","","","","","","","","",""
"2006","Berlin","Female","","","","","","","","","","",""
"2006","Berlin","Male","","","","","","","","","","",""
"2006","Brandenburg","Female","","","","","","","","","","",""
"2006","Brandenburg","Male","","","","","","","","","","",""
"2006","Bremen","Female","","","","","","","","","","",""
"2006","Bremen","Male","","","","","","","","","","",""
"2006","Hamburg","Female","","","","","","","","","","",""
"2006","Hamburg","Male","","","","","","","","","","",""
"2006","Hesse","Female","","","","","","","","","","",""
"2006","Hesse","Male","","","","","","","","","","",""
"2006","Lower Saxony","Female","","","","","","","","","","",""
"2006","Lower Saxony","Male","","","","","","","","","","",""
"2006","Mecklenburg-Western Pomerania","Female","","","","","","","","","","",""
"2006","Mecklenburg-Western Pomerania","Male","","","","","","","","","","",""
"2006","North Rhine-Westphalia","Female","","","","","","","","","","",""
"2006","North Rhine-Westphalia","Male","","","","","","","","","","",""
"2006","Rhineland-Palatinate,Saarland","Female","","","","","","","","","","",""
"2006","Rhineland-Palatinate,Saarland","Male","","","","","","","","","","",""
"2006","Saxony","Female","","","","","","","","","","",""
"2006","Saxony","Male","","","","","","","","","","",""
"2006","Saxony-Anhalt","Female","","","","","","","","","","",""
"2006","Saxony-Anhalt","Male","","","","","","","","","","",""
"2006","Schleswig-Holstein","Female","","","","","","","","","","",""
"2006","Schleswig-Holstein","Male","","","","","","","","","","",""
"2006","Thuringia","Female","","","","","","","","","","",""
"2006","Thuringia","Male","","","","","","","","","","",""
"2007","Baden-Württemberg","Female","","","","","","","","","","",""
"2007","Baden-Württemberg","Male","","","","","","","","","","",""
"2007","Bavaria","Female","","","","","","","","","","",""
"2007","Bavaria","Male","","","","","","","","","","",""
"2007","Berlin","Female","","","","","","","","","","",""
"2007","Berlin","Male","","","","","","","","","","",""
"2007","Brandenburg","Female","","","","","","","","","","",""
"2007","Brandenburg","Male","","","","","","","","","","",""
"2007","Bremen","Female","","","","","","","","","","",""
"2007","Bremen","Male","","","","","","","","","","",""
"2007","Hamburg","Female","","","","","","","","","","",""
"2007","Hamburg","Male","","","","","","","","","","",""
"2007","Hesse","Female","","","","","","","","","","",""
"2007","Hesse","Male","","","","","","","","","","",""
"2007","Lower Saxony","Female","","","","","","","","","","",""
"2007","Lower Saxony","Male","","","","","","","","","","",""
"2007","Mecklenburg-Western Pomerania","Female","","","","","","","","","","",""
"2007","Mecklenburg-Western Pomerania","Male","","","","","","","","","","",""
"2007","North Rhine-Westphalia","Female","","","","","","","","","","",""
"2007","North Rhine-Westphalia","Male","","","","","","","","","","",""
"2007","Rhineland-Palatinate,Saarland","Female","","","","","","","","","","",""
"2007","Rhineland-Palatinate,Saarland","Male","","","","","","","","","","",""
"2007","Saxony","Female","","","","","","","","","","",""
"2007","Saxony","Male","","","","","","","","","","",""
"2007","Saxony-Anhalt","Female","","","","","","","","","","",""
"2007","Saxony-Anhalt","Male","","","","","","","","","","",""
"2007","Schleswig-Holstein","Female","","","","","","","","","","",""
"2007","Schleswig-Holstein","Male","","","","","","","","","","",""
"2007","Thuringia","Female","","","","","","","","","","",""
"2007","Thuringia","Male","","","","","","","","","","",""
"2008","Baden-Württemberg","Female","","","","","","","","","","",""
"2008","Baden-Württemberg","Male","","","","","","","","","","",""
"2008","Bavaria","Female","","","","","","","","","","",""
"2008","Bavaria","Male","","","","","","","","","","",""
"2008","Berlin","Female","","","","","","","","","","",""
"2008","Berlin","Male","","","","","","","","","","",""
"2008","Brandenburg","Female","","","","","","","","","","",""
"2008","Brandenburg","Male","","","","","","","","","","",""
"2008","Bremen","Female","","","","","","","","","","",""
"2008","Bremen","Male","","","","","","","","","","",""
"2008","Hamburg","Female","","","","","","","","","","",""
"2008","Hamburg","Male","","","","","","","","","","",""
"2008","Hesse","Female","","","","","","","","","","",""
"2008","Hesse","Male","","","","","","","","","","",""
"2008","Lower Saxony","Female","","","","","","","","","","",""
"2008","Lower Saxony","Male","","","","","","","","","","",""
"2008","Mecklenburg-Western Pomerania","Female","","","","","","","","","","",""
"2008","Mecklenburg-Western Pomerania","Male","","","","","","","","","","",""
"2008","North Rhine-Westphalia","Female","","","","","","","","","","",""
"2008","North Rhine-Westphalia","Male","","","","","","","","","","",""
"2008","Rhineland-Palatinate,Saarland","Female","","","","","","","","","","",""
"2008","Rhineland-Palatinate,Saarland","Male","","","","","","","","","","",""
"2008","Saxony","Female","","","","","","","","","","",""
"2008","Saxony","Male","","","","","","","","","","",""
"2008","Saxony-Anhalt","Female","","","","","","","","","","",""
"2008","Saxony-Anhalt","Male","","","","","","","","","","",""
"2008","Schleswig-Holstein","Female","","","","","","","","","","",""
"2008","Schleswig-Holstein","Male","","","","","","","","","","",""
"2008","Thuringia","Female","","","","","","","","","","",""
