"year","age_gr","pgisced97","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","16-34 y.","general elemantary","3.78","4","833","3.66","3.9","1","2","5","7"
"2005","16-34 y.","higher education","3.13","3","521","3","3.26","1","2","4","5"
"2005","16-34 y.","higher vocational","3.15","3","206","2.93","3.37","1","2","4","5"
"2005","16-34 y.","in school","3.55","3","648","3.42","3.68","1","2","5","6"
"2005","16-34 y.","inadequately","3.4","3","59","2.88","3.92","1","2","5","6"
"2005","16-34 y.","middle vocational","3.46","3","2332","3.39","3.53","1","2","5","6"
"2005","16-34 y.","vocational + Abi","3.13","3","437","2.98","3.28","1","2","4","5"
"2005","35-65 y.","general elemantary","3.28","3","819","3.15","3.41","1","1","5","6"
"2005","35-65 y.","higher education","2.99","3","2975","2.93","3.05","1","2","4","5"
"2005","35-65 y.","higher vocational","3.24","3","1095","3.14","3.34","1","2","4","6"
"2005","35-65 y.","in school","","","","","","","","",""
"2005","35-65 y.","inadequately","3.21","3","125","2.87","3.55","1","1","4","7"
"2005","35-65 y.","middle vocational","3.32","3","5950","3.27","3.37","1","2","5","6"
"2005","35-65 y.","vocational + Abi","3.27","3","593","3.13","3.41","1","2","4","6"
"2005","66 and older","general elemantary","2.76","2","740","2.63","2.89","1","1","4","6"
"2005","66 and older","higher education","2.79","2","666","2.66","2.92","1","1","4","5"
"2005","66 and older","higher vocational","2.76","2","256","2.55","2.97","1","1","4","5"
"2005","66 and older","in school","","","","","","","","",""
"2005","66 and older","inadequately","2.76","3","49","2.26","3.26","1","1","4","5"
"2005","66 and older","middle vocational","2.84","2","1949","2.76","2.92","1","1","4","6"
"2005","66 and older","vocational + Abi","2.42","2","101","2.12","2.72","1","1","4","4"
"2006","16-34 y.","general elemantary","","","","","","","","",""
"2006","16-34 y.","higher education","","","","","","","","",""
"2006","16-34 y.","higher vocational","","","","","","","","",""
"2006","16-34 y.","in school","","","","","","","","",""
"2006","16-34 y.","inadequately","","","","","","","","",""
"2006","16-34 y.","middle vocational","","","","","","","","",""
"2006","16-34 y.","vocational + Abi","","","","","","","","",""
"2006","35-65 y.","general elemantary","","","","","","","","",""
"2006","35-65 y.","higher education","","","","","","","","",""
"2006","35-65 y.","higher vocational","","","","","","","","",""
"2006","35-65 y.","in school","","","","","","","","",""
"2006","35-65 y.","inadequately","","","","","","","","",""
"2006","35-65 y.","middle vocational","","","","","","","","",""
"2006","35-65 y.","vocational + Abi","","","","","","","","",""
"2006","66 and older","general elemantary","","","","","","","","",""
"2006","66 and older","higher education","","","","","","","","",""
"2006","66 and older","higher vocational","","","","","","","","",""
"2006","66 and older","in school","","","","","","","","",""
"2006","66 and older","inadequately","","","","","","","","",""
"2006","66 and older","middle vocational","","","","","","","","",""
"2006","66 and older","vocational + Abi","","","","","","","","",""
"2007","16-34 y.","general elemantary","","","","","","","","",""
"2007","16-34 y.","higher education","","","","","","","","",""
"2007","16-34 y.","higher vocational","","","","","","","","",""
"2007","16-34 y.","in school","","","","","","","","",""
"2007","16-34 y.","inadequately","","","","","","","","",""
"2007","16-34 y.","middle vocational","","","","","","","","",""
"2007","16-34 y.","vocational + Abi","","","","","","","","",""
"2007","35-65 y.","general elemantary","","","","","","","","",""
"2007","35-65 y.","higher education","","","","","","","","",""
"2007","35-65 y.","higher vocational","","","","","","","","",""
"2007","35-65 y.","in school","","","","","","","","",""
"2007","35-65 y.","inadequately","","","","","","","","",""
"2007","35-65 y.","middle vocational","","","","","","","","",""
"2007","35-65 y.","vocational + Abi","","","","","","","","",""
"2007","66 and older","general elemantary","","","","","","","","",""
"2007","66 and older","higher education","","","","","","","","",""
"2007","66 and older","higher vocational","","","","","","","","",""
"2007","66 and older","in school","","","","","","","","",""
"2007","66 and older","inadequately","","","","","","","","",""
"2007","66 and older","middle vocational","","","","","","","","",""
"2007","66 and older","vocational + Abi","","","","","","","","",""
"2008","16-34 y.","general elemantary","","","","","","","","",""
"2008","16-34 y.","higher education","","","","","","","","",""
"2008","16-34 y.","higher vocational","","","","","","","","",""
"2008","16-34 y.","in school","","","","","","","","",""
"2008","16-34 y.","inadequately","","","","","","","","",""
"2008","16-34 y.","middle vocational","","","","","","","","",""
"2008","16-34 y.","vocational + Abi","","","","","","","","",""
"2008","35-65 y.","general elemantary","","","","","","","","",""
"2008","35-65 y.","higher education","","","","","","","","",""
"2008","35-65 y.","higher vocational","","","","","","","","",""
"2008","35-65 y.","in school","","","","","","","","",""
"2008","35-65 y.","inadequately","","","","","","","","",""
"2008","35-65 y.","middle vocational","","","","","","","","",""
"2008","35-65 y.","vocational + Abi","","","","","","","","",""
"2008","66 and older","general elemantary","","","","","","","","",""
"2008","66 and older","higher education","","","","","","","","",""
"2008","66 and older","higher vocational","","","","","","","","",""
"2008","66 and older","in school","","","","","","","","",""
"2008","66 and older","inadequately","","","","","","","","",""
"2008","66 and older","middle vocational","","","","","","","","",""
"2008","66 and older","vocational + Abi","","","","","","","","",""
"2009","16-34 y.","general elemantary","","","","","","","","",""
"2009","16-34 y.","higher education","","","","","","","","",""
"2009","16-34 y.","higher vocational","","","","","","","","",""
"2009","16-34 y.","in school","","","","","","","","",""
"2009","16-34 y.","inadequately","","","","","","","","",""
"2009","16-34 y.","middle vocational","","","","","","","","",""
"2009","16-34 y.","vocational + Abi","","","","","","","","",""
"2009","35-65 y.","general elemantary","","","","","","","","",""
"2009","35-65 y.","higher education","","","","","","","","",""
"2009","35-65 y.","higher vocational","","","","","","","","",""
"2009","35-65 y.","in school","","","","","","","","",""
"2009","35-65 y.","inadequately","","","","","","","","",""
"2009","35-65 y.","middle vocational","","","","","","","","",""
"2009","35-65 y.","vocational + Abi","","","","","","","","",""
"2009","66 and older","general elemantary","","","","","","","","",""
"2009","66 and older","higher education","","","","","","","","",""
"2009","66 and older","higher vocational","","","","","","","","",""
"2009","66 and older","in school","","","","","","","","",""
"2009","66 and older","inadequately","","","","","","","","",""
"2009","66 and older","middle vocational","","","","","","","","",""
"2009","66 and older","vocational + Abi","","","","","","","","",""
"2010","16-34 y.","general elemantary","3.95","4","474","3.79","4.11","2","3","5","7"
"2010","16-34 y.","higher education","3.09","3","519","2.97","3.21","1","2","4","5"
"2010","16-34 y.","higher vocational","3.21","3","105","2.93","3.49","1","2","4","5"
"2010","16-34 y.","in school","3.44","3","269","3.24","3.64","2","2","5","6"
"2010","16-34 y.","inadequately","4.01","4","31","3.31","4.71","1","2","5","6"
"2010","16-34 y.","middle vocational","3.48","3","1600","3.4","3.56","1","2","5","5"
"2010","16-34 y.","vocational + Abi","2.98","3","309","2.81","3.15","1","2","4","5"
"2010","35-65 y.","general elemantary","3.34","3","546","3.18","3.5","1","2","5","6"
"2010","35-65 y.","higher education","3.01","3","2418","2.95","3.07","1","2","4","5"
"2010","35-65 y.","higher vocational","3.34","3","832","3.23","3.45","1","2","4","6"
"2010","35-65 y.","in school","","","","","","","","",""
"2010","35-65 y.","inadequately","3.35","3","71","2.86","3.84","1","1","5","7"
"2010","35-65 y.","middle vocational","3.35","3","4644","3.3","3.4","1","2","5","6"
"2010","35-65 y.","vocational + Abi","3.21","3","539","3.08","3.34","1","2","4","5"
"2010","66 and older","general elemantary","3.03","3","605","2.88","3.18","1","1","4","6"
"2010","66 and older","higher education","2.98","3","895","2.87","3.09","1","2","4","5"
"2010","66 and older","higher vocational","2.91","2","317","2.72","3.1","1","1","4","6"
"2010","66 and older","in school","","","","","","","","",""
"2010","66 and older","inadequately","2.85","2.91","35","2.38","3.32","1","2","4","5"
"2010","66 and older","middle vocational","3.08","3","2074","3","3.16","1","2","4","6"
