"year","migback","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","direct migration background","3.01","3","2358","2.94","3.08","1","1","4","5"
"2005","indirect migration background","3.5","3","828","3.38","3.62","1","2","5","6"
"2005","no migration background","3.22","3","17468","3.19","3.25","1","2","4","6"
"2006","direct migration background","","","","","","","","",""
"2006","indirect migration background","","","","","","","","",""
"2006","no migration background","","","","","","","","",""
"2007","direct migration background","","","","","","","","",""
"2007","indirect migration background","","","","","","","","",""
"2007","no migration background","","","","","","","","",""
"2008","direct migration background","","","","","","","","",""
"2008","indirect migration background","","","","","","","","",""
"2008","no migration background","","","","","","","","",""
"2009","direct migration background","","","","","","","","",""
"2009","indirect migration background","","","","","","","","",""
"2009","no migration background","","","","","","","","",""
"2010","direct migration background","3.2","3","1457","3.11","3.29","1","2","4","6"
"2010","indirect migration background","3.49","3","658","3.36","3.62","1","2","5","6"
"2010","no migration background","3.23","3","14553","3.2","3.26","1","2","4","6"
"2011","direct migration background","","","","","","","","",""
"2011","indirect migration background","","","","","","","","",""
"2011","no migration background","","","","","","","","",""
"2012","direct migration background","","","","","","","","",""
"2012","indirect migration background","","","","","","","","",""
"2012","no migration background","","","","","","","","",""
"2013","direct migration background","","","","","","","","",""
"2013","indirect migration background","","","","","","","","",""
"2013","no migration background","","","","","","","","",""
"2014","direct migration background","","","","","","","","",""
"2014","indirect migration background","","","","","","","","",""
"2014","no migration background","","","","","","","","",""
"2015","direct migration background","2.67","2","5765","2.62","2.72","1","1","4","5"
"2015","indirect migration background","2.94","3","1684","2.85","3.03","1","1","4","6"
"2015","no migration background","2.86","2","19250","2.84","2.88","1","2","4","5"
"2016","direct migration background","2.13","1","4267","2.08","2.18","1","1","3","5"
"2016","indirect migration background","","","","","","","","",""
"2016","no migration background","","","","","","","","",""
"2017","direct migration background","1.76","1","2810","1.71","1.81","1","1","2","4"
"2017","indirect migration background","","","","","","","","",""
"2017","no migration background","","","","","","","","",""
"2018","direct migration background","1.9","1","410","1.74","2.06","1","1","2","5"
"2018","indirect migration background","","","","","","","","",""
"2018","no migration background","","","","","","","","",""
"2019","direct migration background","1.81","1","270","1.61","2.01","1","1","2","4"
"2019","indirect migration background","","","","","","","","",""
"2019","no migration background","","","","","","","","",""
