"plh0215","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Urban Area","Male","169","0.0295714177062028","0.0254786225550707","0.0336642128573349"
"1 Strongly disagree","2005","Urban Area","Female","238","0.0370034017158923","0.0326464419949672","0.0413603614368174"
"1 Strongly disagree","2005","Rural Area","Male","82","0.0316425650957336","0.0256520404954987","0.0376330896959686"
"1 Strongly disagree","2005","Rural Area","Female","115","0.0380017484745144","0.0317077171186559","0.044295779830373"
"2 on scale 1-7 ","2005","Urban Area","Male","288","0.0464593892892835","0.0413741839885857","0.0515445945899814"
"2 on scale 1-7 ","2005","Urban Area","Female","435","0.0682403253880773","0.0624203272844904","0.0740603234916643"
"2 on scale 1-7 ","2005","Rural Area","Male","146","0.0460423643890489","0.0388701292016855","0.0532145995764123"
"2 on scale 1-7 ","2005","Rural Area","Female","217","0.0635307598864217","0.0555014401076987","0.0715600796651446"
"3 on scale 1-7 ","2005","Urban Area","Male","728","0.114481214507644","0.106788703097929","0.122173725917359"
"3 on scale 1-7 ","2005","Urban Area","Female","979","0.150709817496202","0.142452306378006","0.158967328614398"
"3 on scale 1-7 ","2005","Rural Area","Male","352","0.110913017808066","0.100166331901675","0.121659703714456"
"3 on scale 1-7 ","2005","Rural Area","Female","489","0.134659017911425","0.123421993386337","0.145896042436513"
"4 on scale 1-7","2005","Urban Area","Male","1632","0.256383073337042","0.245833826515082","0.266932320159002"
"4 on scale 1-7","2005","Urban Area","Female","1989","0.279130184810233","0.268776804548259","0.289483565072207"
"4 on scale 1-7","2005","Rural Area","Male","864","0.264608439784575","0.249512076584973","0.279704802984178"
"4 on scale 1-7","2005","Rural Area","Female","1019","0.289446600052466","0.27451788053761","0.304375319567322"
"5 on scale 1-7","2005","Urban Area","Male","1783","0.266987383986593","0.256299216754707","0.27767555121848"
"5 on scale 1-7","2005","Urban Area","Female","1739","0.225164845039011","0.215524217726748","0.234805472351274"
"5 on scale 1-7","2005","Rural Area","Male","888","0.266790094868207","0.251654127541649","0.281926062194765"
"5 on scale 1-7","2005","Rural Area","Female","846","0.238519961551403","0.224490803816674","0.252549119286133"
"6 on scale 1-7","2005","Urban Area","Male","1339","0.18985643857674","0.180381076749453","0.199331800404027"
"6 on scale 1-7","2005","Urban Area","Female","1172","0.147469438783624","0.139285613761662","0.155653263805586"
"6 on scale 1-7","2005","Rural Area","Male","652","0.178615551202814","0.165507321556061","0.191723780849567"
"6 on scale 1-7","2005","Rural Area","Female","584","0.161288350354106","0.149181036268247","0.173395664439964"
"7 Strongly agree","2005","Urban Area","Male","642","0.0962610825964942","0.0891350302424685","0.10338713495052"
"7 Strongly agree","2005","Urban Area","Female","659","0.0922819867669603","0.0856018663964167","0.0989621071375038"
"7 Strongly agree","2005","Rural Area","Male","296","0.101387966851555","0.0910582006705738","0.111717733032537"
"7 Strongly agree","2005","Rural Area","Female","275","0.0745535617696636","0.0659068732689674","0.0832002502703598"
"1 Strongly disagree","2006","Urban Area","Male","","","",""
"1 Strongly disagree","2006","Urban Area","Female","","","",""
"1 Strongly disagree","2006","Rural Area","Male","","","",""
"1 Strongly disagree","2006","Rural Area","Female","","","",""
"2 on scale 1-7 ","2006","Urban Area","Male","","","",""
"2 on scale 1-7 ","2006","Urban Area","Female","","","",""
"2 on scale 1-7 ","2006","Rural Area","Male","","","",""
"2 on scale 1-7 ","2006","Rural Area","Female","","","",""
"3 on scale 1-7 ","2006","Urban Area","Male","","","",""
"3 on scale 1-7 ","2006","Urban Area","Female","","","",""
"3 on scale 1-7 ","2006","Rural Area","Male","","","",""
"3 on scale 1-7 ","2006","Rural Area","Female","","","",""
"4 on scale 1-7","2006","Urban Area","Male","","","",""
"4 on scale 1-7","2006","Urban Area","Female","","","",""
"4 on scale 1-7","2006","Rural Area","Male","","","",""
"4 on scale 1-7","2006","Rural Area","Female","","","",""
"5 on scale 1-7","2006","Urban Area","Male","","","",""
"5 on scale 1-7","2006","Urban Area","Female","","","",""
"5 on scale 1-7","2006","Rural Area","Male","","","",""
"5 on scale 1-7","2006","Rural Area","Female","","","",""
"6 on scale 1-7","2006","Urban Area","Male","","","",""
"6 on scale 1-7","2006","Urban Area","Female","","","",""
"6 on scale 1-7","2006","Rural Area","Male","","","",""
"6 on scale 1-7","2006","Rural Area","Female","","","",""
"7 Strongly agree","2006","Urban Area","Male","","","",""
"7 Strongly agree","2006","Urban Area","Female","","","",""
"7 Strongly agree","2006","Rural Area","Male","","","",""
"7 Strongly agree","2006","Rural Area","Female","","","",""
"1 Strongly disagree","2007","Urban Area","Male","","","",""
"1 Strongly disagree","2007","Urban Area","Female","","","",""
"1 Strongly disagree","2007","Rural Area","Male","","","",""
"1 Strongly disagree","2007","Rural Area","Female","","","",""
"2 on scale 1-7 ","2007","Urban Area","Male","","","",""
"2 on scale 1-7 ","2007","Urban Area","Female","","","",""
"2 on scale 1-7 ","2007","Rural Area","Male","","","",""
"2 on scale 1-7 ","2007","Rural Area","Female","","","",""
"3 on scale 1-7 ","2007","Urban Area","Male","","","",""
"3 on scale 1-7 ","2007","Urban Area","Female","","","",""
"3 on scale 1-7 ","2007","Rural Area","Male","","","",""
"3 on scale 1-7 ","2007","Rural Area","Female","","","",""
"4 on scale 1-7","2007","Urban Area","Male","","","",""
"4 on scale 1-7","2007","Urban Area","Female","","","",""
"4 on scale 1-7","2007","Rural Area","Male","","","",""
"4 on scale 1-7","2007","Rural Area","Female","","","",""
"5 on scale 1-7","2007","Urban Area","Male","","","",""
"5 on scale 1-7","2007","Urban Area","Female","","","",""
"5 on scale 1-7","2007","Rural Area","Male","","","",""
"5 on scale 1-7","2007","Rural Area","Female","","","",""
"6 on scale 1-7","2007","Urban Area","Male","","","",""
"6 on scale 1-7","2007","Urban Area","Female","","","",""
"6 on scale 1-7","2007","Rural Area","Male","","","",""
"6 on scale 1-7","2007","Rural Area","Female","","","",""
"7 Strongly agree","2007","Urban Area","Male","","","",""
"7 Strongly agree","2007","Urban Area","Female","","","",""
"7 Strongly agree","2007","Rural Area","Male","","","",""
"7 Strongly agree","2007","Rural Area","Female","","","",""
"1 Strongly disagree","2008","Urban Area","Male","","","",""
"1 Strongly disagree","2008","Urban Area","Female","","","",""
"1 Strongly disagree","2008","Rural Area","Male","","","",""
"1 Strongly disagree","2008","Rural Area","Female","","","",""
"2 on scale 1-7 ","2008","Urban Area","Male","","","",""
"2 on scale 1-7 ","2008","Urban Area","Female","","","",""
"2 on scale 1-7 ","2008","Rural Area","Male","","","",""
"2 on scale 1-7 ","2008","Rural Area","Female","","","",""
"3 on scale 1-7 ","2008","Urban Area","Male","","","",""
"3 on scale 1-7 ","2008","Urban Area","Female","","","",""
"3 on scale 1-7 ","2008","Rural Area","Male","","","",""
"3 on scale 1-7 ","2008","Rural Area","Female","","","",""
"4 on scale 1-7","2008","Urban Area","Male","","","",""
"4 on scale 1-7","2008","Urban Area","Female","","","",""
"4 on scale 1-7","2008","Rural Area","Male","","","",""
"4 on scale 1-7","2008","Rural Area","Female","","","",""
"5 on scale 1-7","2008","Urban Area","Male","","","",""
"5 on scale 1-7","2008","Urban Area","Female","","","",""
"5 on scale 1-7","2008","Rural Area","Male","","","",""
"5 on scale 1-7","2008","Rural Area","Female","","","",""
"6 on scale 1-7","2008","Urban Area","Male","","","",""
"6 on scale 1-7","2008","Urban Area","Female","","","",""
"6 on scale 1-7","2008","Rural Area","Male","","","",""
"6 on scale 1-7","2008","Rural Area","Female","","","",""
"7 Strongly agree","2008","Urban Area","Male","","","",""
"7 Strongly agree","2008","Urban Area","Female","","","",""
"7 Strongly agree","2008","Rural Area","Male","","","",""
"7 Strongly agree","2008","Rural Area","Female","","","",""
"1 Strongly disagree","2009","Urban Area","Male","125","0.0266298356318648","0.0223983302118776","0.0308613410518519"
"1 Strongly disagree","2009","Urban Area","Female","181","0.0384802283168474","0.0336841427466993","0.0432763138869955"
"1 Strongly disagree","2009","Rural Area","Male","56","0.0192966269135905","0.0143813665025457","0.0242118873246353"
"1 Strongly disagree","2009","Rural Area","Female","109","0.0389031119202756","0.0322056047989083","0.0456006190416429"
"2 on scale 1-7 ","2009","Urban Area","Male","273","0.0468791805530471","0.0413235209648951","0.0524348401411991"
"2 on scale 1-7 ","2009","Urban Area","Female","401","0.0679091093703626","0.0616360103545411","0.0741822083861842"
"2 on scale 1-7 ","2009","Rural Area","Male","171","0.0533612249628768","0.0453307351174784","0.0613917148082753"
"2 on scale 1-7 ","2009","Rural Area","Female","240","0.0727655955317812","0.0637686469179788","0.0817625441455836"
"3 on scale 1-7 ","2009","Urban Area","Male","725","0.127983812483313","0.119203470357156","0.13676415460947"
"3 on scale 1-7 ","2009","Urban Area","Female","966","0.168386579309277","0.159056110285535","0.177717048333019"
"3 on scale 1-7 ","2009","Rural Area","Male","384","0.11581627284185","0.104382408155411","0.12725013752829"
"3 on scale 1-7 ","2009","Rural Area","Female","497","0.152435497261305","0.139985568600367","0.164885425922244"
"4 on scale 1-7","2009","Urban Area","Male","1450","0.266695961533691","0.255072863480376","0.278319059587005"
"4 on scale 1-7","2009","Urban Area","Female","1643","0.25336403678236","0.24251937702915","0.26420869653557"
"4 on scale 1-7","2009","Rural Area","Male","830","0.279232496279948","0.263203084872658","0.295261907687239"
"4 on scale 1-7","2009","Rural Area","Female","938","0.298290824524582","0.282444229756779","0.314137419292386"
"5 on scale 1-7","2009","Urban Area","Male","1434","0.251691047044273","0.2402847153188","0.263097378769745"
"5 on scale 1-7","2009","Urban Area","Female","1497","0.238037907499092","0.227419026882298","0.248656788115886"
"5 on scale 1-7","2009","Rural Area","Male","765","0.261785547027849","0.246078262821317","0.277492831234382"
