"plh0215","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","1-pers.-HH","in school","","","",""
"1 Strongly disagree","2005","1-pers.-HH","inadequately","3","","",""
"1 Strongly disagree","2005","1-pers.-HH","general elemantary","36","0.0981394662977487","0.0698218495460498","0.126457083049448"
"1 Strongly disagree","2005","1-pers.-HH","middle vocational","76","0.0517401736944156","0.0406521376095167","0.0628282097793146"
"1 Strongly disagree","2005","1-pers.-HH","vocational + Abi","4","","",""
"1 Strongly disagree","2005","1-pers.-HH","higher vocational","4","","",""
"1 Strongly disagree","2005","1-pers.-HH","higher education","5","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","in school","","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","inadequately","6","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","general elemantary","57","0.0808841992469526","0.060436017317019","0.101332381176886"
"1 Strongly disagree","2005","(Married) couple without C. ","middle vocational","157","0.0478187456858404","0.0408753269737409","0.0547621643979399"
"1 Strongly disagree","2005","(Married) couple without C. ","vocational + Abi","8","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","higher vocational","17","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","higher education","17","","",""
"1 Strongly disagree","2005","Single parent ","in school","2","","",""
"1 Strongly disagree","2005","Single parent ","inadequately","1","","",""
"1 Strongly disagree","2005","Single parent ","general elemantary","10","","",""
"1 Strongly disagree","2005","Single parent ","middle vocational","12","","",""
"1 Strongly disagree","2005","Single parent ","vocational + Abi","1","","",""
"1 Strongly disagree","2005","Single parent ","higher vocational","","","",""
"1 Strongly disagree","2005","Single parent ","higher education","2","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","in school","","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","inadequately","2","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","general elemantary","14","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","middle vocational","22","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","vocational + Abi","2","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","higher vocational","3","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","higher education","3","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","in school","4","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","inadequately","8","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","general elemantary","16","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","middle vocational","37","0.0209719580642665","0.0142965393210125","0.0276473768075205"
"1 Strongly disagree","2005","Couple + C. GT 16 ","vocational + Abi","3","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","higher vocational","3","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","higher education","4","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","in school","2","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","inadequately","5","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","general elemantary","8","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","middle vocational","14","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","vocational + Abi","3","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","higher vocational","1","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","higher education","2","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","in school","1","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","inadequately","3","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","general elemantary","56","0.12084461009473","0.0898196217780528","0.151869598411408"
"2 on scale 1-7 ","2005","1-pers.-HH","middle vocational","99","0.0682764799762908","0.0556507614125359","0.0809021985400457"
"2 on scale 1-7 ","2005","1-pers.-HH","vocational + Abi","10","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","higher vocational","10","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","higher education","22","","",""
"2 on scale 1-7 ","2005","(Married) couple without C. ","in school","","","",""
"2 on scale 1-7 ","2005","(Married) couple without C. ","inadequately","10","","",""
"2 on scale 1-7 ","2005","(Married) couple without C. ","general elemantary","60","0.0891770640661091","0.0678032856152577","0.110550842516961"
"2 on scale 1-7 ","2005","(Married) couple without C. ","middle vocational","253","0.0676031932471161","0.0594336374035859","0.0757727490906463"
"2 on scale 1-7 ","2005","(Married) couple without C. ","vocational + Abi","12","","",""
"2 on scale 1-7 ","2005","(Married) couple without C. ","higher vocational","27","","",""
"2 on scale 1-7 ","2005","(Married) couple without C. ","higher education","57","0.0381619096700168","0.0289288344446035","0.04739498489543"
"2 on scale 1-7 ","2005","Single parent ","in school","1","","",""
"2 on scale 1-7 ","2005","Single parent ","inadequately","1","","",""
"2 on scale 1-7 ","2005","Single parent ","general elemantary","16","","",""
"2 on scale 1-7 ","2005","Single parent ","middle vocational","21","","",""
"2 on scale 1-7 ","2005","Single parent ","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","Single parent ","higher vocational","1","","",""
"2 on scale 1-7 ","2005","Single parent ","higher education","2","","",""
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","in school","","","",""
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","inadequately","5","","",""
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","general elemantary","18","","",""
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","middle vocational","77","0.0377091066591719","0.0289861911425053","0.0464320221758384"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","vocational + Abi","13","","",""
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","higher vocational","16","","",""
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","higher education","20","","",""
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","in school","10","","",""
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","inadequately","7","","",""
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","general elemantary","27","","",""
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","middle vocational","72","0.039795247103553","0.0306885899548106","0.0489019042522953"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","vocational + Abi","6","","",""
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","higher vocational","2","","",""
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","higher education","12","","",""
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","in school","10","","",""
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","inadequately","3","","",""
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","general elemantary","13","","",""
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","middle vocational","27","","",""
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","vocational + Abi","4","","",""
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","higher vocational","2","","",""
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","higher education","7","","",""
"3 on scale 1-7 ","2005","1-pers.-HH","in school","","","",""
"3 on scale 1-7 ","2005","1-pers.-HH","inadequately","4","","",""
