"plh0215","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","Urban Area","286","0.0313004062679382","0.0280651470847639","0.0345356654511126"
"1 Strongly disagree","2005","no migration background","Rural Area","169","0.0348282781426167","0.030307002871149","0.0393495534140844"
"1 Strongly disagree","2005","direct migration background","Urban Area","105","0.0509398963432796","0.0411557461000012","0.0607240465865579"
"1 Strongly disagree","2005","direct migration background","Rural Area","24","","",""
"1 Strongly disagree","2005","indirect migration background","Urban Area","16","","",""
"1 Strongly disagree","2005","indirect migration background","Rural Area","4","","",""
"2 on scale 1-7 ","2005","no migration background","Urban Area","546","0.0544986774297948","0.0502810949512784","0.0587162599083112"
"2 on scale 1-7 ","2005","no migration background","Rural Area","332","0.0548469730141614","0.0492323571380966","0.0604615888902262"
"2 on scale 1-7 ","2005","direct migration background","Urban Area","149","0.0773991106672661","0.0655080075348835","0.0892902137996487"
"2 on scale 1-7 ","2005","direct migration background","Rural Area","28","","",""
"2 on scale 1-7 ","2005","indirect migration background","Urban Area","28","","",""
"2 on scale 1-7 ","2005","indirect migration background","Rural Area","3","","",""
"3 on scale 1-7 ","2005","no migration background","Urban Area","1348","0.134064214390439","0.127733702772696","0.140394726008182"
"3 on scale 1-7 ","2005","no migration background","Rural Area","774","0.122496196736151","0.114411225879668","0.130581167592635"
"3 on scale 1-7 ","2005","direct migration background","Urban Area","296","0.137898320456817","0.122555473253887","0.153241167659747"
"3 on scale 1-7 ","2005","direct migration background","Rural Area","58","0.146782050860123","0.11214488318518","0.181419218535065"
"3 on scale 1-7 ","2005","indirect migration background","Urban Area","63","0.101389890140973","0.0794031023721735","0.123376677909772"
"3 on scale 1-7 ","2005","indirect migration background","Rural Area","9","","",""
"4 on scale 1-7","2005","no migration background","Urban Area","2889","0.263721897101389","0.255534731584435","0.271909062618343"
"4 on scale 1-7","2005","no migration background","Rural Area","1739","0.279665343682831","0.268597089267493","0.290733598098168"
"4 on scale 1-7","2005","direct migration background","Urban Area","545","0.294289187963981","0.27401013054134","0.314568245386622"
"4 on scale 1-7","2005","direct migration background","Rural Area","114","0.25047733345047","0.208068873076978","0.292885793823963"
"4 on scale 1-7","2005","indirect migration background","Urban Area","187","0.254435906645457","0.222710258747258","0.286161554543656"
"4 on scale 1-7","2005","indirect migration background","Rural Area","30","0.269532347647998","0.185458263800651","0.353606431495345"
"5 on scale 1-7","2005","no migration background","Urban Area","2889","0.247022462756016","0.239009395896686","0.255035529615346"
"5 on scale 1-7","2005","no migration background","Rural Area","1632","0.255335523454446","0.244582549571425","0.266088497337467"
"5 on scale 1-7","2005","direct migration background","Urban Area","439","0.223942247446981","0.205391463683315","0.242493031210646"
"5 on scale 1-7","2005","direct migration background","Rural Area","75","0.213484619094319","0.173378299506952","0.253590938681687"
"5 on scale 1-7","2005","indirect migration background","Urban Area","194","0.290696359326729","0.257620228672847","0.323772489980611"
"5 on scale 1-7","2005","indirect migration background","Rural Area","27","","",""
"6 on scale 1-7","2005","no migration background","Urban Area","2116","0.174609654813318","0.167556176235618","0.181663133391019"
"6 on scale 1-7","2005","no migration background","Rural Area","1150","0.166768745649919","0.157576264253379","0.175961227046458"
"6 on scale 1-7","2005","direct migration background","Urban Area","240","0.12400840349792","0.109342029542515","0.138674777453325"
"6 on scale 1-7","2005","direct migration background","Rural Area","64","0.190418332385256","0.151989196762378","0.228847468008133"
"6 on scale 1-7","2005","indirect migration background","Urban Area","155","0.203890587329542","0.174543583025209","0.233237591633875"
