"plh0215","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","16-34 y.","Male","34","0.0161544372399979","0.0112584192955564","0.0210504551844394","1"
"1 Strongly disagree","2005","16-34 y.","Female","33","0.0102907469884022","0.0065338547015714","0.014047639275233","1"
"1 Strongly disagree","2005","35-65 y.","Male","107","0.0233526265719721","0.0193993399313018","0.0273059132126424","1"
"1 Strongly disagree","2005","35-65 y.","Female","154","0.0290245998990649","0.0247643987866627","0.0332848010114671","1"
"1 Strongly disagree","2005","66 and older","Male","110","0.0702848559371259","0.0581618591533058","0.0824078527209461","1"
"1 Strongly disagree","2005","66 and older","Female","166","0.0818499956097962","0.0698923388749582","0.0938076523446343","1"
"2 on scale 1-7 ","2005","35-65 y.","Male","208","0.0407380544554236","0.0355632934774133","0.0459128154334338","2"
"2 on scale 1-7 ","2005","16-34 y.","Male","85","0.0297658223315924","0.0231660212560181","0.0363656234071668","2"
"2 on scale 1-7 ","2005","66 and older","Female","222","0.120267032606695","0.106078788137717","0.134455277075673","2"
"2 on scale 1-7 ","2005","16-34 y.","Female","134","0.0472031148018294","0.0393083904475339","0.0550978391561248","2"
"2 on scale 1-7 ","2005","35-65 y.","Female","296","0.0506687501694357","0.0451030237950712","0.0562344765438001","2"
"2 on scale 1-7 ","2005","66 and older","Male","141","0.0862684889074633","0.0729535384615294","0.0995834393533972","2"
"3 on scale 1-7 ","2005","66 and older","Male","253","0.148399183749647","0.131539945483509","0.165258422015785","3"
"3 on scale 1-7 ","2005","16-34 y.","Male","242","0.0993377234948857","0.0877213195231955","0.110954127466576","3"
"3 on scale 1-7 ","2005","35-65 y.","Female","787","0.144582371371809","0.135657753356907","0.153506989386711","3"
"3 on scale 1-7 ","2005","35-65 y.","Male","585","0.108222871353221","0.100090649174093","0.116355093532349","3"
"3 on scale 1-7 ","2005","16-34 y.","Female","307","0.109187531810551","0.0975775605157345","0.120797503105367","3"
"3 on scale 1-7 ","2005","66 and older","Female","374","0.184644575785459","0.167719848051619","0.201569303519299","3"
"4 on scale 1-7","2005","66 and older","Female","575","0.282502624150774","0.2628644397715","0.302140808530048","4"
"4 on scale 1-7","2005","16-34 y.","Female","682","0.250955603682454","0.2348155971353","0.267095610229607","4"
"4 on scale 1-7","2005","35-65 y.","Male","1422","0.259938775731964","0.248457479992892","0.271420071471036","4"
"4 on scale 1-7","2005","66 and older","Male","440","0.25512057000977","0.234446790182976","0.275794349836564","4"
"4 on scale 1-7","2005","16-34 y.","Male","634","0.259595756619803","0.242569590645179","0.276621922594428","4"
"4 on scale 1-7","2005","35-65 y.","Female","1751","0.2972327736754","0.285634403542296","0.308831143808505","4"
"5 on scale 1-7","2005","66 and older","Female","349","0.169082350786078","0.15273271576958","0.185431985802577","5"
"5 on scale 1-7","2005","35-65 y.","Female","1467","0.233552632707858","0.222815794248236","0.24428947116748","5"
"5 on scale 1-7","2005","66 and older","Male","381","0.230193113633389","0.210229405248304","0.250156822018474","5"
"5 on scale 1-7","2005","16-34 y.","Male","755","0.305210585957347","0.287326777437187","0.323094394477508","5"
"5 on scale 1-7","2005","16-34 y.","Female","769","0.280588996015552","0.263863641428986","0.297314350602118","5"
"5 on scale 1-7","2005","35-65 y.","Male","1535","0.260755324594373","0.249262355480818","0.272248293707928","5"
"6 on scale 1-7","2005","66 and older","Female","212","0.101173884267132","0.0880200615380096","0.114327706996255","6"
"6 on scale 1-7","2005","35-65 y.","Male","1191","0.200618016934617","0.190135062725908","0.211100971143326","6"
"6 on scale 1-7","2005","66 and older","Male","235","0.122401207817713","0.10685784380544","0.137944571829986","6"
"6 on scale 1-7","2005","16-34 y.","Male","565","0.202063243363568","0.186469100309358","0.217657386417777","6"
"6 on scale 1-7","2005","35-65 y.","Female","978","0.152731635907927","0.14360274821764","0.161860523598213","6"
"6 on scale 1-7","2005","16-34 y.","Female","566","0.200285117859373","0.185386588290598","0.215183647428148","6"
"7 Strongly agree","2005","66 and older","Female","121","0.0604795367940651","0.0500818368238934","0.0708772367642369","7"
"7 Strongly agree","2005","66 and older","Male","148","0.0873325799448914","0.0739435665302463","0.100721593359536","7"
"7 Strongly agree","2005","35-65 y.","Male","558","0.106374330358429","0.0983035081263786","0.114445152590479","7"
"7 Strongly agree","2005","35-65 y.","Female","532","0.0922072362685052","0.0848651627683683","0.0995493097686421","7"
"7 Strongly agree","2005","16-34 y.","Male","232","0.0878724309928057","0.0768776209507472","0.0988672410348642","7"
"7 Strongly agree","2005","16-34 y.","Female","281","0.101488888841838","0.0902474357425693","0.112730341941107","7"
"1 Strongly disagree","2006","16-34 y.","Female","","","","","1"
"1 Strongly disagree","2006","35-65 y.","Male","","","","","1"
"1 Strongly disagree","2006","35-65 y.","Female","","","","","1"
"1 Strongly disagree","2006","66 and older","Male","","","","","1"
"1 Strongly disagree","2006","66 and older","Female","","","","","1"
"1 Strongly disagree","2006","16-34 y.","Male","","","","","1"
"2 on scale 1-7 ","2006","16-34 y.","Male","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","Male","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","Female","","","","","2"
"2 on scale 1-7 ","2006","66 and older","Female","","","","","2"
"2 on scale 1-7 ","2006","16-34 y.","Female","","","","","2"
"2 on scale 1-7 ","2006","66 and older","Male","","","","","2"
"3 on scale 1-7 ","2006","66 and older","Female","","","","","3"
"3 on scale 1-7 ","2006","66 and older","Male","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","Female","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","Male","","","","","3"
"3 on scale 1-7 ","2006","16-34 y.","Female","","","","","3"
"3 on scale 1-7 ","2006","16-34 y.","Male","","","","","3"
"4 on scale 1-7","2006","16-34 y.","Female","","","","","4"
"4 on scale 1-7","2006","16-34 y.","Male","","","","","4"
"4 on scale 1-7","2006","66 and older","Female","","","","","4"
"4 on scale 1-7","2006","66 and older","Male","","","","","4"
"4 on scale 1-7","2006","35-65 y.","Female","","","","","4"
"4 on scale 1-7","2006","35-65 y.","Male","","","","","4"
"5 on scale 1-7","2006","66 and older","Female","","","","","5"
"5 on scale 1-7","2006","66 and older","Male","","","","","5"
"5 on scale 1-7","2006","35-65 y.","Male","","","","","5"
"5 on scale 1-7","2006","35-65 y.","Female","","","","","5"
"5 on scale 1-7","2006","16-34 y.","Male","","","","","5"
"5 on scale 1-7","2006","16-34 y.","Female","","","","","5"
"6 on scale 1-7","2006","66 and older","Female","","","","","6"
"6 on scale 1-7","2006","35-65 y.","Male","","","","","6"
"6 on scale 1-7","2006","66 and older","Male","","","","","6"
"6 on scale 1-7","2006","35-65 y.","Female","","","","","6"
"6 on scale 1-7","2006","16-34 y.","Female","","","","","6"
"6 on scale 1-7","2006","16-34 y.","Male","","","","","6"
"7 Strongly agree","2006","66 and older","Female","","","","","7"
"7 Strongly agree","2006","35-65 y.","Male","","","","","7"
"7 Strongly agree","2006","35-65 y.","Female","","","","","7"
"7 Strongly agree","2006","66 and older","Male","","","","","7"
"7 Strongly agree","2006","16-34 y.","Male","","","","","7"
"7 Strongly agree","2006","16-34 y.","Female","","","","","7"
"1 Strongly disagree","2007","16-34 y.","Male","","","","","1"
"1 Strongly disagree","2007","16-34 y.","Female","","","","","1"
"1 Strongly disagree","2007","35-65 y.","Male","","","","","1"
"1 Strongly disagree","2007","35-65 y.","Female","","","","","1"
"1 Strongly disagree","2007","66 and older","Male","","","","","1"
"1 Strongly disagree","2007","66 and older","Female","","","","","1"
"2 on scale 1-7 ","2007","66 and older","Female","","","","","2"
"2 on scale 1-7 ","2007","66 and older","Male","","","","","2"
"2 on scale 1-7 ","2007","35-65 y.","Male","","","","","2"
"2 on scale 1-7 ","2007","16-34 y.","Male","","","","","2"
"2 on scale 1-7 ","2007","16-34 y.","Female","","","","","2"
"2 on scale 1-7 ","2007","35-65 y.","Female","","","","","2"
"3 on scale 1-7 ","2007","35-65 y.","Male","","","","","3"
"3 on scale 1-7 ","2007","16-34 y.","Female","","","","","3"
"3 on scale 1-7 ","2007","66 and older","Female","","","","","3"
"3 on scale 1-7 ","2007","16-34 y.","Male","","","","","3"
"3 on scale 1-7 ","2007","35-65 y.","Female","","","","","3"
"3 on scale 1-7 ","2007","66 and older","Male","","","","","3"
"4 on scale 1-7","2007","16-34 y.","Male","","","","","4"
"4 on scale 1-7","2007","16-34 y.","Female","","","","","4"
"4 on scale 1-7","2007","66 and older","Female","","","","","4"
"4 on scale 1-7","2007","66 and older","Male","","","","","4"
"4 on scale 1-7","2007","35-65 y.","Male","","","","","4"
"4 on scale 1-7","2007","35-65 y.","Female","","","","","4"
"5 on scale 1-7","2007","66 and older","Female","","","","","5"
"5 on scale 1-7","2007","66 and older","Male","","","","","5"
"5 on scale 1-7","2007","35-65 y.","Male","","","","","5"
"5 on scale 1-7","2007","35-65 y.","Female","","","","","5"
"5 on scale 1-7","2007","16-34 y.","Male","","","","","5"
"5 on scale 1-7","2007","16-34 y.","Female","","","","","5"
"6 on scale 1-7","2007","66 and older","Female","","","","","6"
"6 on scale 1-7","2007","66 and older","Male","","","","","6"
"6 on scale 1-7","2007","35-65 y.","Female","","","","","6"
"6 on scale 1-7","2007","16-34 y.","Male","","","","","6"
"6 on scale 1-7","2007","35-65 y.","Male","","","","","6"
"6 on scale 1-7","2007","16-34 y.","Female","","","","","6"
"7 Strongly agree","2007","66 and older","Female","","","","","7"
"7 Strongly agree","2007","16-34 y.","Male","","","","","7"
"7 Strongly agree","2007","16-34 y.","Female","","","","","7"
"7 Strongly agree","2007","35-65 y.","Male","","","","","7"
"7 Strongly agree","2007","35-65 y.","Female","","","","","7"
"7 Strongly agree","2007","66 and older","Male","","","","","7"
"1 Strongly disagree","2008","16-34 y.","Female","","","","","1"
"1 Strongly disagree","2008","35-65 y.","Male","","","","","1"
"1 Strongly disagree","2008","35-65 y.","Female","","","","","1"
"1 Strongly disagree","2008","66 and older","Male","","","","","1"
"1 Strongly disagree","2008","66 and older","Female","","","","","1"
"1 Strongly disagree","2008","16-34 y.","Male","","","","","1"
"2 on scale 1-7 ","2008","35-65 y.","Male","","","","","2"
"2 on scale 1-7 ","2008","66 and older","Female","","","","","2"
"2 on scale 1-7 ","2008","16-34 y.","Female","","","","","2"
"2 on scale 1-7 ","2008","66 and older","Male","","","","","2"
"2 on scale 1-7 ","2008","35-65 y.","Female","","","","","2"
"2 on scale 1-7 ","2008","16-34 y.","Male","","","","","2"
"3 on scale 1-7 ","2008","35-65 y.","Male","","","","","3"
"3 on scale 1-7 ","2008","16-34 y.","Female","","","","","3"
"3 on scale 1-7 ","2008","66 and older","Female","","","","","3"
"3 on scale 1-7 ","2008","16-34 y.","Male","","","","","3"
"3 on scale 1-7 ","2008","35-65 y.","Female","","","","","3"
"3 on scale 1-7 ","2008","66 and older","Male","","","","","3"
"4 on scale 1-7","2008","66 and older","Female","","","","","4"
"4 on scale 1-7","2008","35-65 y.","Male","","","","","4"
"4 on scale 1-7","2008","66 and older","Male","","","","","4"
"4 on scale 1-7","2008","35-65 y.","Female","","","","","4"
