"plh0215","year","e11102","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","405","0.0575963693360255","0.0524273817407742","0.0627653569312769"
"1 Strongly disagree","2005","Employed","199","0.0179859561931444","0.0156847883688545","0.0202871240174344"
"2 on scale 1-7 ","2005","Not Employed","607","0.0883802259251209","0.0820826431748381","0.0946778086754037"
"2 on scale 1-7 ","2005","Employed","479","0.0357327388212362","0.0325186746659817","0.0389468029764907"
"3 on scale 1-7 ","2005","Not Employed","1166","0.149956387937051","0.14203515927752","0.157877616596583"
"3 on scale 1-7 ","2005","Employed","1382","0.116634282483221","0.111076442237089","0.122192122729354"
"4 on scale 1-7","2005","Not Employed","2108","0.269923955671356","0.260074908335682","0.27977300300703"
"4 on scale 1-7","2005","Employed","3396","0.271687720525406","0.263985490242318","0.279389950808494"
"5 on scale 1-7","2005","Not Employed","1743","0.213993101510645","0.204893915857982","0.223092287163308"
"5 on scale 1-7","2005","Employed","3513","0.270083871081175","0.262395957674945","0.277771784487405"
"6 on scale 1-7","2005","Not Employed","1160","0.138252026470237","0.130594026700165","0.145910026240309"
"6 on scale 1-7","2005","Employed","2587","0.188873764627431","0.182096526887052","0.19565100236781"
"7 Strongly agree","2005","Not Employed","615","0.0818979331495646","0.0758141823822568","0.0879816839168724"
"7 Strongly agree","2005","Employed","1257","0.099001666268386","0.093830292550386","0.104173039986386"
"1 Strongly disagree","2006","Not Employed","","","",""
"1 Strongly disagree","2006","Employed","","","",""
"2 on scale 1-7 ","2006","Not Employed","","","",""
"2 on scale 1-7 ","2006","Employed","","","",""
"3 on scale 1-7 ","2006","Not Employed","","","",""
"3 on scale 1-7 ","2006","Employed","","","",""
"4 on scale 1-7","2006","Not Employed","","","",""
"4 on scale 1-7","2006","Employed","","","",""
"5 on scale 1-7","2006","Not Employed","","","",""
"5 on scale 1-7","2006","Employed","","","",""
"6 on scale 1-7","2006","Not Employed","","","",""
"6 on scale 1-7","2006","Employed","","","",""
"7 Strongly agree","2006","Not Employed","","","",""
"7 Strongly agree","2006","Employed","","","",""
"1 Strongly disagree","2007","Not Employed","","","",""
"1 Strongly disagree","2007","Employed","","","",""
"2 on scale 1-7 ","2007","Not Employed","","","",""
"2 on scale 1-7 ","2007","Employed","","","",""
"3 on scale 1-7 ","2007","Not Employed","","","",""
"3 on scale 1-7 ","2007","Employed","","","",""
"4 on scale 1-7","2007","Not Employed","","","",""
"4 on scale 1-7","2007","Employed","","","",""
"5 on scale 1-7","2007","Not Employed","","","",""
"5 on scale 1-7","2007","Employed","","","",""
"6 on scale 1-7","2007","Not Employed","","","",""
"6 on scale 1-7","2007","Employed","","","",""
"7 Strongly agree","2007","Not Employed","","","",""
"7 Strongly agree","2007","Employed","","","",""
"1 Strongly disagree","2008","Not Employed","","","",""
"1 Strongly disagree","2008","Employed","","","",""
"2 on scale 1-7 ","2008","Not Employed","","","",""
