"plh0215","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","lower secondary degree","48","0.0259785025859788","0.0190157296767591","0.0329412754951985"
"1 Strongly disagree","2005","Full Time","secondary school degree","27","","",""
"1 Strongly disagree","2005","Full Time","college entrance qualification","10","","",""
"1 Strongly disagree","2005","Full Time","Other degree","18","","",""
"1 Strongly disagree","2005","Full Time","no degree/no degree yet","5","","",""
"1 Strongly disagree","2005","Part Time","lower secondary degree","34","0.0333725830533924","0.0236204335846071","0.0431247325221778"
"1 Strongly disagree","2005","Part Time","secondary school degree","19","","",""
"1 Strongly disagree","2005","Part Time","college entrance qualification","11","","",""
"1 Strongly disagree","2005","Part Time","Other degree","21","","",""
"1 Strongly disagree","2005","Part Time","no degree/no degree yet","2","","",""
"1 Strongly disagree","2005","Not Working","lower secondary degree","247","0.0727583332127112","0.0644206002927624","0.0810960661326599"
"1 Strongly disagree","2005","Not Working","secondary school degree","58","0.0399921686789668","0.0301320948614305","0.049852242496503"
"1 Strongly disagree","2005","Not Working","college entrance qualification","19","","",""
"1 Strongly disagree","2005","Not Working","Other degree","48","0.102482348569562","0.0750928758591851","0.12987182127994"
"1 Strongly disagree","2005","Not Working","no degree/no degree yet","28","","",""
"2 on scale 1-7 ","2005","Full Time","lower secondary degree","71","0.0323333645140357","0.0245908997906159","0.0400758292374555"
"2 on scale 1-7 ","2005","Full Time","secondary school degree","93","0.0260577844201645","0.0202365713089314","0.0318789975313975"
"2 on scale 1-7 ","2005","Full Time","college entrance qualification","68","0.0293656454981096","0.0228422185542736","0.0358890724419455"
"2 on scale 1-7 ","2005","Full Time","Other degree","21","","",""
"2 on scale 1-7 ","2005","Full Time","no degree/no degree yet","3","","",""
"2 on scale 1-7 ","2005","Part Time","lower secondary degree","65","0.0494126100982855","0.0376449313167369","0.0611802888798342"
"2 on scale 1-7 ","2005","Part Time","secondary school degree","69","0.039359569438285","0.0298554766266977","0.0488636622498723"
"2 on scale 1-7 ","2005","Part Time","college entrance qualification","52","0.0317633693090573","0.0225174924274029","0.0410092461907117"
"2 on scale 1-7 ","2005","Part Time","Other degree","14","","",""
"2 on scale 1-7 ","2005","Part Time","no degree/no degree yet","9","","",""
"2 on scale 1-7 ","2005","Not Working","lower secondary degree","368","0.107831266653854","0.0978747828397948","0.117787750467914"
"2 on scale 1-7 ","2005","Not Working","secondary school degree","76","0.0598285724923701","0.0478938274642407","0.0717633175204996"
"2 on scale 1-7 ","2005","Not Working","college entrance qualification","54","0.0427720487734725","0.0314915950524846","0.0540525024944605"
"2 on scale 1-7 ","2005","Not Working","Other degree","53","0.125418883707654","0.0955086951467181","0.155329072268589"
"2 on scale 1-7 ","2005","Not Working","no degree/no degree yet","45","0.0727265165348313","0.0535573228282486","0.091895710241414"
"3 on scale 1-7 ","2005","Full Time","lower secondary degree","220","0.113218826429485","0.0993494013406295","0.127088251518341"
"3 on scale 1-7 ","2005","Full Time","secondary school degree","287","0.108381871732704","0.0970227192751471","0.119741024190262"
"3 on scale 1-7 ","2005","Full Time","college entrance qualification","216","0.103637912475321","0.091861059157082","0.115414765793559"
"3 on scale 1-7 ","2005","Full Time","Other degree","53","0.132188242256478","0.0981344508443164","0.16624203366864"
"3 on scale 1-7 ","2005","Full Time","no degree/no degree yet","11","","",""
"3 on scale 1-7 ","2005","Part Time","lower secondary degree","186","0.140107720381724","0.121261297075313","0.158954143688136"
"3 on scale 1-7 ","2005","Part Time","secondary school degree","205","0.138800607436568","0.121901934147375","0.155699280725761"
"3 on scale 1-7 ","2005","Part Time","college entrance qualification","135","0.093009062782513","0.0776961370091408","0.108321988555885"
"3 on scale 1-7 ","2005","Part Time","Other degree","33","0.114486988777945","0.0752529180879152","0.153721059467975"
"3 on scale 1-7 ","2005","Part Time","no degree/no degree yet","15","","",""
"3 on scale 1-7 ","2005","Not Working","lower secondary degree","632","0.16076780135239","0.148976798501077","0.172558804203703"
"3 on scale 1-7 ","2005","Not Working","secondary school degree","209","0.152125683828755","0.134053014093169","0.170198353564342"
"3 on scale 1-7 ","2005","Not Working","college entrance qualification","128","0.110194440454079","0.0927375753851831","0.127651305522974"
"3 on scale 1-7 ","2005","Not Working","Other degree","97","0.177531712272496","0.143022488617442","0.21204093592755"
"3 on scale 1-7 ","2005","Not Working","no degree/no degree yet","83","0.130177205541392","0.105338074591998","0.155016336490786"
"4 on scale 1-7","2005","Full Time","lower secondary degree","536","0.269682904459861","0.2502573535435","0.289108455376222"
"4 on scale 1-7","2005","Full Time","secondary school degree","745","0.258392576756316","0.242396804554538","0.274388348958093"
"4 on scale 1-7","2005","Full Time","college entrance qualification","633","0.257748271093997","0.240847688053838","0.274648854134157"
"4 on scale 1-7","2005","Full Time","Other degree","114","0.312673052439608","0.266062612180096","0.359283492699119"
"4 on scale 1-7","2005","Full Time","no degree/no degree yet","13","","",""
"4 on scale 1-7","2005","Part Time","lower secondary degree","368","0.291961976924509","0.267275033520532","0.316648920328487"
"4 on scale 1-7","2005","Part Time","secondary school degree","468","0.293284202930046","0.271032061885135","0.315536343974958"
"4 on scale 1-7","2005","Part Time","college entrance qualification","328","0.240769568905444","0.218228128167997","0.263311009642892"
"4 on scale 1-7","2005","Part Time","Other degree","83","0.334854374017009","0.276701097607454","0.393007650426564"
"4 on scale 1-7","2005","Part Time","no degree/no degree yet","28","","",""
"4 on scale 1-7","2005","Not Working","lower secondary degree","1077","0.287364729685606","0.272838245113595","0.301891214257617"
"4 on scale 1-7","2005","Not Working","secondary school degree","392","0.266341746604244","0.2440972887191","0.288586204489389"
"4 on scale 1-7","2005","Not Working","college entrance qualification","319","0.255522292838492","0.231207022503954","0.279837563173031"
"4 on scale 1-7","2005","Not Working","Other degree","125","0.259013851214861","0.219449488286816","0.298578214142906"
"4 on scale 1-7","2005","Not Working","no degree/no degree yet","156","0.195417721156845","0.166147855021167","0.224687587292523"
"5 on scale 1-7","2005","Full Time","lower secondary degree","541","0.264469865588983","0.245164446452405","0.283775284725562"
"5 on scale 1-7","2005","Full Time","secondary school degree","844","0.285556115714945","0.269051403563258","0.302060827866633"
"5 on scale 1-7","2005","Full Time","college entrance qualification","755","0.292977740072085","0.275391943139877","0.310563537004293"
"5 on scale 1-7","2005","Full Time","Other degree","89","0.255838285776413","0.21196777182906","0.299708799723767"
"5 on scale 1-7","2005","Full Time","no degree/no degree yet","11","","",""
"5 on scale 1-7","2005","Part Time","lower secondary degree","317","0.234322203293259","0.211323379225437","0.257321027361081"
"5 on scale 1-7","2005","Part Time","secondary school degree","423","0.262054180885471","0.240560398201322","0.283547963569621"
"5 on scale 1-7","2005","Part Time","college entrance qualification","396","0.285947653028125","0.262124328704073","0.309770977352177"
"5 on scale 1-7","2005","Part Time","Other degree","56","0.236733018776317","0.184354225811522","0.289111811741112"
"5 on scale 1-7","2005","Part Time","no degree/no degree yet","29","","",""
"5 on scale 1-7","2005","Not Working","lower secondary degree","729","0.196407401247098","0.183654557812578","0.209160244681619"
"5 on scale 1-7","2005","Not Working","secondary school degree","395","0.227007179128245","0.205927556738644","0.248086801517846"
"5 on scale 1-7","2005","Not Working","college entrance qualification","333","0.2790205643204","0.254016051298022","0.304025077342779"
"5 on scale 1-7","2005","Not Working","Other degree","74","0.171794732706746","0.137729484817187","0.205859980596304"
"5 on scale 1-7","2005","Not Working","no degree/no degree yet","184","0.242993664757231","0.211334404353327","0.274652925161136"
"6 on scale 1-7","2005","Full Time","lower secondary degree","371","0.173427236447255","0.156854657378167","0.189999815516344"
"6 on scale 1-7","2005","Full Time","secondary school degree","611","0.218357175721774","0.203261030433129","0.23345332101042"
"6 on scale 1-7","2005","Full Time","college entrance qualification","633","0.213381983325001","0.197551688026557","0.229212278623445"
"6 on scale 1-7","2005","Full Time","Other degree","49","0.107264122563798","0.0761508975904598","0.138377347537137"
"6 on scale 1-7","2005","Full Time","no degree/no degree yet","6","","",""
"6 on scale 1-7","2005","Part Time","lower secondary degree","202","0.154601686417366","0.134971985383451","0.174231387451281"
"6 on scale 1-7","2005","Part Time","secondary school degree","280","0.171742777738394","0.153308466062463","0.190177089414326"
"6 on scale 1-7","2005","Part Time","college entrance qualification","324","0.23343510778398","0.211132706869446","0.255737508698514"
"6 on scale 1-7","2005","Part Time","Other degree","27","","",""
"6 on scale 1-7","2005","Part Time","no degree/no degree yet","35","0.197049557362676","0.130684320225036","0.263414794500316"
"6 on scale 1-7","2005","Not Working","lower secondary degree","422","0.104744019521169","0.0949141359817014","0.114573903060636"
"6 on scale 1-7","2005","Not Working","secondary school degree","258","0.163771264023837","0.145148819256232","0.182393708791442"
"6 on scale 1-7","2005","Not Working","college entrance qualification","270","0.199530354396621","0.177250324128289","0.221810384664952"
"6 on scale 1-7","2005","Not Working","Other degree","44","0.0926586540775421","0.0664728459158586","0.118844462239226"
"6 on scale 1-7","2005","Not Working","no degree/no degree yet","139","0.210259851421936","0.180180129454413","0.240339573389458"
"7 Strongly agree","2005","Full Time","lower secondary degree","218","0.120889299974401","0.106619870249939","0.135158729698862"
"7 Strongly agree","2005","Full Time","secondary school degree","270","0.0927630684263856","0.0821625751837677","0.103363561669004"
"7 Strongly agree","2005","Full Time","college entrance qualification","258","0.0982415613304853","0.0867409498144041","0.109742172846566"
"7 Strongly agree","2005","Full Time","Other degree","36","0.0927305025455138","0.0635672637174897","0.121893741373538"
"7 Strongly agree","2005","Full Time","no degree/no degree yet","5","","",""
"7 Strongly agree","2005","Part Time","lower secondary degree","131","0.0962212198314636","0.0802093377734141","0.112233101889513"
"7 Strongly agree","2005","Part Time","secondary school degree","144","0.0837342781167212","0.0701958753899693","0.0972726808434731"
"7 Strongly agree","2005","Part Time","college entrance qualification","136","0.106871108520737","0.0905826008848427","0.123159616156631"
"7 Strongly agree","2005","Part Time","Other degree","19","","",""
"7 Strongly agree","2005","Part Time","no degree/no degree yet","20","","",""
"7 Strongly agree","2005","Not Working","lower secondary degree","253","0.0701264483271716","0.0619292959409555","0.0783236007133878"
"7 Strongly agree","2005","Not Working","secondary school degree","129","0.0909333852435815","0.0764651742163957","0.105401596270767"
"7 Strongly agree","2005","Not Working","college entrance qualification","113","0.09578474869278","0.079377983915377","0.112191513470183"
