"plh0215","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Schleswig-Holstein","in school","","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","inadequately","","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","general elemantary","5","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","middle vocational","14","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","vocational + Abi","3","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","higher vocational","2","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","higher education","","","",""
"1 Strongly disagree","2005","Hamburg","in school","","","",""
"1 Strongly disagree","2005","Hamburg","inadequately","","","",""
"1 Strongly disagree","2005","Hamburg","general elemantary","1","","",""
"1 Strongly disagree","2005","Hamburg","middle vocational","6","","",""
"1 Strongly disagree","2005","Hamburg","vocational + Abi","","","",""
"1 Strongly disagree","2005","Hamburg","higher vocational","","","",""
"1 Strongly disagree","2005","Hamburg","higher education","1","","",""
"1 Strongly disagree","2005","Lower Saxony","in school","","","",""
"1 Strongly disagree","2005","Lower Saxony","inadequately","2","","",""
"1 Strongly disagree","2005","Lower Saxony","general elemantary","14","","",""
"1 Strongly disagree","2005","Lower Saxony","middle vocational","27","","",""
"1 Strongly disagree","2005","Lower Saxony","vocational + Abi","1","","",""
"1 Strongly disagree","2005","Lower Saxony","higher vocational","1","","",""
"1 Strongly disagree","2005","Lower Saxony","higher education","2","","",""
"1 Strongly disagree","2005","Bremen","in school","","","",""
"1 Strongly disagree","2005","Bremen","inadequately","","","",""
"1 Strongly disagree","2005","Bremen","general elemantary","","","",""
"1 Strongly disagree","2005","Bremen","middle vocational","4","","",""
"1 Strongly disagree","2005","Bremen","vocational + Abi","","","",""
"1 Strongly disagree","2005","Bremen","higher vocational","","","",""
"1 Strongly disagree","2005","Bremen","higher education","1","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","in school","3","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","inadequately","11","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","general elemantary","29","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","middle vocational","65","0.0375527872752113","0.0293471312322586","0.0457584433181641"
"1 Strongly disagree","2005","North Rhine-Westphalia","vocational + Abi","5","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","higher vocational","6","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","higher education","3","","",""
"1 Strongly disagree","2005","Hesse","in school","","","",""
"1 Strongly disagree","2005","Hesse","inadequately","1","","",""
"1 Strongly disagree","2005","Hesse","general elemantary","12","","",""
"1 Strongly disagree","2005","Hesse","middle vocational","26","","",""
"1 Strongly disagree","2005","Hesse","vocational + Abi","3","","",""
"1 Strongly disagree","2005","Hesse","higher vocational","","","",""
"1 Strongly disagree","2005","Hesse","higher education","3","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","in school","","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","inadequately","2","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","general elemantary","19","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","middle vocational","21","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","vocational + Abi","1","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","higher vocational","2","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","higher education","5","","",""
"1 Strongly disagree","2005","Baden-Württemberg","in school","3","","",""
"1 Strongly disagree","2005","Baden-Württemberg","inadequately","8","","",""
