"plh0215","year","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Urban Area","407","0.0333909267829682","0.0303926333252839","0.0363892202406526"
"1 Strongly disagree","2005","Rural Area","197","0.0349165861608561","0.0305615167931963","0.0392716555285159"
"2 on scale 1-7 ","2005","Urban Area","723","0.0576532351077525","0.053763216491252","0.0615432537242529"
"2 on scale 1-7 ","2005","Rural Area","363","0.05504625244245","0.0496353971697647","0.0604571077151353"
"3 on scale 1-7 ","2005","Urban Area","1707","0.133100129426314","0.127431107004053","0.138769151848576"
"3 on scale 1-7 ","2005","Rural Area","841","0.123138629167256","0.11534285249102","0.130934405843493"
"4 on scale 1-7","2005","Urban Area","3621","0.268073464305157","0.260680899736467","0.275466028873847"
"4 on scale 1-7","2005","Rural Area","1883","0.27739634903206","0.266774571298916","0.288018126765204"
"5 on scale 1-7","2005","Urban Area","3522","0.245493585437592","0.238310913855413","0.252676257019771"
"5 on scale 1-7","2005","Rural Area","1734","0.252235236723704","0.241931799260544","0.262538674186864"
"6 on scale 1-7","2005","Urban Area","2511","0.168072547460238","0.161831958392421","0.174313136528055"
"6 on scale 1-7","2005","Rural Area","1236","0.169694654100275","0.16078932936646","0.17859997883409"
"7 Strongly agree","2005","Urban Area","1301","0.0942161114799781","0.089340721611618","0.0990915013483382"
"7 Strongly agree","2005","Rural Area","571","0.0875722923733983","0.0808660483103284","0.0942785364364682"
"1 Strongly disagree","2006","Urban Area","","","",""
"1 Strongly disagree","2006","Rural Area","","","",""
"2 on scale 1-7 ","2006","Urban Area","","","",""
"2 on scale 1-7 ","2006","Rural Area","","","",""
"3 on scale 1-7 ","2006","Urban Area","","","",""
"3 on scale 1-7 ","2006","Rural Area","","","",""
"4 on scale 1-7","2006","Urban Area","","","",""
"4 on scale 1-7","2006","Rural Area","","","",""
"5 on scale 1-7","2006","Urban Area","","","",""
"5 on scale 1-7","2006","Rural Area","","","",""
"6 on scale 1-7","2006","Urban Area","","","",""
"6 on scale 1-7","2006","Rural Area","","","",""
"7 Strongly agree","2006","Urban Area","","","",""
"7 Strongly agree","2006","Rural Area","","","",""
"1 Strongly disagree","2007","Urban Area","","","",""
"1 Strongly disagree","2007","Rural Area","","","",""
"2 on scale 1-7 ","2007","Urban Area","","","",""
"2 on scale 1-7 ","2007","Rural Area","","","",""
"3 on scale 1-7 ","2007","Urban Area","","","",""
"3 on scale 1-7 ","2007","Rural Area","","","",""
"4 on scale 1-7","2007","Urban Area","","","",""
"4 on scale 1-7","2007","Rural Area","","","",""
"5 on scale 1-7","2007","Urban Area","","","",""
"5 on scale 1-7","2007","Rural Area","","","",""
"6 on scale 1-7","2007","Urban Area","","","",""
"6 on scale 1-7","2007","Rural Area","","","",""
"7 Strongly agree","2007","Urban Area","","","",""
"7 Strongly agree","2007","Rural Area","","","",""
"1 Strongly disagree","2008","Urban Area","","","",""
"1 Strongly disagree","2008","Rural Area","","","",""
"2 on scale 1-7 ","2008","Urban Area","","","",""
"2 on scale 1-7 ","2008","Rural Area","","","",""
"3 on scale 1-7 ","2008","Urban Area","","","",""
"3 on scale 1-7 ","2008","Rural Area","","","",""
"4 on scale 1-7","2008","Urban Area","","","",""
"4 on scale 1-7","2008","Rural Area","","","",""
"5 on scale 1-7","2008","Urban Area","","","",""
"5 on scale 1-7","2008","Rural Area","","","",""
"6 on scale 1-7","2008","Urban Area","","","",""
"6 on scale 1-7","2008","Rural Area","","","",""
"7 Strongly agree","2008","Urban Area","","","",""
"7 Strongly agree","2008","Rural Area","","","",""
"1 Strongly disagree","2009","Urban Area","306","0.0326811973865639","0.0294649619153485","0.0358974328577792"
